date,close,volume,open,high,low
05/15/2026,92.32,"3,151,788",92.03,92.66,91.13
05/14/2026,91.03,"3,990,600",88.81,91.12,88.725
05/13/2026,88.79,"2,944,932",88.3,88.94,87.26
05/12/2026,88.43,"3,595,443",88.48,88.9285,87.885
05/11/2026,87.79,"5,718,283",85.64,87.92,85.335
05/08/2026,85.16,"4,063,742",85.72,86.2,84.49
05/07/2026,85.87,"5,861,462",84.4,86.075,83.66
05/06/2026,85.6,"5,451,704",86.87,87.74,84.775
05/05/2026,90.02,"3,240,297",90.17,90.94,89.445
05/04/2026,90.63,"2,949,840",89.48,91.16,88.5
05/01/2026,90.36,"3,583,078",92.25,92.43,89.88
04/30/2026,92.46,"5,873,781",88.87,92.53,88.54
04/29/2026,89.32,"6,307,075",90.9,91.27,88.33
04/28/2026,89.79,"4,890,719",89.0,90.36,88.17
04/27/2026,87.75,"5,471,846",87.67,88.52,87.01
04/24/2026,87.5,"3,192,231",87.2,87.8,86.5
04/23/2026,87.21,"2,839,541",86.7,87.33,85.83
04/22/2026,86.06,"4,658,187",85.35,86.71,85.35
04/21/2026,84.69,"3,593,067",84.41,84.91,83.35
04/20/2026,83.78,"3,146,730",83.2,84.325,82.78
04/17/2026,83.51,"5,344,046",82.89,83.88,81.25
04/16/2026,85.21,"2,554,363",84.29,85.55,84.0
04/15/2026,84.1,"3,250,611",84.32,85.16,83.975
04/14/2026,84.84,"3,962,417",84.54,84.98,82.81
04/13/2026,85.33,"4,269,715",86.88,87.145,84.595
04/10/2026,86.21,"3,787,941",85.51,86.765,85.09
04/09/2026,86.18,"4,138,673",86.68,88.87,86.01
04/08/2026,86.77,"7,953,694",85.45,86.97,84.1
04/07/2026,90.63,"4,281,108",88.86,91.34,88.645
04/06/2026,88.5,"2,669,503",87.86,88.75,87.77
04/02/2026,88.3,"5,134,386",89.45,89.96,87.675
04/01/2026,87.36,"5,744,411",89.2,90.08,86.07
03/31/2026,90.39,"8,704,481",93.6,93.77,88.78
03/30/2026,92.96,"4,974,031",94.58,95.205,92.4957
03/27/2026,93.96,"4,820,828",93.6,95.3,93.28
03/26/2026,93.57,"3,908,043",91.85,94.29,91.8
03/25/2026,92.12,"4,923,550",90.14,92.89,89.88
03/24/2026,90.94,"4,071,699",90.44,92.02,90.29
03/23/2026,89.92,"6,466,583",87.27,90.31,87.05
03/20/2026,89.21,"19,367,300",89.47,92.135,89.1045
03/19/2026,88.39,"4,901,059",86.78,89.29,86.58
03/18/2026,86.19,"4,432,453",86.6,86.6,84.89
03/17/2026,86.56,"3,276,163",86.45,87.385,86.275
03/16/2026,85.32,"3,368,575",85.57,85.88,84.66
03/13/2026,85.36,"3,426,713",85.0,85.93,84.5
03/12/2026,84.93,"4,135,741",85.95,87.33,84.93
03/11/2026,85.76,"3,154,408",85.51,85.93,84.625
03/10/2026,84.68,"4,755,800",85.76,86.53,84.24
03/09/2026,85.96,"6,132,903",86.88,87.7,85.295
03/06/2026,86.93,"5,570,965",86.3,87.05,84.74
03/05/2026,85.6,"5,703,528",84.56,86.82,84.31
03/04/2026,84.76,"3,949,078",84.28,85.13,83.72
03/03/2026,84.78,"4,376,087",86.42,87.13,84.275
03/02/2026,86.12,"6,139,443",84.49,86.685,82.78
02/27/2026,82.77,"5,880,790",84.72,84.86,82.07
02/26/2026,84.02,"5,339,637",82.44,84.33,81.59
02/25/2026,82.28,"8,864,183",81.98,84.01,79.7265
02/24/2026,82.89,"8,610,224",86.99,87.45,81.31
02/23/2026,87.33,"4,744,720",87.42,89.0,86.731
02/20/2026,87.33,"4,505,326",86.8,87.35,86.0
02/19/2026,86.88,"4,137,569",87.61,88.66,86.16
02/18/2026,86.79,"6,067,964",86.61,87.22,85.875
02/17/2026,85.61,"4,795,630",87.0,87.47,84.68
02/13/2026,86.11,"3,988,290",84.6,86.55,84.38
02/12/2026,84.6,"4,604,055",85.25,86.26,84.17
02/11/2026,84.9,"3,488,189",84.0,85.39,83.795
02/10/2026,83.46,"3,225,020",83.7,84.02,82.56
02/09/2026,83.13,"4,037,282",81.56,83.4,81.14
02/06/2026,81.84,"3,846,145",80.25,82.03,80.25
02/05/2026,80.46,"5,611,336",80.3,80.75,78.5275
02/04/2026,80.34,"5,422,848",78.465,80.81,78.27
02/03/2026,78.27,"5,656,113",75.58,78.49,75.5611
02/02/2026,75.32,"5,096,880",76.82,77.12,75.29
01/30/2026,79.19,"5,506,586",78.4,79.25,77.24
01/29/2026,78.56,"7,729,117",80.27,81.43,78.45
01/28/2026,79.26,"4,940,303",78.0,79.9,77.5
01/27/2026,77.74,"6,048,536",77.23,78.2499,76.71
01/26/2026,77.5,"4,764,426",78.54,78.995,76.64
01/23/2026,78.0,"5,347,076",79.35,80.025,77.82
01/22/2026,78.56,"7,653,302",76.26,78.68,75.94
01/21/2026,75.82,"3,306,217",75.29,76.3104,75.08
01/20/2026,74.06,"3,662,040",74.41,75.41,73.71
01/16/2026,74.4,"4,680,031",72.57,74.63,72.42
01/15/2026,73.35,"4,834,042",74.87,75.0,73.2
01/14/2026,75.85,"4,926,388",74.39,76.725,74.34
01/13/2026,74.25,"3,472,323",72.98,74.4907,72.97
01/12/2026,72.49,"3,844,367",72.78,73.34,72.11
01/09/2026,72.7,"2,561,753",73.0,73.33,72.2701
01/08/2026,72.33,"3,287,361",70.53,72.99,70.41
01/07/2026,70.72,"4,099,128",71.0,71.5841,70.58
01/06/2026,70.87,"4,661,421",73.52,73.54,70.63
01/05/2026,73.65,"5,281,159",75.38,75.45,71.36
01/02/2026,74.34,"2,261,782",73.46,74.98,72.55
12/31/2025,73.5,"2,522,707",73.66,73.78,73.23
12/30/2025,73.82,"2,164,304",73.8,74.117,73.685
12/29/2025,73.66,"2,616,144",73.3,73.89,73.13
12/26/2025,72.85,"1,599,006",73.25,73.35,72.36
12/24/2025,73.24,"1,210,307",73.58,73.61,72.92
12/23/2025,73.46,"2,357,906",72.95,73.5,72.665
12/22/2025,72.82,"2,816,059",72.29,72.905,71.85
12/19/2025,71.67,"8,401,512",71.77,72.77,71.63
12/18/2025,71.69,"3,219,719",73.05,73.19,71.4675
12/17/2025,73.05,"4,992,011",71.14,73.22,70.7
12/16/2025,71.13,"6,595,014",72.5,72.84,70.93
