date,close,volume,open,high,low
05/15/2026,70.83,"3,760,033",72.12,72.57,70.8
05/14/2026,71.58,"3,012,460",74.49,75.25,71.56
05/13/2026,74.24,"4,118,958",75.5,75.73,73.515
05/12/2026,76.04,"4,004,854",75.13,76.05,73.825
05/11/2026,75.15,"7,468,712",77.15,77.28,74.61
05/08/2026,77.06,"2,837,781",77.06,77.48,75.78
05/07/2026,76.92,"3,841,164",76.76,77.605,76.11
05/06/2026,76.91,"5,316,247",78.46,78.5,76.7
05/05/2026,77.64,"6,516,080",76.13,78.41,76.05
05/04/2026,76.27,"3,795,016",76.53,77.48,75.925
05/01/2026,76.92,"3,646,762",77.21,77.97,76.67
04/30/2026,76.72,"6,160,854",75.76,78.11,75.505
04/29/2026,76.19,"7,986,984",76.97,78.2,73.29
04/28/2026,76.88,"7,230,996",76.58,76.99,74.79
04/27/2026,76.01,"3,762,719",75.82,77.06,75.82
04/24/2026,75.74,"4,047,344",76.3,76.31,74.855
04/23/2026,76.82,"4,313,002",77.81,78.055,76.065
04/22/2026,78.11,"3,447,881",78.22,78.94,76.91
04/21/2026,78.07,"3,750,666",78.63,79.66,77.83
04/20/2026,78.5,"3,325,673",78.25,79.11,78.065
04/17/2026,78.67,"4,143,236",78.86,80.06,78.32
04/16/2026,78.76,"2,886,506",78.28,79.56,78.28
04/15/2026,77.49,"4,016,252",76.48,78.02,76.48
04/14/2026,76.48,"3,267,843",76.23,77.51,75.855
04/13/2026,76.0,"3,704,790",74.35,76.75,74.27
04/10/2026,74.77,"3,195,893",75.33,75.92,74.345
04/09/2026,74.88,"5,487,559",75.92,75.92,73.63
04/08/2026,76.87,"3,311,847",77.23,77.64,76.38
04/07/2026,75.65,"4,708,185",75.66,77.02,75.42
04/06/2026,75.96,"3,163,190",74.3,76.48,74.155
04/02/2026,74.81,"4,216,113",74.79,76.27,74.25
04/01/2026,75.21,"4,352,200",75.02,76.36,74.865
03/31/2026,75.31,"12,183,120",76.2,76.85,74.21
03/30/2026,75.32,"6,443,175",74.5,76.06,74.07
03/27/2026,73.82,"5,215,898",75.24,75.36,73.56
03/26/2026,75.31,"4,155,081",75.45,76.49,73.88
03/25/2026,75.74,"3,636,483",76.06,76.83,74.305
03/24/2026,75.39,"3,616,711",74.92,76.07,74.4469
03/23/2026,75.64,"5,111,002",76.34,76.55,74.36
03/20/2026,75.06,"10,266,670",75.73,76.325,74.07
03/19/2026,75.84,"4,921,703",75.82,77.7399,75.5
03/18/2026,76.08,"3,753,869",77.51,78.205,75.94
03/17/2026,78.39,"4,819,733",78.89,80.73,78.31
03/16/2026,78.72,"5,062,407",77.98,79.18,77.4
03/13/2026,77.8,"5,025,330",78.78,79.55,77.64
03/12/2026,77.91,"5,582,979",79.0,81.885,77.02
03/11/2026,80.06,"4,601,400",80.99,81.85,79.14
03/10/2026,80.98,"4,639,242",84.13,84.5,80.77
03/09/2026,83.99,"4,921,093",84.42,84.67,82.6
03/06/2026,84.93,"3,850,900",84.6,85.06,82.9514
03/05/2026,84.77,"4,465,323",85.8,87.165,84.41
03/04/2026,85.8,"3,632,647",84.29,86.425,84.29
03/03/2026,84.62,"5,095,564",83.91,85.765,82.89
03/02/2026,85.36,"4,141,398",84.46,85.54,83.59
02/27/2026,85.29,"6,074,356",81.62,85.51,81.21
02/26/2026,84.71,"6,379,098",83.05,85.945,83.05
02/25/2026,82.71,"4,662,977",82.44,82.979,81.1
02/24/2026,82.46,"5,218,387",80.76,83.86,80.495
02/23/2026,80.75,"7,830,855",83.83,85.675,79.73
02/20/2026,83.26,"17,279,340",81.76,83.96,81.6
02/19/2026,80.94,"14,537,740",74.48,81.11,73.42
02/18/2026,70.16,"6,431,438",67.98,70.509,67.46
02/17/2026,67.98,"4,344,459",69.41,69.5,67.25
02/13/2026,69.0,"4,376,148",67.56,69.11,67.27
02/12/2026,67.27,"5,284,855",69.71,70.2,66.66
02/11/2026,69.32,"6,536,986",72.51,72.88,68.88
02/10/2026,73.06,"4,788,837",71.5,73.17,71.1
02/09/2026,70.75,"4,701,802",69.73,70.86,68.88
02/06/2026,69.87,"3,585,384",68.71,70.42,68.5
02/05/2026,69.12,"4,784,757",69.97,70.845,68.28
02/04/2026,69.14,"6,265,936",66.53,70.04,66.3346
02/03/2026,67.99,"8,435,147",71.78,72.45,67.93
02/02/2026,76.52,"3,861,920",76.68,77.54,75.73
01/30/2026,77.04,"6,338,807",76.29,77.075,75.6
01/29/2026,75.77,"4,118,826",76.54,76.93,74.9651
01/28/2026,76.54,"3,977,725",77.8,78.6,76.245
01/27/2026,78.03,"4,991,081",80.07,80.5,77.22
01/26/2026,80.36,"2,504,201",80.23,80.5,79.5
01/23/2026,79.79,"3,172,572",80.09,81.41,79.16
01/22/2026,79.24,"2,584,380",78.41,79.72,78.41
01/21/2026,78.58,"2,605,744",78.47,79.85,78.185
01/20/2026,78.03,"3,729,951",79.76,80.02,77.69
01/16/2026,79.79,"3,285,889",80.2,81.25,79.29
01/15/2026,80.84,"3,619,839",80.17,81.225,79.03
01/14/2026,80.18,"4,227,482",78.0,80.74,77.77
01/13/2026,77.51,"3,541,080",78.13,78.75,76.93
01/12/2026,78.16,"3,371,169",78.54,78.85,77.83
01/09/2026,79.08,"2,919,256",78.75,79.535,77.534
01/08/2026,78.79,"3,138,628",77.08,79.67,77.08
01/07/2026,77.58,"3,830,737",79.32,79.88,77.0
01/06/2026,79.63,"3,360,057",77.96,79.7099,77.83
01/05/2026,78.35,"6,076,372",79.26,80.73,78.105
01/02/2026,81.32,"3,740,443",80.75,81.95,79.59
12/31/2025,80.75,"2,902,679",80.43,81.3,80.13
12/30/2025,80.73,"3,194,520",80.31,81.115,80.14
12/29/2025,80.47,"5,412,335",80.15,81.32,79.965
12/26/2025,80.03,"2,029,410",79.74,80.25,79.55
12/24/2025,79.95,"1,271,092",78.84,80.04,78.84
12/23/2025,78.7,"3,417,794",79.74,79.97,78.11
12/22/2025,79.64,"4,104,568",80.91,81.88,79.525
12/19/2025,80.23,"13,157,070",80.9,81.27,79.95
12/18/2025,81.66,"4,879,641",82.64,82.82,81.1
12/17/2025,82.7,"5,068,929",80.34,83.21,80.25
12/16/2025,80.64,"5,994,554",80.42,81.43,79.79
12/15/2025,80.48,"5,428,087",80.46,81.1785,79.81
12/12/2025,80.25,"5,126,674",80.58,80.89,79.69
12/11/2025,80.07,"9,330,244",77.61,80.55,77.35
12/10/2025,77.42,"9,950,710",73.71,77.545,73.71
12/09/2025,73.24,"5,124,402",73.48,73.745,72.66
12/08/2025,73.15,"5,848,310",73.82,74.32,72.99
12/05/2025,73.44,"8,059,724",70.31,74.645,70.29
12/04/2025,70.17,"5,546,739",70.97,71.45,69.855
12/03/2025,71.0,"6,524,024",72.34,73.04,70.29
12/02/2025,72.47,"6,023,719",72.05,72.75,71.05
12/01/2025,72.01,"7,730,627",71.71,73.39,71.62
11/28/2025,71.62,"9,216,804",71.06,72.69,70.89
11/26/2025,71.5,"11,208,920",72.6,73.68,71.21
11/25/2025,72.85,"7,564,067",75.51,75.57,72.6
11/24/2025,74.83,"6,485,283",74.63,75.5,73.7
11/21/2025,74.87,"3,434,515",72.19,75.015,71.89
11/20/2025,71.51,"2,844,681",72.0,72.11,71.15
11/19/2025,72.0,"2,535,692",73.7,73.7,71.885
11/18/2025,73.54,"2,812,995",72.82,73.69,72.11
11/17/2025,73.03,"3,384,388",72.02,73.12,72.02
11/14/2025,72.23,"2,206,795",72.9,72.91,71.88
11/13/2025,73.06,"2,128,858",73.9,74.28,72.96
11/12/2025,74.09,"3,032,663",73.72,74.57,73.32
11/11/2025,73.91,"2,344,510",73.25,74.0348,72.37
11/10/2025,72.74,"3,921,552",74.08,74.08,71.11
11/07/2025,74.28,"3,037,948",73.12,74.33,72.86
11/06/2025,72.99,"2,956,343",73.75,75.55,72.77
11/05/2025,73.4,"2,419,293",73.5,74.365,72.92
11/04/2025,73.54,"2,507,680",73.19,73.89,72.82
11/03/2025,73.03,"3,438,595",74.66,74.66,72.52
10/31/2025,75.02,"3,125,345",74.49,75.293,74.08
10/30/2025,75.05,"3,958,660",74.52,76.59,73.82
10/29/2025,75.24,"4,648,656",76.25,76.49,74.95
10/28/2025,76.92,"3,347,132",78.93,78.93,76.859
10/27/2025,79.2,"3,041,501",79.1,79.835,78.82
10/24/2025,79.0,"3,301,218",81.08,81.08,78.5
10/23/2025,80.33,"3,300,684",81.51,81.88,80.33
10/22/2025,81.23,"7,381,693",78.49,82.5,78.48
10/21/2025,78.71,"4,062,444",78.24,79.678,77.94
10/20/2025,78.19,"3,123,713",77.86,78.46,77.48
10/17/2025,77.52,"2,986,395",77.28,78.275,76.645
10/16/2025,77.21,"2,481,883",79.31,79.32,76.965
10/15/2025,79.31,"4,007,186",78.63,79.93,78.32
10/14/2025,78.55,"3,958,445",75.76,78.61,75.7
10/13/2025,76.51,"3,414,055",76.98,77.48,76.1697
10/10/2025,76.5,"3,332,847",77.92,78.7,76.33
10/09/2025,77.6,"5,588,534",79.98,80.01,77.6
10/08/2025,79.63,"5,064,968",79.9,80.64,79.273
10/07/2025,79.76,"4,009,134",78.68,80.375,78.54
10/06/2025,78.5,"5,640,428",78.08,79.53,77.855
10/03/2025,77.61,"3,210,307",76.74,78.49,76.5701
10/02/2025,76.85,"4,480,668",76.78,77.53,75.81
10/01/2025,77.45,"6,287,880",80.97,81.69,77.33
09/30/2025,81.53,"11,008,790",79.15,82.955,79.06
09/29/2025,79.13,"2,538,742",77.33,79.17,76.795
09/26/2025,77.05,"2,556,947",75.82,77.19,75.71
