date,close,volume,open,high,low
05/15/2026,113.11,"10,939,860",113.415,115.8299,111.77
05/14/2026,118.37,"11,495,270",115.12,119.1,112.51
05/13/2026,115.71,"21,549,710",108.9,115.99,108.06
05/12/2026,104.11,"9,865,642",104.82,105.0,98.66
05/11/2026,107.24,"9,686,942",102.73,107.25,102.48
05/08/2026,103.2,"10,763,060",101.99,103.31,100.73
05/07/2026,100.61,"19,234,110",105.27,105.5,99.73
05/06/2026,105.77,"21,980,800",102.62,105.9,100.06
05/05/2026,102.67,"22,723,960",97.65,105.81,96.08
05/04/2026,102.04,"17,002,180",104.89,105.0,101.49
05/01/2026,103.03,"9,699,504",100.89,103.32,99.7
04/30/2026,100.81,"9,532,655",100.215,101.69,98.54
04/29/2026,98.86,"13,018,200",99.56,101.255,97.34
04/28/2026,93.3,"11,512,600",95.012,96.78,92.44
04/27/2026,98.04,"9,898,487",98.13,99.615,96.39
04/24/2026,98.4,"13,371,110",99.225,100.3,95.95
04/23/2026,97.78,"20,863,900",92.805,99.185,92.5001
04/22/2026,88.99,"11,538,790",88.72,89.6933,87.02
04/21/2026,86.91,"10,035,830",85.715,87.51,84.75
04/20/2026,85.56,"9,539,218",82.67,85.59,81.6448
04/17/2026,83.01,"15,737,830",80.34,83.52,79.78
04/16/2026,79.93,"19,322,720",74.365,80.5,73.98
04/15/2026,72.43,"6,025,398",71.635,72.55,71.09
04/14/2026,72.05,"7,271,753",71.74,72.53,70.805
04/13/2026,71.02,"7,823,533",70.3,71.31,68.81
04/10/2026,68.65,"6,275,757",69.14,70.11,68.14
04/09/2026,68.49,"5,812,381",68.48,69.07,67.9
04/08/2026,68.38,"9,810,434",67.5,68.52,66.38
04/07/2026,63.79,"5,490,322",63.25,64.0,61.91
04/06/2026,63.49,"5,306,316",62.92,64.62,62.56
04/02/2026,62.19,"7,072,318",59.775,62.48,59.72
04/01/2026,62.2,"6,716,169",62.78,63.685,61.96
03/31/2026,61.92,"12,771,740",57.325,62.16,57.0
03/30/2026,55.66,"8,398,489",58.62,59.44,55.025
03/27/2026,58.35,"7,136,714",61.39,61.39,57.94
03/26/2026,60.87,"7,461,991",61.8,62.57,60.57
03/25/2026,63.1,"5,537,569",63.88,64.35,62.71
03/24/2026,62.34,"6,831,554",59.04,63.07,59.04
03/23/2026,59.89,"5,353,451",60.81,61.64,59.68
03/20/2026,59.26,"12,540,830",59.26,60.34,58.28
03/19/2026,59.29,"7,560,771",59.002,60.51,58.5
03/18/2026,60.46,"5,069,638",60.79,61.82,60.41
03/17/2026,60.98,"4,801,038",60.39,61.335,60.18
03/16/2026,59.88,"6,515,395",59.915,60.85,59.42
03/13/2026,58.55,"7,557,985",58.38,59.55,57.68
03/12/2026,57.69,"6,692,918",58.24,58.9285,57.36
03/11/2026,59.24,"4,227,613",59.65,60.625,58.65
03/10/2026,59.59,"7,499,236",59.25,60.98,58.575
03/09/2026,59.23,"9,905,558",55.97,59.32,54.99
03/06/2026,56.87,"10,650,790",58.49,58.99,56.62
03/05/2026,60.85,"8,136,630",61.32,62.43,59.59
03/04/2026,62.53,"7,496,795",64.5,64.63,62.165
03/03/2026,63.42,"8,581,342",63.79,64.45,62.38
03/02/2026,66.48,"5,623,985",65.12,66.48,63.96
02/27/2026,66.48,"9,310,386",66.87,67.32,65.56
02/26/2026,68.16,"7,911,193",69.8,69.825,67.03
02/25/2026,69.68,"7,332,040",71.275,72.1,69.38
02/24/2026,70.03,"5,699,585",69.99,72.02,69.04
02/23/2026,69.47,"4,620,366",68.95,70.2,68.04
02/20/2026,69.11,"5,272,520",67.79,69.7,67.6101
02/19/2026,68.09,"7,998,283",69.81,70.22,67.02
02/18/2026,70.66,"8,957,063",73.555,73.76,70.015
02/17/2026,71.96,"6,671,984",72.11,73.1,70.75
02/13/2026,72.21,"9,388,119",70.28,72.265,69.485
02/12/2026,70.63,"12,949,590",71.05,73.63,70.17
02/11/2026,71.18,"12,273,010",69.24,71.68,68.75
02/10/2026,67.38,"19,279,260",64.735,68.8,64.1539
02/09/2026,65.1,"13,056,140",64.82,65.92,64.62
02/06/2026,65.2,"13,001,360",64.21,65.45,63.31
02/05/2026,63.1,"10,668,410",61.44,63.14,60.85
02/04/2026,62.06,"14,994,590",59.0,62.73,58.74
02/03/2026,59.43,"11,065,070",60.85,61.18,57.59
02/02/2026,61.53,"7,687,103",59.765,62.33,59.595
01/30/2026,59.89,"13,349,860",61.61,62.25,59.08
01/29/2026,62.2,"9,636,716",63.75,64.16,61.31
01/28/2026,64.93,"11,504,020",64.78,66.86,64.26
01/27/2026,62.63,"6,955,281",62.02,63.075,61.8401
01/26/2026,61.13,"6,086,827",61.81,61.82,60.495
01/23/2026,61.98,"6,633,716",63.63,63.835,60.83
01/22/2026,63.07,"8,657,275",64.98,65.77,62.67
01/21/2026,63.13,"11,093,990",61.19,63.84,60.905
01/20/2026,60.06,"6,892,133",59.34,61.22,59.15
01/16/2026,60.33,"6,094,491",61.19,61.77,60.23
01/15/2026,60.28,"7,065,502",60.68,61.99,60.24
01/14/2026,60.58,"5,828,961",59.31,61.2,59.205
01/13/2026,59.41,"6,161,478",58.8,60.48,58.6
01/12/2026,58.75,"9,511,311",61.92,61.97,58.19
01/09/2026,62.16,"8,930,418",61.61,62.77,61.02
01/08/2026,60.89,"10,150,830",61.175,61.34,59.73
01/07/2026,61.89,"14,419,190",61.25,62.34,60.5
01/06/2026,61.76,"16,542,220",61.0,62.77,60.205
01/05/2026,58.69,"10,617,050",57.52,60.065,57.33
01/02/2026,56.7,"8,044,269",55.25,57.33,55.165
12/31/2025,54.15,"3,794,197",54.24,54.6,53.995
12/30/2025,54.24,"3,055,672",54.34,54.665,54.1
12/29/2025,54.02,"3,665,396",54.6,55.02,53.5
12/26/2025,54.93,"3,433,877",55.19,55.6054,54.835
12/24/2025,55.08,"2,083,416",55.79,55.96,54.87
12/23/2025,55.69,"4,941,168",56.0,56.485,55.12
12/22/2025,56.37,"7,433,044",55.655,56.4,55.13
12/19/2025,55.21,"45,460,710",54.5,55.3,54.37
12/18/2025,54.34,"9,963,494",54.97,55.31,54.14
12/17/2025,53.33,"7,931,339",54.54,55.18,53.115
12/16/2025,54.56,"7,916,975",54.95,55.02,53.1
12/15/2025,55.09,"8,070,937",55.18,55.36,54.35
12/12/2025,54.96,"11,624,240",56.04,56.77,54.665
12/11/2025,55.97,"7,069,924",55.0,56.32,54.88
12/10/2025,55.1,"7,466,546",55.05,56.02,54.4
12/09/2025,55.23,"5,893,599",55.61,56.245,55.15
12/08/2025,56.38,"7,223,990",55.14,56.7,55.14
12/05/2025,54.74,"7,168,537",55.17,56.12,54.665
12/04/2025,54.79,"11,174,530",56.945,57.04,54.34
12/03/2025,57.15,"13,562,470",51.58,57.52,51.49
12/02/2025,51.48,"11,945,020",50.58,51.975,49.13
12/01/2025,50.43,"6,458,862",49.485,51.3299,49.2599
11/28/2025,50.24,"3,635,812",49.9,50.47,49.48
11/26/2025,49.64,"8,294,569",48.3,50.33,48.2
11/25/2025,48.31,"6,389,990",47.46,48.71,47.06
11/24/2025,47.39,"12,237,870",47.19,47.98,46.68
11/21/2025,46.7,"14,423,210",45.165,47.66,44.56
11/20/2025,44.9,"10,385,640",46.49,47.15,44.69
11/19/2025,46.12,"11,871,310",47.16,47.73,45.96
11/18/2025,45.56,"7,133,089",45.58,46.04,44.845
11/17/2025,46.02,"7,960,975",46.53,47.285,45.365
11/14/2025,46.92,"5,565,313",47.07,48.4,46.51
11/13/2025,48.13,"8,318,335",48.86,50.315,47.44
11/12/2025,49.27,"6,493,411",49.24,50.01,48.56
11/11/2025,48.43,"5,535,080",48.56,48.945,47.85
11/10/2025,48.54,"6,228,514",49.05,49.19,47.75
11/07/2025,47.83,"10,824,470",47.99,48.34,46.3117
11/06/2025,48.8,"9,214,504",49.98,50.57,47.77
11/05/2025,50.08,"8,948,689",48.85,51.18,48.54
11/04/2025,48.28,"12,690,160",50.295,51.17,47.87
11/03/2025,50.46,"18,062,240",49.53,52.26,47.99
10/31/2025,50.08,"11,637,290",51.0,51.745,49.945
10/30/2025,50.85,"9,139,649",51.18,51.875,50.83
10/29/2025,51.4,"9,858,222",52.3,52.55,51.03
10/28/2025,51.8,"6,843,350",52.5,52.58,51.095
10/27/2025,52.68,"9,288,112",51.84,54.68,51.61
10/24/2025,50.71,"8,634,418",52.5,52.62,50.67
10/23/2025,51.78,"12,574,100",50.355,52.655,50.23
10/22/2025,51.93,"11,598,910",53.19,54.52,51.6601
10/21/2025,55.08,"9,780,731",54.7,55.5,53.42
10/20/2025,54.89,"9,630,956",53.35,55.99,53.1
10/17/2025,52.53,"8,037,839",52.97,53.07,51.22
10/16/2025,52.97,"11,164,720",50.97,53.16,50.7
10/15/2025,50.36,"6,547,768",50.62,51.465,49.39
10/14/2025,49.54,"7,921,571",48.74,51.19,48.68
10/13/2025,50.11,"11,877,060",47.895,50.66,47.6001
10/10/2025,45.74,"13,823,830",50.0,50.49,45.64
10/09/2025,49.97,"5,385,608",50.88,51.15,49.12
10/08/2025,50.88,"8,823,399",48.44,51.26,48.27
10/07/2025,48.17,"8,626,426",50.49,50.66,47.73
10/06/2025,50.35,"7,677,736",50.13,50.7,48.8376
10/03/2025,49.27,"5,297,873",49.03,49.92,48.82
10/02/2025,48.74,"9,707,559",49.15,49.86,48.085
10/01/2025,48.35,"8,415,180",49.35,50.07,47.935
09/30/2025,49.31,"8,570,525",49.5,49.62,47.9
09/29/2025,49.76,"5,515,140",50.8,50.9,49.68
09/26/2025,50.16,"6,151,778",49.58,50.3799,49.125
09/25/2025,49.77,"7,393,132",50.31,50.31,49.195
09/24/2025,50.94,"5,519,657",50.42,51.48,50.13
09/23/2025,50.42,"9,373,826",51.88,52.815,50.37
09/22/2025,51.5,"6,140,682",51.23,52.18,51.07
09/19/2025,51.07,"18,145,180",51.61,51.645,50.31
09/18/2025,51.83,"10,782,400",51.4,52.615,50.67
09/17/2025,49.8,"6,154,700",49.59,51.6,49.03
09/16/2025,49.56,"8,170,092",48.5,49.84,48.33
09/15/2025,48.11,"9,330,241",48.25,48.815,47.2
09/12/2025,48.26,"4,283,176",48.94,49.12,48.05
09/11/2025,49.02,"7,051,190",48.45,49.275,48.075
09/10/2025,48.13,"6,388,249",48.65,49.53,47.725
09/09/2025,48.62,"3,953,012",48.85,49.23,48.33
09/08/2025,48.88,"4,983,188",49.61,49.61,47.84
09/05/2025,49.105,"7,221,035",48.34,50.08,47.94
09/04/2025,48.06,"6,393,528",47.64,48.22,46.62
09/03/2025,47.79,"9,988,920",48.95,49.39,46.5
09/02/2025,48.94,"6,097,805",48.15,48.96,47.63
08/29/2025,49.59,"7,524,188",50.27,50.62,49.44
08/28/2025,50.78,"7,815,435",51.96,52.22,49.75
08/27/2025,51.25,"6,143,968",50.46,51.33,50.19
08/26/2025,50.99,"5,683,585",50.85,51.445,50.17
08/25/2025,50.95,"5,665,925",51.64,51.69,50.615
08/22/2025,51.85,"9,738,338",49.33,52.325,49.33
08/21/2025,48.81,"4,746,925",48.92,49.45,48.59
