date,close,volume,open,high,low
05/15/2026,192.95,"15,747,150",190.49,196.43,188.9
05/14/2026,195.61,"22,545,000",188.18,200.709,185.45
05/13/2026,189.76,"15,789,270",189.03,191.57,185.06
05/12/2026,186.83,"22,123,410",192.92,192.92,180.8701
05/11/2026,193.84,"16,890,590",192.15,195.6822,190.6
05/08/2026,195.95,"21,158,340",192.58,198.0,190.21
05/07/2026,194.59,"31,803,160",198.61,200.15,190.8
05/06/2026,194.03,"27,685,490",186.2,194.29,182.67
05/05/2026,185.35,"23,497,240",182.125,186.52,179.0
05/04/2026,180.29,"33,504,470",176.02,183.5,174.26
05/01/2026,171.83,"26,318,020",166.42,174.3,166.15
04/30/2026,161.39,"21,016,370",162.02,165.18,160.33
04/29/2026,163.83,"20,587,500",164.04,164.76,160.65
04/28/2026,165.96,"33,716,460",162.16,168.6999,162.05
04/27/2026,172.96,"21,616,570",172.584,173.55,167.9
04/24/2026,173.28,"33,214,990",180.505,180.71,168.8
04/23/2026,176.28,"37,084,240",180.4,181.89,174.08
04/22/2026,187.5,"32,448,790",186.18,189.18,182.8
04/21/2026,181.17,"39,638,050",178.35,185.34,176.0123
04/20/2026,177.58,"22,330,910",176.81,177.76,173.51
04/17/2026,175.06,"45,282,650",182.93,184.5,173.36
04/16/2026,178.34,"46,997,280",176.42,180.27,173.8
04/15/2026,169.81,"43,010,820",166.89,172.56,166.21
04/14/2026,163.0,"59,779,840",167.93,169.4,161.56
04/13/2026,155.62,"49,997,740",139.77,155.91,139.72
04/10/2026,138.09,"26,171,810",137.32,140.165,134.57
04/09/2026,137.86,"30,407,820",142.2,142.8,136.0
04/08/2026,143.66,"23,527,030",150.3,151.46,142.9
04/07/2026,143.17,"17,250,450",143.78,144.57,139.94
04/06/2026,145.54,"12,556,730",147.44,148.55,143.85
04/02/2026,146.38,"14,381,870",142.78,146.44,140.3
04/01/2026,145.23,"20,495,870",149.09,149.65,144.67
03/31/2026,147.11,"24,491,950",140.3,147.395,139.85
03/30/2026,138.8,"20,125,730",140.04,141.2,136.95
03/27/2026,139.66,"17,929,590",140.93,141.69,138.301
03/26/2026,142.81,"16,961,880",143.89,146.47,142.54
03/25/2026,146.02,"20,683,770",149.225,149.84,144.6008
03/24/2026,147.09,"26,122,140",153.0,153.9,146.85
03/23/2026,154.34,"19,927,950",151.42,155.78,150.71
03/20/2026,149.68,"37,551,360",153.05,153.25,147.95
03/19/2026,155.52,"22,046,110",150.46,156.92,148.89
03/18/2026,152.9,"18,051,080",153.4,154.9652,152.04
03/17/2026,154.69,"23,929,460",155.44,158.92,153.5001
03/16/2026,155.97,"21,607,690",156.06,158.74,154.5104
