date,close,volume,open,high,low
05/15/2026,59.62,"16,712,330",57.93,59.7,57.56
05/14/2026,56.84,"8,768,439",56.0,57.2705,55.845
05/13/2026,56.18,"6,925,418",56.215,56.36,55.4701
05/12/2026,56.27,"10,639,150",55.8,56.425,55.17
05/11/2026,55.14,"13,719,760",54.01,55.46,54.01
05/08/2026,53.03,"12,962,030",53.91,54.25,52.985
05/07/2026,53.94,"18,219,350",53.905,54.34,53.18
05/06/2026,55.12,"20,697,290",55.52,56.69,54.74
05/05/2026,59.34,"9,435,124",59.625,60.03,59.17
05/04/2026,60.27,"10,361,570",59.25,60.385,58.7
05/01/2026,58.71,"13,859,600",60.04,60.11,57.9
04/30/2026,60.58,"12,990,350",59.59,60.75,58.93
04/29/2026,60.76,"13,771,780",59.34,60.785,58.61
04/28/2026,58.61,"12,734,570",58.1,59.0,57.9201
04/27/2026,57.27,"7,551,965",57.355,58.015,56.95
04/24/2026,57.12,"7,851,207",57.6,57.75,56.515
04/23/2026,57.83,"9,731,243",57.51,58.015,56.85
04/22/2026,57.05,"9,488,316",56.61,57.11,56.2
04/21/2026,56.33,"15,402,520",54.5,56.48,54.32
04/20/2026,54.48,"11,503,630",54.12,54.96,53.87
04/17/2026,53.79,"24,183,760",53.66,54.025,51.96
04/16/2026,56.87,"10,022,420",56.18,57.055,55.61
04/15/2026,55.83,"12,237,980",55.45,56.4,55.12
04/14/2026,55.38,"16,461,840",56.92,57.0,55.1
04/13/2026,58.06,"14,483,190",58.62,59.24,57.4
04/10/2026,57.97,"10,476,680",58.04,58.82,57.6299
04/09/2026,58.53,"15,496,730",60.1,60.73,58.2301
04/08/2026,59.77,"25,788,980",57.17,59.98,56.25
04/07/2026,62.94,"13,460,370",63.51,64.28,62.46
04/06/2026,62.96,"11,676,400",62.885,63.34,62.18
04/02/2026,62.97,"22,356,780",64.6,66.02,62.36
04/01/2026,62.23,"28,329,540",64.08,65.57,61.17
03/31/2026,65.0,"34,955,870",65.97,67.45,62.77
03/30/2026,66.24,"23,021,620",65.615,67.05,65.615
03/27/2026,65.32,"20,170,900",64.5,66.0,64.23
03/26/2026,64.36,"20,658,940",62.35,64.44,62.14
03/25/2026,61.85,"14,016,790",60.3,62.26,60.24
03/24/2026,61.25,"14,732,620",60.78,62.109,60.6
03/23/2026,60.31,"23,805,470",58.5,60.745,58.1
03/20/2026,60.71,"25,484,480",59.68,61.37,59.63
03/19/2026,59.58,"24,790,650",58.925,60.73,58.86
03/18/2026,58.38,"16,104,990",58.24,58.82,57.945
03/17/2026,57.73,"13,180,490",57.5,58.26,57.292
03/16/2026,57.25,"15,133,130",57.335,57.985,56.71
03/13/2026,57.88,"16,303,330",57.7,58.33,57.06
03/12/2026,58.41,"39,396,640",56.8,59.15,56.42
03/11/2026,55.58,"21,062,520",53.5,55.6,53.39
03/10/2026,53.12,"24,601,510",53.25,54.0,52.05
03/09/2026,55.02,"33,141,000",54.43,56.09,54.08
03/06/2026,54.19,"30,455,690",54.2,55.17,53.295
03/05/2026,53.24,"17,679,540",54.0,54.6,53.16
03/04/2026,53.61,"15,074,310",52.375,53.85,52.37
03/03/2026,53.68,"24,194,520",55.02,55.29,53.07
03/02/2026,54.21,"32,590,380",56.34,56.34,53.32
02/27/2026,53.08,"13,123,220",52.68,53.235,51.87
02/26/2026,51.43,"11,334,400",50.3,51.975,49.81
02/25/2026,50.94,"8,689,311",52.05,52.14,50.6
02/24/2026,51.95,"9,470,811",52.335,52.49,51.07
02/23/2026,52.43,"13,782,720",52.25,53.33,52.01
02/20/2026,51.84,"16,536,750",51.42,52.205,50.6
02/19/2026,51.53,"35,384,020",49.755,52.215,49.62
02/18/2026,47.11,"14,138,670",46.54,47.43,46.255
02/17/2026,45.94,"8,315,527",46.26,46.7599,45.06
02/13/2026,46.07,"8,621,486",45.3,46.525,45.27
02/12/2026,45.49,"12,430,690",47.0,47.05,44.86
02/11/2026,47.24,"11,948,480",47.0,47.69,46.83
02/10/2026,46.27,"8,482,444",46.73,46.73,46.06
02/09/2026,46.66,"6,827,824",46.25,46.807,45.97
02/06/2026,46.31,"8,746,381",44.88,46.4,44.85
02/05/2026,45.09,"11,951,460",45.75,46.04,44.52
02/04/2026,46.69,"18,471,850",45.28,46.775,45.28
02/03/2026,45.26,"11,361,420",43.985,45.3686,43.31
02/02/2026,43.8,"12,146,710",43.86,44.5,43.65
01/30/2026,45.39,"11,482,360",45.24,45.5,44.335
01/29/2026,45.42,"17,850,750",46.16,46.95,45.308
01/28/2026,44.83,"9,806,248",45.0,45.175,44.39
01/27/2026,44.55,"9,205,750",44.06,44.6,43.831
01/26/2026,43.92,"10,221,670",44.65,44.7883,43.61
01/23/2026,44.1,"11,408,180",43.79,44.48,43.69
01/22/2026,43.15,"8,623,186",43.135,43.33,42.35
01/21/2026,43.51,"9,276,357",42.715,43.9408,42.715
01/20/2026,42.24,"9,322,322",42.77,42.93,42.0533
01/16/2026,42.7,"11,064,150",43.07,43.32,42.63
01/15/2026,43.17,"14,135,360",43.53,43.91,42.8
01/14/2026,44.32,"14,345,720",43.5,45.11,43.45
01/13/2026,43.31,"14,046,380",43.34,44.15,43.0501
01/12/2026,42.72,"8,081,774",43.0,43.14,42.25
01/09/2026,42.86,"10,168,010",43.6,43.86,42.681
01/08/2026,43.23,"15,670,680",41.18,43.69,41.025
01/07/2026,40.99,"10,700,800",41.41,41.6827,40.7285
01/06/2026,41.74,"14,049,440",41.37,42.23,41.25
01/05/2026,41.23,"20,512,300",43.04,43.2,40.385
01/02/2026,42.38,"10,798,320",41.24,42.735,41.025
12/31/2025,41.12,"6,963,236",41.46,41.5,40.9915
12/30/2025,41.46,"10,912,680",40.5,41.62,40.45
12/29/2025,40.41,"10,977,360",40.09,40.43,39.895
12/26/2025,39.85,"6,111,642",39.87,40.035,39.45
12/24/2025,40.0,"3,613,582",40.1,40.23,39.94
12/23/2025,40.1,"7,796,413",40.3,40.44,39.715
12/22/2025,40.27,"10,171,960",39.91,40.4701,39.83
12/19/2025,39.62,"14,408,160",39.75,40.23,39.57
12/18/2025,39.73,"9,025,714",40.54,40.54,39.535
12/17/2025,40.63,"13,941,370",39.31,40.88,39.26
12/16/2025,38.92,"13,132,410",39.79,39.83,38.8
12/15/2025,40.19,"11,340,890",41.02,41.04,39.765
12/12/2025,41.07,"6,832,740",41.35,41.522,40.91
12/11/2025,41.2,"8,317,150",41.1,41.64,40.9
12/10/2025,41.75,"9,376,793",41.49,41.78,41.165
12/09/2025,41.55,"7,143,519",41.15,41.775,41.04
12/08/2025,41.36,"12,415,620",41.85,42.11,41.19
12/05/2025,42.43,"10,015,030",42.56,43.205,42.39
12/04/2025,42.67,"4,929,852",42.5,42.725,42.3
12/03/2025,42.45,"7,062,942",42.29,42.9,42.26
12/02/2025,41.98,"7,984,707",42.23,42.23,41.41
12/01/2025,42.34,"7,506,296",41.83,42.74,41.785
11/28/2025,42.0,"4,155,459",41.42,42.33,41.39
11/26/2025,41.42,"7,116,381",41.39,42.01,41.33
11/25/2025,41.41,"7,738,532",41.21,41.53,40.85
11/24/2025,41.43,"8,834,372",41.4,41.6,40.62
11/21/2025,41.44,"9,210,583",41.01,41.535,40.4
11/20/2025,41.21,"9,657,720",41.77,42.61,41.17
11/19/2025,41.45,"7,098,155",41.535,41.765,40.9371
11/18/2025,42.52,"7,963,240",41.5,42.66,41.2
11/17/2025,41.69,"8,093,918",42.54,42.67,41.615
11/14/2025,42.76,"8,617,291",42.025,43.085,41.92
11/13/2025,42.02,"8,678,794",42.16,42.4499,41.665
11/12/2025,41.93,"10,927,180",41.35,42.145,41.34
11/11/2025,41.85,"18,086,690",42.42,43.42,41.8
11/10/2025,41.8,"11,909,220",41.62,41.82,40.885
11/07/2025,41.31,"10,788,460",40.41,41.32,40.31
11/06/2025,40.3,"9,987,553",40.0,40.68,39.83
11/05/2025,39.75,"8,251,322",40.08,40.425,39.75
11/04/2025,40.08,"7,720,904",40.22,40.29,39.75
11/03/2025,40.92,"7,293,360",41.05,41.1,40.32
10/31/2025,41.2,"7,211,588",40.8,41.35,40.65
10/30/2025,40.7,"9,556,041",40.32,41.33,40.0942
10/29/2025,40.58,"10,870,060",40.8,41.12,40.471
10/28/2025,40.83,"13,300,100",42.0,42.11,40.81
10/27/2025,42.3,"7,546,353",42.85,42.9599,42.11
10/24/2025,42.57,"7,213,344",43.0,43.175,42.53
10/23/2025,42.88,"13,814,630",43.14,43.3479,42.72
10/22/2025,41.73,"11,053,050",41.22,41.855,40.9
10/21/2025,40.91,"8,563,785",41.0,41.345,40.615
10/20/2025,41.03,"8,810,963",40.96,41.46,40.84
10/17/2025,40.9,"9,536,635",40.8,41.07,40.52
10/16/2025,41.04,"10,736,380",41.99,42.0897,40.51
10/15/2025,41.88,"8,304,434",42.5,42.57,41.64
10/14/2025,42.28,"9,011,843",41.94,42.5282,41.52
10/13/2025,42.42,"8,521,487",42.87,42.87,42.1292
10/10/2025,42.15,"17,095,080",44.12,44.125,42.15
10/09/2025,44.52,"12,263,660",45.36,45.7436,44.4
10/08/2025,45.04,"7,592,587",45.37,45.46,44.66
10/07/2025,45.33,"8,613,801",45.25,45.41,44.805
10/06/2025,45.4,"13,261,360",45.0,45.98,44.65
10/03/2025,44.85,"17,360,500",44.97,45.33,44.57
10/02/2025,44.23,"44,032,950",47.86,47.92,43.84
10/01/2025,47.72,"9,794,106",47.455,47.99,47.125
09/30/2025,47.25,"16,686,210",47.44,49.45,46.44
09/29/2025,48.1,"18,526,890",48.25,48.88,47.685
09/26/2025,47.47,"10,208,710",47.21,48.515,47.08
09/25/2025,46.99,"7,482,261",46.66,47.205,46.46
09/24/2025,46.89,"7,333,508",46.9,47.4551,46.65
09/23/2025,46.42,"8,996,749",46.11,47.235,45.995
09/22/2025,45.76,"9,758,174",45.75,46.255,45.44
09/19/2025,46.1,"14,274,590",47.36,47.36,45.98
09/18/2025,47.36,"8,438,063",47.07,47.59,46.75
09/17/2025,47.19,"8,920,105",47.34,47.99,46.95
09/16/2025,47.76,"13,816,550",45.78,47.88,45.7
09/15/2025,45.47,"5,727,361",45.86,45.935,45.1845
09/12/2025,45.67,"5,328,082",46.26,46.55,45.655
09/11/2025,46.02,"5,064,687",45.7,46.26,45.59
09/10/2025,46.31,"7,474,738",45.13,46.31,44.98
09/09/2025,45.14,"6,085,779",45.74,46.285,45.11
09/08/2025,45.38,"7,573,718",46.15,46.225,44.77
09/05/2025,45.91,"9,840,623",46.24,46.24,45.23
09/04/2025,46.61,"7,596,309",46.3,46.7954,45.0
09/03/2025,46.3,"9,513,100",47.64,48.08,46.05
09/02/2025,48.05,"7,540,141",47.45,48.105,47.06
08/29/2025,47.61,"5,796,567",47.55,48.03,47.435
08/28/2025,47.51,"7,998,624",46.98,47.6,46.585
08/27/2025,46.87,"8,590,743",45.95,47.125,45.87
08/26/2025,46.04,"8,983,782",46.05,46.375,45.54
08/25/2025,46.4,"8,649,160",45.73,46.485,45.54
08/22/2025,45.83,"11,276,760",44.82,46.02,44.76
08/21/2025,44.56,"6,643,792",44.13,44.91,43.81
08/20/2025,44.27,"8,073,902",43.95,44.415,43.62
08/19/2025,43.96,"7,332,533",44.05,44.66,43.705
08/18/2025,44.21,"8,605,518",43.98,44.62,43.6664
08/15/2025,44.61,"8,764,760",44.69,45.065,44.335
08/14/2025,44.77,"6,943,657",44.62,44.84,43.98
08/13/2025,44.75,"8,117,371",44.04,44.785,43.88
08/12/2025,44.15,"8,264,552",43.87,44.74,43.63
08/11/2025,43.71,"8,904,141",44.35,44.45,43.62
08/08/2025,44.32,"13,395,660",43.71,44.86,43.46
08/07/2025,43.59,"19,232,380",43.9,45.13,43.52
08/06/2025,42.54,"14,901,380",43.31,43.825,42.315
08/05/2025,43.08,"7,979,618",42.99,43.13,42.445
08/04/2025,42.86,"13,041,690",42.84,43.49,42.63
08/01/2025,43.41,"14,411,580",43.59,43.725,42.53
07/31/2025,43.94,"8,419,308",43.92,44.8,43.84
07/30/2025,44.41,"7,880,396",45.12,45.23,44.04
07/29/2025,45.46,"12,012,530",45.415,45.64,44.6247
07/28/2025,45.55,"7,675,642",45.1,45.61,45.025
07/25/2025,44.71,"5,640,803",44.67,44.99,44.29
07/24/2025,44.63,"7,445,067",44.33,44.88,44.085
07/23/2025,44.44,"7,440,812",43.78,44.48,43.535
07/22/2025,43.56,"7,747,711",43.15,43.83,43.04
07/21/2025,43.0,"7,429,430",43.75,43.9,42.955
07/18/2025,43.62,"11,723,920",44.03,44.545,43.255
07/17/2025,43.55,"11,308,160",42.575,43.62,42.36
07/16/2025,42.63,"13,669,010",42.9,43.06,42.0518
07/15/2025,42.69,"29,967,090",44.94,45.14,42.48
07/14/2025,45.07,"10,955,090",45.955,45.955,44.59
07/11/2025,46.31,"7,604,573",45.69,46.44,45.61
07/10/2025,45.85,"7,672,488",45.29,45.945,44.7297
07/09/2025,45.57,"8,685,266",45.58,45.85,45.23
07/08/2025,45.75,"15,728,960",43.36,45.87,43.31
07/07/2025,43.35,"12,454,540",43.51,44.17,42.7903
07/03/2025,43.8,"4,579,235",43.75,44.06,43.65
07/02/2025,43.93,"8,795,835",43.43,44.03,42.77
07/01/2025,42.86,"10,608,100",42.065,43.24,41.65
06/30/2025,42.01,"9,624,080",42.39,42.44,41.925
06/27/2025,42.6,"20,706,990",43.3,43.3099,42.33
06/26/2025,43.16,"11,948,970",42.5,43.24,42.3651
06/25/2025,42.42,"13,625,460",42.425,42.835,42.11
06/24/2025,42.48,"20,545,110",42.63,43.55,42.155
06/23/2025,43.95,"27,895,530",46.89,47.3299,43.6
06/20/2025,45.63,"23,635,520",45.56,45.8954,45.36
06/18/2025,45.35,"15,678,170",46.26,46.8052,45.13
06/17/2025,45.98,"16,066,830",45.98,46.71,45.42
06/16/2025,45.33,"19,689,020",46.085,46.575,44.85
06/13/2025,46.45,"23,657,350",46.56,46.64,45.59
06/12/2025,44.76,"9,681,767",44.465,44.77,44.0536
06/11/2025,44.84,"9,400,328",44.37,44.965,43.84
06/10/2025,43.91,"9,153,382",43.44,44.42,43.31
06/09/2025,43.24,"9,766,707",43.0,43.625,42.715
06/06/2025,42.54,"6,850,087",42.13,42.835,42.13
06/05/2025,41.82,"7,026,625",42.275,42.32,41.7015
06/04/2025,41.91,"11,577,600",42.66,43.22,41.71
06/03/2025,42.69,"12,204,360",41.485,43.03,40.96
06/02/2025,41.44,"8,003,732",41.79,42.035,41.0
05/30/2025,40.78,"8,919,917",41.06,41.15,40.505
05/29/2025,41.46,"5,928,851",41.39,41.51,40.8846
05/28/2025,41.12,"6,722,317",41.83,42.05,41.05
05/27/2025,41.62,"7,682,357",41.5,41.65,41.06
05/23/2025,41.29,"6,511,722",40.58,41.415,40.41
05/22/2025,41.08,"8,588,484",40.825,41.33,40.155
05/21/2025,41.13,"11,243,010",41.94,41.94,41.105
05/20/2025,41.9,"5,922,230",42.31,42.36,41.72
05/19/2025,42.31,"8,309,818",42.53,42.55,41.885
05/16/2025,43.04,"7,578,976",43.66,43.7955,42.655
05/15/2025,43.37,"10,017,110",43.005,43.41,42.395
05/14/2025,43.82,"8,668,092",43.88,44.06,43.605
05/13/2025,44.39,"12,907,890",43.94,44.685,43.675
05/12/2025,43.86,"17,874,190",44.12,44.93,43.71
05/09/2025,42.16,"11,651,260",41.97,42.335,41.44
05/08/2025,41.44,"22,520,540",40.08,41.85,39.65
05/07/2025,39.01,"12,673,150",39.49,39.5216,38.715
05/06/2025,39.28,"9,333,604",39.31,39.855,38.97
05/05/2025,38.81,"15,394,620",39.7,39.71,38.75
05/02/2025,40.61,"10,594,790",40.9,41.16,39.75
05/01/2025,40.44,"10,678,160",39.315,40.82,39.23
04/30/2025,39.41,"11,058,010",39.64,39.655,38.8716
04/29/2025,40.35,"6,906,813",39.89,40.545,39.81
04/28/2025,40.51,"5,504,046",40.24,40.83,40.175
04/25/2025,40.36,"6,409,349",39.95,40.44,39.78
04/24/2025,40.37,"7,860,621",40.045,40.63,39.83
04/23/2025,39.83,"10,980,010",40.7,41.07,39.49
04/22/2025,39.97,"7,442,120",39.6,40.37,39.2301
04/21/2025,39.02,"8,489,087",39.1,39.1,38.36
04/17/2025,39.71,"13,297,470",38.95,40.5884,38.8606
04/16/2025,38.45,"11,399,440",38.0,39.275,37.975
04/15/2025,37.8,"9,350,335",37.64,38.628,37.615
04/14/2025,37.9,"12,666,750",38.7,38.77,37.405
04/11/2025,37.67,"17,827,080",36.62,37.945,35.665
04/10/2025,36.47,"26,434,130",38.66,38.68,35.825
04/09/2025,40.23,"40,101,200",35.54,40.82,34.785
04/08/2025,36.11,"24,882,070",39.7,39.825,35.35
04/07/2025,38.75,"26,817,830",38.93,40.8099,37.67
04/04/2025,40.54,"44,692,210",42.41,42.79,39.6
04/03/2025,43.9,"24,998,800",46.5,47.055,43.78
04/02/2025,49.33,"6,164,727",48.69,49.36,48.61
04/01/2025,49.19,"5,909,184",49.12,49.345,48.6
03/31/2025,49.36,"8,510,537",48.41,49.7787,48.41
03/28/2025,48.83,"7,897,846",49.47,49.49,48.23
03/27/2025,49.51,"10,818,040",49.6,50.17,49.02
03/26/2025,49.75,"11,294,880",49.52,50.47,49.275
03/25/2025,49.01,"11,109,250",48.36,49.29,48.27
03/24/2025,47.92,"10,159,540",47.62,48.55,47.56
03/21/2025,47.94,"23,304,420",47.73,48.13,47.515
03/20/2025,47.96,"9,062,264",47.63,48.16,47.17
03/19/2025,47.96,"9,812,668",47.56,48.475,47.56
03/18/2025,47.65,"8,347,383",47.7,47.85,46.93
03/17/2025,47.26,"10,750,940",46.53,47.51,46.51
03/14/2025,46.53,"12,177,350",45.75,46.72,45.6101
03/13/2025,45.45,"11,483,310",45.8,46.638,44.96
03/12/2025,46.1,"8,700,007",46.27,46.59,45.785
03/11/2025,46.28,"11,418,720",47.49,47.98,46.1
03/10/2025,47.36,"12,525,930",47.1,47.69,46.65
03/07/2025,47.24,"11,347,780",46.35,47.49,46.2
03/06/2025,45.71,"10,782,870",45.15,46.11,44.91
03/05/2025,45.51,"18,198,660",46.0,46.06,44.7
03/04/2025,46.53,"15,597,960",46.24,47.42,45.22
03/03/2025,46.45,"24,994,050",49.15,49.4,45.865
02/28/2025,48.84,"12,687,890",48.48,48.93,47.75
02/27/2025,48.65,"10,408,430",48.9,49.43,48.34
02/26/2025,48.55,"7,218,786",49.02,49.2,48.26
02/25/2025,48.89,"11,145,330",49.81,49.96,48.57
02/24/2025,49.86,"11,141,720",50.07,50.4,49.5
02/21/2025,50.42,"13,892,940",51.8,51.99,50.385
02/20/2025,52.09,"14,179,370",51.17,52.58,50.49
02/19/2025,50.99,"27,240,600",49.5,52.17,49.3
02/18/2025,48.84,"15,377,520",48.86,49.14,47.91
02/14/2025,48.06,"10,436,050",48.23,49.0876,48.01
02/13/2025,47.88,"8,550,079",47.99,48.16,47.6646
02/12/2025,47.83,"10,600,440",49.03,49.04,47.59
02/11/2025,48.61,"8,143,072",48.72,49.32,48.53
