date,close,volume,open,high,low
05/15/2026,242.83,"11,551,020",237.825,245.8,230.26
05/14/2026,238.21,"10,346,650",227.545,239.15,225.375
05/13/2026,227.79,"9,337,732",213.04,228.85,210.77
05/12/2026,215.6,"8,295,243",213.64,216.16,210.77
05/11/2026,213.66,"9,404,301",207.79,214.3,205.65
05/08/2026,207.88,"11,641,800",194.85,208.09,193.425
05/07/2026,196.53,"10,556,600",190.77,199.09,190.77
05/06/2026,183.68,"5,595,572",180.44,184.98,179.19
05/05/2026,183.98,"5,150,740",186.0,186.24,180.52
05/04/2026,184.56,"4,891,118",181.64,187.27,180.945
05/01/2026,181.08,"4,972,074",182.0,183.04,177.41
04/30/2026,179.32,"5,771,507",180.85,180.85,173.11
04/29/2026,181.54,"4,157,408",179.6,182.25,177.8
04/28/2026,180.99,"6,451,941",184.11,186.0,180.74
04/27/2026,182.9,"7,893,753",176.86,184.02,176.5
04/24/2026,178.54,"5,887,572",174.0,179.1,173.22
04/23/2026,173.21,"6,965,193",173.37,175.49,169.6
04/22/2026,181.2,"5,903,222",175.5,181.52,175.15
04/21/2026,174.96,"5,856,290",170.4,177.63,169.59
04/20/2026,169.56,"4,859,707",167.005,170.54,165.2
04/17/2026,167.85,"7,037,338",170.48,170.62,166.7
04/16/2026,166.97,"7,222,371",168.6,170.25,165.0
04/15/2026,164.11,"7,416,216",164.49,165.2299,161.69
04/14/2026,161.59,"7,415,632",163.37,165.6372,158.83
04/13/2026,162.51,"8,545,573",155.575,162.8,154.84
04/10/2026,155.73,"15,592,660",167.595,167.595,151.28
04/09/2026,166.99,"10,583,740",174.14,174.98,164.3
04/08/2026,173.78,"12,257,370",173.895,179.27,171.63
04/07/2026,169.87,"8,671,274",161.58,170.98,160.25
04/06/2026,161.95,"4,814,834",163.37,164.08,159.665
04/02/2026,163.21,"4,354,267",159.9,163.31,157.51
04/01/2026,160.67,"7,643,219",161.445,161.795,157.3
03/31/2026,160.32,"7,751,550",155.03,161.12,155.03
03/30/2026,154.35,"12,198,800",151.945,159.16,151.465
03/27/2026,147.02,"11,431,350",147.55,149.37,143.5
03/26/2026,156.36,"6,081,967",152.24,159.39,152.2001
03/25/2026,153.22,"6,349,987",159.7,160.31,152.79
03/24/2026,157.21,"7,143,081",162.09,162.8,156.14
03/23/2026,164.05,"7,218,791",164.43,166.35,162.455
03/20/2026,162.95,"16,455,410",169.19,169.19,161.89
03/19/2026,169.74,"6,558,167",168.86,171.7,168.0
03/18/2026,168.91,"5,789,554",168.05,171.805,167.5
03/17/2026,169.19,"5,520,394",167.9,172.025,167.55
03/16/2026,167.45,"5,985,123",167.74,168.28,166.15
03/13/2026,167.015,"6,258,637",168.9,171.17,165.8028
03/12/2026,168.12,"7,961,542",166.28,168.74,165.43
03/11/2026,164.93,"5,487,235",166.65,169.08,163.38
03/10/2026,165.58,"6,846,981",165.5,167.0,160.8316
03/09/2026,165.1,"9,194,273",164.08,167.76,163.49
03/06/2026,165.05,"7,202,500",162.32,165.3599,161.31
03/05/2026,163.16,"9,220,461",159.13,164.7,158.48
03/04/2026,158.56,"9,541,859",156.06,160.295,154.75
03/03/2026,156.09,"10,319,540",149.07,156.83,147.86
03/02/2026,150.15,"8,281,324",147.9,151.86,146.01
02/27/2026,148.92,"9,430,627",147.165,148.99,143.6701
02/26/2026,149.4,"12,124,940",146.91,151.29,144.81
02/25/2026,144.84,"11,157,850",142.725,145.36,140.3
02/24/2026,141.67,"23,692,180",142.93,147.52,139.5706
02/23/2026,144.14,"20,861,540",147.72,148.63,143.3
02/20/2026,148.7,"25,857,840",150.355,158.17,148.4
02/19/2026,150.99,"13,545,800",152.48,152.6797,148.1501
