date,close,volume,open,high,low
05/14/2026,88.83,"2,857,485",89.97,90.91,88.65
05/13/2026,89.92,"5,243,419",91.49,91.81,87.43
05/12/2026,93.71,"3,558,465",94.71,95.2,92.81
05/11/2026,93.88,"3,404,703",93.09,94.37,92.4517
05/08/2026,93.93,"2,446,658",93.69,94.67,92.0
05/07/2026,94.26,"3,964,920",91.19,95.055,91.0
05/06/2026,91.38,"4,140,599",91.64,91.985,90.54
05/05/2026,92.85,"2,816,126",92.55,93.1,90.89
05/04/2026,92.48,"2,388,374",93.05,94.4,92.02
05/01/2026,93.02,"2,198,526",93.73,94.55,91.675
04/30/2026,92.63,"3,130,663",92.92,93.78,91.82
04/29/2026,94.05,"3,692,342",93.14,94.105,90.645
04/28/2026,90.99,"3,006,762",91.37,92.29,90.165
04/27/2026,89.93,"3,032,496",89.8,91.11,89.535
04/24/2026,89.82,"3,081,305",90.43,90.9299,89.19
04/23/2026,90.95,"2,545,407",92.41,92.62,89.41
04/22/2026,93.43,"3,066,845",93.38,94.31,92.54
04/21/2026,93.68,"3,294,954",93.08,95.4,92.62
04/20/2026,93.09,"3,595,935",91.96,93.34,91.59
04/17/2026,91.96,"3,215,601",93.075,93.3,91.175
04/16/2026,92.13,"3,740,291",91.22,92.76,90.88
04/15/2026,90.26,"3,088,584",89.39,91.06,88.75
04/14/2026,88.85,"2,883,607",89.32,90.2,88.6227
04/13/2026,89.32,"4,437,045",85.69,89.47,85.69
04/10/2026,85.57,"3,686,529",87.8,88.0,85.45
04/09/2026,87.86,"3,493,088",89.13,89.21,86.84
04/08/2026,89.89,"3,211,636",91.72,92.97,89.651
04/07/2026,91.61,"3,039,652",91.64,92.87,90.82
04/06/2026,91.85,"2,571,729",91.37,92.185,90.565
04/02/2026,91.7,"4,514,300",91.15,92.29,89.675
04/01/2026,90.91,"5,971,081",91.74,92.31,89.69
03/31/2026,92.12,"4,515,701",94.03,94.5,91.95
03/30/2026,93.12,"3,749,401",91.66,93.64,91.56
03/27/2026,91.68,"3,583,857",93.25,93.25,90.54
03/26/2026,93.59,"5,360,412",93.07,96.24,93.02
03/25/2026,93.36,"7,975,162",95.21,95.49,89.01
03/24/2026,90.61,"5,142,198",92.86,93.0,89.98
03/23/2026,93.5,"4,935,336",93.3,94.66,92.79
03/20/2026,92.55,"11,215,080",91.34,93.35,91.065
03/19/2026,91.71,"4,642,242",91.12,93.4763,91.03
03/18/2026,90.64,"3,911,629",91.35,92.35,90.57
03/17/2026,92.43,"2,817,613",93.8,95.09,92.13
03/16/2026,93.1,"2,604,469",92.67,93.86,92.5
03/13/2026,92.61,"2,914,638",92.37,92.75,91.53
03/12/2026,91.67,"3,994,295",94.11,95.84,91.65
03/11/2026,94.0,"3,439,183",95.71,96.625,93.18
03/10/2026,95.12,"3,415,048",97.8,98.17,94.17
03/09/2026,98.3,"4,489,981",99.52,99.79,97.095
03/06/2026,100.85,"5,008,005",97.57,101.02,96.31
03/05/2026,98.38,"4,169,701",95.89,98.67,95.81
03/04/2026,95.79,"2,694,032",95.226,96.42,94.82
03/03/2026,95.56,"3,043,871",93.5,96.37,92.96
03/02/2026,94.25,"3,775,278",92.9,94.46,92.13
02/27/2026,93.65,"7,012,660",93.175,94.25,91.36
02/26/2026,94.48,"5,650,105",91.99,94.78,91.56
02/25/2026,91.23,"3,503,734",88.9,91.31,88.55
02/24/2026,88.48,"4,120,897",87.36,90.33,86.89
