date,close,volume,open,high,low
05/15/2026,110.32,"2,732,613",112.08,112.35,109.83
05/14/2026,112.6,"2,229,151",112.45,113.245,111.93
05/13/2026,111.78,"1,965,255",112.46,113.13,111.56
05/12/2026,113.03,"2,079,479",112.81,113.38,111.23
05/11/2026,112.96,"2,440,556",114.16,114.5599,112.24
05/08/2026,114.31,"2,028,856",114.46,114.915,113.56
05/07/2026,114.05,"2,358,444",116.26,117.39,113.97
05/06/2026,116.51,"2,869,951",115.49,117.1,114.82
05/05/2026,113.42,"2,633,083",114.82,115.04,112.6901
05/04/2026,114.37,"2,472,557",115.29,116.57,113.87
05/01/2026,116.08,"2,692,894",118.7,118.99,116.02
04/30/2026,118.8,"2,821,704",118.46,120.22,118.1201
04/29/2026,118.14,"3,402,931",119.595,121.7,117.87
04/28/2026,119.61,"6,218,806",128.3,128.3,118.42
04/27/2026,127.2,"4,051,001",125.71,128.579,125.555
04/24/2026,127.0,"2,725,047",126.61,127.73,125.2001
04/23/2026,126.97,"3,322,779",126.46,128.71,126.11
04/22/2026,125.27,"2,317,466",126.54,127.89,124.53
04/21/2026,126.18,"2,985,738",128.19,129.31,125.25
04/20/2026,128.31,"2,259,134",126.11,128.485,125.62
04/17/2026,126.25,"3,076,701",125.85,127.885,125.0
04/16/2026,124.37,"2,789,036",123.1,125.0,123.1
04/15/2026,123.48,"2,974,989",125.24,125.27,121.81
04/14/2026,125.43,"3,169,654",127.01,127.09,123.61
04/13/2026,127.38,"2,332,223",127.19,127.5,125.63
04/10/2026,127.19,"2,468,191",127.39,127.94,126.47
04/09/2026,127.05,"2,331,812",124.18,127.3,123.7233
04/08/2026,124.19,"3,011,109",120.3,124.43,120.3
04/07/2026,118.2,"1,780,259",117.68,118.455,117.0
04/06/2026,118.32,"2,095,083",117.88,118.685,117.435
04/02/2026,118.32,"2,068,388",115.72,118.59,115.24
04/01/2026,117.65,"2,646,363",115.775,118.0,115.775
03/31/2026,115.5,"2,459,989",113.77,116.39,113.11
03/30/2026,112.47,"2,193,613",114.01,114.01,112.03
03/27/2026,112.75,"2,377,108",115.19,115.23,112.535
03/26/2026,115.33,"2,492,712",116.09,117.07,115.04
03/25/2026,116.34,"2,967,913",116.97,117.59,116.21
03/24/2026,115.8,"1,860,478",113.11,117.015,112.99
03/23/2026,114.32,"2,848,582",114.55,115.075,112.85
03/20/2026,111.26,"5,411,862",112.62,113.37,110.36
03/19/2026,112.85,"2,520,769",114.42,114.77,112.16
03/18/2026,114.69,"1,727,421",115.43,116.0,114.0
03/17/2026,115.43,"1,867,395",115.71,116.69,114.5
03/16/2026,115.63,"2,603,662",116.23,116.51,114.145
03/13/2026,115.34,"2,629,933",117.82,118.09,114.94
03/12/2026,116.82,"2,690,607",117.33,118.88,116.68
03/11/2026,118.12,"1,812,112",118.3,118.57,116.78
03/10/2026,119.02,"2,122,356",120.27,121.2,118.79
03/09/2026,120.67,"3,473,602",118.79,121.17,116.55
03/06/2026,120.43,"3,453,544",120.87,121.78,119.935
03/05/2026,123.34,"3,734,738",123.19,123.55,121.11
03/04/2026,124.92,"4,848,032",124.56,126.08,123.75
03/03/2026,121.19,"2,649,649",123.05,123.05,120.58
03/02/2026,124.43,"2,655,022",124.64,125.405,122.12
02/27/2026,126.09,"5,249,550",123.09,126.17,122.67
02/26/2026,124.08,"3,847,075",125.17,126.06,123.655
02/25/2026,124.58,"3,831,051",126.71,127.239,123.89
02/24/2026,126.25,"3,375,954",125.93,127.17,125.53
02/23/2026,126.06,"2,461,333",127.84,129.96,125.04
02/20/2026,128.46,"3,452,150",124.14,128.48,123.82
02/19/2026,124.9,"3,799,157",125.12,125.33,124.0
02/18/2026,125.17,"3,285,218",126.81,127.17,124.9
02/17/2026,126.52,"2,850,242",126.81,127.75,125.98
02/13/2026,127.0,"3,367,611",124.8,127.59,124.395
02/12/2026,124.84,"3,784,899",130.37,130.7,124.67
02/11/2026,129.48,"3,286,753",126.73,130.19,126.63
02/10/2026,127.07,"2,281,631",127.18,128.0,126.4
02/09/2026,127.26,"3,069,303",126.725,127.74,125.31
02/06/2026,127.35,"4,392,346",127.62,128.9399,126.34
02/05/2026,127.42,"4,253,330",128.1,128.77,126.4401
02/04/2026,128.78,"6,078,120",129.22,131.875,127.98
02/03/2026,127.9,"4,138,226",124.85,128.42,124.85
02/02/2026,124.61,"2,944,728",122.04,124.71,121.84
01/30/2026,122.91,"2,373,966",121.89,123.2675,120.88
01/29/2026,123.32,"4,478,526",123.24,124.16,121.75
