date,close,volume,open,high,low
05/15/2026,25.33,"37,110,080",25.75,25.83,25.24
05/14/2026,25.75,"24,102,660",26.07,26.1,25.72
05/13/2026,25.96,"39,419,960",25.8,26.09,25.64
05/12/2026,25.87,"26,819,530",25.82,26.09,25.74
05/11/2026,25.81,"43,557,960",25.79,26.18,25.68
05/08/2026,25.68,"38,903,360",26.16,26.195,25.6
05/07/2026,26.48,"48,345,970",26.51,26.72,26.16
05/06/2026,26.53,"40,357,070",26.56,26.68,26.21
05/05/2026,26.45,"57,656,110",26.59,26.75,26.01
05/04/2026,26.3,"34,583,350",26.24,26.51,26.15
05/01/2026,26.33,"29,318,720",26.6,26.61,26.29
04/30/2026,26.7,"39,082,930",26.389,26.91,26.275
04/29/2026,26.26,"29,969,700",26.36,26.55,26.2
04/28/2026,26.48,"58,079,040",27.53,27.58,26.32
04/27/2026,26.79,"34,764,210",27.055,27.345,26.79
04/24/2026,27.0,"42,500,210",26.69,27.299,26.58
04/23/2026,26.67,"38,718,410",26.76,26.83,26.38
04/22/2026,26.8,"35,246,790",27.35,27.39,26.74
04/21/2026,27.31,"29,833,010",27.52,27.62,27.2
04/20/2026,27.52,"25,023,000",27.585,27.845,27.51
04/17/2026,27.56,"30,080,410",27.33,27.67,27.12
04/16/2026,27.22,"21,905,300",27.205,27.48,27.15
04/15/2026,27.19,"29,648,940",27.18,27.36,26.97
04/14/2026,27.11,"24,558,930",27.2,27.31,27.075
04/13/2026,27.34,"44,156,220",26.83,27.57,26.68
04/10/2026,26.92,"27,882,380",27.32,27.36,26.77
04/09/2026,27.22,"27,047,560",27.21,27.5,27.18
04/08/2026,27.47,"33,789,070",27.25,27.49,26.965
04/07/2026,27.1,"46,620,510",27.66,27.68,26.78
04/06/2026,27.83,"25,169,260",28.19,28.23,27.81
04/02/2026,28.32,"30,920,610",28.5,28.745,28.22
04/01/2026,28.55,"44,208,490",28.27,28.64,28.04
03/31/2026,28.08,"44,841,500",27.99,28.31,27.785
03/30/2026,27.77,"46,696,030",27.42,27.82,27.15
03/27/2026,27.04,"29,124,600",27.73,27.77,27.02
03/26/2026,27.57,"28,834,960",27.25,27.805,27.24
03/25/2026,27.28,"37,603,860",27.18,27.53,27.04
03/24/2026,26.96,"35,605,270",26.6,27.13,26.44
03/23/2026,26.77,"42,945,220",27.03,27.19,26.63
03/20/2026,26.97,"66,805,680",27.41,27.55,26.8
03/19/2026,27.41,"47,939,550",27.29,27.73,27.25
03/18/2026,27.32,"47,478,270",27.14,27.38,26.835
03/17/2026,27.45,"60,097,470",26.815,27.76,26.815
03/16/2026,26.61,"28,551,480",26.695,26.89,26.52
03/13/2026,26.58,"34,270,810",27.02,27.28,26.575
03/12/2026,26.86,"38,542,830",27.11,27.12,26.63
03/11/2026,27.3,"40,560,130",27.2,27.41,27.0
03/10/2026,27.16,"42,814,600",26.82,27.29,26.52
03/09/2026,26.81,"42,789,540",26.91,27.11,26.355
03/06/2026,27.05,"53,181,850",26.54,27.13,26.23
03/05/2026,26.61,"38,908,620",26.39,26.71,26.2
03/04/2026,26.62,"30,893,520",26.765,26.78,26.35
03/03/2026,26.58,"41,486,090",26.72,26.95,26.35
03/02/2026,27.26,"41,321,690",27.57,27.61,27.17
02/27/2026,27.65,"41,879,690",27.155,27.67,27.0901
02/26/2026,27.1,"30,508,280",27.26,27.27,26.87
02/25/2026,27.09,"32,680,320",27.055,27.29,26.73
02/24/2026,27.14,"34,686,060",27.14,27.42,27.08
02/23/2026,27.06,"34,166,080",26.555,27.105,26.5
02/20/2026,26.65,"44,786,930",26.71,26.775,26.355
