date,close,volume,open,high,low
05/15/2026,100.53,"2,022,282",100.57,100.85,98.59
05/14/2026,100.77,"868,120",100.75,101.6211,100.42
05/13/2026,100.42,"926,414",100.6,100.85,99.955
05/12/2026,100.84,"1,179,972",99.81,100.98,99.03
05/11/2026,100.19,"1,065,647",100.79,101.5,100.0
05/08/2026,100.5,"1,022,137",100.41,101.36,99.6
05/07/2026,100.03,"1,092,606",101.4,102.0,99.61
05/06/2026,101.55,"1,007,023",101.65,103.0,101.065
05/05/2026,100.87,"935,636",99.74,101.315,99.565
05/04/2026,99.46,"1,218,784",100.32,101.205,99.045
05/01/2026,101.09,"1,114,774",100.05,101.9,99.935
04/30/2026,100.91,"1,256,764",99.65,101.12,98.41
04/29/2026,99.63,"1,284,413",99.6,101.02,99.09
04/28/2026,100.06,"1,309,361",100.69,101.25,99.7201
04/27/2026,99.74,"1,368,052",99.12,100.901,99.12
04/24/2026,99.34,"2,395,581",100.59,101.535,98.52
04/23/2026,97.0,"1,663,996",96.48,98.4368,95.8
04/22/2026,97.43,"1,605,911",96.03,97.63,94.805
04/21/2026,95.73,"1,827,520",95.97,97.45,95.41
04/20/2026,96.19,"1,202,380",95.56,97.02,95.56
04/17/2026,96.17,"1,259,173",94.71,96.535,94.415
04/16/2026,93.98,"1,223,778",94.63,95.39,93.64
04/15/2026,94.68,"1,676,241",94.5,95.37,93.76
04/14/2026,94.14,"1,145,355",93.55,94.5,93.155
04/13/2026,93.55,"1,195,734",91.48,93.69,90.62
04/10/2026,91.8,"969,362",91.91,92.2708,91.1
04/09/2026,92.32,"1,766,459",93.48,94.5,92.175
04/08/2026,94.2,"1,997,237",92.87,94.93,92.39
04/07/2026,91.06,"1,425,379",90.25,91.385,89.555
04/06/2026,91.11,"962,600",89.76,91.14,89.3
04/02/2026,90.1,"856,992",88.85,91.105,88.26
04/01/2026,90.08,"1,167,215",90.44,91.26,89.625
03/31/2026,90.11,"1,038,022",89.41,91.18,88.55
03/30/2026,88.23,"1,174,859",88.08,89.42,87.205
03/27/2026,87.01,"1,321,722",88.56,89.135,86.81
03/26/2026,88.94,"1,529,225",88.6,90.0,87.8
03/25/2026,88.72,"897,023",88.57,89.2,87.67
03/24/2026,87.72,"1,165,557",85.69,88.42,85.495
03/23/2026,86.55,"1,507,800",87.0,87.49,85.645
03/20/2026,85.07,"8,210,737",85.89,86.1,84.95
03/19/2026,85.9,"1,402,098",86.44,86.99,85.13
03/18/2026,86.68,"1,027,384",87.31,88.07,86.55
03/17/2026,87.73,"1,351,882",87.29,88.99,87.115
03/16/2026,86.45,"1,287,633",86.78,87.6405,86.38
03/13/2026,85.83,"1,352,784",86.95,87.445,85.8
03/12/2026,86.19,"1,412,823",86.66,87.75,86.07
03/11/2026,88.2,"1,611,977",88.52,89.74,87.145
03/10/2026,89.73,"1,758,191",90.71,91.715,89.38
03/09/2026,90.61,"2,288,932",90.96,91.205,87.955
03/06/2026,92.26,"1,530,137",91.57,93.04,89.62
03/05/2026,93.5,"1,250,814",92.73,94.1,92.325
03/04/2026,93.5,"1,430,740",93.64,94.13,92.91
03/03/2026,93.67,"1,537,717",92.66,94.29,90.785
03/02/2026,95.83,"1,329,716",94.14,97.3,93.36
02/27/2026,95.42,"3,749,112",96.73,97.46,93.23
02/26/2026,97.5,"1,741,690",94.99,97.59,94.99
02/25/2026,94.68,"1,470,323",95.085,95.265,93.82
02/24/2026,94.85,"2,732,265",92.69,96.235,92.69
02/23/2026,92.69,"2,576,770",95.29,96.34,91.76
02/20/2026,95.76,"2,935,055",92.15,95.77,91.6368
02/19/2026,92.15,"1,114,134",92.45,92.93,90.84
02/18/2026,92.45,"1,402,413",91.98,93.34,91.2708
02/17/2026,91.98,"1,555,537",90.53,92.375,90.09
02/13/2026,90.39,"1,531,522",90.51,91.06,89.24
02/12/2026,90.51,"1,787,281",93.12,94.12,89.72
02/11/2026,92.81,"1,496,306",93.64,94.57,91.9001
02/10/2026,93.64,"3,061,501",94.48,95.91,91.52
02/09/2026,95.93,"2,162,165",96.84,97.705,95.725
02/06/2026,97.34,"1,530,645",96.33,97.88,96.0925
02/05/2026,95.5,"1,732,118",95.91,97.57,95.1601
02/04/2026,96.4,"1,521,691",95.19,96.77,95.08
02/03/2026,95.29,"1,450,927",96.0,97.41,94.775
02/02/2026,96.0,"1,330,161",94.57,96.38,94.28
01/30/2026,94.72,"1,888,234",91.58,95.14,91.58
01/29/2026,94.76,"2,151,019",94.65,95.4,93.87
01/28/2026,94.05,"1,637,907",92.23,94.34,91.98
