date,close,volume,open,high,low
05/15/2026,199.73,"3,297,683",199.12,202.66,198.785
05/14/2026,196.88,"2,074,565",196.76,198.85,196.4801
05/13/2026,195.96,"2,559,842",196.64,200.58,195.69
05/12/2026,198.42,"2,492,568",196.79,200.39,195.74
05/11/2026,196.91,"2,387,555",195.62,196.9799,194.0
05/08/2026,194.0,"3,308,998",195.68,196.59,191.75
05/07/2026,195.75,"3,226,019",195.66,197.86,194.2
05/06/2026,196.8,"3,063,303",197.84,200.65,196.78
05/05/2026,197.74,"2,860,957",198.63,199.8,196.25
05/04/2026,199.24,"2,296,328",199.0,201.63,197.72
05/01/2026,199.31,"1,670,206",202.99,203.3,199.3
04/30/2026,201.28,"2,467,687",198.24,201.56,196.15
04/29/2026,200.66,"1,886,547",203.09,203.71,200.061
04/28/2026,203.03,"1,879,148",204.37,204.76,200.93
04/27/2026,201.98,"2,090,648",199.37,204.415,199.37
04/24/2026,200.89,"1,916,523",203.75,204.98,200.2701
04/23/2026,205.33,"2,041,024",202.86,206.86,202.0
04/22/2026,202.71,"2,427,428",206.72,207.95,202.31
04/21/2026,207.5,"2,900,729",204.175,208.46,203.0
04/20/2026,203.78,"2,541,144",202.82,206.21,201.95
04/17/2026,202.58,"3,150,512",203.41,206.12,202.43
04/16/2026,203.47,"2,914,118",201.01,205.29,200.25
04/15/2026,201.23,"4,866,104",199.16,203.12,195.51
04/14/2026,196.59,"3,276,352",198.14,199.58,196.57
04/13/2026,199.57,"2,844,243",194.0,199.8,193.84
04/10/2026,194.13,"3,126,501",199.68,200.255,193.06
04/09/2026,199.88,"2,398,467",196.51,200.33,196.21
04/08/2026,198.09,"1,883,151",197.12,199.526,195.375
04/07/2026,196.85,"2,877,407",196.63,198.32,194.585
04/06/2026,196.38,"1,608,900",194.66,196.48,194.155
04/02/2026,195.25,"2,177,466",193.75,195.64,192.18
04/01/2026,193.36,"3,182,762",197.16,197.7,192.02
03/31/2026,198.24,"3,161,702",201.74,201.74,196.375
03/30/2026,201.39,"2,687,622",199.57,203.565,199.11
03/27/2026,198.84,"2,218,806",203.25,203.74,198.05
03/26/2026,202.9,"2,079,791",204.35,206.31,202.71
03/25/2026,202.84,"2,932,044",204.93,207.7,202.185
03/24/2026,206.21,"3,521,502",205.24,208.1,204.51
03/23/2026,205.1,"3,793,423",206.09,207.6701,202.81
03/20/2026,206.0,"7,866,359",202.39,207.0056,202.26
03/19/2026,202.68,"3,158,636",203.54,204.66,198.75
03/18/2026,201.17,"2,887,804",203.64,206.37,200.82
03/17/2026,203.79,"2,831,934",206.37,208.38,203.41
03/16/2026,204.71,"2,715,273",205.37,207.67,204.405
