date,close,volume,open,high,low
05/15/2026,212.08,"496,481",218.57,218.605,211.593
05/14/2026,220.1,"618,110",219.69,222.11,217.33
05/13/2026,218.22,"589,499",222.68,223.97,217.94
05/12/2026,219.95,"630,035",221.71,223.47,215.18
05/11/2026,221.52,"504,629",225.19,225.43,221.36
05/08/2026,224.59,"456,234",225.08,227.16,223.2265
05/07/2026,223.43,"566,766",227.04,228.4,223.27
05/06/2026,226.82,"710,130",226.71,231.27,226.59
05/05/2026,222.71,"827,606",218.83,224.89,217.1901
05/04/2026,218.06,"886,514",220.5,221.8,217.87
05/01/2026,218.06,"843,877",216.65,218.28,212.4
04/30/2026,213.45,"1,075,333",214.37,217.7,211.72
04/29/2026,216.05,"975,296",222.23,222.945,216.04
04/28/2026,222.59,"1,558,181",214.14,224.57,210.46
04/27/2026,212.54,"818,978",212.79,214.92,210.11
04/24/2026,212.87,"1,091,660",212.1,216.48,209.41
04/23/2026,215.02,"1,899,394",212.94,222.72,212.195
04/22/2026,205.24,"945,103",211.25,211.955,201.865
04/21/2026,210.53,"715,749",213.85,214.5,210.04
04/20/2026,213.41,"897,986",213.33,215.3,211.77
04/17/2026,213.39,"967,973",210.0,217.17,209.655
04/16/2026,207.62,"623,379",206.57,207.93,205.19
04/15/2026,207.07,"821,656",209.54,210.04,204.685
04/14/2026,209.93,"823,837",210.86,212.2,208.52
04/13/2026,210.48,"879,186",205.63,211.15,204.8
04/10/2026,206.38,"584,079",208.79,208.81,204.58
04/09/2026,208.12,"830,246",209.12,210.85,205.62
04/08/2026,211.05,"818,740",208.27,211.98,208.27
04/07/2026,203.51,"664,037",202.5,204.29,201.56
04/06/2026,205.4,"445,439",203.57,206.04,202.9377
04/02/2026,204.46,"1,083,870",208.09,210.78,202.18
04/01/2026,211.27,"691,588",214.21,215.83,211.1301
03/31/2026,212.22,"785,363",211.64,213.35,208.13
03/30/2026,209.04,"709,292",214.1,214.1,208.91
03/27/2026,212.25,"630,328",211.67,213.02,210.83
03/26/2026,212.6,"807,797",211.46,215.16,210.35
