date,close,volume,open,high,low
05/15/2026,133.99,"32,629,750",132.8,135.64,132.2901
05/14/2026,133.73,"37,052,600",129.65,134.48,129.45
05/13/2026,130.05,"55,189,400",134.006,136.99,128.75
05/12/2026,136.0,"38,781,120",136.6,137.43,133.46
05/11/2026,136.89,"41,414,470",134.91,137.14,132.771
05/08/2026,137.8,"41,745,390",135.865,137.88,133.02
05/07/2026,137.05,"50,184,870",135.1,140.95,134.78
05/06/2026,133.79,"55,524,830",133.71,135.7,131.1501
05/05/2026,135.91,"89,747,090",140.295,142.98,134.72
05/04/2026,146.03,"70,525,850",147.75,149.64,145.225
05/01/2026,144.07,"33,219,900",143.25,146.44,141.39
04/30/2026,139.11,"32,523,580",138.475,140.2,136.65
04/29/2026,137.97,"33,348,060",139.76,139.76,134.68
04/28/2026,141.18,"24,757,210",142.3,143.85,140.4201
04/27/2026,143.1,"31,275,430",141.25,145.07,141.01
04/24/2026,143.09,"38,677,160",142.96,143.33,138.93
04/23/2026,141.57,"58,654,420",149.7,150.29,139.92
04/22/2026,152.62,"43,701,460",148.36,152.68,147.41
04/21/2026,145.97,"44,829,990",146.81,149.87,143.999
04/20/2026,145.89,"33,482,670",145.0,147.2,143.83
04/17/2026,146.39,"50,657,590",145.315,148.28,143.3
04/16/2026,142.76,"43,746,000",144.29,145.55,139.53
04/15/2026,142.15,"48,389,450",136.79,142.58,134.93
04/14/2026,135.7,"52,786,830",134.427,138.07,134.0
04/13/2026,132.37,"65,772,820",130.23,134.4199,129.15
04/10/2026,128.06,"116,656,800",128.48,129.2,122.68
04/09/2026,130.49,"92,361,440",139.395,139.54,128.47
04/08/2026,140.76,"64,827,660",154.765,156.28,139.1701
04/07/2026,150.07,"28,671,080",146.882,150.27,144.45
04/06/2026,147.93,"25,142,250",148.36,150.61,146.6308
04/02/2026,148.46,"30,436,960",143.485,148.51,137.99
04/01/2026,146.49,"34,170,990",147.0,148.3,144.47
03/31/2026,146.28,"45,558,570",140.02,147.8599,138.97
03/30/2026,137.55,"41,289,820",143.27,144.12,136.3
03/27/2026,143.06,"35,790,820",145.88,145.96,141.56
03/26/2026,147.56,"43,038,430",153.055,153.12,147.25
03/25/2026,154.96,"38,543,290",157.42,160.27,154.855
03/24/2026,154.78,"56,155,680",160.07,162.4,151.64
03/23/2026,160.84,"57,507,060",153.24,161.08,153.24
03/20/2026,150.68,"48,700,190",155.2,156.65,149.09
03/19/2026,155.68,"33,915,880",153.1,156.15,150.5
03/18/2026,152.77,"32,476,680",154.945,156.69,152.61
03/17/2026,155.08,"37,118,460",152.405,156.75,152.12
03/16/2026,152.72,"32,898,950",152.45,153.86,151.17
03/13/2026,150.95,"42,460,570",153.3,154.56,148.58
03/12/2026,153.5,"54,409,800",153.01,155.88,150.98
03/11/2026,151.6,"33,955,900",151.38,153.169,149.3304
03/10/2026,151.14,"47,501,390",155.99,156.6571,150.14
03/09/2026,156.43,"47,574,200",155.69,158.44,152.97
03/06/2026,157.16,"74,980,860",150.44,161.45,150.29
03/05/2026,152.67,"50,714,510",152.94,156.38,149.61
03/04/2026,153.19,"60,062,170",148.43,154.52,148.06
03/03/2026,147.22,"67,460,190",142.1,147.5,138.2
03/02/2026,145.17,"72,683,880",140.775,147.14,140.52
02/27/2026,137.19,"59,412,400",134.07,138.1,133.98
02/26/2026,135.94,"45,100,010",133.845,137.51,132.63
02/25/2026,134.19,"53,078,290",130.61,136.09,129.18
02/24/2026,128.84,"47,121,440",129.005,130.24,126.37
02/23/2026,130.6,"52,512,160",132.04,132.04,127.39
02/20/2026,135.24,"53,726,810",132.365,136.21,131.17
02/19/2026,134.89,"42,197,240",132.31,136.16,131.01
02/18/2026,135.38,"59,677,080",135.89,140.9625,134.87
02/17/2026,133.02,"48,407,140",128.895,134.32,127.29
02/13/2026,131.41,"49,438,050",127.9,133.56,126.2325
02/12/2026,129.13,"74,090,640",135.36,135.89,126.56
02/11/2026,135.68,"52,796,050",139.025,139.25,132.95
02/10/2026,139.51,"56,061,310",144.965,145.5599,137.77
02/09/2026,142.91,"58,042,460",136.58,145.87,134.776
02/06/2026,135.9,"62,661,430",135.33,137.6871,132.35
02/05/2026,130.01,"93,690,790",136.82,137.98,128.32
02/04/2026,139.54,"113,199,500",155.41,155.85,135.68
02/03/2026,157.88,"113,169,200",165.05,165.078,153.12
02/02/2026,147.76,"72,811,150",150.94,151.4,146.654
01/30/2026,146.59,"47,271,040",150.05,151.0,145.139
01/29/2026,151.86,"59,846,810",157.63,157.63,147.12
01/28/2026,157.35,"44,822,850",164.4,165.045,157.24
01/27/2026,165.7,"26,542,310",167.48,169.44,164.69
01/26/2026,167.47,"22,777,160",168.21,170.5897,167.325
01/23/2026,169.6,"30,285,670",167.27,172.0,166.3
01/22/2026,165.9,"28,499,470",168.925,169.0,164.95
01/21/2026,165.33,"47,851,220",168.402,169.49,161.11
01/20/2026,168.53,"36,708,500",167.625,171.97,166.24
01/16/2026,170.96,"59,483,600",179.36,182.43,170.01
01/15/2026,177.07,"31,109,180",178.71,180.6,176.5301
01/14/2026,178.4,"33,651,400",178.125,181.5975,173.95
01/13/2026,178.96,"27,769,350",178.875,181.1,176.14
01/12/2026,179.41,"34,954,540",177.685,182.5,176.34
01/09/2026,177.49,"31,362,890",177.02,178.72,174.75
01/08/2026,176.86,"47,304,290",185.615,185.66,174.37
01/07/2026,181.68,"45,349,010",179.8,187.28,177.66
01/06/2026,179.71,"34,838,610",175.76,180.19,174.7701
01/05/2026,174.04,"39,511,690",174.88,175.82,171.79
01/02/2026,167.86,"60,634,070",181.3,181.35,166.35
12/31/2025,177.75,"22,997,440",181.13,181.53,177.25
12/30/2025,180.84,"23,336,310",184.35,184.7289,180.7
12/29/2025,184.18,"28,242,000",186.85,187.2,183.64
12/26/2025,188.71,"26,261,990",195.015,196.35,188.62
12/24/2025,194.17,"11,710,130",193.16,195.17,192.83
12/23/2025,194.13,"24,040,970",192.825,195.37,191.7351
12/22/2025,193.98,"36,686,040",195.04,198.88,192.43
12/19/2025,193.38,"76,929,380",186.74,195.0,186.73
12/18/2025,185.69,"40,221,480",181.51,187.33,181.51
12/17/2025,177.29,"50,424,650",187.715,187.75,176.5
12/16/2025,187.75,"42,070,270",181.655,188.5,181.1424
12/15/2025,183.25,"32,796,050",185.08,187.78,180.03
12/12/2025,183.57,"42,427,360",185.81,186.525,177.6668
12/11/2025,187.54,"36,843,180",184.8,188.05,180.21
12/10/2025,187.91,"59,397,970",184.95,190.39,182.75
12/09/2025,181.84,"18,937,570",180.97,182.8499,180.38
12/08/2025,181.49,"30,456,690",182.21,183.8799,179.54
12/05/2025,181.76,"32,079,260",178.23,182.1532,177.1601
12/04/2025,177.92,"29,217,790",176.365,178.44,174.43
12/03/2025,176.08,"30,541,610",170.14,177.91,168.83
12/02/2025,170.69,"35,367,970",169.59,175.75,169.59
12/01/2025,167.49,"27,779,620",165.0,169.1,163.12
11/28/2025,168.45,"17,199,500",167.76,168.8,165.875
11/26/2025,165.77,"34,610,540",166.85,168.3385,163.88
11/25/2025,163.55,"36,523,530",160.07,164.6499,156.555
11/24/2025,162.25,"57,877,790",157.47,165.17,157.0
11/21/2025,154.85,"71,346,360",156.01,158.11,147.56
11/20/2025,155.745,"78,443,940",172.07,174.57,154.395
11/19/2025,165.42,"46,108,210",167.8,169.6,162.42
11/18/2025,167.33,"53,710,060",168.37,172.83,165.5
11/17/2025,171.25,"50,339,030",170.53,174.2399,167.68
11/14/2025,174.01,"62,596,760",166.975,177.29,164.5
11/13/2025,172.14,"63,188,770",181.715,182.7,170.7314
11/12/2025,184.17,"55,347,130",190.58,190.58,180.4
11/11/2025,190.96,"49,819,720",190.335,192.925,187.13
11/10/2025,193.61,"87,764,250",184.31,194.9299,183.52
11/07/2025,177.93,"73,989,650",173.15,178.7,168.91
11/06/2025,175.05,"78,468,580",187.99,191.09,174.53
11/05/2025,187.9,"76,121,040",189.0,190.32,181.21
11/04/2025,190.74,"121,380,900",192.07,195.7,185.56
11/03/2025,207.18,"81,016,840",205.045,207.52,201.82
10/31/2025,200.47,"52,697,640",199.2,204.18,197.92
10/30/2025,194.55,"43,541,720",198.425,199.67,194.1201
10/29/2025,198.81,"65,537,260",191.08,199.85,190.49
10/28/2025,189.6,"38,201,010",189.48,191.78,186.78
10/27/2025,189.18,"47,153,060",188.97,192.83,187.52
10/24/2025,184.63,"34,813,460",182.88,186.17,182.85
10/23/2025,180.48,"35,812,300",175.445,181.56,175.01
10/22/2025,175.49,"58,263,100",181.93,182.21,169.42
10/21/2025,181.51,"27,528,150",182.06,182.3891,178.6501
10/20/2025,181.59,"31,975,850",179.49,183.09,177.44
10/17/2025,178.15,"43,421,490",177.75,181.59,173.95
10/16/2025,178.12,"42,870,890",181.78,184.82,176.45
10/15/2025,179.62,"37,372,130",181.655,184.35,176.02
10/14/2025,179.74,"49,261,450",176.0,182.34,170.82
10/13/2025,177.21,"41,332,440",178.68,179.22,173.45
10/10/2025,175.44,"55,194,030",185.17,187.1,173.53
10/09/2025,185.47,"45,050,250",183.58,187.62,179.95
10/08/2025,183.56,"36,299,660",182.8,184.26,181.2
10/07/2025,182.17,"58,179,260",180.31,186.18,179.4201
10/06/2025,179.53,"52,504,240",179.18,182.95,177.83
10/03/2025,173.07,"105,533,400",186.4,186.84,170.77
10/02/2025,187.05,"39,849,210",186.7,188.2,182.95
10/01/2025,184.95,"45,717,300",181.32,186.28,179.5
09/30/2025,182.42,"43,561,730",178.98,182.77,178.22
09/29/2025,178.86,"38,413,750",179.64,181.48,177.16
09/26/2025,177.57,"44,275,790",179.05,180.12,174.91
09/25/2025,179.12,"72,321,190",175.8,184.32,174.29
09/24/2025,179.56,"45,379,670",183.91,184.85,177.12
09/23/2025,182.55,"62,354,830",182.51,185.75,177.01
09/22/2025,179.33,"45,916,680",180.88,182.25,178.29
09/19/2025,182.39,"109,129,900",177.07,184.42,176.71
09/18/2025,176.97,"70,768,630",170.27,178.8,169.39
09/17/2025,168.33,"69,255,500",169.02,169.68,161.27
09/16/2025,170.26,"34,598,660",171.04,171.31,168.96
09/15/2025,171.21,"45,396,120",169.6,171.8,167.41
09/12/2025,171.43,"54,498,540",165.35,171.53,164.01
09/11/2025,164.36,"42,025,500",167.24,167.458,163.22
09/10/2025,166.74,"62,211,420",166.0,169.0,163.44
09/09/2025,162.36,"61,359,530",157.25,162.75,156.37
09/08/2025,156.1,"47,642,950",154.91,158.3,154.84
09/05/2025,153.11,"81,855,900",157.82,158.97,148.04
09/04/2025,156.14,"53,292,340",154.865,157.04,153.16
09/03/2025,154.9,"66,052,300",158.0,161.15,152.71
09/02/2025,157.09,"65,434,970",151.2,158.39,150.28
08/29/2025,156.71,"45,270,500",156.98,158.42,153.0
08/28/2025,158.12,"57,885,240",157.63,158.23,152.55
08/27/2025,156.72,"76,380,550",162.32,162.4,155.9801
08/26/2025,160.87,"86,573,720",155.39,162.13,154.57
08/25/2025,157.17,"86,879,820",156.1,158.59,149.37
08/22/2025,158.74,"102,099,200",155.315,163.2,151.77
08/21/2025,156.18,"94,678,640",157.17,157.97,153.81
08/20/2025,156.01,"220,336,400",152.3,156.46,142.34
08/19/2025,157.75,"137,922,700",171.36,172.3,156.9
08/18/2025,174.03,"62,656,600",175.27,177.9,171.39
08/15/2025,177.17,"60,288,740",179.725,180.0,173.38
08/14/2025,181.02,"53,472,930",182.41,185.33,179.2
08/13/2025,184.37,"53,610,030",189.0,189.46,183.59
08/12/2025,186.97,"54,983,770",184.7,190.0,182.1
08/11/2025,182.68,"56,125,630",186.47,187.18,181.92
08/08/2025,186.96,"62,657,940",184.735,187.99,184.41
08/07/2025,182.2,"77,829,180",181.01,184.48,178.17
08/06/2025,179.54,"82,924,850",171.175,180.5813,171.01
08/05/2025,173.27,"130,917,500",171.81,176.33,169.2201
08/04/2025,160.66,"82,993,560",158.53,161.4,157.9301
08/01/2025,154.27,"61,286,990",155.05,158.19,151.0576
07/31/2025,158.35,"45,342,610",159.99,160.89,156.73
07/30/2025,158.61,"40,261,680",157.365,159.38,156.56
07/29/2025,156.24,"42,427,210",158.715,160.14,154.91
07/28/2025,157.88,"63,886,940",159.88,160.2799,153.04
07/25/2025,158.8,"57,972,340",155.63,160.39,155.58
07/24/2025,154.86,"38,925,750",153.98,155.63,152.575
07/23/2025,154.63,"48,061,990",149.74,155.0,148.2871
07/22/2025,149.07,"49,880,760",150.85,151.7899,145.062
07/21/2025,151.79,"45,072,810",153.88,155.44,151.36
07/18/2025,153.52,"45,771,630",154.86,154.92,151.9
07/17/2025,153.99,"60,165,520",151.56,155.68,150.82
07/16/2025,150.91,"57,636,990",149.3,151.51,147.6744
07/15/2025,148.58,"59,126,190",148.93,150.62,147.3601
07/14/2025,149.15,"81,774,440",142.72,149.575,142.22
07/11/2025,142.1,"52,134,810",142.11,144.58,141.47
07/10/2025,142.5,"64,383,870",143.31,145.16,139.53
07/09/2025,143.13,"68,494,760",139.655,143.17,137.39
07/08/2025,139.71,"59,834,820",138.775,139.855,135.79
07/07/2025,139.12,"71,959,710",134.38,139.29,132.32
07/03/2025,134.36,"41,812,480",134.36,135.62,132.51
07/02/2025,132.12,"59,731,970",131.47,133.6,130.1901
07/01/2025,130.68,"91,479,690",135.27,136.32,128.51
06/30/2025,136.32,"97,305,600",137.79,138.8752,134.8
06/27/2025,130.74,"202,598,600",144.87,144.97,130.54
06/26/2025,144.25,"69,440,540",144.85,148.215,142.91
06/25/2025,142.9,"61,435,270",144.49,147.67,141.53
06/24/2025,143.23,"58,574,190",140.98,143.66,137.8
06/23/2025,139.92,"70,501,100",138.9,142.15,135.96
06/20/2025,137.3,"87,067,040",140.69,142.24,136.7418
06/18/2025,139.96,"58,260,230",139.04,140.36,137.4901
06/17/2025,138.2,"70,479,100",141.485,141.69,136.08
06/16/2025,141.41,"80,779,770",140.03,144.86,139.8115
06/13/2025,137.4,"93,519,040",133.815,139.99,133.35
06/12/2025,135.19,"56,248,180",136.4,137.0999,134.63
06/11/2025,136.39,"97,366,020",133.92,140.0,132.99
06/10/2025,132.81,"69,308,930",131.02,134.0699,129.41
06/09/2025,132.06,"74,785,580",127.075,132.23,124.8
06/06/2025,127.72,"87,175,140",123.73,128.13,121.92
06/05/2025,119.91,"132,238,700",129.27,132.85,118.93
06/04/2025,130.01,"97,306,310",132.8,132.95,125.58
06/03/2025,133.17,"91,297,660",133.07,135.28,130.1
06/02/2025,132.04,"93,218,740",131.435,134.48,128.86
05/30/2025,131.78,"185,897,600",123.53,131.94,122.75
05/29/2025,122.32,"63,137,900",125.35,126.47,121.5302
05/28/2025,123.76,"64,866,000",124.23,125.65,122.91
05/27/2025,123.39,"86,455,170",126.82,127.88,120.88
05/23/2025,123.31,"65,905,840",120.88,125.54,120.68
05/22/2025,122.29,"75,498,280",121.95,126.33,121.375
05/21/2025,120.58,"80,657,670",125.16,127.11,119.41
05/20/2025,125.59,"61,265,310",127.22,128.2,124.65
05/19/2025,126.33,"72,503,920",124.715,127.77,124.32
05/16/2025,129.52,"57,003,720",129.23,130.33,126.76
05/15/2025,128.12,"69,502,970",128.37,130.1999,125.74
05/14/2025,130.18,"96,611,470",129.01,133.49,127.5593
05/13/2025,128.1,"147,155,400",119.92,130.6,119.31
05/12/2025,118.46,"94,257,340",120.78,120.935,115.01
05/09/2025,117.3,"81,005,270",118.97,119.16,114.9
05/08/2025,119.15,"126,966,200",112.28,120.38,112.07
05/07/2025,110.48,"95,713,680",107.97,111.85,107.0
05/06/2025,108.86,"201,193,400",112.71,113.91,105.3201
05/05/2025,123.77,"135,961,300",123.7,125.255,121.36
05/02/2025,124.28,"103,094,300",118.66,124.42,118.63
05/01/2025,116.2,"90,677,570",120.04,120.19,116.0
04/30/2025,118.44,"109,461,700",111.61,118.78,110.54
04/29/2025,116.08,"79,709,010",113.98,117.23,113.24
04/28/2025,114.65,"111,082,900",113.78,114.86,108.87
04/25/2025,112.78,"103,933,800",108.05,112.88,106.55
04/24/2025,107.78,"103,190,700",101.53,108.0,100.9101
04/23/2025,100.82,"112,909,500",98.86,103.76,97.83
04/22/2025,93.99,"91,185,380",93.015,96.3399,91.3503
04/21/2025,90.8,"83,831,150",92.84,96.475,89.31
04/17/2025,93.78,"83,991,760",94.71,95.11,92.27
04/16/2025,92.71,"121,997,600",96.28,97.3,89.62
04/15/2025,98.4,"118,457,700",93.53,98.99,93.05
04/14/2025,92.62,"122,836,900",95.8,97.33,91.46
04/11/2025,88.55,"95,130,680",87.98,89.55,85.47
04/10/2025,88.59,"124,448,200",88.4,90.78,84.14
04/09/2025,92.01,"187,244,300",78.19,93.33,77.27
04/08/2025,77.32,"135,345,600",83.29,86.114,75.22
04/07/2025,77.84,"169,083,700",66.65,81.8,66.12
04/04/2025,74.01,"147,323,200",80.07,80.98,71.9303
04/03/2025,83.6,"93,878,190",81.25,85.68,81.01
04/02/2025,87.45,"96,563,140",82.4,88.405,82.3
04/01/2025,84.68,"78,980,660",83.89,85.28,81.8201
03/31/2025,84.4,"108,092,900",80.0,84.65,78.75
03/28/2025,85.85,"91,091,710",89.34,89.38,84.1
03/27/2025,90.09,"82,823,000",91.015,93.65,89.67
03/26/2025,92.28,"82,138,340",96.29,97.2999,90.82
03/25/2025,96.5,"78,015,270",97.22,98.17,95.08
03/24/2025,96.75,"112,164,700",93.4,97.39,92.28
03/21/2025,90.96,"116,748,700",85.85,91.07,84.46
03/20/2025,87.39,"105,547,400",85.54,89.8,85.12
03/19/2025,86.1,"89,797,420",84.55,87.99,82.86
03/18/2025,83.89,"93,236,490",85.78,86.1699,81.8
03/17/2025,87.35,"99,348,870",88.44,88.82,84.5
03/14/2025,86.24,"113,985,000",82.97,87.27,82.16
03/13/2025,79.62,"100,927,200",82.845,83.74,78.32
03/12/2025,83.65,"116,525,100",83.48,84.55,79.86
03/11/2025,78.05,"109,351,500",75.785,80.745,75.53
03/10/2025,76.38,"136,843,800",82.0,82.6899,74.57
03/07/2025,84.91,"105,377,100",80.025,85.16,79.15
03/06/2025,80.46,"117,340,600",87.505,88.34,80.01
03/05/2025,90.13,"116,053,000",86.35,90.3,82.5
03/04/2025,84.4,"116,800,300",80.16,88.5,79.3
03/03/2025,83.42,"114,573,900",88.55,90.4796,82.53
02/28/2025,84.92,"125,977,400",79.98,85.18,78.58
02/27/2025,84.77,"99,680,480",91.91,93.62,84.17
02/26/2025,89.31,"94,846,190",89.16,91.69,87.59
02/25/2025,87.84,"132,626,300",90.65,91.7,85.25
02/24/2025,90.68,"184,485,000",95.88,99.01,89.3
02/21/2025,101.35,"129,063,200",107.68,109.07,100.0
02/20/2025,106.27,"243,093,900",102.91,107.4,95.8
02/19/2025,112.06,"147,487,300",123.86,125.41,108.56
02/18/2025,124.62,"84,227,160",120.94,125.0,118.43
02/14/2025,119.16,"65,528,860",117.9,120.67,116.8
02/13/2025,117.91,"60,026,970",117.31,118.39,115.1501
02/12/2025,117.39,"75,316,880",110.29,117.59,110.0
02/11/2025,112.62,"94,311,710",116.5,118.66,112.1
02/10/2025,116.65,"99,938,070",112.03,116.76,108.72
02/07/2025,110.85,"143,795,400",111.66,116.3,110.45
02/06/2025,111.28,"128,217,500",101.09,111.545,100.26
02/05/2025,101.36,"90,792,350",101.78,103.57,99.32
02/04/2025,103.83,"230,806,800",102.8,106.91,100.51
02/03/2025,83.74,"126,592,700",80.125,84.25,78.47
01/31/2025,82.49,"79,000,220",81.0,85.22,80.87
01/30/2025,81.22,"46,067,530",80.02,81.8299,79.38
01/29/2025,79.76,"49,262,160",79.95,80.8199,77.81
01/28/2025,80.23,"65,916,660",75.54,80.74,74.04
01/27/2025,75.44,"76,093,330",74.07,76.72,72.67
01/24/2025,78.98,"77,931,910",79.05,82.24,78.4401
01/23/2025,78.98,"55,937,900",76.04,79.0,75.84
01/22/2025,76.87,"66,876,370",74.5,77.16,73.8
01/21/2025,73.07,"56,228,970",73.24,73.6363,70.6007
01/17/2025,71.77,"54,753,980",70.9,72.34,69.95
01/16/2025,69.24,"62,908,660",69.08,71.43,68.36
01/15/2025,68.14,"56,025,750",68.55,68.85,67.08
01/14/2025,65.91,"56,814,900",67.18,68.23,65.19
01/13/2025,64.98,"69,046,330",64.29,65.68,63.4
01/10/2025,67.26,"78,148,640",66.01,68.2,65.04
01/08/2025,68.23,"91,349,510",68.12,69.53,66.51
01/07/2025,69.99,"91,727,350",75.2,75.39,69.75
01/06/2025,75.92,"105,619,500",78.69,80.06,74.61
01/03/2025,79.89,"62,415,010",75.39,79.98,75.19
01/02/2025,75.19,"72,217,190",76.2,76.53,72.42
12/31/2024,75.63,"56,267,940",77.58,77.9796,73.65
12/30/2024,77.18,"60,850,860",77.04,79.24,76.11
12/27/2024,79.08,"66,975,890",81.42,82.0,77.93
12/26/2024,82.14,"60,547,750",83.16,83.49,81.3
12/24/2024,82.38,"64,983,260",81.09,84.7968,81.0
12/23/2024,80.69,"93,819,480",80.65,82.02,77.41
12/20/2024,80.55,"281,230,800",72.64,80.66,71.5
12/19/2024,74.21,"99,524,330",73.99,76.59,73.37
12/18/2024,71.51,"109,643,400",74.3,77.6,70.27
12/17/2024,74.39,"75,469,390",73.28,75.32,71.7
12/16/2024,75.75,"126,099,600",75.06,77.82,71.16
12/13/2024,76.07,"76,172,790",73.49,76.1,72.45
12/12/2024,73.2,"73,859,670",72.3,75.38,71.9
12/11/2024,72.51,"89,477,660",72.98,73.0,68.07
12/10/2024,70.89,"89,672,470",71.99,75.56,70.73
12/09/2024,72.46,"168,134,800",80.58,80.91,71.05
12/06/2024,76.34,"93,640,900",72.95,76.82,72.28
12/05/2024,71.87,"66,585,760",70.11,72.98,69.89
12/04/2024,69.85,"86,284,800",71.13,71.18,67.28
12/03/2024,70.96,"100,751,400",66.41,71.37,66.15
12/02/2024,66.39,"46,404,970",67.44,67.88,65.96
11/29/2024,67.08,"30,104,050",65.89,67.16,65.47
11/27/2024,66.05,"53,839,900",66.24,67.56,64.24
11/26/2024,65.74,"46,923,570",64.57,65.85,63.89
11/25/2024,64.65,"80,640,470",66.9,67.88,64.08
11/22/2024,64.35,"61,381,710",61.6,64.44,61.37
11/21/2024,61.36,"56,336,740",62.04,63.4,60.895
11/20/2024,62.12,"59,182,180",62.59,63.08,59.96
11/19/2024,62.98,"75,557,820",59.51,63.01,59.265
11/18/2024,61.26,"137,877,600",64.92,64.92,58.85
11/15/2024,65.77,"155,280,400",61.01,66.0,60.91
11/14/2024,59.18,"59,968,240",61.05,61.17,58.53
11/13/2024,60.7,"85,937,360",61.52,63.39,59.85
11/12/2024,59.85,"59,061,340",59.01,60.09,58.57
11/11/2024,60.24,"108,357,800",60.133,62.08,58.69
11/08/2024,58.39,"84,124,030",55.57,58.48,55.3
11/07/2024,55.88,"121,591,200",55.82,56.47,53.55
11/06/2024,55.53,"114,255,900",53.44,55.69,51.61
11/05/2024,51.13,"208,868,200",47.86,51.575,46.86
11/04/2024,41.41,"75,413,300",41.08,42.04,41.0315
11/01/2024,41.92,"33,722,520",41.93,42.57,41.59
10/31/2024,41.56,"50,973,360",42.79,43.32,40.9
10/30/2024,43.69,"31,309,230",44.58,44.8,43.61
10/29/2024,44.93,"26,154,710",44.9,45.07,44.04
10/28/2024,44.97,"36,729,700",45.05,45.14,44.68
10/25/2024,44.86,"50,416,490",43.85,45.07,43.645
10/24/2024,43.56,"34,079,560",42.89,43.73,42.66
10/23/2024,42.59,"35,646,980",42.85,43.68,42.055
10/22/2024,42.94,"27,830,730",42.69,43.49,42.3
10/21/2024,42.7,"30,719,780",42.86,43.4,42.41
10/18/2024,42.97,"33,969,020",42.015,42.99,41.65
10/17/2024,42.0,"34,028,410",42.15,42.7,41.61
10/16/2024,41.93,"59,157,940",42.4,42.49,40.36
10/15/2024,42.43,"48,296,970",43.475,43.68,41.515
10/14/2024,43.4,"41,010,910",43.72,44.39,43.28
10/11/2024,43.51,"66,206,890",43.4,44.38,42.62
10/10/2024,43.52,"62,516,310",42.92,43.8784,42.4101
10/09/2024,43.13,"86,404,700",41.55,43.34,41.21
10/08/2024,41.45,"62,542,950",39.29,41.49,39.015
10/07/2024,38.89,"44,124,770",39.9,40.15,38.775
10/04/2024,40.01,"62,657,550",39.65,40.29,39.4
10/03/2024,39.24,"57,196,450",37.45,39.29,37.37
10/02/2024,37.49,"34,988,910",36.3,37.68,36.145
10/01/2024,36.46,"52,858,040",37.21,37.56,36.05
09/30/2024,37.2,"42,223,550",36.58,37.32,36.15
09/27/2024,36.84,"43,219,120",36.91,37.47,36.59
09/26/2024,37.1,"48,601,990",37.26,37.44,36.6
09/25/2024,37.12,"46,511,720",36.89,37.18,36.3827
09/24/2024,36.9,"79,519,250",37.97,37.98,36.43
09/23/2024,37.95,"79,460,740",36.86,38.19,36.57
09/20/2024,37.2,"450,290,500",36.01,37.29,35.71
09/19/2024,36.83,"59,882,040",37.0,37.35,36.2
09/18/2024,36.38,"66,279,770",35.9,37.11,35.8712
09/17/2024,36.45,"64,461,750",37.0,37.05,35.87
09/16/2024,36.31,"74,767,330",35.78,36.92,35.56
09/13/2024,35.59,"49,727,170",34.97,36.01,34.89
09/12/2024,34.91,"54,391,840",34.86,35.4,34.5308
09/11/2024,34.85,"68,302,250",34.01,34.87,33.62
09/10/2024,34.76,"91,720,990",34.81,35.2,33.71
09/09/2024,34.6,"140,582,500",32.7,34.7,32.47
09/06/2024,30.33,"50,946,780",30.6,31.04,29.5
09/05/2024,30.16,"24,012,330",30.24,30.74,30.01
09/04/2024,30.59,"33,419,490",30.0,30.85,29.31
09/03/2024,30.51,"34,531,600",31.35,31.5892,30.165
08/30/2024,31.48,"42,388,020",31.05,31.5,30.7
08/29/2024,31.0,"39,732,990",30.65,31.82,30.484
08/28/2024,30.36,"33,961,370",30.62,30.8,29.75
08/27/2024,30.84,"23,541,260",30.55,31.12,30.38
08/26/2024,30.85,"35,283,630",31.43,31.74,30.79
08/23/2024,31.78,"34,121,180",31.99,32.55,31.622
08/22/2024,31.92,"43,522,220",32.55,33.125,31.85
08/21/2024,32.54,"38,147,560",32.32,32.67,31.97
08/20/2024,32.32,"40,783,010",32.5,32.72,31.63
08/19/2024,32.5,"52,353,640",32.42,32.59,31.814
08/16/2024,32.08,"64,870,640",31.04,32.75,30.98
08/15/2024,31.22,"43,407,610",31.31,31.495,30.83
08/14/2024,31.0,"49,885,640",30.62,31.37,30.33
08/13/2024,30.39,"57,294,210",29.7887,30.8498,29.56
08/12/2024,29.38,"67,890,320",30.22,31.2,29.27
08/09/2024,30.01,"88,131,110",29.28,30.36,29.1
08/08/2024,29.28,"96,892,920",27.04,29.375,26.69
08/07/2024,26.32,"75,975,380",27.07,28.36,26.24
