date,close,volume,open,high,low
05/15/2026,189.61,"5,383,227",192.505,192.95,189.42
05/14/2026,191.86,"5,355,104",188.225,192.92,187.625
05/13/2026,187.91,"4,887,340",187.49,189.64,185.39
05/12/2026,186.93,"7,866,911",183.79,190.91,180.0
05/11/2026,182.11,"7,016,901",173.04,182.28,172.96
05/08/2026,170.99,"4,631,799",171.83,172.245,170.31
05/07/2026,171.11,"4,316,247",169.91,171.74,168.943
05/06/2026,170.53,"4,559,139",169.44,171.24,168.61
05/05/2026,169.46,"4,305,398",168.59,169.64,166.0
05/04/2026,169.19,"4,462,041",166.39,171.75,165.75
05/01/2026,166.38,"4,217,110",165.98,167.62,165.51
04/30/2026,165.07,"4,813,557",163.43,166.82,162.51
04/29/2026,162.71,"3,779,339",164.14,164.79,161.935
04/28/2026,165.89,"4,067,225",163.28,166.265,162.5001
04/27/2026,160.9,"4,617,156",163.05,164.915,160.67
04/24/2026,164.2,"5,095,766",167.93,168.165,162.92
04/23/2026,169.19,"6,402,521",164.71,170.88,163.7
04/22/2026,163.95,"7,747,157",157.85,164.7,156.0
04/21/2026,153.25,"5,147,616",157.14,157.67,153.18
04/20/2026,157.55,"4,324,883",159.09,160.07,157.1
04/17/2026,157.79,"5,646,057",155.16,158.02,154.9
04/16/2026,156.24,"3,510,733",156.81,158.425,155.2601
04/15/2026,157.19,"3,931,150",158.99,159.55,157.11
04/14/2026,159.47,"4,324,373",160.16,161.41,157.87
04/13/2026,162.75,"6,029,081",160.47,163.66,160.03
04/10/2026,160.45,"4,412,747",161.82,161.82,158.18
04/09/2026,161.25,"3,334,106",159.36,162.31,159.1708
04/08/2026,160.94,"5,305,601",156.77,161.19,155.139
04/07/2026,157.49,"3,443,020",160.38,161.14,157.29
04/06/2026,160.34,"2,804,569",158.1,160.37,157.53
04/02/2026,158.1,"4,565,385",157.35,159.48,156.2515
04/01/2026,157.33,"10,125,630",161.5,162.47,151.63
03/31/2026,165.34,"3,428,861",166.48,166.48,163.975
03/30/2026,164.83,"4,388,354",165.71,165.74,163.71
03/27/2026,163.54,"3,619,890",162.76,165.27,162.25
03/26/2026,162.49,"3,053,515",165.5,166.0,161.93
03/25/2026,165.5,"3,690,319",164.56,165.99,163.0001
03/24/2026,163.87,"4,876,633",162.975,167.5,161.82
03/23/2026,163.24,"3,944,236",164.16,164.96,162.44
03/20/2026,163.11,"9,565,485",163.53,164.63,161.83
03/19/2026,163.37,"4,469,173",164.22,165.25,161.85
03/18/2026,166.14,"4,669,606",171.0,171.0,164.9
03/17/2026,172.83,"3,533,693",176.15,176.799,172.52
03/16/2026,174.78,"3,444,162",176.51,177.25,174.6
03/13/2026,174.66,"6,606,576",173.5,176.05,172.3901
03/12/2026,172.0,"6,559,859",164.26,172.16,163.32
03/11/2026,166.84,"7,379,026",172.01,172.12,165.2599
03/10/2026,172.87,"4,902,993",172.57,174.28,171.755
03/09/2026,173.25,"5,176,494",169.5,173.29,169.25
03/06/2026,169.98,"5,070,768",168.52,170.08,166.9
03/05/2026,169.7,"8,524,380",176.9,176.9,167.935
03/04/2026,179.04,"4,493,861",177.5,179.31,175.83
03/03/2026,177.93,"6,757,189",183.06,183.125,175.64
03/02/2026,183.82,"3,485,482",186.5,187.5,183.58
02/27/2026,186.83,"5,024,339",188.14,190.11,185.6985
02/26/2026,187.5,"4,871,098",190.0,190.25,187.16
02/25/2026,189.8,"6,561,309",186.46,191.3,185.66
02/24/2026,187.0,"4,274,384",186.23,187.58,183.39
02/23/2026,187.22,"5,081,055",183.74,188.26,183.53
02/20/2026,183.4,"3,845,529",184.14,185.0,182.12
02/19/2026,183.5,"3,336,733",181.99,183.79,180.21
02/18/2026,182.67,"3,549,838",184.67,185.0,182.15
02/17/2026,183.65,"4,809,596",187.56,187.56,183.3
02/13/2026,187.51,"3,770,609",188.49,190.25,186.805
02/12/2026,188.95,"5,567,664",186.05,190.98,185.865
02/11/2026,186.27,"6,572,747",182.5,188.35,181.965
02/10/2026,182.69,"4,114,493",181.64,183.31,179.71
02/09/2026,181.83,"5,384,323",182.17,183.85,178.5801
02/06/2026,182.81,"8,571,818",179.83,186.55,178.0001
02/05/2026,182.0,"7,392,257",182.5,184.4,180.655
02/04/2026,180.39,"8,063,892",179.26,180.45,177.31
02/03/2026,177.0,"8,389,823",180.43,181.77,176.84
02/02/2026,179.94,"6,387,051",180.86,180.86,177.13
01/30/2026,179.44,"8,239,609",177.84,180.09,175.1438
01/29/2026,177.89,"7,578,894",178.71,180.25,177.025
01/28/2026,178.59,"4,399,144",178.11,181.0,177.3824
01/27/2026,178.88,"3,887,715",175.97,179.31,174.67
01/26/2026,175.76,"5,300,359",173.5,176.08,173.1132
01/23/2026,173.02,"5,035,961",170.07,173.25,168.74
01/22/2026,170.05,"4,060,497",169.08,170.16,167.0
01/21/2026,168.81,"5,897,755",167.5,169.02,163.1345
01/20/2026,167.18,"5,942,670",170.93,171.62,166.99
01/16/2026,173.62,"5,068,244",171.67,174.28,170.77
01/15/2026,172.56,"4,997,237",170.34,174.01,170.0302
01/14/2026,171.08,"6,383,354",166.65,171.33,166.565
01/13/2026,165.85,"3,983,222",164.65,166.76,163.308
01/12/2026,165.16,"6,045,155",162.88,165.325,162.33
01/09/2026,162.61,"4,371,146",159.18,162.78,159.18
01/08/2026,158.81,"3,668,199",155.83,159.43,155.505
01/07/2026,155.15,"6,114,314",155.01,156.42,153.705
01/06/2026,155.16,"5,223,417",159.77,160.2,155.14
01/05/2026,159.86,"8,234,429",159.0,160.45,155.3
01/02/2026,160.3,"3,938,123",160.26,162.15,159.21
12/31/2025,160.4,"2,590,539",161.49,161.9899,160.29
12/30/2025,161.95,"2,900,247",161.6,162.38,161.17
12/29/2025,161.94,"3,626,725",161.05,162.28,160.28
12/26/2025,161.05,"3,795,267",161.17,162.62,160.89
12/24/2025,162.64,"1,754,444",162.26,163.7,161.9175
12/23/2025,162.06,"4,728,444",159.37,162.315,159.27
12/22/2025,159.7,"7,391,483",157.01,161.18,156.99
12/19/2025,156.84,"18,081,290",157.24,159.85,156.65
12/18/2025,157.31,"5,386,444",158.29,159.01,156.49
12/17/2025,158.61,"8,460,974",157.5,159.56,156.77
12/16/2025,157.95,"5,953,695",158.75,159.865,157.48
12/15/2025,158.41,"7,020,498",154.1,159.27,153.525
12/12/2025,153.65,"5,781,767",151.0,153.72,149.51
12/11/2025,150.95,"4,130,225",150.99,152.6427,150.415
12/10/2025,149.77,"9,023,093",150.05,150.585,148.205
12/09/2025,150.37,"5,065,196",149.19,150.89,148.03
12/08/2025,148.29,"6,657,845",147.56,149.87,146.65
12/05/2025,147.81,"5,456,486",148.21,148.92,147.3
12/04/2025,148.58,"8,566,632",150.8,151.71,146.35
12/03/2025,151.71,"3,827,162",155.13,155.56,151.555
12/02/2025,154.62,"4,771,449",156.05,156.38,153.43
12/01/2025,156.15,"3,454,052",157.36,157.9899,155.51
11/28/2025,157.48,"1,878,279",155.3,157.53,155.3
11/26/2025,156.49,"4,172,243",157.94,158.22,156.2901
11/25/2025,157.41,"7,287,064",152.68,158.23,152.4
11/24/2025,151.06,"13,674,840",154.01,155.17,150.085
11/21/2025,155.24,"6,834,619",156.39,157.79,154.41
11/20/2025,155.65,"4,021,151",155.57,156.29,154.13
11/19/2025,155.61,"4,343,181",155.51,156.67,154.0
11/18/2025,155.85,"5,144,077",154.115,157.615,152.81
11/17/2025,152.76,"4,709,003",154.92,154.92,151.77
11/14/2025,155.43,"3,529,744",155.25,155.55,152.82
11/13/2025,155.15,"5,293,641",155.69,156.06,153.0
11/12/2025,155.56,"4,782,251",156.25,157.35,155.5
11/11/2025,156.8,"3,570,358",155.42,157.51,155.2737
11/10/2025,155.07,"4,976,851",152.1,155.16,151.35
11/07/2025,153.39,"7,365,241",151.25,153.52,149.37
11/06/2025,149.9,"7,315,072",148.47,150.88,147.34
11/05/2025,148.4,"5,928,412",148.19,150.43,147.25
11/04/2025,147.66,"5,712,896",145.74,147.77,144.22
11/03/2025,144.6,"5,056,060",143.5,145.12,142.11
10/31/2025,144.33,"6,200,287",145.31,145.54,143.17
10/30/2025,145.76,"5,747,924",146.78,147.43,145.04
10/29/2025,146.77,"7,637,094",149.24,150.14,146.39
10/28/2025,149.81,"7,725,465",153.0,153.08,148.14
10/27/2025,153.21,"10,233,700",156.84,156.855,152.93
10/24/2025,157.62,"6,303,796",158.08,158.62,157.38
10/23/2025,157.7,"8,147,392",157.94,159.11,156.35
10/22/2025,156.86,"12,741,400",151.87,156.96,151.0
10/21/2025,152.0,"28,418,140",154.67,155.925,142.33
10/20/2025,158.06,"7,779,225",158.16,160.7,157.18
10/17/2025,158.06,"5,371,888",157.03,158.975,156.87
10/16/2025,155.98,"5,110,016",158.69,158.69,155.68
10/15/2025,157.73,"4,683,588",157.84,159.9485,157.45
10/14/2025,159.07,"6,199,221",158.425,161.15,157.94
10/13/2025,159.47,"5,684,527",158.5,159.53,156.61
10/10/2025,160.47,"6,542,779",157.37,161.54,156.96
10/09/2025,156.85,"4,455,569",155.28,156.88,153.505
10/08/2025,155.27,"6,368,526",154.46,155.34,152.17
10/07/2025,154.55,"6,789,297",153.5,155.14,152.31
10/06/2025,153.54,"7,071,707",152.14,153.65,150.88
10/03/2025,153.27,"11,151,500",155.8,156.4,151.15
10/02/2025,157.91,"6,929,975",160.54,162.125,157.56
10/01/2025,160.86,"8,633,674",162.87,164.06,158.45
09/30/2025,162.2,"6,401,189",162.9,163.6,161.69
09/29/2025,162.99,"6,954,139",164.53,164.99,162.5
09/26/2025,164.89,"3,736,176",164.65,164.97,163.0
09/25/2025,164.0,"4,295,568",164.44,165.26,163.32
09/24/2025,163.0,"6,373,388",163.54,164.82,162.76
09/23/2025,163.77,"4,622,158",161.87,164.17,161.01
09/22/2025,161.98,"5,735,309",162.18,163.46,159.91
09/19/2025,162.95,"10,489,020",162.42,163.795,161.33
09/18/2025,161.76,"6,547,651",163.99,164.72,161.12
09/17/2025,166.3,"5,591,208",163.79,167.08,163.34
09/16/2025,162.96,"6,281,426",162.03,164.37,161.43
09/15/2025,161.64,"5,584,124",165.505,165.505,161.47
09/12/2025,166.11,"3,691,499",167.32,168.795,165.1
09/11/2025,167.9,"4,800,320",165.9,169.86,165.195
09/10/2025,165.31,"3,979,495",164.78,165.83,164.02
09/09/2025,164.74,"3,845,791",162.13,165.04,161.1
09/08/2025,162.72,"6,056,133",161.66,162.79,159.57
09/05/2025,161.55,"4,056,764",161.47,162.06,160.07
09/04/2025,161.15,"7,839,526",162.16,164.5,159.7873
09/03/2025,163.22,"7,329,584",165.7,166.9,161.156
09/02/2025,167.4,"6,013,482",166.57,168.04,163.38
08/29/2025,167.13,"5,358,271",166.41,167.29,165.17
08/28/2025,165.77,"7,297,930",164.055,166.27,161.96
08/27/2025,164.19,"5,164,378",165.9,166.02,163.93
