date,close,volume,open,high,low
05/15/2026,212.84,"2,469,819",213.32,213.74,210.8601
05/14/2026,213.45,"1,572,155",211.95,214.1,211.61
05/13/2026,209.86,"1,661,147",214.14,215.09,209.7
05/12/2026,215.21,"1,529,769",215.04,216.2851,210.91
05/11/2026,214.59,"2,698,297",217.31,219.06,213.77
05/08/2026,216.85,"1,619,362",220.19,221.05,216.47
05/07/2026,219.29,"1,268,578",220.94,223.05,218.48
05/06/2026,222.42,"1,326,966",223.43,226.01,221.81
05/05/2026,221.63,"1,232,406",218.52,223.0,217.965
05/04/2026,218.04,"1,286,219",219.17,221.41,217.15
05/01/2026,220.71,"1,028,947",223.23,223.67,220.7
04/30/2026,223.0,"2,318,709",217.55,224.29,216.64
04/29/2026,218.71,"1,626,684",220.48,222.33,217.79
04/28/2026,220.89,"1,685,662",223.18,223.915,220.22
04/27/2026,221.33,"1,813,642",219.57,222.77,219.56
04/24/2026,219.86,"1,741,930",224.79,225.22,218.79
04/23/2026,225.09,"1,375,845",225.66,227.285,222.921
04/22/2026,225.06,"1,936,983",229.15,229.7175,224.51
04/21/2026,228.05,"3,090,617",227.02,230.25,226.685
04/20/2026,227.03,"2,151,243",223.76,227.9236,223.625
04/17/2026,224.81,"2,538,341",221.52,226.355,221.37
04/16/2026,220.07,"2,108,408",221.79,224.25,219.87
04/15/2026,222.06,"2,986,297",222.89,225.47,218.4
04/14/2026,221.2,"2,725,329",220.65,221.97,218.55
04/13/2026,223.0,"2,507,468",219.61,223.34,218.001
04/10/2026,221.13,"1,798,147",222.91,223.8,220.39
04/09/2026,223.23,"1,902,574",218.66,224.12,217.96
04/08/2026,220.76,"2,651,793",218.92,222.105,218.755
04/07/2026,213.92,"3,991,249",212.0,215.11,211.565
04/06/2026,213.14,"1,711,405",211.92,213.16,210.64
04/02/2026,211.7,"2,397,999",207.15,211.85,205.2336
04/01/2026,209.24,"1,899,354",210.16,211.905,208.86
03/31/2026,208.09,"2,122,523",204.91,208.4,203.07
03/30/2026,201.66,"1,927,972",203.34,204.235,200.751
03/27/2026,202.39,"2,039,656",204.41,206.78,201.81
03/26/2026,205.46,"1,948,986",204.88,206.63,204.24
03/25/2026,205.95,"1,625,147",208.08,209.27,203.64
03/24/2026,206.35,"2,443,744",201.38,208.6,201.38
03/23/2026,203.93,"2,918,336",207.41,208.0,203.225
03/20/2026,201.71,"6,082,388",202.29,203.52,199.6
03/19/2026,202.05,"2,515,738",199.92,203.21,197.56
03/18/2026,201.17,"2,993,233",203.18,206.88,200.54
03/17/2026,203.92,"2,496,302",203.85,205.905,202.7959
03/16/2026,200.75,"2,859,639",203.25,205.4,200.45
03/13/2026,201.13,"2,931,015",204.37,205.91,200.52
03/12/2026,202.69,"3,025,805",201.27,203.845,201.18
03/11/2026,205.64,"1,986,932",205.58,206.76,203.32
03/10/2026,206.39,"2,707,415",205.36,210.24,203.61
03/09/2026,205.34,"3,001,383",203.05,206.07,198.04
03/06/2026,206.12,"3,379,964",207.67,209.0,202.83
03/05/2026,212.37,"2,269,192",211.43,213.79,210.53
03/04/2026,213.86,"1,768,281",213.93,215.1,212.26
03/03/2026,213.05,"2,476,548",209.12,216.13,208.48
03/02/2026,214.23,"5,080,280",207.63,215.015,205.89
02/27/2026,212.35,"3,569,427",219.96,220.5,210.35
02/26/2026,222.82,"2,653,349",223.19,227.0,221.135
02/25/2026,221.95,"2,025,000",219.49,222.5,219.09
02/24/2026,217.91,"2,579,894",219.28,220.57,216.23
02/23/2026,220.77,"2,286,996",232.17,233.55,219.31
02/20/2026,232.97,"1,857,878",230.54,233.08,228.05
02/19/2026,230.3,"1,447,314",230.95,232.6622,227.88
02/18/2026,232.74,"2,362,885",231.86,235.3,231.46
02/17/2026,231.24,"2,457,328",229.32,233.33,229.32
02/13/2026,229.32,"2,546,786",228.18,231.74,226.37
02/12/2026,229.68,"2,507,344",236.79,237.91,227.3
02/11/2026,235.48,"2,456,809",240.33,242.57,234.83
02/10/2026,240.33,"2,342,538",240.13,242.2125,236.73
02/09/2026,240.95,"2,272,881",241.75,243.65,240.71
02/06/2026,242.48,"2,441,046",240.81,243.94,239.54
02/05/2026,238.51,"3,860,310",236.34,239.27,235.215
02/04/2026,237.25,"3,816,887",235.0,240.365,235.0
02/03/2026,233.82,"3,721,258",229.28,234.3,228.145
02/02/2026,227.63,"2,268,223",223.7,227.88,222.41
01/30/2026,223.3,"2,107,109",222.94,225.0,221.68
01/29/2026,224.46,"2,495,701",222.97,224.63,220.85
01/28/2026,221.39,"2,479,833",223.3,224.21,219.4
01/27/2026,223.7,"2,219,149",220.53,224.07,220.53
01/26/2026,220.75,"2,473,596",219.59,221.67,219.225
