date,close,volume,open,high,low
05/15/2026,72.68,"1,644,507",74.08,74.62,72.6
05/14/2026,74.88,"1,558,986",74.2,75.495,74.0
05/13/2026,73.63,"1,317,829",74.69,75.24,73.465
05/12/2026,75.26,"3,047,052",75.83,76.045,74.51
05/11/2026,75.83,"1,477,328",77.17,77.92,75.64
05/08/2026,76.82,"1,436,122",79.29,79.93,76.69
05/07/2026,78.96,"1,899,453",80.24,81.12,78.83
05/06/2026,79.91,"2,327,540",79.09,81.06,79.09
05/05/2026,77.84,"1,571,774",77.67,78.645,77.35
05/04/2026,77.08,"2,346,325",78.65,79.265,77.02
05/01/2026,79.1,"1,915,479",81.27,82.0,79.07
04/30/2026,80.71,"3,737,988",81.42,81.63,79.49
04/29/2026,80.84,"3,138,422",82.89,83.05,80.5
04/28/2026,82.86,"6,241,536",89.0,89.8439,81.33
04/27/2026,92.27,"3,195,277",92.36,94.17,92.05
04/24/2026,91.75,"2,557,995",89.75,92.55,89.75
04/23/2026,90.48,"1,387,714",89.89,91.525,89.57
04/22/2026,89.6,"1,374,159",90.67,90.72,89.02
04/21/2026,89.99,"1,067,093",91.29,91.6283,89.89
04/20/2026,90.43,"1,025,789",89.94,90.595,89.27
04/17/2026,91.08,"1,925,418",89.67,92.31,89.405
04/16/2026,88.74,"1,211,426",88.51,89.32,88.14
04/15/2026,88.35,"1,172,082",90.41,90.55,87.98
04/14/2026,90.81,"1,403,048",91.22,91.49,90.15
04/13/2026,91.2,"1,173,563",90.2,91.2,88.79
04/10/2026,90.21,"1,477,055",90.8,91.07,89.91
04/09/2026,90.46,"1,628,073",89.79,91.28,89.48
04/08/2026,90.53,"1,570,694",90.44,91.96,89.685
04/07/2026,87.06,"1,302,082",86.05,87.5,85.62
04/06/2026,86.49,"816,134",85.46,86.52,85.1
04/02/2026,85.82,"1,049,130",85.02,88.12,84.04
04/01/2026,86.76,"1,289,019",86.98,88.02,86.67
03/31/2026,87.11,"1,269,129",85.75,88.58,85.14
03/30/2026,83.99,"1,310,230",85.94,85.94,83.6036
03/27/2026,84.92,"1,365,336",85.01,86.46,84.21
03/26/2026,85.93,"2,035,189",87.41,88.14,85.73
03/25/2026,87.61,"2,061,158",89.03,89.29,85.93
03/24/2026,87.58,"1,435,297",87.23,89.075,86.84
03/23/2026,88.44,"1,346,871",89.04,90.29,88.13
03/20/2026,86.49,"2,182,390",87.79,88.29,85.9
03/19/2026,88.49,"1,771,574",87.2,89.19,86.29
03/18/2026,88.27,"1,375,480",88.45,90.22,88.16
03/17/2026,89.36,"922,450",89.66,90.2275,88.62
03/16/2026,88.79,"1,083,034",89.41,90.19,88.255
03/13/2026,88.29,"1,304,109",89.12,89.795,88.01
03/12/2026,88.31,"1,481,597",89.65,91.03,88.21
03/11/2026,90.87,"1,858,159",89.82,90.9,88.53
