date,close,volume,open,high,low
05/15/2026,147.46,"1,441,878",149.9,153.775,147.08
05/14/2026,148.68,"1,699,072",149.0,152.18,146.69
05/13/2026,148.84,"1,990,896",156.11,159.3462,145.585
05/12/2026,158.35,"1,341,301",157.7,160.07,155.85
05/11/2026,154.17,"1,536,228",153.34,155.3899,152.13
05/08/2026,154.16,"1,737,990",161.55,164.66,154.0
05/07/2026,160.4,"2,827,245",153.09,163.18,152.52
05/06/2026,151.28,"4,461,184",167.04,168.59,148.305
05/05/2026,167.53,"1,473,989",170.86,170.98,166.74
05/04/2026,171.39,"1,281,222",175.04,175.39,171.01
05/01/2026,175.04,"1,281,933",174.19,178.04,172.08
04/30/2026,172.14,"2,516,540",164.0,172.799,163.005
04/29/2026,160.02,"4,046,918",181.46,182.905,158.35
04/28/2026,182.87,"1,184,794",189.46,191.75,182.25
04/27/2026,188.31,"654,168",188.76,192.115,187.44
04/24/2026,189.56,"1,117,147",188.85,190.675,186.25
04/23/2026,192.21,"711,864",193.21,194.27,189.63
04/22/2026,193.62,"764,132",192.67,195.16,191.89
04/21/2026,192.33,"788,910",200.77,201.49,191.02
04/20/2026,200.87,"587,045",201.63,204.95,199.78
04/17/2026,203.73,"864,852",204.14,205.95,201.89
04/16/2026,201.47,"744,797",202.13,205.3,200.54
04/15/2026,202.5,"802,957",202.82,205.67,201.06
04/14/2026,201.49,"733,449",199.37,203.5859,198.8
04/13/2026,197.81,"665,795",195.73,198.47,194.61
04/10/2026,196.93,"729,791",199.42,199.84,195.28
04/09/2026,199.42,"813,820",201.67,203.13,197.54
04/08/2026,203.51,"702,933",205.92,209.0,201.995
04/07/2026,202.46,"930,592",200.55,206.69,198.1
04/06/2026,203.5,"1,215,170",204.21,206.32,202.745
04/02/2026,204.31,"886,803",202.93,209.355,202.44
04/01/2026,207.04,"1,169,755",210.18,212.715,203.09
03/31/2026,209.84,"751,657",210.81,212.92,206.55
03/30/2026,208.01,"792,676",205.86,210.57,205.11
03/27/2026,208.22,"893,131",216.83,218.045,208.14
03/26/2026,218.11,"1,040,300",216.0,221.105,215.62
03/25/2026,216.0,"1,137,716",225.69,227.235,215.26
03/24/2026,225.5,"546,948",225.34,227.98,221.28
03/23/2026,227.08,"671,304",230.88,230.88,225.2101
03/20/2026,227.1,"1,062,758",227.68,230.25,224.32
03/19/2026,228.63,"740,038",231.28,232.175,226.26
03/18/2026,230.28,"743,461",227.9,231.91,226.51
03/17/2026,230.49,"1,029,776",226.82,233.26,220.85
03/16/2026,224.66,"1,119,475",222.8,229.94,219.89
03/13/2026,219.84,"2,117,006",226.138,230.43,216.49
03/12/2026,236.07,"850,718",237.51,239.97,234.0
03/11/2026,238.82,"973,959",236.85,238.99,234.465
03/10/2026,238.24,"832,240",241.86,241.9,233.77
03/09/2026,240.38,"928,165",234.77,241.13,234.66
03/06/2026,237.01,"1,226,675",238.43,239.73,233.29
03/05/2026,240.94,"936,173",240.84,243.865,238.5
03/04/2026,242.89,"1,000,996",239.73,247.6,238.0
03/03/2026,241.84,"938,538",240.91,243.1,236.51
03/02/2026,245.45,"1,180,107",243.99,249.23,242.0
02/27/2026,246.61,"983,799",248.62,252.63,245.66
02/26/2026,251.5,"1,078,180",249.94,253.33,248.44
02/25/2026,248.12,"879,952",244.62,249.2,242.385
02/24/2026,245.25,"1,272,499",247.35,250.79,241.77
02/23/2026,249.38,"1,597,183",245.85,250.41,243.67
02/20/2026,241.89,"1,396,248",245.67,246.015,237.02
02/19/2026,249.1,"1,416,437",257.58,257.8875,242.34
02/18/2026,258.07,"2,073,769",266.0,275.1,256.62
02/17/2026,246.34,"1,229,113",243.57,249.65,242.1785
02/13/2026,242.74,"776,046",241.63,249.73,241.63
02/12/2026,240.82,"972,769",251.85,254.395,240.78
02/11/2026,250.85,"726,158",251.81,253.57,247.37
02/10/2026,252.41,"1,450,028",246.13,255.705,246.13
02/09/2026,245.57,"686,354",243.26,247.245,240.33
02/06/2026,241.93,"1,096,385",242.65,244.505,240.03
02/05/2026,243.15,"1,339,754",251.81,255.1,242.53
02/04/2026,251.24,"1,050,907",253.19,256.015,246.14
02/03/2026,251.22,"976,837",255.83,258.75,249.63
02/02/2026,256.62,"1,069,510",256.91,260.4975,254.88
01/30/2026,255.81,"1,187,746",256.03,263.04,253.04
01/29/2026,255.1,"1,300,543",257.85,260.595,254.08
01/28/2026,258.2,"1,315,299",266.2,266.605,257.32
01/27/2026,264.91,"1,479,376",268.18,270.61,261.95
01/26/2026,271.31,"923,592",271.56,275.92,269.91
01/23/2026,271.6,"1,662,653",279.83,279.86,265.78
01/22/2026,280.0,"1,305,853",284.96,287.41,275.12
01/21/2026,284.96,"946,769",285.67,288.98,281.44
01/20/2026,284.25,"588,226",285.51,288.12,281.65
01/16/2026,287.7,"664,571",286.28,289.255,283.405
01/15/2026,286.49,"733,775",282.0,287.86,279.855
01/14/2026,282.89,"794,173",277.04,284.25,275.1
01/13/2026,278.17,"667,396",278.54,283.35,277.03
01/12/2026,278.55,"622,874",286.71,288.335,277.6
01/09/2026,289.04,"901,965",293.08,294.035,280.52
01/08/2026,292.89,"653,453",295.2,297.37,288.02
01/07/2026,299.17,"573,175",295.86,299.795,294.51
01/06/2026,294.35,"752,605",283.4,295.16,281.91
01/05/2026,283.51,"795,107",282.21,285.4,278.79
01/02/2026,282.92,"456,794",285.46,286.515,280.18
12/31/2025,284.24,"287,648",286.18,287.0,284.09
12/30/2025,287.03,"322,546",286.03,287.53,285.2
12/29/2025,287.36,"580,593",289.26,290.6,285.58
12/26/2025,288.63,"310,542",288.36,290.12,286.66
12/24/2025,288.82,"294,258",285.08,289.91,285.08
12/23/2025,285.5,"579,908",291.61,292.75,285.02
12/22/2025,291.57,"627,808",289.82,292.53,287.97
12/19/2025,289.62,"1,179,058",293.75,297.015,288.4
12/18/2025,292.88,"750,260",292.19,299.22,291.735
12/17/2025,289.57,"697,757",288.81,295.0,288.81
12/16/2025,288.73,"1,029,392",296.36,296.36,287.52
12/15/2025,291.51,"731,473",296.1,297.2,291.18
12/12/2025,295.7,"576,607",296.08,297.48,293.51
12/11/2025,294.17,"629,459",296.45,297.665,290.975
12/10/2025,295.19,"918,557",293.92,301.22,292.77
12/09/2025,294.2,"798,293",300.23,306.035,293.66
12/08/2025,296.19,"644,331",304.56,304.56,295.16
12/05/2025,304.49,"518,069",315.12,315.99,302.96
12/04/2025,315.92,"757,061",308.78,317.34,305.05
12/03/2025,307.56,"905,108",309.18,310.4425,303.2
12/02/2025,309.0,"759,484",313.17,314.0,306.69
12/01/2025,310.83,"878,766",324.83,325.0,310.18
11/28/2025,327.19,"224,657",327.95,328.28,324.28
