date,close,volume,open,high,low
05/15/2026,101.93,"2,019,091",102.86,103.05,100.97
05/14/2026,103.2,"1,571,419",103.22,104.11,102.8
05/13/2026,102.38,"2,191,521",102.03,103.39,101.7
05/12/2026,102.58,"1,756,539",101.5,102.75,99.92
05/11/2026,101.12,"1,464,164",101.0,101.52,100.07
05/08/2026,100.81,"1,775,635",99.57,100.83,98.99
05/07/2026,99.44,"2,133,155",100.485,101.4583,98.68
05/06/2026,100.16,"3,721,501",101.89,102.52,97.905
05/05/2026,100.27,"4,097,864",97.79,100.56,97.0
05/04/2026,97.65,"2,064,457",97.835,98.67,97.0
05/01/2026,98.62,"1,895,588",98.5,99.38,97.44
04/30/2026,98.11,"2,131,452",95.76,98.62,95.21
04/29/2026,96.42,"2,797,783",96.82,97.59,96.2
04/28/2026,96.91,"2,323,262",96.4,97.45,95.94
04/27/2026,95.59,"2,047,812",93.9,95.78,93.8201
04/24/2026,94.21,"2,157,248",95.31,95.45,94.15
04/23/2026,94.35,"2,576,580",94.59,95.145,93.24
04/22/2026,94.85,"4,307,257",93.17,95.45,92.66
04/21/2026,96.45,"4,544,049",98.5,99.75,95.62
04/20/2026,102.6,"1,478,882",101.27,102.6799,101.2575
04/17/2026,101.65,"2,438,914",100.21,102.84,100.21
04/16/2026,99.78,"1,707,726",100.07,100.38,99.355
04/15/2026,99.42,"1,945,608",98.61,100.17,98.29
04/14/2026,98.76,"1,877,603",98.0,99.19,97.32
04/13/2026,98.48,"1,808,660",96.0,98.52,95.95
04/10/2026,96.9,"1,708,411",96.71,97.195,95.76
04/09/2026,97.1,"1,903,283",96.01,97.65,96.01
04/08/2026,96.65,"3,361,019",99.83,100.06,96.07
04/07/2026,97.4,"1,826,516",97.14,98.05,96.665
04/06/2026,97.82,"1,415,957",97.25,98.26,97.0
04/02/2026,97.58,"1,682,224",96.77,98.63,95.86
04/01/2026,97.98,"2,273,160",98.14,99.16,97.28
03/31/2026,97.69,"2,480,221",96.25,98.09,95.185
03/30/2026,94.48,"1,695,479",93.74,95.37,93.13
03/27/2026,93.29,"1,845,828",95.57,95.57,92.76
03/26/2026,95.27,"1,932,332",95.44,96.475,94.42
03/25/2026,95.26,"1,352,594",95.72,96.26,94.22
03/24/2026,94.8,"1,692,621",93.36,95.5,93.13
03/23/2026,94.29,"2,507,986",94.8,95.59,93.6
03/20/2026,93.03,"6,433,779",92.69,93.43,92.35
03/19/2026,92.51,"2,214,042",92.5,93.73,92.135
03/18/2026,92.91,"1,930,685",93.84,94.7,92.85
03/17/2026,94.49,"2,121,284",94.56,95.87,94.24
03/16/2026,93.22,"2,096,319",93.09,94.44,92.5
03/13/2026,92.0,"2,604,610",92.92,93.4999,91.89
03/12/2026,92.34,"2,549,097",93.61,94.71,92.19
03/11/2026,94.94,"2,565,284",95.05,96.18,93.125
03/10/2026,95.47,"2,271,476",95.75,96.76,94.185
03/09/2026,95.93,"2,791,958",96.03,97.0,93.38
03/06/2026,97.12,"2,625,974",97.25,97.25,94.84
03/05/2026,99.14,"2,574,712",97.62,99.3751,97.51
03/04/2026,98.79,"1,754,787",99.01,99.5,98.285
03/03/2026,98.75,"2,579,481",98.05,99.56,95.5525
03/02/2026,99.95,"2,201,886",97.25,100.52,96.1
02/27/2026,98.38,"3,912,371",101.26,101.97,97.46
02/26/2026,102.31,"1,538,551",101.5,102.86,101.0
02/25/2026,100.86,"2,322,495",100.51,101.47,99.19
02/24/2026,100.39,"2,848,806",100.74,102.235,99.47
02/23/2026,100.88,"2,300,932",103.38,104.0,99.535
02/20/2026,103.44,"3,270,164",102.88,103.865,101.711
02/19/2026,102.71,"2,010,265",104.16,104.56,102.435
02/18/2026,104.33,"1,714,777",103.49,105.46,103.49
02/17/2026,103.27,"1,790,160",103.76,104.8588,102.04
02/13/2026,104.61,"2,150,986",103.88,105.29,103.01
02/12/2026,104.15,"2,702,159",105.38,106.94,102.86
02/11/2026,105.26,"2,705,347",103.33,105.57,103.33
02/10/2026,103.33,"2,346,887",102.11,103.955,102.11
02/09/2026,102.2,"1,884,403",102.11,103.7487,102.11
02/06/2026,102.8,"3,226,468",100.97,103.39,100.5
02/05/2026,99.82,"3,605,623",101.51,102.45,99.28
02/04/2026,102.17,"6,926,130",105.11,105.38,98.8
02/03/2026,107.18,"4,693,087",110.77,112.4899,106.86
02/02/2026,111.72,"2,051,158",110.31,111.975,110.1
01/30/2026,111.11,"3,157,796",109.03,111.14,109.03
01/29/2026,109.87,"1,510,701",108.72,109.91,108.36
01/28/2026,107.69,"1,754,208",107.09,108.3,106.85
01/27/2026,107.42,"2,311,763",108.98,109.145,106.631
01/26/2026,108.98,"1,203,790",108.43,109.44,108.057
01/23/2026,107.69,"1,818,181",108.25,108.75,106.705
01/22/2026,108.77,"1,749,719",109.27,110.22,108.3301
01/21/2026,109.49,"1,635,769",108.89,110.35,108.36
01/20/2026,108.35,"2,492,211",108.34,110.8941,108.19
01/16/2026,111.69,"3,705,899",114.69,115.33,111.615
01/15/2026,116.43,"1,109,765",117.9,119.0,116.38
01/14/2026,117.71,"1,797,779",116.68,118.1,116.445
01/13/2026,116.58,"1,257,410",117.91,118.35,115.89
01/12/2026,117.74,"1,806,151",117.14,118.45,116.4964
01/09/2026,118.08,"1,546,595",118.79,119.54,117.92
01/08/2026,118.72,"1,569,520",117.3,119.76,116.705
01/07/2026,116.85,"1,608,053",117.28,117.385,115.78
01/06/2026,117.67,"1,549,534",116.47,118.41,115.31
01/05/2026,117.36,"2,087,466",113.22,118.3,113.22
01/02/2026,113.87,"1,150,884",112.87,114.19,111.58
12/31/2025,112.88,"967,443",113.76,113.785,112.83
12/30/2025,113.69,"718,933",113.54,113.87,113.17
12/29/2025,113.33,"1,042,629",114.05,114.39,112.8335
12/26/2025,113.97,"761,251",114.36,114.89,113.71
12/24/2025,114.55,"591,227",114.67,115.06,113.74
12/23/2025,114.18,"1,228,984",114.69,115.2299,114.15
12/22/2025,114.84,"1,433,049",115.3,115.36,114.33
12/19/2025,114.99,"3,239,608",115.005,115.91,114.27
12/18/2025,115.55,"1,866,658",115.54,116.09,114.35
12/17/2025,115.68,"2,065,560",116.99,117.31,115.0537
12/16/2025,117.08,"2,343,789",117.75,118.1,116.31
12/15/2025,117.6,"1,418,420",118.0,118.31,116.65
12/12/2025,116.96,"1,673,355",117.77,117.95,116.485
12/11/2025,117.05,"1,736,321",115.02,117.945,114.99
12/10/2025,114.76,"1,815,572",111.75,115.11,111.1
