date,close,volume,open,high,low
05/15/2026,9.89,"14,996,600",10.03,10.135,9.81
05/14/2026,10.11,"10,650,610",10.5,10.62,10.1
05/13/2026,10.47,"10,685,870",10.61,10.645,10.39
05/12/2026,10.69,"11,018,790",10.91,10.96,10.53
05/11/2026,10.9,"13,264,180",11.15,11.17,10.73
05/08/2026,11.09,"8,164,928",10.71,11.105,10.66
05/07/2026,10.76,"13,606,360",10.86,11.06,10.665
05/06/2026,10.91,"10,000,430",10.795,11.045,10.6909
05/05/2026,10.66,"12,843,560",10.83,10.955,10.165
05/04/2026,11.13,"12,353,790",11.01,11.225,10.84
05/01/2026,11.09,"12,285,990",10.78,11.25,10.71
04/30/2026,10.24,"15,083,290",10.26,10.4,10.18
04/29/2026,10.34,"5,899,608",10.55,10.55,10.21
04/28/2026,10.52,"9,172,101",10.58,10.63,10.3
04/27/2026,10.59,"9,839,290",11.015,11.19,10.57
04/24/2026,10.97,"6,288,858",11.27,11.33,10.9
04/23/2026,11.27,"8,489,747",11.8,11.8245,11.06
04/22/2026,11.8,"5,347,548",11.71,11.83,11.4792
04/21/2026,11.61,"8,428,927",11.86,11.9191,11.605
04/20/2026,11.82,"5,951,950",11.68,11.8699,11.61
04/17/2026,11.74,"7,187,774",11.79,11.97,11.61
04/16/2026,11.73,"5,981,245",11.76,11.94,11.6
04/15/2026,11.67,"11,100,630",11.1,11.78,11.045
04/14/2026,11.08,"8,876,312",10.77,11.14,10.735
04/13/2026,10.73,"11,251,940",10.53,10.755,10.32
04/10/2026,10.62,"9,474,487",10.9,11.01,10.485
04/09/2026,10.85,"13,849,820",10.78,10.96,10.43
04/08/2026,10.82,"19,513,090",10.96,11.34,10.8
04/07/2026,10.9,"37,937,380",9.76,11.15,9.76
04/06/2026,9.85,"10,663,220",9.52,10.04,9.47
04/02/2026,9.52,"12,892,340",9.02,9.705,9.02
04/01/2026,9.25,"9,585,491",9.03,9.275,8.97
03/31/2026,9.02,"27,912,730",8.9,9.245,8.71
03/30/2026,8.92,"8,343,977",8.85,9.07,8.76
03/27/2026,8.79,"9,833,523",8.88,9.02,8.65
03/26/2026,8.88,"10,668,060",9.16,9.25,8.86
03/25/2026,9.23,"9,298,808",9.2,9.317,9.07
03/24/2026,9.17,"9,786,306",9.1,9.345,9.09
03/23/2026,9.14,"9,541,048",9.24,9.4199,9.04
03/20/2026,9.15,"23,898,510",8.92,9.235,8.855
03/19/2026,8.96,"10,724,930",8.89,9.0,8.615
03/18/2026,9.0,"8,799,749",9.12,9.295,8.96
03/17/2026,9.23,"11,598,860",9.52,9.7,9.215
03/16/2026,9.5,"12,748,470",9.62,9.72,9.475
03/13/2026,9.72,"16,612,860",9.85,9.99,9.54
03/12/2026,9.8,"10,735,690",9.85,10.05,9.79
03/11/2026,9.94,"12,482,370",10.38,10.4164,9.91
03/10/2026,10.33,"21,087,840",11.03,11.09,10.25
03/09/2026,11.19,"13,474,570",11.49,11.6,11.015
03/06/2026,11.99,"11,347,300",11.53,12.135,11.325
03/05/2026,11.74,"17,433,210",12.06,12.51,11.705
03/04/2026,12.05,"14,241,880",12.3,12.625,12.01
03/03/2026,12.45,"22,139,410",12.85,13.115,12.25
03/02/2026,13.34,"27,383,850",14.1,14.1,13.06
02/27/2026,13.51,"91,699,560",11.205,14.0,10.98
02/26/2026,11.18,"16,079,370",10.32,11.3,10.31
02/25/2026,10.16,"13,242,160",10.4,10.55,10.15
02/24/2026,10.39,"7,891,322",10.51,10.68,10.355
02/23/2026,10.56,"9,263,825",10.73,10.74,10.395
02/20/2026,10.71,"8,880,892",10.95,10.9667,10.705
02/19/2026,10.94,"6,815,246",11.08,11.125,10.775
02/18/2026,11.12,"7,348,974",10.83,11.25,10.7
02/17/2026,10.83,"13,681,710",10.62,11.325,10.62
02/13/2026,10.32,"8,460,530",10.27,10.45,10.19
02/12/2026,10.25,"10,202,060",11.0,11.02,10.15
02/11/2026,11.01,"6,938,505",10.83,11.07,10.68
02/10/2026,10.84,"8,683,368",10.77,10.93,10.7
02/09/2026,10.68,"7,458,894",10.5,10.69,10.3101
02/06/2026,10.56,"7,137,239",10.6,10.775,10.445
02/05/2026,10.52,"7,618,695",10.8,10.85,10.34
02/04/2026,10.75,"11,096,010",10.8,10.98,10.65
02/03/2026,10.81,"11,221,700",11.11,11.15,10.75
02/02/2026,11.18,"5,975,874",11.1,11.23,11.03
01/30/2026,11.21,"5,752,706",11.22,11.26,10.98
01/29/2026,11.26,"7,729,518",11.34,11.34,10.96
01/28/2026,11.34,"4,473,306",11.59,11.655,11.33
01/27/2026,11.55,"5,415,913",11.91,11.96,11.455
01/26/2026,11.89,"6,274,180",11.75,11.995,11.5815
01/23/2026,11.7,"4,484,129",11.73,11.83,11.7
01/22/2026,11.78,"7,224,845",11.71,11.94,11.65
01/21/2026,11.6,"5,892,478",11.51,11.63,11.42
01/20/2026,11.55,"11,269,900",11.53,11.815,11.45
01/16/2026,11.8,"6,144,153",11.89,11.9588,11.75
01/15/2026,11.83,"6,835,773",12.07,12.12,11.77
01/14/2026,12.08,"4,829,654",12.13,12.2,12.0
01/13/2026,12.14,"7,364,508",12.13,12.22,12.04
01/12/2026,12.15,"6,919,832",12.01,12.2,11.97
01/09/2026,12.06,"7,700,126",12.29,12.32,12.02
01/08/2026,12.27,"7,859,325",12.36,12.505,12.25
01/07/2026,12.37,"6,702,768",12.56,12.5999,12.23
01/06/2026,12.5,"11,137,920",12.98,12.98,12.45
01/05/2026,12.98,"7,570,599",13.13,13.165,12.89
01/02/2026,13.18,"5,927,697",13.4,13.4299,13.13
12/31/2025,13.4,"5,084,276",13.39,13.51,13.34
12/30/2025,13.51,"3,937,220",13.4,13.69,13.4
12/29/2025,13.5,"4,764,449",13.5,13.56,13.42
12/26/2025,13.59,"2,886,844",13.7,13.74,13.46
12/24/2025,13.74,"2,464,091",13.49,13.75,13.36
12/23/2025,13.53,"4,407,513",13.49,13.635,13.44
12/22/2025,13.61,"11,617,980",13.475,14.1,13.44
12/19/2025,13.05,"23,332,970",12.95,13.1357,12.87
12/18/2025,13.01,"7,405,302",13.11,13.24,12.945
12/17/2025,13.1,"12,883,220",13.55,13.58,13.06
12/16/2025,13.85,"7,512,971",13.86,13.98,13.51
12/15/2025,13.99,"6,609,275",13.78,14.0,13.47
12/12/2025,13.74,"10,241,470",14.09,14.235,13.71
12/11/2025,14.12,"19,132,560",14.81,15.03,14.045
12/10/2025,14.72,"14,626,160",14.68,15.3,14.546
12/09/2025,14.64,"15,404,800",14.42,14.8094,13.97
12/08/2025,14.57,"39,522,880",14.075,14.755,13.53
12/05/2025,13.365,"27,103,890",14.41,14.41,13.2
12/04/2025,14.82,"7,527,166",14.63,14.91,14.2534
12/03/2025,14.67,"9,614,681",15.8,15.83,14.64
12/02/2025,15.82,"6,446,546",15.71,16.05,15.495
12/01/2025,15.71,"4,571,586",15.81,15.9,15.5
11/28/2025,16.02,"2,774,876",15.8,16.03,15.49
11/26/2025,15.79,"6,666,167",15.68,15.85,15.445
11/25/2025,15.64,"4,552,492",15.15,15.67,15.1
11/24/2025,15.06,"13,558,280",15.89,15.9,15.0
11/21/2025,15.89,"5,483,097",15.7,16.04,15.46
11/20/2025,15.68,"8,946,256",15.58,16.295,15.52
11/19/2025,15.47,"7,942,643",15.98,16.145,15.45
11/18/2025,16.09,"10,117,520",15.7,16.305,15.25
11/17/2025,15.73,"7,821,904",15.72,15.93,15.595
11/14/2025,15.68,"6,226,851",15.28,15.77,15.0502
11/13/2025,15.37,"5,957,557",15.48,15.79,15.285
11/12/2025,15.57,"12,217,990",16.555,16.6,15.27
11/11/2025,16.74,"15,858,650",16.21,17.16,16.01
11/10/2025,15.25,"13,006,310",15.13,15.32,14.97
11/07/2025,15.1,"9,772,866",14.66,15.28,14.65
11/06/2025,14.8,"6,506,044",15.09,15.4,14.73
11/05/2025,15.09,"6,114,579",14.85,15.34,14.83
11/04/2025,14.84,"7,350,401",15.21,15.4403,14.79
11/03/2025,15.42,"6,608,569",15.36,15.47,14.87
10/31/2025,15.39,"6,730,835",15.38,15.645,15.29
10/30/2025,15.46,"4,880,211",15.79,15.86,15.3701
10/29/2025,15.88,"4,414,368",16.21,16.28,15.8102
10/28/2025,16.21,"3,482,129",16.56,16.56,16.11
10/27/2025,16.565,"3,798,318",16.81,16.93,16.36
10/24/2025,16.72,"2,239,173",16.69,16.8912,16.58
10/23/2025,16.47,"3,585,492",16.57,16.87,16.455
10/22/2025,16.57,"2,655,203",16.47,16.7291,16.28
10/21/2025,16.51,"4,350,707",17.15,17.2899,16.45
10/20/2025,16.99,"2,422,004",16.925,17.085,16.65
10/17/2025,16.77,"4,216,192",16.78,16.99,16.51
10/16/2025,16.9,"4,354,539",17.35,17.43,16.755
10/15/2025,17.43,"3,790,051",17.265,17.6799,17.08
10/14/2025,17.29,"4,230,830",16.96,17.44,16.63
10/13/2025,17.1,"4,426,748",17.13,17.54,17.035
10/10/2025,17.0,"6,055,565",18.1,18.1,16.89
10/09/2025,17.97,"4,697,925",18.5,18.6534,17.895
10/08/2025,18.5,"8,336,288",18.38,18.87,18.14
10/07/2025,18.51,"5,035,197",19.09,19.224,18.23
10/06/2025,19.13,"10,251,160",19.14,19.22,18.685
10/03/2025,19.09,"12,239,030",18.6,19.45,18.6
10/02/2025,18.62,"4,635,404",18.91,19.15,18.605
10/01/2025,18.89,"4,902,976",18.88,19.125,18.6
09/30/2025,18.92,"11,997,130",19.31,20.09,18.87
09/29/2025,19.5,"8,183,585",19.17,19.695,18.31
09/26/2025,18.92,"4,528,930",18.91,19.14,18.68
09/25/2025,18.93,"7,548,222",18.725,19.34,18.6
09/24/2025,19.12,"11,908,370",19.58,20.05,19.0
09/23/2025,19.73,"23,432,200",18.69,20.86,18.29
09/22/2025,18.61,"13,813,060",18.92,19.2958,18.48
09/19/2025,18.92,"21,734,800",18.0,19.23,17.7
09/18/2025,17.875,"5,567,001",18.0,18.15,17.66
09/17/2025,17.92,"7,332,397",17.64,18.31,17.57
09/16/2025,17.53,"9,622,727",18.59,18.6199,17.45
09/15/2025,18.58,"11,157,410",18.8,19.05,18.22
09/12/2025,18.79,"32,421,300",17.46,18.87,16.9
09/11/2025,17.46,"48,508,780",15.02,17.58,13.99
09/10/2025,15.11,"6,164,326",15.3,15.79,14.83
09/09/2025,15.2,"6,071,125",14.95,15.47,14.715
09/08/2025,15.19,"6,514,822",15.07,15.235,14.745
09/05/2025,15.0,"7,422,232",14.48,15.1763,14.4799
09/04/2025,14.74,"5,291,765",14.92,15.0399,14.41
09/03/2025,15.06,"8,362,669",14.445,15.31,14.39
09/02/2025,14.46,"5,127,161",14.54,14.66,14.19
08/29/2025,14.7,"4,862,759",14.62,14.785,14.38
08/28/2025,14.69,"5,585,042",14.77,15.03,14.42
08/27/2025,14.81,"12,166,100",15.71,15.71,14.63
08/26/2025,15.84,"14,226,840",15.71,15.905,15.15
08/25/2025,15.96,"8,131,635",15.91,16.395,15.75
08/22/2025,16.0,"14,871,580",15.57,16.64,15.2507
08/21/2025,16.03,"46,431,450",13.95,16.3,13.95
