date,close,volume,open,high,low
05/15/2026,176.2,"2,066,210",173.39,176.54,173.12
05/14/2026,171.51,"2,186,443",172.24,173.6,170.69
05/13/2026,171.82,"3,347,001",176.16,177.02,170.84
05/12/2026,175.43,"3,256,854",176.84,177.6499,175.1
05/11/2026,175.36,"2,432,410",173.51,176.34,171.56
05/08/2026,171.56,"2,917,678",168.08,171.96,166.82
05/07/2026,168.31,"2,477,480",168.39,170.21,165.44
05/06/2026,171.72,"2,379,379",173.55,175.45,169.89
05/05/2026,180.26,"1,687,776",178.76,181.41,177.93
05/04/2026,178.47,"2,368,941",176.18,180.67,175.125
05/01/2026,176.19,"2,431,721",178.0,180.25,172.78
04/30/2026,179.15,"3,613,548",172.58,179.38,171.475
04/29/2026,173.49,"3,756,734",165.15,177.1599,165.0
04/28/2026,165.13,"2,828,851",166.76,167.2,164.5601
04/27/2026,164.1,"2,771,426",163.25,166.98,163.13
04/24/2026,162.85,"2,434,498",161.0,162.96,160.05
04/23/2026,159.53,"2,287,087",161.43,162.57,158.0
04/22/2026,160.65,"1,945,784",160.76,161.8528,159.81
04/21/2026,159.38,"1,807,446",157.55,160.08,155.58
04/20/2026,155.75,"2,119,584",155.83,157.12,154.64
04/17/2026,156.37,"3,694,416",157.08,158.4399,153.58
04/16/2026,163.33,"2,480,744",161.9,165.03,161.875
04/15/2026,161.44,"2,311,457",157.9,161.86,156.9102
04/14/2026,158.76,"2,481,173",159.37,160.24,157.166
04/13/2026,160.4,"3,222,139",161.06,162.64,158.4
04/10/2026,159.25,"2,927,059",160.19,161.6,156.52
04/09/2026,161.07,"3,309,653",168.01,170.0,159.9
04/08/2026,168.0,"3,781,849",166.7,168.85,163.165
04/07/2026,174.7,"3,815,599",172.1,177.15,171.51
04/06/2026,177.33,"2,247,672",175.47,177.36,173.67
04/02/2026,176.21,"2,947,467",180.64,181.29,174.82
04/01/2026,175.64,"5,706,991",180.01,181.26,173.15
03/31/2026,182.18,"4,551,745",185.02,187.37,178.625
03/30/2026,184.81,"2,805,294",189.5,190.61,184.75
03/27/2026,188.28,"3,568,429",183.26,188.53,181.955
03/26/2026,184.01,"3,276,081",181.36,187.5699,181.31
