date,close,volume,open,high,low
05/15/2026,769.99,"1,012,582",761.77,776.5,746.23
05/14/2026,780.08,"827,566",775.0,782.6816,768.14
05/13/2026,773.72,"1,147,352",781.36,781.52,753.26
05/12/2026,765.81,"1,344,092",767.38,771.18,743.71
05/11/2026,781.38,"1,411,464",749.42,781.73,745.0
05/08/2026,745.0,"1,241,744",761.67,762.22,744.01
05/07/2026,750.73,"1,979,915",780.63,780.63,742.4
05/06/2026,785.24,"1,211,022",773.86,788.75,758.21
05/05/2026,771.61,"1,284,023",772.6,777.835,756.39
05/04/2026,757.34,"1,316,195",749.6,763.1099,739.3
05/01/2026,742.21,"1,328,434",736.55,742.33,717.2
04/30/2026,727.77,"2,426,595",699.61,728.85,691.875
04/29/2026,628.6,"1,328,648",632.43,637.0,625.22
04/28/2026,630.94,"1,304,436",623.7,637.82,614.52
04/27/2026,637.28,"1,012,797",630.0,640.61,617.18
04/24/2026,624.84,"741,470",638.0,638.9007,621.9
04/23/2026,633.44,"991,995",618.41,638.4216,618.41
04/22/2026,613.78,"931,315",612.93,621.3125,610.0
04/21/2026,605.89,"550,268",609.67,611.64,602.0
04/20/2026,604.97,"616,813",603.9,607.26,599.0
04/17/2026,601.88,"1,176,749",587.64,603.39,584.58
04/16/2026,587.42,"753,888",583.57,591.96,580.13
04/15/2026,591.82,"970,082",586.38,593.7174,581.14
04/14/2026,594.4,"784,396",597.61,599.0,584.37
04/13/2026,595.84,"1,022,678",585.36,596.42,582.25
04/10/2026,585.36,"611,455",581.5,590.5,576.495
04/09/2026,582.06,"935,329",576.0,592.58,576.0
04/08/2026,576.24,"1,013,620",573.27,582.24,567.125
04/07/2026,555.57,"522,678",550.085,558.4,548.19
04/06/2026,554.38,"618,536",558.56,563.32,550.0
04/02/2026,560.63,"947,321",548.03,574.99,547.0
04/01/2026,560.12,"1,163,759",555.885,569.27,554.06
03/31/2026,549.02,"1,386,751",536.81,555.3687,522.03
03/30/2026,533.78,"1,559,040",557.9,557.9,527.23
03/27/2026,549.98,"1,203,961",548.7,564.12,548.47
03/26/2026,545.64,"1,265,514",563.22,567.2969,544.855
03/25/2026,573.5,"979,380",580.0,582.48,572.8
03/24/2026,578.44,"1,450,991",563.77,581.9358,559.02
03/23/2026,567.45,"1,217,491",559.68,582.0,558.4
03/20/2026,555.39,"1,689,484",577.59,582.48,551.05
03/19/2026,577.95,"853,535",561.8,580.88,558.5801
03/18/2026,572.0,"692,933",576.7,583.73,570.615
03/17/2026,571.64,"796,335",571.51,578.4,558.47
03/16/2026,574.02,"1,421,445",567.36,576.54,565.19
03/13/2026,559.02,"2,016,480",572.36,574.38,556.0
03/12/2026,566.91,"952,292",562.47,576.47,559.88
03/11/2026,567.71,"942,172",561.21,575.71,558.91
03/10/2026,564.05,"1,151,840",568.98,576.8599,561.42
03/09/2026,568.04,"1,611,943",531.21,568.91,531.21
03/06/2026,540.19,"1,105,588",534.29,553.21,532.0
03/05/2026,549.22,"1,169,489",561.07,568.09,534.355
03/04/2026,568.38,"1,056,363",571.14,573.0,560.62
03/03/2026,566.0,"1,009,204",558.2,569.28,547.0
03/02/2026,572.66,"808,145",556.735,573.9732,556.735
02/27/2026,563.08,"1,537,501",558.78,569.75,551.0
02/26/2026,565.05,"1,083,261",565.54,565.84,543.23
02/25/2026,562.77,"941,717",573.94,573.94,562.58
02/24/2026,568.21,"1,291,366",550.88,570.92,538.09
02/23/2026,549.11,"1,074,815",552.0,562.38,543.44
02/20/2026,552.66,"1,061,681",554.36,565.93,548.22
02/19/2026,554.0,"1,701,255",544.87,554.64,527.05
02/18/2026,519.31,"1,439,454",527.74,535.65,518.72
02/17/2026,525.13,"930,676",520.0,534.78,518.62
02/13/2026,524.08,"864,947",517.07,529.0,508.11
02/12/2026,515.88,"1,517,714",530.0,543.2799,512.39
02/11/2026,523.96,"1,056,416",520.99,534.5,512.11
02/10/2026,510.64,"806,405",515.09,517.49,507.67
02/09/2026,514.56,"1,084,832",508.465,520.4199,503.2
02/06/2026,508.11,"1,517,724",489.32,508.45,482.51
02/05/2026,477.72,"1,111,982",457.11,479.67,456.2501
02/04/2026,464.57,"1,482,763",490.01,492.7999,451.1701
02/03/2026,488.6,"1,243,412",480.4,490.4653,474.21
02/02/2026,477.77,"1,233,192",472.64,478.045,465.72
01/30/2026,474.63,"1,838,390",475.0,483.435,471.7
01/29/2026,483.43,"1,035,523",481.28,489.055,473.57
01/28/2026,481.28,"976,259",481.0,487.0,472.16
01/27/2026,479.27,"821,295",474.16,483.75,467.0
01/26/2026,470.77,"548,490",470.55,478.88,467.3
01/23/2026,468.76,"761,681",470.2,470.99,462.01
01/22/2026,468.78,"979,091",479.05,483.29,459.43
01/21/2026,473.24,"1,235,337",468.35,477.96,460.02
01/20/2026,463.49,"909,798",461.06,469.74,458.88
01/16/2026,466.75,"2,216,756",460.15,480.93,455.71
01/15/2026,447.64,"785,351",445.81,454.11,444.32
01/14/2026,437.07,"925,809",443.09,446.89,426.59
01/13/2026,444.2,"841,784",434.79,445.63,433.52
01/12/2026,432.66,"746,726",421.08,435.33,418.91
01/09/2026,422.57,"1,028,739",422.45,423.71,417.1001
01/08/2026,413.17,"1,376,998",437.78,437.95,408.36
01/07/2026,436.89,"716,472",440.0,442.0,433.44
01/06/2026,438.22,"807,573",433.88,440.0,418.245
01/05/2026,435.82,"1,184,736",444.7,452.24,435.0
01/02/2026,439.68,"887,063",424.95,441.97,424.95
12/31/2025,422.06,"521,264",428.65,429.17,421.54
12/30/2025,428.81,"465,185",430.74,432.4491,427.78
12/29/2025,431.03,"503,118",430.54,435.95,430.09
12/26/2025,432.67,"279,242",433.0,433.58,429.68
12/24/2025,433.58,"306,389",434.73,434.8,430.63
12/23/2025,435.2,"562,590",431.94,437.405,431.0
12/22/2025,433.03,"772,944",433.11,435.4,428.51
12/19/2025,426.66,"1,602,472",422.21,431.99,421.45
12/18/2025,421.31,"1,099,297",427.0,427.46,419.03
12/17/2025,414.25,"1,556,777",436.48,441.41,412.59
12/16/2025,438.49,"988,038",435.36,440.46,430.81
12/15/2025,435.87,"1,564,743",436.54,443.85,433.3
12/12/2025,438.11,"1,497,126",464.85,465.494,431.56
12/11/2025,466.91,"716,719",460.0,467.86,450.26
12/10/2025,462.21,"1,057,797",460.17,469.52,452.1455
12/09/2025,457.96,"744,877",460.5,465.4536,457.44
12/08/2025,463.09,"835,987",471.11,473.99,460.34
12/05/2025,460.64,"728,790",464.84,465.42,456.56
12/04/2025,464.84,"942,953",454.655,467.09,450.0
12/03/2025,456.02,"734,687",454.515,458.35,440.9001
12/02/2025,454.72,"831,657",458.02,458.9999,447.94
12/01/2025,452.23,"842,763",457.3,459.785,449.26
11/28/2025,464.88,"409,487",463.47,466.25,458.6
11/26/2025,460.43,"1,009,042",452.69,462.065,452.04
11/25/2025,450.14,"1,055,000",443.34,450.37,425.0
11/24/2025,442.64,"1,782,093",433.5,448.07,430.9753
11/21/2025,430.15,"1,401,213",427.71,431.2999,413.0
11/20/2025,429.78,"1,146,922",456.9,463.405,426.94
11/19/2025,445.47,"1,276,143",442.05,449.82,439.27
11/18/2025,439.29,"1,663,447",422.0,443.22,420.0
11/17/2025,426.87,"1,099,497",428.76,434.7,421.9
11/14/2025,429.3,"1,254,401",418.0,437.34,415.33
11/13/2025,426.93,"1,276,642",448.0,449.41,424.74
11/12/2025,449.42,"706,241",451.16,456.42,448.33
11/11/2025,448.91,"728,163",446.79,452.56,440.615
11/10/2025,450.38,"700,575",455.07,456.86,439.66
11/07/2025,445.01,"818,603",436.05,446.66,430.11
11/06/2025,442.9,"963,178",453.37,457.52,441.26
11/05/2025,453.45,"984,375",442.45,459.13,442.0
11/04/2025,438.66,"840,287",441.91,445.16,433.66
11/03/2025,450.82,"804,358",451.54,456.46,448.7992
10/31/2025,449.13,"1,935,337",455.48,469.43,448.0
10/30/2025,453.83,"1,766,320",440.41,460.86,438.975
10/29/2025,448.69,"1,886,840",441.85,459.36,441.82
10/28/2025,439.57,"813,033",442.77,443.3099,433.88
10/27/2025,441.82,"825,288",444.39,446.68,437.89
10/24/2025,440.93,"893,332",438.8,447.17,438.25
10/23/2025,427.36,"868,580",413.0,430.52,413.0
10/22/2025,412.21,"1,732,125",441.81,443.75,404.505
10/21/2025,437.43,"926,775",437.52,441.095,423.3001
10/20/2025,440.74,"701,371",437.16,444.06,437.16
10/17/2025,433.85,"713,951",435.94,440.68,430.0001
10/16/2025,437.52,"939,411",440.41,446.5999,434.215
