date,close,volume,open,high,low
05/15/2026,157.23,"1,678,372",157.35,159.09,154.52
05/14/2026,164.12,"2,162,346",163.6,165.565,160.89
05/13/2026,162.02,"2,660,609",170.72,171.52,160.22
05/12/2026,168.36,"4,434,383",161.05,168.52,153.46
05/11/2026,153.24,"3,341,483",147.8,156.5325,147.41
05/08/2026,147.33,"2,008,424",147.78,149.3053,145.56
05/07/2026,143.59,"1,953,360",150.9,150.91,142.51
05/06/2026,149.44,"1,859,883",148.04,151.36,145.12
05/05/2026,146.47,"1,131,420",143.74,147.99,143.5
05/04/2026,141.06,"1,196,090",143.26,143.7199,139.805
05/01/2026,143.33,"1,220,599",141.1,143.72,138.565
04/30/2026,140.66,"2,510,955",143.08,144.895,137.35
04/29/2026,141.3,"1,917,532",139.33,142.0,137.37
04/28/2026,137.59,"1,423,263",138.85,141.17,135.2
04/27/2026,143.85,"2,116,039",144.01,144.84,138.01
04/24/2026,144.48,"1,602,109",142.88,146.67,141.43
04/23/2026,140.13,"2,629,021",138.6,146.0,138.4
04/22/2026,139.25,"1,379,208",137.38,139.79,136.0
04/21/2026,134.85,"1,209,996",138.9,139.1312,133.805
04/20/2026,138.1,"1,032,304",136.25,138.2799,134.99
04/17/2026,136.29,"1,399,901",134.27,137.8,133.87
04/16/2026,131.3,"1,187,983",130.39,132.225,129.26
04/15/2026,131.79,"1,307,512",131.73,132.75,129.2
04/14/2026,132.77,"1,264,488",135.69,136.31,131.75
04/13/2026,135.02,"1,517,811",130.08,135.06,129.775
04/10/2026,130.65,"1,390,536",131.46,132.21,130.11
04/09/2026,129.88,"1,578,422",128.745,132.49,128.745
04/08/2026,129.34,"2,251,982",126.5,131.9099,124.62
04/07/2026,118.99,"1,312,667",117.12,119.92,116.37
04/06/2026,118.87,"1,021,517",117.0,119.05,115.32
04/02/2026,116.53,"791,732",113.965,120.43,112.5727
04/01/2026,118.56,"1,266,313",115.92,120.82,115.92
03/31/2026,115.38,"1,560,647",109.11,115.51,108.09
03/30/2026,107.11,"1,858,320",113.79,113.97,106.17
03/27/2026,111.76,"1,473,772",111.22,113.06,109.7
03/26/2026,112.78,"1,603,163",117.095,118.97,112.19
03/25/2026,120.26,"1,274,792",120.0,122.64,119.38
03/24/2026,118.34,"1,711,038",113.71,119.31,113.71
03/23/2026,114.92,"2,830,147",112.01,117.86,111.02
03/20/2026,107.59,"5,038,759",111.07,111.945,106.22
03/19/2026,111.94,"2,290,201",109.86,113.78,108.57
03/18/2026,113.98,"1,307,153",112.54,116.2,112.4
03/17/2026,113.57,"1,164,577",112.38,113.59,110.4
03/16/2026,112.25,"1,831,143",111.95,113.22,109.9
03/13/2026,109.05,"2,174,010",108.9,110.28,106.74
03/12/2026,107.04,"2,623,321",113.5,113.79,105.41
03/11/2026,116.27,"2,476,398",113.89,116.66,113.785
03/10/2026,113.97,"1,973,283",113.46,117.1599,112.582
03/09/2026,114.25,"1,996,018",106.99,114.345,106.0
03/06/2026,110.14,"2,299,030",112.06,115.92,109.27
03/05/2026,115.92,"2,172,903",117.11,119.75,113.44
03/04/2026,120.03,"2,507,742",118.97,120.64,116.8372
03/03/2026,116.12,"3,234,866",117.275,119.31,113.71
03/02/2026,124.07,"2,131,830",124.43,126.07,121.29
02/27/2026,126.76,"4,738,845",122.53,127.18,120.9
02/26/2026,124.78,"8,400,001",139.94,140.6,117.0001
02/25/2026,119.86,"4,119,513",118.0,120.25,116.5649
02/24/2026,116.79,"2,421,603",112.39,117.91,112.39
02/23/2026,111.58,"2,343,689",112.75,113.74,110.1
02/20/2026,113.46,"2,209,464",111.67,116.2,111.2401
02/19/2026,112.86,"1,656,483",114.61,115.1,110.54
02/18/2026,115.25,"3,416,739",111.84,117.15,111.65
02/17/2026,111.94,"1,940,480",110.93,113.22,108.08
02/13/2026,111.69,"2,743,943",109.04,113.88,108.07
02/12/2026,108.54,"2,665,687",115.47,117.69,107.57
02/11/2026,114.51,"3,003,469",110.62,114.88,109.06
02/10/2026,109.3,"4,257,628",108.26,112.4094,107.3522
02/09/2026,105.2,"2,784,215",98.51,106.29,97.63
02/06/2026,98.22,"1,739,526",94.985,99.79,94.0
02/05/2026,92.77,"1,515,042",94.57,97.0,92.67
02/04/2026,95.51,"2,481,610",100.05,100.92,92.85
02/03/2026,99.88,"2,412,597",100.3,102.44,97.51
02/02/2026,100.67,"1,998,214",96.23,100.83,95.9
01/30/2026,96.18,"2,547,984",98.89,99.89,96.01
01/29/2026,99.91,"1,573,804",102.68,103.0,96.42
01/28/2026,102.43,"2,382,159",100.94,103.1,99.25
01/27/2026,99.45,"1,286,189",97.79,100.61,97.79
01/26/2026,96.74,"1,813,907",96.32,99.3335,95.24
01/23/2026,96.11,"2,288,900",97.5,98.0,94.96
01/22/2026,98.76,"3,652,324",106.0,107.84,97.9
01/21/2026,102.7,"4,158,813",96.62,103.87,95.34
01/20/2026,95.13,"1,719,449",93.97,97.63,93.12
01/16/2026,97.25,"4,156,657",94.17,100.13,93.955
01/15/2026,93.12,"4,533,755",93.64,97.84,92.89
01/14/2026,89.88,"1,266,450",88.45,89.94,85.67
01/13/2026,89.67,"2,735,547",91.09,92.04,88.93
01/12/2026,90.91,"2,865,373",89.95,92.95,89.34
01/09/2026,90.31,"2,140,662",90.17,91.89,88.84
01/08/2026,89.5,"2,337,002",89.91,90.74,88.33
01/07/2026,90.31,"1,655,595",92.0,92.94,89.34
01/06/2026,91.14,"2,103,941",85.21,91.91,85.0
01/05/2026,85.11,"1,269,475",85.0,86.87,84.98
01/02/2026,84.98,"1,221,099",81.69,86.32,81.61
12/31/2025,81.65,"1,098,043",84.09,84.09,81.56
12/30/2025,84.01,"1,142,943",84.11,85.0,83.48
12/29/2025,83.59,"1,117,669",84.0,84.38,83.0
12/26/2025,84.21,"851,169",83.63,84.43,83.475
12/24/2025,83.37,"637,046",83.37,83.64,82.71
12/23/2025,83.17,"1,244,138",81.54,83.26,81.13
12/22/2025,81.89,"1,723,531",80.96,82.73,80.545
12/19/2025,79.7,"6,553,346",79.37,80.0,77.18
12/18/2025,79.03,"2,565,737",78.32,80.69,77.76
12/17/2025,76.26,"2,017,451",78.93,78.98,75.67
12/16/2025,78.5,"2,971,683",76.5,79.13,76.14
12/15/2025,76.63,"2,338,487",79.65,80.72,75.655
12/12/2025,78.94,"2,778,583",84.38,84.59,78.35
12/11/2025,84.8,"2,563,539",85.76,86.24,83.51
12/10/2025,86.2,"2,396,827",83.79,87.95,82.73
12/09/2025,85.09,"1,405,026",84.0,85.23,83.715
12/08/2025,84.3,"1,652,967",81.95,84.69,81.82
12/05/2025,82.04,"1,980,350",83.41,83.85,81.82
12/04/2025,83.46,"1,826,354",80.0,83.57,79.81
12/03/2025,80.28,"1,244,671",79.97,81.05,78.9
12/02/2025,79.75,"2,182,128",78.17,80.49,77.97
12/01/2025,77.6,"1,622,241",79.0,81.0899,77.42
11/28/2025,81.09,"947,312",79.28,81.25,79.28
11/26/2025,79.23,"2,235,053",77.95,80.74,77.0
11/25/2025,78.01,"3,033,463",73.0,79.06,72.94
11/24/2025,73.54,"5,002,063",76.34,76.735,72.81
11/21/2025,75.8,"2,736,147",74.97,77.935,73.22
11/20/2025,74.9,"3,072,505",82.01,83.5,74.5
11/19/2025,79.62,"3,325,417",79.13,80.3099,75.72
11/18/2025,78.98,"3,116,936",79.5,82.03,78.01
11/17/2025,81.46,"2,504,885",81.63,84.1,79.2
11/14/2025,83.48,"2,466,317",84.15,87.05,81.621
11/13/2025,85.9,"3,926,142",91.5,91.75,84.82
11/12/2025,91.96,"2,740,675",96.67,96.67,91.25
11/11/2025,96.53,"2,492,584",98.45,102.15,95.5
11/10/2025,96.6,"3,220,414",94.93,99.39,93.6
11/07/2025,92.31,"3,282,809",92.16,95.0,88.681
11/06/2025,93.33,"4,096,204",100.0,101.15,93.33
11/05/2025,99.65,"7,108,485",105.01,105.4,93.38
11/04/2025,100.91,"6,091,259",99.5,104.0,97.8
11/03/2025,97.0,"10,626,220",98.0,100.54,95.0
10/31/2025,95.0,"282,542",95.0,95.98,91.4
10/30/2025,93.4,"122,575",94.1,94.98,91.675
10/29/2025,94.04,"91,682",94.5,96.89,92.12
10/28/2025,94.74,"172,557",99.01,103.5,93.01
10/27/2025,95.3,"69,664",70.5,101.52,70.5
