date,close,volume,open,high,low
05/14/2026,200.08,"24,883,880",208.51,209.53,199.66
05/13/2026,213.17,"26,226,300",216.625,219.49,207.15
05/12/2026,210.31,"38,590,140",229.84,230.0,202.0
05/11/2026,237.53,"45,473,980",232.005,247.9,231.2
05/08/2026,219.09,"37,850,000",213.0,228.05,208.63
05/07/2026,202.55,"51,092,200",190.67,223.66,187.64
05/06/2026,192.57,"30,145,050",195.18,197.5,188.22
05/05/2026,186.55,"34,274,860",167.65,187.22,164.79
05/04/2026,168.38,"23,117,410",177.22,180.49,166.8305
05/01/2026,177.01,"21,111,480",179.13,179.99,171.15
04/30/2026,179.58,"61,132,670",172.05,186.8899,163.56
04/29/2026,156.0,"37,571,190",151.45,157.29,151.0
04/28/2026,150.0,"22,921,330",145.08,151.5,144.0001
04/27/2026,150.26,"41,743,960",156.305,161.0,147.05
04/24/2026,148.85,"29,449,570",145.61,151.5399,143.58
04/23/2026,133.95,"10,164,900",136.0,136.99,132.05
04/22/2026,136.07,"9,432,669",136.64,137.49,135.55
04/21/2026,135.56,"11,874,600",138.12,138.26,135.045
04/20/2026,137.52,"7,953,827",136.41,138.5,136.08
04/17/2026,136.2,"9,667,577",136.69,136.965,134.41
04/16/2026,134.47,"8,163,727",131.79,135.7014,131.79
04/15/2026,133.05,"9,691,504",133.44,134.34,132.28
04/14/2026,132.84,"7,608,292",132.2,132.935,131.05
04/13/2026,131.24,"8,614,997",128.0,131.305,126.46
04/10/2026,128.06,"8,427,437",128.8,130.61,127.85
04/09/2026,127.75,"9,352,747",127.255,128.59,126.8
04/08/2026,127.51,"12,535,800",128.65,128.885,125.62
04/07/2026,124.07,"8,840,394",125.065,125.41,121.99
04/06/2026,125.73,"8,038,584",126.56,127.43,123.71
04/02/2026,126.8,"8,575,338",125.23,127.0,124.0101
04/01/2026,127.28,"10,210,650",128.0,130.23,126.98
03/31/2026,128.78,"12,219,780",128.395,129.29,125.78
03/30/2026,127.07,"11,555,920",127.45,128.5975,126.34
03/27/2026,127.11,"8,964,912",129.89,130.04,126.675
03/26/2026,130.54,"11,912,540",128.79,132.34,128.31
03/25/2026,130.35,"6,669,443",130.16,131.925,129.95
03/24/2026,128.67,"8,409,239",128.34,129.1799,127.31
03/23/2026,128.35,"11,431,610",133.15,133.97,127.41
03/20/2026,129.9,"78,568,040",131.31,132.75,129.775
03/19/2026,131.28,"9,846,723",129.14,132.68,128.9
03/18/2026,130.47,"9,894,337",130.73,132.735,129.93
03/17/2026,131.59,"10,544,280",133.52,134.05,131.18
03/16/2026,129.39,"10,132,860",131.072,131.8662,128.94
03/13/2026,129.82,"7,786,744",131.15,133.415,129.22
03/12/2026,131.15,"9,162,771",133.47,134.87,130.61
03/11/2026,134.12,"7,840,195",136.45,138.1999,133.96
03/10/2026,135.2,"10,447,280",134.7,136.745,132.16
03/09/2026,138.11,"12,304,570",133.49,138.58,132.46
03/06/2026,135.69,"9,196,954",134.168,137.18,133.42
03/05/2026,137.0,"8,980,989",137.59,139.66,135.8
03/04/2026,139.51,"9,309,766",138.22,139.89,137.42
03/03/2026,138.13,"10,372,450",138.265,139.2,136.3
03/02/2026,141.03,"8,963,863",137.825,142.005,136.894
02/27/2026,142.36,"12,439,870",142.855,143.91,141.35
02/26/2026,145.59,"8,642,078",145.92,146.94,144.52
02/25/2026,145.82,"7,358,297",145.6,146.025,144.02
02/24/2026,144.78,"11,085,710",142.555,146.37,142.06
02/23/2026,140.41,"8,260,065",141.97,144.06,139.64
02/20/2026,142.88,"10,265,140",140.305,144.07,140.1
02/19/2026,141.27,"8,219,408",141.875,142.32,139.9
02/18/2026,143.24,"9,944,518",143.5,144.48,140.72
02/17/2026,142.63,"10,670,750",141.0,143.5,140.01
02/13/2026,140.7,"13,134,420",137.12,141.48,136.74
02/12/2026,138.47,"12,416,600",140.86,141.4999,136.74
02/11/2026,141.04,"9,379,251",140.03,142.39,139.11
02/10/2026,140.09,"9,762,893",138.145,140.41,136.79
02/09/2026,138.93,"11,022,740",137.1,139.94,136.5
02/06/2026,137.34,"15,036,840",136.87,139.15,135.2775
02/05/2026,136.3,"30,229,560",132.92,139.33,132.73
02/04/2026,148.89,"19,249,270",148.71,153.47,148.17
02/03/2026,147.18,"11,966,390",150.72,150.72,144.3
02/02/2026,152.62,"9,099,119",150.97,153.64,150.82
01/30/2026,151.59,"9,577,248",149.96,153.065,149.83
01/29/2026,152.22,"9,142,912",153.09,153.23,149.73
01/28/2026,152.7,"8,538,968",152.0,154.0,150.4
01/27/2026,153.04,"8,354,602",156.325,156.74,152.66
01/26/2026,154.52,"8,004,190",154.8,156.2,154.3
01/23/2026,155.82,"7,106,729",157.04,157.98,154.8514
01/22/2026,157.8,"7,450,265",158.47,159.43,156.81
01/21/2026,156.37,"9,181,864",156.33,157.525,154.62
01/20/2026,154.07,"11,971,420",154.95,157.715,153.25
01/16/2026,159.42,"11,990,780",161.39,161.7,159.21
01/15/2026,161.39,"9,241,619",166.45,166.5,161.03
01/14/2026,164.54,"7,959,944",163.685,164.74,162.35
01/13/2026,165.29,"9,993,286",166.98,168.35,164.97
01/12/2026,169.27,"13,657,650",175.88,175.88,169.24
01/09/2026,177.78,"9,662,223",178.12,179.44,174.8
01/08/2026,181.87,"8,353,491",178.8,184.31,176.2
01/07/2026,180.19,"9,853,049",182.39,184.07,177.11
01/06/2026,182.45,"11,033,900",177.205,184.45,176.62
01/05/2026,176.31,"8,972,210",175.46,178.85,174.01
01/02/2026,172.98,"6,532,243",173.798,174.68,172.2
12/31/2025,171.05,"4,682,573",173.61,173.775,171.01
12/30/2025,173.65,"3,429,263",174.06,174.4,173.34
12/29/2025,173.43,"3,978,377",174.01,175.19,172.79
12/26/2025,174.81,"2,442,840",175.0,175.5,174.35
12/24/2025,174.77,"1,645,260",175.04,175.49,174.415
12/23/2025,174.75,"4,690,449",173.61,175.27,173.51
12/22/2025,174.22,"6,422,135",177.555,178.3192,173.895
12/19/2025,175.25,"25,223,480",174.44,177.19,174.2
12/18/2025,174.19,"8,967,544",175.71,177.08,173.525
12/17/2025,172.34,"8,501,903",176.12,177.48,172.05
12/16/2025,176.12,"7,135,986",179.185,179.185,174.81
12/15/2025,179.26,"6,954,650",179.715,180.31,176.39
12/12/2025,178.29,"8,865,761",181.245,183.11,177.87
12/11/2025,181.27,"6,319,247",181.37,181.64,178.09
12/10/2025,182.21,"11,100,120",175.81,183.44,175.252
12/09/2025,176.0,"7,719,074",174.5,176.348,172.32
12/08/2025,175.31,"6,690,187",174.74,175.5,173.72
12/05/2025,174.81,"8,400,077",174.74,177.25,174.5
12/04/2025,174.35,"7,245,026",174.33,174.93,173.23
12/03/2025,175.07,"7,624,346",170.9,175.09,170.35
12/02/2025,170.7,"9,159,133",168.75,171.17,167.64
12/01/2025,168.04,"6,818,321",165.91,169.03,165.5
11/28/2025,168.09,"5,068,827",165.03,168.19,164.13
11/26/2025,165.14,"7,967,687",164.12,166.25,163.15
11/25/2025,163.3,"7,758,117",163.99,164.97,161.8739
11/24/2025,165.06,"12,070,080",164.37,166.94,163.72
11/21/2025,163.3,"10,815,050",160.75,165.27,159.1
11/20/2025,159.59,"12,075,370",167.13,168.88,158.85
11/19/2025,166.11,"8,176,450",164.69,167.51,164.11
11/18/2025,165.06,"11,073,250",164.89,166.79,161.39
11/17/2025,166.75,"10,211,090",172.8,174.84,165.17
11/14/2025,173.98,"7,949,889",171.775,175.69,171.4
11/13/2025,174.5,"9,526,052",176.63,178.83,173.03
11/12/2025,176.67,"8,785,819",175.0,177.42,174.88
11/11/2025,173.98,"8,419,074",171.0,175.98,171.0
11/10/2025,171.57,"10,129,280",173.755,174.7975,169.5
11/07/2025,170.89,"10,614,710",172.725,174.25,168.25
11/06/2025,173.2,"16,184,720",177.8,178.51,170.06
11/05/2025,179.72,"18,845,530",174.76,183.429,174.32
11/04/2025,172.84,"12,323,610",177.48,179.34,172.29
11/03/2025,180.72,"8,535,148",182.95,183.45,179.09
10/31/2025,180.9,"9,452,781",178.52,182.15,176.83
10/30/2025,177.26,"7,862,891",178.68,179.88,177.19
10/29/2025,178.67,"11,614,580",182.0,183.49,178.2
10/28/2025,181.03,"20,323,130",183.925,185.91,179.41
10/27/2025,187.68,"81,799,260",168.95,205.95,168.82
10/24/2025,168.94,"6,255,987",171.69,172.42,168.47
10/23/2025,170.03,"6,546,403",168.33,171.25,167.88
10/22/2025,169.27,"10,083,800",167.49,169.78,166.02
10/21/2025,168.83,"6,176,069",166.8,169.24,166.2
10/20/2025,167.04,"8,194,111",163.34,167.65,162.06
10/17/2025,163.45,"4,833,067",162.86,163.79,161.67
10/16/2025,164.08,"5,686,686",164.49,165.189,162.21
10/15/2025,162.97,"7,334,149",164.24,164.24,160.31
10/14/2025,161.74,"8,675,208",159.3,164.265,159.265
10/13/2025,161.78,"10,311,040",155.95,162.39,155.78
10/10/2025,153.59,"15,818,650",164.82,165.09,153.35
10/09/2025,165.66,"6,928,402",167.365,167.61,163.23
10/08/2025,167.77,"7,302,175",166.24,168.55,163.885
10/07/2025,165.46,"7,147,516",169.9,171.98,165.14
10/06/2025,168.62,"8,265,822",170.54,170.88,167.72
10/03/2025,169.18,"5,137,913",168.85,171.75,168.74
10/02/2025,168.85,"5,499,494",167.75,169.54,167.18
10/01/2025,166.49,"6,153,017",165.8,166.77,164.49
09/30/2025,166.36,"5,593,278",165.64,166.8356,164.8796
09/29/2025,165.3,"7,523,124",169.2,169.84,164.76
09/26/2025,169.2,"4,846,018",169.68,170.93,168.1325
09/25/2025,169.68,"8,093,721",171.21,171.97,167.935
09/24/2025,173.55,"9,213,654",169.05,174.44,168.67
09/23/2025,169.53,"5,468,356",169.82,170.8476,168.3
09/22/2025,169.72,"6,196,606",166.85,170.22,165.92
09/19/2025,166.85,"19,444,430",169.17,169.58,166.29
09/18/2025,168.13,"10,421,220",166.88,168.86,166.225
09/17/2025,165.26,"6,057,848",164.68,166.3688,163.23
09/16/2025,164.14,"7,997,458",161.82,165.0,161.5
09/15/2025,161.22,"5,604,785",161.4,162.68,160.21
09/12/2025,161.83,"5,430,605",161.33,162.33,159.58
09/11/2025,161.51,"8,360,155",159.19,162.07,157.96
09/10/2025,158.95,"8,256,930",158.62,159.21,156.6101
09/09/2025,158.66,"6,125,983",160.37,161.605,157.57
09/08/2025,160.24,"7,019,709",160.29,160.29,158.01
09/05/2025,159.84,"7,954,191",160.08,163.49,159.15
09/04/2025,159.71,"7,781,194",156.2,159.86,154.47
09/03/2025,157.28,"6,336,394",159.395,159.57,156.06
09/02/2025,158.78,"7,520,324",157.82,158.94,154.6
08/29/2025,160.73,"9,949,092",159.53,161.595,159.4
08/28/2025,160.8,"8,156,289",159.905,161.22,159.03
08/27/2025,159.77,"4,549,850",158.36,159.97,157.8
08/26/2025,159.17,"9,173,048",157.66,159.96,157.41
08/25/2025,156.42,"4,653,018",157.61,158.05,155.4
08/22/2025,158.01,"7,711,478",154.83,159.89,154.56
08/21/2025,154.13,"4,997,281",154.82,155.2,153.05
08/20/2025,155.44,"7,151,699",156.39,156.64,153.46
08/19/2025,156.25,"6,396,532",159.07,159.43,156.05
08/18/2025,158.9,"4,774,409",157.78,159.75,157.24
08/15/2025,157.85,"7,583,742",158.04,159.26,156.6908
08/14/2025,158.09,"6,294,848",154.9,158.65,154.9
08/13/2025,156.59,"7,103,331",153.97,157.11,153.63
08/12/2025,153.73,"9,307,675",148.795,153.9,148.565
08/11/2025,147.97,"6,215,927",148.575,151.06,147.71
08/08/2025,147.56,"5,028,685",146.35,148.02,145.69
08/07/2025,145.9,"6,753,460",148.32,148.32,144.81
08/06/2025,145.84,"8,475,658",146.645,146.71,144.11
08/05/2025,146.71,"7,794,509",148.52,148.65,145.67
08/04/2025,147.51,"8,150,186",148.51,150.79,147.075
08/01/2025,148.19,"12,706,710",146.46,149.165,145.79
07/31/2025,146.76,"24,440,140",153.11,156.8039,145.5776
07/30/2025,159.06,"14,382,460",163.0,163.27,158.0
07/29/2025,162.08,"9,460,889",162.035,163.6,161.14
07/28/2025,161.05,"9,627,310",159.76,161.96,159.16
07/25/2025,158.4,"4,808,242",158.9,159.2,157.41
07/24/2025,158.84,"5,014,820",158.345,159.09,156.789
07/23/2025,159.88,"7,296,150",158.59,160.04,156.93
07/22/2025,157.99,"6,951,574",158.955,159.04,156.17
07/21/2025,158.97,"7,662,335",154.92,159.93,154.91
07/18/2025,154.8,"7,433,858",153.04,155.43,152.73
07/17/2025,152.61,"7,018,604",153.0,153.5299,151.8
07/16/2025,154.07,"7,106,685",154.3,154.5,151.5401
07/15/2025,154.3,"6,467,332",156.29,156.71,154.12
07/14/2025,154.29,"7,382,550",156.42,156.495,153.48
07/11/2025,157.46,"5,907,658",159.0,159.17,157.15
07/10/2025,159.09,"5,675,549",158.99,160.29,157.79
07/09/2025,159.35,"4,190,120",159.4,161.4838,158.25
07/08/2025,159.45,"6,879,080",159.47,161.83,158.61
07/07/2025,158.09,"7,187,449",161.11,161.49,157.57
07/03/2025,162.21,"4,280,773",163.045,163.9573,162.09
07/02/2025,162.32,"8,916,394",159.68,162.79,158.8
07/01/2025,159.4,"8,942,314",158.22,161.65,157.98
06/30/2025,159.26,"7,988,244",158.39,159.86,157.8
06/27/2025,158.54,"22,100,340",158.65,161.1,157.57
06/26/2025,158.19,"6,278,199",156.5,158.42,155.91
06/25/2025,155.93,"5,280,104",156.1,156.5317,154.59
06/24/2025,155.71,"7,692,670",154.73,156.3,154.15
06/23/2025,153.14,"6,860,687",151.23,153.52,149.683
06/20/2025,151.32,"15,501,850",154.23,155.12,150.63
06/18/2025,153.63,"6,708,683",155.0,156.0994,153.15
06/17/2025,154.46,"7,146,944",156.65,157.58,154.39
06/16/2025,156.87,"8,686,257",157.03,158.45,155.64
