date,close,volume,open,high,low
05/15/2026,260.29,"2,114,559",263.58,263.9,259.06
05/14/2026,265.38,"1,662,514",272.74,275.27,264.43
05/13/2026,264.2,"2,014,930",259.01,265.01,256.6
05/12/2026,258.12,"2,258,909",264.71,264.75,258.0
05/11/2026,263.46,"2,208,091",271.27,271.27,261.6
05/08/2026,275.24,"2,295,603",280.85,283.86,273.48
05/07/2026,280.87,"3,989,535",287.06,288.86,280.85
05/06/2026,287.08,"3,681,018",280.03,288.25,275.05
05/05/2026,263.98,"1,776,533",261.44,264.4999,258.5
05/04/2026,259.48,"3,080,745",261.08,266.94,256.6
05/01/2026,265.55,"2,599,798",265.77,271.88,258.585
04/30/2026,263.76,"5,219,676",268.01,281.4,262.04
04/29/2026,254.01,"4,313,742",254.35,258.13,250.38
04/28/2026,255.89,"2,130,423",255.86,259.97,254.28
04/27/2026,258.87,"2,465,693",262.02,265.375,257.7
04/24/2026,265.84,"1,743,340",261.0,266.89,258.5201
04/23/2026,260.43,"1,976,345",264.51,269.66,258.58
04/22/2026,265.64,"2,360,706",272.01,272.01,264.1
04/21/2026,271.47,"2,299,756",280.5,284.24,270.39
04/20/2026,282.27,"2,381,548",279.195,282.59,274.5
04/17/2026,285.48,"5,460,435",282.99,295.33,281.25
04/16/2026,265.95,"3,146,400",283.84,287.69,265.14
04/15/2026,282.31,"1,906,472",282.065,284.19,277.02
04/14/2026,281.53,"1,868,363",284.55,285.8,280.33
04/13/2026,282.41,"2,141,912",271.0,282.52,270.0
04/10/2026,276.94,"1,828,083",276.29,281.32,273.3078
04/09/2026,275.89,"2,077,343",274.39,280.3199,270.44
04/08/2026,279.26,"3,974,096",294.34,304.4,277.75
04/07/2026,267.71,"2,278,604",270.84,271.335,262.31
04/06/2026,275.7,"1,752,604",272.0,277.97,268.52
04/02/2026,273.59,"2,243,124",271.79,280.29,266.1
04/01/2026,282.06,"2,272,060",282.85,285.5,278.0
03/31/2026,275.18,"2,649,927",267.46,276.57,263.5
03/30/2026,261.37,"1,727,574",263.58,268.63,260.75
03/27/2026,261.8,"2,217,790",269.89,273.22,260.895
03/26/2026,274.0,"1,880,402",275.67,280.7999,273.185
03/25/2026,279.01,"1,519,111",281.0,284.74,276.23
