date,close,volume,open,high,low
05/15/2026,76.06,"1,002,894",76.78,76.86,75.87
05/14/2026,76.92,"1,140,585",77.07,77.55,76.71
05/13/2026,76.67,"1,295,118",77.13,77.32,76.425
05/12/2026,77.61,"1,354,858",78.14,78.14,77.13
05/11/2026,77.72,"1,393,234",77.84,78.13,76.98
05/08/2026,77.59,"1,689,179",77.91,78.01,77.49
05/07/2026,77.86,"2,779,024",78.7,79.035,77.47
05/06/2026,79.08,"1,265,721",79.16,79.52,78.84
05/05/2026,78.89,"1,260,759",78.87,79.275,78.51
05/04/2026,78.75,"1,784,464",78.11,79.29,78.01
05/01/2026,78.65,"1,842,153",77.9,78.77,77.26
04/30/2026,77.85,"3,195,559",78.09,79.55,77.42
04/29/2026,79.38,"1,549,096",79.75,80.375,78.78
04/28/2026,80.31,"1,737,701",80.68,80.72,79.88
04/27/2026,79.95,"1,327,707",80.46,80.58,79.82
04/24/2026,80.19,"1,016,206",80.68,81.02,79.985
04/23/2026,80.74,"1,285,209",79.44,80.89,79.29
04/22/2026,79.0,"1,352,897",80.14,80.395,78.47
04/21/2026,80.01,"1,273,089",81.12,81.52,79.88
04/20/2026,81.12,"1,303,062",80.93,81.66,80.68
04/17/2026,80.93,"1,453,554",79.65,81.135,79.536
04/16/2026,79.65,"1,303,258",79.52,79.92,79.33
04/15/2026,79.52,"1,379,246",79.44,79.61,79.08
04/14/2026,79.57,"1,246,570",78.15,79.67,78.07
04/13/2026,78.33,"1,267,040",78.39,78.39,77.66
04/10/2026,78.4,"1,475,441",78.2,78.9,77.87
04/09/2026,78.35,"1,206,576",77.7,78.99,77.56
04/08/2026,77.86,"1,945,038",77.85,78.12,77.17
04/07/2026,77.33,"1,144,650",76.45,77.55,76.45
04/06/2026,76.63,"936,498",76.94,77.145,76.41
04/02/2026,76.98,"1,994,424",76.11,77.33,75.69
04/01/2026,76.11,"1,272,186",75.49,76.5,75.38
03/31/2026,75.66,"1,610,612",75.97,77.13,74.77
03/30/2026,74.89,"994,873",74.6,75.56,74.48
03/27/2026,74.3,"904,502",74.45,75.05,73.97
03/26/2026,74.37,"777,943",74.35,75.155,74.21
03/25/2026,74.43,"1,045,773",74.63,74.97,73.91
03/24/2026,74.58,"1,194,802",74.33,75.385,74.03
03/23/2026,74.65,"1,525,866",76.19,76.34,74.58
03/20/2026,74.87,"5,597,353",76.69,76.73,74.45
03/19/2026,76.69,"939,629",76.41,76.85,76.12
03/18/2026,76.4,"1,137,577",77.37,77.54,76.36
03/17/2026,77.37,"801,724",77.73,78.0,77.31
03/16/2026,77.39,"674,651",77.35,77.93,77.0
03/13/2026,76.58,"743,310",77.44,77.66,76.39
03/12/2026,76.55,"1,738,594",77.3,77.71,76.44
03/11/2026,77.665,"1,023,213",77.028,77.7,75.42
03/10/2026,78.16,"1,039,554",78.16,78.88,77.55
03/09/2026,78.23,"1,292,269",78.1,78.61,76.66
03/06/2026,78.66,"962,732",78.61,78.79,77.92
03/05/2026,79.31,"1,141,790",78.84,79.54,78.46
03/04/2026,79.6,"1,586,726",79.4,79.8,78.78
03/03/2026,79.76,"1,226,696",78.92,79.88,77.67
03/02/2026,79.54,"1,460,882",78.75,79.895,78.105
02/27/2026,79.0,"2,420,501",78.05,79.0799,78.05
02/26/2026,78.42,"1,099,239",78.08,78.69,77.82
02/25/2026,77.93,"1,146,648",77.34,78.07,76.69
02/24/2026,77.27,"1,166,562",77.89,78.04,76.81
02/23/2026,77.78,"1,191,549",76.94,78.245,76.83
02/20/2026,76.85,"923,779",76.13,76.86,75.63
02/19/2026,75.81,"692,917",75.48,76.22,74.7188
02/18/2026,75.72,"1,129,723",76.72,76.94,75.53
02/17/2026,77.19,"1,272,828",76.72,77.34,75.73
02/13/2026,76.18,"1,005,115",75.87,76.53,75.59
02/12/2026,75.63,"2,169,077",77.11,77.38,75.6
02/11/2026,76.47,"1,358,323",77.17,77.17,75.53
02/10/2026,77.07,"1,256,575",76.35,77.39,76.275
02/09/2026,76.06,"1,398,387",75.15,76.25,74.68
02/06/2026,75.22,"2,235,149",76.13,76.35,74.015
02/05/2026,75.48,"1,729,769",74.57,75.7,74.02
02/04/2026,74.25,"1,781,383",72.99,74.9625,72.73
02/03/2026,72.49,"1,405,567",71.96,72.8165,71.725
02/02/2026,71.98,"1,470,398",72.94,73.43,71.9
01/30/2026,72.87,"1,261,839",71.98,73.07,71.15
01/29/2026,71.98,"1,289,809",70.87,72.165,70.15
01/28/2026,70.45,"1,196,735",71.29,71.61,70.19
01/27/2026,71.29,"1,334,649",71.34,71.465,70.75
01/26/2026,71.28,"1,537,264",71.31,71.67,70.495
01/23/2026,71.135,"895,070",70.77,71.24,70.22
01/22/2026,70.86,"1,962,200",71.03,72.13,70.64
01/21/2026,71.02,"1,612,453",71.03,71.18,70.05
01/20/2026,70.53,"1,853,841",71.4,71.51,70.22
01/16/2026,71.47,"1,472,090",69.61,71.64,69.475
01/15/2026,69.85,"1,015,129",70.14,70.75,69.7901
01/14/2026,69.92,"959,644",69.9,70.32,69.34
01/13/2026,69.96,"992,252",70.18,70.43,68.78
01/12/2026,70.19,"1,366,757",69.74,70.565,69.565
01/09/2026,69.72,"1,745,723",69.91,70.75,69.51
01/08/2026,70.62,"1,150,951",69.71,70.96,69.55
01/07/2026,69.99,"1,345,926",69.89,70.565,69.63
01/06/2026,69.62,"1,112,132",68.13,69.665,68.11
01/05/2026,68.57,"1,097,805",67.58,68.68,67.35
01/02/2026,67.96,"1,332,343",68.67,68.68,67.79
12/31/2025,69.03,"959,515",69.6,69.6,68.86
12/30/2025,69.595,"707,635",69.63,69.87,69.38
12/29/2025,69.79,"677,644",69.72,69.97,69.59
12/26/2025,69.55,"479,009",69.49,69.675,69.135
12/24/2025,69.55,"379,928",69.18,69.68,69.075
12/23/2025,69.12,"989,460",69.28,69.28,68.56
12/22/2025,69.11,"1,364,289",68.16,69.325,68.095
12/19/2025,68.55,"3,813,057",67.48,68.8,67.29
12/18/2025,67.71,"1,866,956",67.89,68.1,67.25
12/17/2025,68.05,"1,489,214",67.1,68.16,66.855
12/16/2025,67.16,"1,529,035",68.31,68.435,66.935
12/15/2025,68.25,"1,315,280",67.66,68.3,66.99
12/12/2025,67.76,"1,015,329",67.92,68.25,67.58
12/11/2025,67.76,"1,702,144",67.5,67.98,67.25
12/10/2025,67.2,"1,714,330",67.9,68.235,67.1
12/09/2025,67.79,"848,250",68.24,68.95,67.62
12/08/2025,67.87,"971,861",68.64,68.69,67.79
12/05/2025,68.7,"1,007,590",69.03,69.272,68.62
12/04/2025,69.07,"1,381,628",68.94,69.75,68.92
12/03/2025,69.935,"762,910",70.11,70.359,69.43
12/02/2025,70.03,"742,861",70.9,71.175,69.61
12/01/2025,70.84,"882,621",70.73,71.32,70.7
11/28/2025,71.16,"576,633",71.26,71.75,71.0
11/26/2025,71.26,"1,487,989",70.83,71.565,70.64
11/25/2025,71.07,"1,187,258",71.31,71.88,70.98
11/24/2025,71.17,"2,346,754",70.89,71.35,70.32
11/21/2025,70.87,"1,184,012",69.41,71.14,69.225
11/20/2025,69.41,"1,062,415",69.75,70.34,69.155
11/19/2025,69.09,"797,012",69.53,69.875,68.965
11/18/2025,69.49,"799,351",69.49,69.82,69.09
11/17/2025,69.13,"709,664",69.78,70.15,68.86
11/14/2025,69.59,"1,012,180",69.94,70.19,69.25
11/13/2025,69.82,"963,350",69.64,70.315,69.64
11/12/2025,70.0,"1,203,274",70.98,71.24,69.96
11/11/2025,71.26,"979,801",70.33,71.44,69.7
11/10/2025,70.09,"1,097,869",69.77,70.46,69.42
11/07/2025,69.77,"941,530",69.03,69.79,68.52
11/06/2025,68.72,"951,608",69.21,69.44,68.62
11/05/2025,69.42,"1,784,648",69.38,69.84,68.72
11/04/2025,69.12,"1,699,269",69.3,69.92,68.67
11/03/2025,68.91,"1,564,930",68.36,69.335,67.27
10/31/2025,68.95,"1,098,979",69.1,69.87,68.66
10/30/2025,69.39,"2,045,788",69.35,73.6869,69.24
10/29/2025,69.35,"1,313,525",70.53,71.68,69.1
10/28/2025,71.54,"1,463,981",72.94,73.11,71.22
10/27/2025,73.18,"1,187,401",73.08,73.355,72.52
10/24/2025,72.64,"728,186",72.48,73.12,72.48
10/23/2025,72.48,"1,012,954",72.73,72.845,71.75
10/22/2025,72.6,"1,128,165",72.34,72.79,72.11
10/21/2025,72.16,"853,472",72.22,72.83,71.94
10/20/2025,72.21,"697,729",72.31,72.89,71.52
10/17/2025,72.24,"989,408",71.95,72.54,71.75
10/16/2025,71.72,"716,258",72.6,72.6,71.44
10/15/2025,72.43,"814,460",71.7,72.98,71.6065
10/14/2025,71.81,"966,364",71.35,72.09,71.19
10/13/2025,71.48,"873,483",70.37,71.64,69.81
10/10/2025,70.37,"669,849",71.42,71.69,70.25
10/09/2025,71.33,"701,530",71.49,71.71,70.894
10/08/2025,71.26,"650,431",71.19,71.36,70.715
10/07/2025,71.48,"916,254",71.05,71.7,70.8032
10/06/2025,71.14,"1,104,363",72.32,72.32,71.04
10/03/2025,71.68,"999,326",71.89,72.76,71.63
10/02/2025,71.88,"912,362",71.85,72.05,71.12
10/01/2025,72.09,"1,250,833",73.1,73.45,71.935
09/30/2025,72.9,"1,308,861",72.05,73.0,71.565
09/29/2025,72.22,"1,060,778",71.57,72.36,71.21
09/26/2025,71.52,"678,033",71.41,71.895,71.09
09/25/2025,71.07,"962,345",71.63,71.85,70.95
09/24/2025,71.38,"1,259,457",71.45,71.74,70.87
09/23/2025,71.48,"1,077,417",70.78,71.66,70.76
09/22/2025,70.73,"1,132,693",70.44,70.95,69.68
09/19/2025,70.27,"2,344,501",70.56,70.67,69.8
09/18/2025,70.33,"1,067,197",69.61,70.53,69.45
09/17/2025,69.76,"986,455",70.37,71.14,69.63
09/16/2025,70.38,"1,129,745",70.73,71.095,70.23
09/15/2025,70.97,"1,210,511",71.44,71.48,70.58
09/12/2025,71.34,"1,193,470",71.91,72.29,71.3
09/11/2025,72.24,"1,291,445",71.63,72.46,71.445
09/10/2025,72.09,"1,202,505",72.11,72.355,71.7512
09/09/2025,72.39,"899,062",72.79,73.08,72.26
09/08/2025,73.08,"1,097,757",73.44,73.5759,72.43
09/05/2025,73.68,"848,779",73.7,74.445,72.71
09/04/2025,73.56,"1,219,966",72.55,73.6,72.085
09/03/2025,72.23,"771,228",71.95,72.53,71.84
09/02/2025,72.33,"1,744,524",72.3,73.0,71.93
08/29/2025,72.5,"1,029,758",72.34,72.68,72.23
08/28/2025,72.21,"876,329",72.47,72.54,71.49
08/27/2025,72.47,"1,003,035",72.1,72.54,71.975
08/26/2025,72.07,"1,405,963",71.9,72.45,71.674
08/25/2025,71.92,"1,113,445",72.16,72.435,71.75
08/22/2025,72.35,"1,314,938",71.66,72.79,71.66
08/21/2025,71.22,"977,571",71.32,71.91,71.1
08/20/2025,71.73,"1,261,849",72.08,72.63,71.48
08/19/2025,71.78,"1,244,087",70.34,71.84,70.34
08/18/2025,70.34,"755,441",71.13,71.39,70.3
08/15/2025,71.02,"1,118,802",71.25,71.365,70.92
08/14/2025,71.11,"921,008",71.62,71.62,70.66
08/13/2025,72.02,"1,592,569",72.01,72.21,70.93
08/12/2025,71.88,"1,205,719",71.57,71.94,71.03
08/11/2025,71.54,"1,058,516",71.91,72.525,71.51
08/08/2025,71.92,"746,743",72.52,72.8284,71.615
08/07/2025,72.54,"929,691",73.45,73.6,71.97
08/06/2025,73.2,"2,733,890",74.0,74.35,73.03
08/05/2025,73.81,"1,552,106",72.1,73.905,71.96
08/04/2025,72.18,"1,161,760",70.71,72.21,70.62
08/01/2025,70.48,"1,141,645",72.24,72.24,70.35
07/31/2025,71.4,"1,369,454",72.15,72.44,71.21
07/30/2025,72.31,"1,755,415",73.2,74.01,71.77
07/29/2025,71.76,"1,735,215",70.38,71.86,69.87
07/28/2025,70.04,"999,232",71.05,71.05,69.8937
07/25/2025,71.18,"898,039",71.72,71.875,70.5819
07/24/2025,71.53,"1,331,752",71.3,72.21,70.99
07/23/2025,71.47,"913,306",71.66,71.84,71.05
07/22/2025,71.66,"833,647",69.95,71.72,69.75
07/21/2025,69.76,"894,403",69.93,70.385,69.6
07/18/2025,69.87,"979,563",70.1,70.575,69.5
07/17/2025,69.9,"606,229",69.24,70.02,68.89
07/16/2025,69.43,"1,024,809",68.73,69.57,68.61
07/15/2025,68.62,"944,238",69.87,69.87,68.53
07/14/2025,69.93,"912,377",69.16,69.95,69.07
07/11/2025,69.34,"1,380,379",68.93,69.54,68.62
07/10/2025,69.26,"1,060,086",69.09,70.0,68.81
07/09/2025,69.02,"1,627,199",69.67,70.03,68.85
07/08/2025,69.56,"991,590",69.57,69.99,69.205
07/07/2025,69.92,"1,095,582",70.83,71.48,69.72
07/03/2025,70.79,"684,262",70.62,71.1,70.51
07/02/2025,70.8,"1,460,576",70.79,71.07,69.93
07/01/2025,71.11,"1,283,404",70.93,72.54,70.685
06/30/2025,71.23,"1,526,737",70.54,71.34,69.42
06/27/2025,70.54,"1,302,167",70.77,71.32,70.29
06/26/2025,70.54,"1,199,233",70.16,70.6,69.95
06/25/2025,70.03,"1,049,242",71.36,71.635,69.98
06/24/2025,71.66,"1,085,233",72.43,72.675,71.54
06/23/2025,72.27,"792,044",71.33,72.305,71.235
06/20/2025,71.14,"1,948,954",70.95,71.65,70.83
06/18/2025,70.72,"810,597",70.04,71.11,69.83
06/17/2025,70.14,"1,390,884",70.29,70.96,69.8
06/16/2025,70.4,"1,278,518",70.42,70.77,69.93
06/13/2025,70.25,"1,452,037",70.74,71.0675,69.75
06/12/2025,71.06,"896,016",70.84,71.07,70.42
06/11/2025,71.01,"1,035,133",72.13,72.52,70.77
