date,close,volume,open,high,low
05/15/2026,698.25,"728,233",712.69,717.885,693.7
05/14/2026,712.87,"767,205",719.0,722.51,710.06
05/13/2026,719.88,"879,367",721.29,730.59,709.51
05/12/2026,723.41,"824,575",716.39,725.6,710.02
05/11/2026,712.77,"1,227,186",714.99,727.385,701.99
05/08/2026,714.89,"589,041",709.29,717.99,708.36
05/07/2026,709.1,"774,679",718.5,725.3066,707.43
05/06/2026,721.05,"739,914",703.33,726.16,702.5
05/05/2026,702.27,"642,799",710.73,715.615,699.225
05/04/2026,709.21,"554,271",702.56,711.55,699.75
05/01/2026,701.42,"729,185",703.02,714.48,700.2594
04/30/2026,707.06,"1,096,636",693.08,708.44,688.945
04/29/2026,686.36,"1,834,985",705.11,708.7999,668.845
04/28/2026,731.77,"569,174",751.37,754.0,730.9
04/27/2026,744.44,"603,283",745.47,756.4,743.61
04/24/2026,751.57,"809,546",760.0,761.955,736.71
04/23/2026,766.02,"928,723",750.99,767.21,747.26
04/22/2026,746.58,"901,955",751.48,755.78,740.47
04/21/2026,747.36,"707,466",746.2,751.54,734.12
04/20/2026,749.41,"493,842",750.0,755.59,744.0
04/17/2026,750.57,"512,998",754.74,758.61,746.91
04/16/2026,746.0,"505,374",749.56,756.0,742.685
04/15/2026,753.93,"571,311",758.67,760.58,739.12
04/14/2026,755.51,"637,779",744.97,757.68,743.71
04/13/2026,746.46,"747,093",747.74,756.9,737.34
04/10/2026,748.87,"751,457",771.48,771.48,739.09
04/09/2026,767.85,"596,831",764.15,772.45,761.5
04/08/2026,775.53,"580,427",765.26,775.625,755.99
04/07/2026,760.27,"620,874",758.4,761.91,747.76
04/06/2026,763.04,"460,419",766.83,768.8,758.49
04/02/2026,761.85,"1,000,702",767.04,770.105,745.0
04/01/2026,777.25,"627,412",775.0,781.21,769.97
03/31/2026,772.64,"642,702",757.47,774.26,755.8
03/30/2026,749.29,"630,455",743.83,757.68,741.47
03/27/2026,737.71,"492,197",756.65,759.4665,736.64
03/26/2026,756.73,"488,587",749.4,761.73,747.77
03/25/2026,749.47,"553,090",744.67,757.98,744.02
03/24/2026,741.69,"507,979",728.51,743.165,727.96
03/23/2026,736.53,"535,936",744.995,750.0,735.0
03/20/2026,732.87,"1,359,993",738.17,744.85,728.64
03/19/2026,737.45,"628,268",744.5,750.315,727.88
03/18/2026,744.12,"672,598",751.22,757.595,734.56
03/17/2026,759.05,"437,038",763.53,771.23,755.635
03/16/2026,756.91,"396,216",750.0,763.3,747.0101
03/13/2026,745.77,"438,297",754.55,758.98,741.895
03/12/2026,746.61,"630,421",764.06,766.0,744.0
03/11/2026,774.66,"405,249",769.17,783.12,765.0
03/10/2026,772.03,"473,422",781.67,788.69,771.34
03/09/2026,781.6,"697,070",759.86,783.7,754.91
03/06/2026,759.86,"561,908",755.01,762.4,746.66
03/05/2026,764.93,"657,525",780.0,781.99,760.01
03/04/2026,787.5,"641,608",767.05,791.6,764.24
03/03/2026,766.66,"637,256",781.01,794.77,764.485
03/02/2026,790.81,"793,325",771.1,793.16,769.63
02/27/2026,781.67,"726,380",760.91,786.68,760.91
02/26/2026,770.79,"772,714",784.28,784.5,753.7901
02/25/2026,784.28,"751,069",774.13,791.11,771.43
02/24/2026,772.19,"628,679",780.47,792.67,768.75
02/23/2026,787.04,"510,650",777.58,792.155,777.58
02/20/2026,779.67,"615,295",775.0,781.46,770.0
02/19/2026,782.38,"505,091",790.0,790.0,773.31
02/18/2026,792.16,"675,897",793.53,797.0,786.79
02/17/2026,793.53,"747,143",803.475,815.0,783.62
02/13/2026,803.17,"974,845",788.92,806.18,785.0
02/12/2026,783.65,"814,483",784.8,796.72,774.72
02/11/2026,778.97,"1,123,719",750.85,781.42,745.0712
02/10/2026,754.91,"792,677",779.73,781.4,753.1001
02/09/2026,780.28,"586,816",783.17,790.0,775.5
02/06/2026,785.51,"671,659",769.63,786.9896,764.78
02/05/2026,766.63,"976,458",777.83,790.0,760.0
02/04/2026,775.06,"952,077",765.8,779.78,765.2125
02/03/2026,759.18,"768,694",745.53,773.715,742.7371
02/02/2026,755.02,"693,090",732.92,763.5599,731.51
01/30/2026,741.45,"1,317,891",753.96,774.365,735.61
01/29/2026,749.44,"925,773",755.73,755.73,742.8
01/28/2026,751.13,"827,944",765.15,766.99,747.57
01/27/2026,771.25,"645,805",762.47,776.25,761.5
01/26/2026,762.65,"934,312",750.09,767.3,750.09
01/23/2026,753.55,"721,175",757.31,762.0,747.3
01/22/2026,755.51,"765,689",750.34,765.0,747.37
01/21/2026,749.33,"788,543",736.71,750.0,735.0
01/20/2026,733.78,"789,339",729.4,737.87,718.38
01/16/2026,733.04,"1,682,566",749.09,749.09,726.43
01/15/2026,741.92,"865,627",754.85,756.5,737.0
01/14/2026,754.14,"669,119",760.58,766.64,753.01
01/13/2026,758.91,"946,732",765.16,765.99,743.94
01/12/2026,768.0,"1,321,289",810.0,811.09,765.08
01/09/2026,796.55,"711,556",802.97,821.11,790.875
01/08/2026,801.01,"1,049,326",805.81,816.99,800.68
01/07/2026,812.27,"1,264,733",786.18,814.1,780.1001
01/06/2026,776.54,"935,119",764.35,787.656,763.195
01/05/2026,763.23,"835,909",769.72,771.99,753.1993
01/02/2026,776.31,"464,826",774.25,779.75,765.77
12/31/2025,771.87,"355,156",772.0,775.0,769.17
12/30/2025,773.94,"383,233",776.3,777.77,770.3
12/29/2025,780.5,"545,104",780.56,785.05,774.595
12/26/2025,784.97,"321,114",783.79,788.0092,778.04
12/24/2025,783.71,"267,162",787.99,792.77,783.61
12/23/2025,785.17,"832,013",777.36,792.7499,777.0
12/22/2025,779.36,"818,007",765.84,783.6,765.09
12/19/2025,767.96,"2,336,025",753.72,773.85,748.18
12/18/2025,748.71,"1,057,594",747.54,752.84,739.23
12/17/2025,749.79,"766,045",746.55,751.99,743.33
12/16/2025,746.36,"713,243",752.57,757.35,734.72
12/15/2025,752.62,"932,936",748.85,756.67,746.375
12/12/2025,741.29,"804,841",741.59,746.05,734.38
12/11/2025,746.8,"1,153,882",726.08,753.61,726.08
12/10/2025,726.21,"1,316,662",695.06,728.0,692.5
12/09/2025,692.58,"604,535",705.11,711.15,691.86
12/08/2025,703.26,"1,005,953",723.69,724.13,701.745
12/05/2025,718.36,"798,452",723.0,736.15,717.2648
12/04/2025,722.8,"1,067,133",732.45,735.0,721.22
12/03/2025,723.67,"1,238,676",730.36,744.225,720.07
12/02/2025,742.0,"924,677",742.12,747.0,731.0
