date,close,volume,open,high,low
05/15/2026,326.81,"550,253",332.01,332.01,325.59
05/14/2026,334.05,"566,932",333.54,335.25,330.0
05/13/2026,331.62,"796,990",335.81,338.27,327.78
05/12/2026,337.14,"966,944",339.23,341.78,330.63
05/11/2026,343.1,"616,558",356.12,356.67,340.01
05/08/2026,358.45,"578,563",357.92,363.56,353.32
05/07/2026,353.55,"842,245",372.69,373.6,352.18
05/06/2026,372.15,"430,591",367.46,374.94,360.805
05/05/2026,360.02,"357,995",357.42,361.205,352.49
05/04/2026,354.29,"435,412",360.58,363.34,350.47
05/01/2026,362.21,"398,803",360.98,364.57,357.57
04/30/2026,358.64,"585,075",362.94,364.21,358.01
04/29/2026,359.45,"381,706",363.88,366.4875,359.0
04/28/2026,366.87,"370,301",371.11,373.36,364.52
04/27/2026,370.38,"394,427",370.85,371.96,362.87
04/24/2026,371.24,"359,646",372.23,375.06,369.34
04/23/2026,371.14,"504,868",379.0,382.55,369.99
04/22/2026,375.29,"427,558",389.09,389.53,371.59
04/21/2026,386.77,"672,502",389.37,393.41,380.9231
04/20/2026,389.52,"500,154",385.865,391.12,382.5
04/17/2026,386.88,"690,239",377.42,388.915,377.42
04/16/2026,369.7,"507,116",372.67,375.5,366.31
04/15/2026,369.36,"473,299",369.79,375.535,366.35
04/14/2026,373.0,"552,298",378.77,384.96,372.1201
04/13/2026,376.98,"752,059",372.31,378.07,367.83
04/10/2026,379.87,"429,179",383.1,385.035,373.28
04/09/2026,385.14,"489,912",373.83,387.26,372.34
04/08/2026,375.4,"687,176",368.0,376.88,366.94
04/07/2026,349.53,"484,005",355.0,355.0,347.39
04/06/2026,358.59,"557,656",352.36,359.04,349.45
04/02/2026,348.02,"672,550",345.95,355.98,340.23
04/01/2026,353.01,"677,939",347.23,357.5,344.27
03/31/2026,343.99,"874,501",331.83,346.495,331.83
03/30/2026,326.6,"823,597",330.27,332.92,325.9
03/27/2026,327.82,"656,039",329.16,334.68,324.3401
03/26/2026,333.64,"530,809",343.54,347.385,333.35
03/25/2026,345.93,"444,386",349.89,354.02,340.9
03/24/2026,343.5,"748,914",340.15,346.155,337.74
03/23/2026,339.11,"658,331",336.14,347.68,335.71
03/20/2026,329.87,"913,127",338.0,341.55,327.0
03/19/2026,340.21,"696,466",338.86,344.34,335.05
03/18/2026,341.62,"582,285",346.675,349.91,341.46
03/17/2026,349.21,"769,300",343.99,351.88,341.3775
03/16/2026,339.24,"431,958",334.11,342.65,333.735
03/13/2026,330.73,"557,777",337.3,337.58,329.18
03/12/2026,335.09,"454,474",333.31,339.0,330.0
03/11/2026,338.95,"542,932",345.4,348.355,338.32
03/10/2026,346.17,"343,066",344.03,354.07,342.33
03/09/2026,344.12,"788,967",331.165,345.26,325.02
03/06/2026,338.36,"690,970",352.575,352.575,337.1
03/05/2026,353.42,"603,347",356.9,360.11,350.26
03/04/2026,359.81,"447,006",362.85,368.0,356.94
03/03/2026,360.88,"1,159,799",342.225,362.7,340.72
03/02/2026,354.13,"642,323",354.25,358.455,347.0
02/27/2026,362.6,"807,404",374.22,375.565,360.12
02/26/2026,378.85,"415,269",378.39,384.765,377.63
02/25/2026,377.07,"491,855",375.35,378.6365,370.85
02/24/2026,374.13,"493,626",365.97,375.42,364.93
02/23/2026,365.04,"977,353",379.94,384.5599,358.0
02/20/2026,385.03,"509,641",375.73,389.15,374.795
02/19/2026,376.84,"376,771",377.0,379.57,370.45
02/18/2026,378.08,"511,004",368.02,380.86,368.02
02/17/2026,370.5,"681,041",374.05,375.495,364.5
02/13/2026,369.18,"539,622",362.86,372.5,358.655
02/12/2026,363.06,"891,850",363.29,368.7499,357.63
02/11/2026,359.51,"793,651",360.42,365.145,357.5
02/10/2026,356.18,"952,666",349.54,362.64,347.01
02/09/2026,348.15,"717,663",342.91,350.69,336.88
02/06/2026,342.89,"925,488",341.9,347.225,337.09
02/05/2026,338.66,"2,250,060",325.475,341.51,320.0
02/04/2026,354.7,"1,193,625",355.93,358.46,343.69
02/03/2026,354.04,"796,869",357.82,358.08,348.24
02/02/2026,356.54,"481,401",352.8,357.13,350.36
01/30/2026,353.41,"461,302",353.47,356.98,352.13
01/29/2026,355.09,"429,231",352.62,360.49,349.58
01/28/2026,352.99,"647,452",357.25,357.78,350.13
01/27/2026,357.79,"479,528",361.96,362.68,355.62
01/26/2026,360.32,"427,566",367.42,369.48,356.12
01/23/2026,367.37,"401,833",362.57,367.83,361.81
01/22/2026,363.8,"400,347",371.86,377.07,361.08
01/21/2026,369.58,"709,143",363.02,373.42,362.48
01/20/2026,360.22,"502,481",360.87,366.48,358.08
01/16/2026,363.05,"432,882",367.9,369.29,362.67
01/15/2026,369.15,"417,476",363.93,373.87,363.925
01/14/2026,362.86,"445,546",367.81,369.13,358.76
01/13/2026,366.11,"537,638",362.23,371.5,362.05
01/12/2026,363.25,"438,993",364.99,366.66,357.03
01/09/2026,369.81,"442,458",369.01,373.49,362.89
01/08/2026,365.07,"379,232",362.69,370.13,361.955
01/07/2026,360.94,"385,245",361.32,364.32,357.365
01/06/2026,363.22,"612,706",357.35,366.08,355.15
01/05/2026,358.52,"677,486",362.69,367.46,357.235
01/02/2026,362.53,"458,506",355.0,362.56,354.87
12/31/2025,353.61,"366,118",359.7,360.0,353.53
12/30/2025,358.66,"612,839",356.19,359.51,352.38
12/29/2025,356.89,"481,976",355.04,357.815,353.99
12/26/2025,358.11,"348,125",360.62,360.62,356.24
12/24/2025,361.52,"218,417",362.74,363.9809,358.89
12/23/2025,362.74,"457,034",367.0,367.94,359.1975
12/22/2025,367.3,"475,912",365.41,369.66,362.0
12/19/2025,362.53,"1,563,485",369.38,371.61,360.34
12/18/2025,370.06,"827,086",368.85,380.0,368.39
12/17/2025,365.72,"720,787",372.9,374.74,364.975
12/16/2025,369.31,"1,019,359",373.09,376.61,369.24
12/15/2025,371.7,"1,091,824",374.7,377.7152,370.925
12/12/2025,370.22,"649,367",371.35,374.62,367.0701
12/11/2025,367.62,"551,476",356.64,370.22,356.015
12/10/2025,357.7,"873,632",355.675,360.7,348.59
12/09/2025,355.53,"638,764",356.55,361.27,355.2
12/08/2025,356.44,"867,420",365.52,365.805,352.52
12/05/2025,368.42,"850,274",356.75,368.73,356.0
12/04/2025,356.97,"514,053",355.1,359.12,349.4
12/03/2025,358.15,"668,351",357.3,362.39,355.89
12/02/2025,355.89,"772,309",365.88,366.99,355.05
12/01/2025,365.88,"751,764",364.0,372.04,363.01
11/28/2025,367.33,"328,636",371.32,373.68,367.07
11/26/2025,371.22,"643,452",364.86,374.0,364.38
11/25/2025,364.5,"1,068,248",351.0,365.81,351.0
11/24/2025,349.98,"828,085",339.65,351.26,337.87
11/21/2025,339.88,"759,458",329.26,343.44,329.24
11/20/2025,326.96,"481,458",336.0,338.49,326.94
11/19/2025,330.88,"457,822",327.0,332.78,326.4
11/18/2025,328.26,"542,869",321.21,329.269,320.5994
11/17/2025,324.1,"538,423",331.62,333.19,320.91
11/14/2025,331.48,"398,991",329.57,335.8851,325.61
11/13/2025,332.77,"444,076",338.73,341.405,331.61
11/12/2025,340.21,"494,101",336.83,342.99,335.5445
11/11/2025,333.78,"523,302",333.55,337.52,330.06
11/10/2025,334.71,"638,711",329.34,337.04,328.6601
11/07/2025,324.68,"665,352",317.51,328.17,315.715
11/06/2025,315.04,"1,861,812",325.94,337.56,308.41
11/05/2025,316.9,"1,016,587",307.37,319.69,306.55
11/04/2025,309.29,"753,141",309.97,313.48,307.34
11/03/2025,314.95,"962,289",323.04,323.09,309.69
10/31/2025,319.66,"680,010",323.41,325.385,318.25
10/30/2025,322.88,"526,923",328.33,330.245,320.81
10/29/2025,327.58,"441,300",328.54,330.775,326.43
10/28/2025,331.2,"435,124",337.29,337.3,331.1
10/27/2025,337.57,"436,670",340.06,340.06,335.74
10/24/2025,335.67,"503,077",337.65,341.9,334.822
10/23/2025,336.29,"406,862",334.1,340.025,331.94
10/22/2025,332.12,"420,341",334.21,336.19,329.28
10/21/2025,334.98,"398,010",334.28,340.605,331.635
10/20/2025,333.0,"401,903",328.28,333.14,325.39
10/17/2025,327.76,"413,889",320.85,328.05,320.32
10/16/2025,323.16,"414,438",319.0,324.0,317.4
10/15/2025,318.44,"525,636",322.76,325.96,316.76
10/14/2025,317.92,"475,837",312.73,320.0,309.85
10/13/2025,317.23,"410,309",314.2,321.75,314.2
10/10/2025,309.42,"594,497",323.92,323.92,308.25
10/09/2025,322.93,"298,267",329.15,330.11,321.905
10/08/2025,329.03,"397,191",325.42,329.745,321.43
10/07/2025,324.77,"474,464",322.87,325.53,317.855
10/06/2025,321.1,"573,992",322.41,324.2125,315.09
10/03/2025,321.81,"454,919",323.6,325.8099,321.7
10/02/2025,322.38,"505,132",319.55,322.64,314.93
10/01/2025,317.42,"541,632",312.76,317.86,312.38
09/30/2025,313.56,"1,040,930",312.4,317.7409,311.02
09/29/2025,308.64,"455,563",313.91,313.94,304.46
09/26/2025,311.97,"483,225",309.48,312.57,307.085
09/25/2025,302.89,"622,962",307.96,307.96,299.975
09/24/2025,312.01,"671,692",310.63,314.5,309.55
09/23/2025,310.65,"430,095",308.06,312.315,306.11
09/22/2025,307.65,"512,181",313.83,313.83,306.45
09/19/2025,312.45,"1,432,555",314.61,316.43,311.61
09/18/2025,313.98,"505,001",309.3,315.15,307.67
09/17/2025,306.12,"921,384",317.65,318.24,301.77
09/16/2025,314.66,"749,739",305.99,316.14,303.38
09/15/2025,315.77,"571,616",314.6,318.8,313.55
09/12/2025,315.14,"518,251",314.79,317.72,312.06
09/11/2025,316.35,"581,484",315.06,316.58,311.96
09/10/2025,312.58,"630,068",311.17,315.19,308.52
09/09/2025,309.79,"490,623",308.97,310.07,304.035
09/08/2025,308.99,"615,147",315.03,319.0,307.06
09/05/2025,312.02,"628,714",321.17,321.77,309.92
09/04/2025,320.75,"567,111",312.6,321.5,312.6
09/03/2025,313.36,"514,779",310.13,317.34,310.095
09/02/2025,311.02,"827,845",293.25,311.45,292.905
08/29/2025,296.93,"578,754",297.15,298.865,295.38
08/28/2025,297.64,"443,829",296.52,299.95,295.9
08/27/2025,294.64,"613,357",296.57,297.6,292.6
08/26/2025,293.2,"595,739",288.59,293.78,287.03
08/25/2025,287.39,"449,922",286.11,291.0899,286.11
08/22/2025,285.8,"594,407",285.0,293.15,284.32
08/21/2025,285.46,"581,626",284.0,286.56,283.7
08/20/2025,286.22,"589,825",284.1,287.69,283.5
08/19/2025,285.35,"487,580",290.0,290.1,284.4218
08/18/2025,289.66,"668,694",290.4,292.55,286.845
08/15/2025,290.61,"764,214",291.38,292.29,287.2
08/14/2025,290.39,"752,069",297.925,297.925,287.37
08/13/2025,302.14,"617,067",301.38,304.33,296.785
08/12/2025,299.68,"597,576",290.04,300.045,290.04
08/11/2025,288.56,"595,897",289.82,291.52,285.72
08/08/2025,288.26,"1,068,808",285.05,292.45,282.8
08/07/2025,283.34,"2,266,861",294.71,294.71,273.04
