date,close,volume,open,high,low
05/15/2026,201.88,"1,405,680",204.01,206.0,201.47
05/14/2026,202.46,"931,252",203.06,204.8,202.09
05/13/2026,202.37,"989,348",202.02,203.24,200.77
05/12/2026,203.79,"1,368,951",200.0,205.15,200.0
05/11/2026,198.76,"1,805,478",205.16,206.68,198.61
05/08/2026,206.76,"993,580",206.79,207.98,203.92
05/07/2026,206.89,"1,315,641",209.26,211.23,206.37
05/06/2026,209.64,"1,444,862",207.12,213.53,207.12
05/05/2026,207.88,"1,849,981",211.0,211.0,205.94
05/04/2026,209.43,"2,483,799",205.0,209.62,204.42
05/01/2026,205.02,"3,154,129",206.0,206.835,198.64
04/30/2026,213.81,"1,906,922",212.47,215.135,210.6
04/29/2026,211.93,"1,301,695",215.68,216.59,211.93
04/28/2026,217.14,"1,547,127",221.84,222.4,215.3
04/27/2026,222.02,"1,312,643",219.13,223.92,218.86
04/24/2026,219.85,"797,431",218.17,220.225,217.0
04/23/2026,219.51,"986,992",221.38,221.4725,216.68
04/22/2026,222.04,"834,045",222.0,225.18,220.21
04/21/2026,221.22,"1,127,745",225.51,227.31,220.0
04/20/2026,226.14,"1,072,500",227.66,229.3,224.3
04/17/2026,228.12,"1,173,226",226.09,230.03,225.47
04/16/2026,224.72,"1,093,543",227.68,230.08,223.79
04/15/2026,228.8,"1,280,522",231.34,231.99,226.46
04/14/2026,230.69,"646,333",228.94,232.3158,228.39
04/13/2026,230.26,"711,366",228.15,230.34,226.92
04/10/2026,228.87,"843,992",229.38,230.03,227.08
04/09/2026,227.98,"1,141,069",227.99,229.56,225.155
04/08/2026,230.7,"1,116,521",231.3,234.905,229.82
04/07/2026,226.05,"1,030,133",224.25,228.23,222.35
04/06/2026,224.93,"598,921",224.28,226.63,223.59
04/02/2026,224.09,"642,892",220.99,226.3,219.01
04/01/2026,222.85,"1,051,863",224.62,225.8,220.995
03/31/2026,224.48,"939,419",222.58,225.05,219.4
03/30/2026,220.03,"1,074,990",222.0,222.0,218.39
03/27/2026,220.47,"984,997",222.51,222.51,219.565
03/26/2026,222.5,"1,036,539",225.09,228.53,221.22
03/25/2026,226.31,"1,860,148",230.93,232.6,219.4
03/24/2026,228.19,"1,000,715",226.83,231.45,224.92
03/23/2026,227.97,"904,800",229.5,231.77,227.57
03/20/2026,225.99,"1,162,611",225.46,227.45,224.775
03/19/2026,227.41,"803,581",228.1,230.145,226.43
03/18/2026,227.88,"928,655",231.57,232.195,227.87
03/17/2026,233.5,"928,228",233.65,235.17,232.0
03/16/2026,230.61,"1,179,591",230.86,234.89,229.56
03/13/2026,230.84,"1,340,757",234.89,235.8,230.21
03/12/2026,232.41,"1,333,813",237.87,238.8,231.4
03/11/2026,240.15,"1,202,607",245.42,245.88,237.52
03/10/2026,247.11,"931,995",251.92,252.53,246.625
03/09/2026,252.93,"1,049,213",250.08,253.1325,246.17
03/06/2026,252.87,"920,796",253.15,253.26,248.13
03/05/2026,255.32,"865,475",256.05,258.2,250.97
03/04/2026,259.05,"664,356",260.0,260.22,254.35
03/03/2026,258.28,"1,229,270",255.92,260.0,254.05
03/02/2026,257.39,"951,647",254.3,258.4,250.57
02/27/2026,256.26,"1,069,073",255.89,257.5,252.739
02/26/2026,257.06,"928,088",254.18,258.24,253.58
02/25/2026,252.53,"667,860",251.51,252.81,250.185
02/24/2026,251.63,"1,034,637",259.08,260.0,250.36
02/23/2026,260.79,"869,917",257.61,261.9099,257.025
02/20/2026,259.12,"727,842",255.66,259.2,254.28
02/19/2026,256.29,"821,074",257.66,260.165,255.76
02/18/2026,258.91,"1,226,614",255.84,262.17,255.09
