date,close,volume,open,high,low
05/15/2026,53.42,"4,099,139",53.77,53.94,53.255
05/14/2026,53.42,"3,088,859",53.26,53.47,52.425
05/13/2026,52.82,"3,063,524",52.72,53.4,51.95
05/12/2026,52.98,"2,808,283",53.01,53.17,52.54
05/11/2026,52.88,"2,992,230",53.86,54.1,52.51
05/08/2026,53.83,"2,407,048",54.58,54.74,53.595
05/07/2026,54.39,"1,994,764",54.16,54.64,53.87
05/06/2026,54.19,"2,543,934",54.24,54.83,53.79
05/05/2026,54.11,"2,940,196",54.02,54.515,53.27
05/04/2026,54.15,"2,932,550",54.96,54.96,53.87
05/01/2026,54.78,"1,924,715",56.12,56.2,54.64
04/30/2026,55.73,"2,508,688",55.35,55.83,54.99
04/29/2026,55.33,"1,878,499",55.62,55.82,54.99
04/28/2026,55.74,"2,050,963",56.42,56.48,55.375
04/27/2026,55.97,"3,544,055",57.0,57.36,55.86
04/24/2026,56.6,"2,484,534",56.25,56.97,55.9
04/23/2026,56.99,"5,421,567",54.9,57.44,54.8225
04/22/2026,55.32,"3,731,107",54.76,55.5,54.43
04/21/2026,54.71,"3,293,102",54.71,55.07,54.18
04/20/2026,54.9,"2,400,242",54.97,55.36,54.71
04/17/2026,55.0,"2,422,866",54.65,55.66,54.58
04/16/2026,54.49,"2,258,535",54.3,54.78,54.2201
04/15/2026,54.38,"2,675,240",54.6,54.995,53.98
04/14/2026,54.8,"2,706,605",54.66,55.54,54.66
04/13/2026,54.66,"2,095,177",54.29,54.68,53.71
04/10/2026,54.23,"2,726,642",55.63,55.97,54.05
04/09/2026,55.79,"3,155,027",54.46,55.989,54.25
04/08/2026,54.7,"2,266,510",54.25,54.92,53.7
04/07/2026,53.7,"2,219,866",54.16,54.17,53.4701
04/06/2026,54.13,"1,610,687",53.54,54.54,53.5
04/02/2026,53.93,"2,618,780",53.32,54.28,53.16
04/01/2026,53.49,"3,591,919",53.34,54.1,53.33
03/31/2026,53.41,"3,790,817",54.03,54.03,52.8
03/30/2026,53.04,"3,161,560",52.95,53.28,52.43
03/27/2026,52.46,"2,491,286",52.7,53.01,52.32
