date,close,volume,open,high,low
05/15/2026,320.9,"1,365,549",320.08,325.1,319.717
05/14/2026,317.95,"1,180,207",315.59,320.61,312.07
05/13/2026,316.25,"1,583,070",320.57,320.88,305.96
05/12/2026,323.94,"1,002,627",331.23,333.89,322.73
05/11/2026,328.8,"1,365,403",339.765,339.765,327.88
05/08/2026,343.32,"1,178,504",349.9,351.31,340.68
05/07/2026,352.44,"966,251",350.26,357.26,350.26
05/06/2026,350.26,"1,576,622",354.31,356.98,348.865
05/05/2026,356.56,"808,614",354.805,356.96,349.28
05/04/2026,355.23,"995,798",356.81,360.8975,354.19
05/01/2026,358.22,"993,200",359.37,363.6,354.9
04/30/2026,354.81,"1,275,752",352.05,356.16,349.01
04/29/2026,355.97,"1,146,633",353.28,356.2,350.01
04/28/2026,354.12,"1,234,170",356.85,361.14,352.75
04/27/2026,352.45,"1,103,684",352.86,354.99,348.23
04/24/2026,353.4,"1,341,419",364.87,364.87,349.27
04/23/2026,363.76,"1,616,033",379.42,384.0,360.7
04/22/2026,364.73,"1,167,450",363.0,368.105,362.27
04/21/2026,362.93,"1,214,150",361.94,367.74,359.765
04/20/2026,359.87,"990,197",360.7,365.0,358.39
04/17/2026,362.44,"1,113,617",367.69,367.69,358.52
04/16/2026,361.88,"1,340,756",362.58,365.45,360.36
04/15/2026,358.09,"1,128,006",357.63,359.8,355.12
04/14/2026,354.0,"999,525",356.06,360.58,353.435
04/13/2026,356.35,"1,529,183",343.57,358.2499,343.57
04/10/2026,343.15,"1,184,520",349.32,350.08,342.08
04/09/2026,349.88,"1,339,536",353.26,354.45,345.68
04/08/2026,355.85,"817,221",359.84,362.47,355.2001
04/07/2026,358.83,"762,855",359.64,361.75,357.445
04/06/2026,360.19,"907,408",357.06,360.57,353.67
04/02/2026,357.88,"1,087,242",360.11,363.44,354.51
04/01/2026,355.87,"1,350,945",351.465,356.47,347.5433
03/31/2026,353.86,"1,517,562",352.52,355.535,343.28
03/30/2026,351.955,"1,299,101",345.74,354.03,341.43
03/27/2026,344.42,"1,246,694",349.89,351.59,343.87
03/26/2026,351.07,"1,197,838",346.98,356.5,344.27
03/25/2026,346.72,"994,474",348.82,351.86,340.4058
03/24/2026,345.93,"1,416,500",350.59,351.33,343.36
03/23/2026,353.48,"1,478,893",354.9,356.82,351.85
03/20/2026,353.68,"2,933,552",352.1,355.77,349.23
03/19/2026,353.26,"1,611,805",352.14,359.53,351.575
03/18/2026,350.79,"1,337,308",350.4,353.96,348.06
03/17/2026,352.89,"845,680",353.55,360.0,350.5249
03/16/2026,352.2,"989,358",350.67,353.54,349.08
03/13/2026,351.0,"1,487,531",349.825,353.28,346.13
03/12/2026,346.78,"1,494,918",352.465,357.11,346.44
03/11/2026,352.25,"1,171,931",356.55,360.0,348.56
03/10/2026,353.87,"1,247,179",362.51,364.39,349.43
03/09/2026,363.06,"1,326,342",363.79,365.77,358.88
03/06/2026,367.5,"1,621,078",365.71,368.368,358.6
03/05/2026,366.02,"1,527,224",362.0,369.27,360.0318
03/04/2026,361.27,"1,612,773",356.46,366.44,354.06
03/03/2026,356.0,"1,293,457",348.56,357.8099,346.5001
03/02/2026,353.93,"1,372,489",348.0,356.03,346.51
02/27/2026,349.73,"1,344,539",348.79,349.96,345.0
02/26/2026,352.15,"1,836,686",346.14,354.645,345.39
02/25/2026,344.24,"1,560,504",337.89,344.79,336.03
02/24/2026,337.7,"1,565,471",335.82,341.42,333.975
02/23/2026,335.7,"2,223,240",334.93,337.09,329.815
02/20/2026,335.79,"2,482,719",330.26,337.625,330.26
02/19/2026,332.0,"1,753,497",329.49,335.0,328.29
