date,close,volume,open,high,low
05/15/2026,212.75,"2,340,866",213.26,214.78,211.3325
05/14/2026,213.27,"1,988,423",213.11,215.18,212.65
05/13/2026,211.76,"3,714,803",217.0,217.0,209.125
05/12/2026,217.67,"3,257,449",214.8,217.99,211.3017
05/11/2026,214.55,"5,500,938",225.31,226.405,211.02
05/08/2026,225.81,"3,666,292",225.66,227.025,224.055
05/07/2026,224.48,"2,747,291",229.675,231.16,222.58
05/06/2026,228.91,"2,450,590",228.09,229.59,226.49
05/05/2026,227.42,"1,677,635",227.33,229.01,226.38
05/04/2026,226.02,"2,341,822",228.15,228.73,224.01
05/01/2026,228.84,"1,619,431",225.61,229.87,225.61
04/30/2026,227.79,"2,354,609",226.798,229.08,225.39
04/29/2026,225.08,"2,021,624",225.06,227.075,224.74
04/28/2026,225.52,"1,277,927",227.68,227.94,223.82
04/27/2026,226.17,"1,321,987",226.33,227.36,224.925
04/24/2026,226.37,"1,042,017",226.03,227.04,224.222
04/23/2026,226.92,"1,615,210",228.26,229.07,225.46
04/22/2026,226.34,"1,986,856",227.145,228.61,224.68
04/21/2026,225.59,"1,997,226",228.55,229.675,224.61
04/20/2026,228.25,"1,809,477",228.0,230.44,227.5
04/17/2026,227.82,"2,909,733",224.12,228.71,223.0
04/16/2026,221.97,"1,514,378",223.35,224.91,220.33
04/15/2026,224.15,"1,701,644",222.95,225.21,221.89
04/14/2026,223.29,"1,791,184",220.35,223.6,219.08
04/13/2026,220.95,"1,843,608",221.57,221.96,219.6
04/10/2026,221.16,"2,977,982",224.4,224.84,219.69
04/09/2026,224.91,"1,641,391",223.7,226.635,223.63
04/08/2026,224.47,"3,039,025",219.2,224.6,219.2
04/07/2026,216.34,"2,692,752",219.99,220.61,215.125
04/06/2026,221.21,"1,982,116",219.19,221.37,218.83
04/02/2026,219.98,"2,193,164",218.16,221.1636,217.26
04/01/2026,219.95,"2,612,529",217.74,222.03,216.47
03/31/2026,216.63,"2,893,293",211.5,217.485,211.005
03/30/2026,208.79,"3,009,601",211.69,212.61,207.48
03/27/2026,211.69,"2,572,042",213.58,213.99,210.825
03/26/2026,214.3,"2,927,335",216.33,217.51,214.16
03/25/2026,216.03,"3,764,818",215.62,216.5,212.14
03/24/2026,215.8,"2,712,062",211.9,216.1,210.53
03/23/2026,213.09,"2,067,360",213.42,215.45,212.96
03/20/2026,211.19,"4,013,529",209.54,211.36,208.08
03/19/2026,210.66,"2,143,054",207.105,211.46,206.63
03/18/2026,207.22,"2,492,047",208.2,210.9499,207.02
03/17/2026,209.19,"2,119,983",209.34,210.38,208.52
03/16/2026,207.96,"2,073,001",206.815,210.31,206.815
03/13/2026,206.28,"2,583,174",209.6,210.75,206.01
03/12/2026,209.84,"2,283,775",210.43,213.17,209.4001
03/11/2026,212.87,"2,132,749",212.7,214.11,211.55
