date,close,volume,open,high,low
05/15/2026,208.32,"2,508,329",211.07,211.12,207.27
05/14/2026,208.68,"1,956,530",205.2,208.97,204.3
05/13/2026,203.67,"1,912,214",200.39,203.75,200.01
05/12/2026,202.38,"2,119,098",199.14,204.34,198.39
05/11/2026,197.73,"2,265,299",199.61,199.885,196.41
05/08/2026,200.02,"2,272,925",204.35,204.45,198.79
05/07/2026,201.55,"2,782,917",198.94,201.965,198.24
05/06/2026,199.69,"2,386,952",202.4,203.0,199.55
05/05/2026,203.88,"1,247,875",206.52,206.52,203.7
05/04/2026,206.55,"1,627,184",205.87,207.88,205.19
05/01/2026,206.56,"1,243,372",211.05,211.7,206.36
04/30/2026,209.22,"1,630,764",207.88,210.055,207.49
04/29/2026,208.31,"1,385,322",208.0,208.725,205.13
04/28/2026,208.15,"2,078,793",209.25,209.59,206.92
04/27/2026,206.11,"1,122,436",209.27,210.87,205.93
04/24/2026,209.79,"1,061,237",212.34,213.6,209.38
04/23/2026,214.04,"1,811,660",206.18,214.1,206.18
04/22/2026,205.29,"1,606,162",204.99,207.03,204.26
04/21/2026,205.3,"2,008,780",208.12,208.7,204.96
04/20/2026,208.45,"1,626,617",208.0,209.19,207.55
04/17/2026,207.66,"2,197,723",208.79,208.885,206.46
04/16/2026,209.66,"1,132,212",211.94,213.5772,209.19
04/15/2026,210.87,"1,387,551",211.09,212.135,209.81
04/14/2026,211.73,"2,372,357",213.0,214.1,208.79
04/13/2026,213.48,"1,992,068",215.27,215.27,211.22
04/10/2026,214.66,"1,621,190",217.0,217.03,212.625
04/09/2026,217.0,"1,853,656",217.3,218.18,216.15
04/08/2026,216.51,"2,821,164",217.61,219.39,214.44
04/07/2026,220.38,"1,144,401",221.75,223.06,219.231
04/06/2026,220.86,"1,429,404",222.76,222.83,219.77
04/02/2026,223.19,"891,112",221.0,224.9884,220.62
04/01/2026,220.65,"998,091",218.86,221.23,218.105
03/31/2026,219.02,"1,954,516",221.27,222.21,217.97
03/30/2026,221.68,"1,935,948",217.13,224.445,215.84
03/27/2026,215.83,"1,063,524",217.31,218.96,215.765
03/26/2026,217.27,"1,030,725",215.64,218.83,215.61
03/25/2026,215.55,"1,221,711",216.14,216.465,210.77
03/24/2026,215.27,"1,629,880",215.93,218.74,215.12
03/23/2026,216.73,"1,745,540",220.31,221.45,216.68
03/20/2026,219.3,"2,266,464",223.38,223.9,218.85
03/19/2026,223.02,"1,148,689",222.21,224.81,221.01
03/18/2026,221.99,"1,155,041",224.05,225.442,221.99
03/17/2026,224.77,"967,041",225.1,226.81,224.2873
03/16/2026,224.13,"874,708",224.95,225.28,223.01
03/13/2026,224.28,"1,206,179",227.36,227.56,223.71
03/12/2026,225.78,"1,040,017",224.48,229.1999,223.32
03/11/2026,223.79,"996,728",223.05,225.0,221.77
03/10/2026,223.53,"1,313,890",228.82,228.82,220.01
03/09/2026,230.14,"1,300,435",229.59,231.37,228.08
03/06/2026,231.05,"938,855",230.85,232.6599,229.86
03/05/2026,231.67,"1,273,009",230.43,231.79,228.16
03/04/2026,231.57,"985,236",231.11,232.2,230.31
03/03/2026,232.27,"1,293,126",230.05,233.42,227.49
03/02/2026,230.37,"899,160",230.0,231.46,227.9344
02/27/2026,229.0,"1,437,738",225.22,229.32,225.041
02/26/2026,224.59,"1,190,314",222.94,224.8,221.14
02/25/2026,221.59,"1,139,758",220.74,221.785,218.28
02/24/2026,220.74,"1,134,226",221.61,224.19,219.9
02/23/2026,221.19,"1,792,068",219.67,222.59,219.038
02/20/2026,219.5,"1,264,773",222.0,222.0,218.4201
02/19/2026,221.63,"1,325,224",218.52,224.61,217.75
02/18/2026,216.84,"2,975,167",219.295,219.295,209.48
02/17/2026,221.19,"2,181,278",224.08,225.775,220.84
02/13/2026,223.17,"1,441,567",220.97,224.55,220.565
02/12/2026,220.87,"2,317,427",225.26,227.26,219.2601
02/11/2026,225.97,"1,518,051",222.75,228.09,222.01
02/10/2026,223.07,"1,610,790",224.18,225.69,222.85
02/09/2026,224.08,"1,562,949",220.0,224.25,219.275
02/06/2026,219.94,"1,039,130",218.72,221.6403,218.41
02/05/2026,218.72,"2,019,228",219.9,222.37,218.0
02/04/2026,218.2,"1,627,959",213.86,219.82,212.76
02/03/2026,213.95,"1,102,845",213.28,216.42,212.73
02/02/2026,215.73,"1,072,411",215.37,216.59,213.28
01/30/2026,215.09,"2,213,054",215.0,215.28,211.42
01/29/2026,214.75,"1,884,706",216.8,219.18,213.44
01/28/2026,217.6,"972,539",216.55,218.94,215.38
01/27/2026,217.19,"1,019,208",218.09,219.2,216.68
01/26/2026,219.08,"1,176,536",218.28,219.9999,217.31
01/23/2026,217.61,"1,685,241",215.97,218.18,215.615
01/22/2026,215.75,"1,013,872",214.37,216.27,213.98
01/21/2026,214.29,"1,363,638",211.27,214.37,210.41
01/20/2026,210.62,"2,156,253",209.62,211.445,208.14
01/16/2026,210.96,"1,752,868",209.12,211.26,209.12
01/15/2026,210.79,"1,455,819",209.65,211.03,209.65
01/14/2026,210.98,"1,616,933",209.09,211.505,208.87
01/13/2026,209.65,"1,153,654",210.6,211.454,207.9
01/12/2026,210.85,"1,131,456",212.65,213.2758,210.6
01/09/2026,212.22,"988,848",211.96,213.75,211.72
01/08/2026,211.86,"1,427,900",208.87,212.14,208.87
01/07/2026,209.08,"1,604,730",211.75,212.155,208.7
01/06/2026,210.93,"1,837,209",212.49,214.47,209.16
01/05/2026,212.84,"1,368,809",209.2,213.63,208.27
01/02/2026,210.2,"1,151,649",210.55,210.8,209.24
12/31/2025,211.93,"1,036,004",214.69,214.76,211.56
12/30/2025,214.69,"997,491",214.0,215.29,213.19
12/29/2025,214.52,"969,809",213.99,215.375,213.84
12/26/2025,213.37,"641,394",213.0,214.21,212.77
12/24/2025,213.2,"917,239",213.7,215.16,213.13
12/23/2025,213.06,"1,618,468",212.91,213.87,212.64
12/22/2025,212.92,"2,044,276",211.95,213.82,211.1904
12/19/2025,213.14,"3,963,203",212.56,213.57,211.66
12/18/2025,213.46,"2,178,781",214.42,215.1575,212.91
12/17/2025,214.73,"2,201,553",213.3,216.495,212.77
12/16/2025,214.01,"1,253,083",215.87,216.72,213.82
12/15/2025,215.33,"1,302,896",213.31,216.12,212.93
12/12/2025,213.65,"1,018,303",212.48,213.77,211.23
12/11/2025,211.18,"1,189,526",209.22,212.85,208.87
12/10/2025,207.56,"2,104,852",208.82,209.7,206.98
12/09/2025,209.32,"1,252,567",212.23,212.895,209.1
