date,close,volume,open,high,low
05/15/2026,171.18,"7,694,030",175.52,175.98,170.78
05/14/2026,175.68,"6,421,638",178.11,178.9,175.3
05/13/2026,178.11,"6,144,140",177.77,179.44,175.2974
05/12/2026,178.89,"5,604,883",178.6,179.9236,176.6234
05/11/2026,178.61,"6,524,088",175.16,179.93,174.6
05/08/2026,176.09,"6,277,446",176.22,177.09,174.6
05/07/2026,176.78,"5,658,926",176.54,177.39,173.68
05/06/2026,176.74,"6,098,981",174.79,178.09,173.57
05/05/2026,172.87,"4,721,241",173.92,174.15,171.195
05/04/2026,172.9,"5,081,313",174.0,175.8699,172.89
05/01/2026,173.99,"4,494,767",176.23,176.99,173.255
04/30/2026,176.07,"6,224,410",173.64,176.65,173.48
04/29/2026,172.79,"5,037,907",175.56,176.27,171.78
04/28/2026,175.68,"6,115,827",175.25,175.79,172.34
04/27/2026,173.38,"6,511,732",172.3,176.99,172.3
04/24/2026,174.26,"10,505,060",177.78,177.78,171.6301
04/23/2026,179.3,"6,289,444",181.36,182.64,177.5
04/22/2026,180.91,"8,513,949",187.745,188.74,179.84
04/21/2026,187.17,"7,489,948",194.61,196.62,186.54
04/20/2026,195.79,"4,988,161",197.8,198.39,194.8
04/17/2026,196.42,"4,777,162",195.58,199.94,195.2
04/16/2026,195.85,"3,999,305",198.41,199.94,193.91
04/15/2026,198.39,"4,424,750",202.99,203.0,197.69
04/14/2026,202.81,"3,303,096",201.35,204.32,200.911
04/13/2026,201.41,"3,429,173",201.75,202.99,200.13
04/10/2026,201.56,"3,151,917",202.82,202.82,197.79
04/09/2026,203.19,"2,789,665",203.22,205.36,202.6062
04/08/2026,203.48,"4,455,777",198.6,203.8,198.42
04/07/2026,197.92,"3,037,484",197.41,198.15,195.51
04/06/2026,198.41,"2,314,879",196.225,198.63,195.0
04/02/2026,196.21,"4,113,877",195.08,197.44,193.63
04/01/2026,194.72,"4,127,203",194.47,196.64,193.55
03/31/2026,192.9,"5,318,463",189.14,193.44,187.58
03/30/2026,187.15,"5,043,821",192.49,193.0,185.57
03/27/2026,189.71,"3,864,456",192.41,193.11,189.46
03/26/2026,192.85,"4,871,912",194.31,194.31,191.38
03/25/2026,195.0,"4,057,284",196.05,196.67,194.05
03/24/2026,194.0,"5,135,964",192.22,195.14,191.18
03/23/2026,194.82,"4,927,257",197.17,199.75,194.46
03/20/2026,198.16,"8,463,886",201.26,202.03,196.49
03/19/2026,200.73,"5,329,580",203.33,203.38,197.02
03/18/2026,204.56,"3,512,916",204.31,207.3,204.03
03/17/2026,203.33,"3,990,778",205.81,206.67,200.7133
03/16/2026,206.06,"4,795,629",204.71,208.9,204.61
03/13/2026,204.52,"4,806,760",204.46,206.2879,201.9
03/12/2026,203.04,"6,400,901",206.18,206.77,201.84
03/11/2026,207.26,"4,418,014",205.66,209.3899,204.7
03/10/2026,207.0,"4,140,612",206.36,208.47,205.28
03/09/2026,208.23,"8,626,395",211.755,213.0,206.81
03/06/2026,209.76,"8,790,440",204.01,209.95,203.64
03/05/2026,203.86,"6,935,575",208.49,210.15,200.095
03/04/2026,208.82,"6,140,312",207.0,209.95,204.23
03/03/2026,206.52,"9,661,254",213.01,214.5,205.57
03/02/2026,212.16,"12,485,300",210.65,212.82,208.0
02/27/2026,202.62,"8,982,472",198.31,202.62,197.63
02/26/2026,197.63,"5,761,981",196.5,198.68,194.0
02/25/2026,195.98,"6,891,791",198.46,198.7629,192.62
02/24/2026,198.46,"10,157,270",200.0,200.7101,197.0
02/23/2026,201.92,"4,557,283",203.97,204.9,201.74
02/20/2026,204.92,"10,300,800",205.49,206.36,203.02
02/19/2026,205.41,"6,128,379",204.17,206.73,201.54
02/18/2026,204.81,"6,395,657",205.51,206.01,202.805
02/17/2026,203.5,"6,057,791",200.0,205.64,198.85
02/13/2026,200.06,"4,939,001",201.14,203.7,198.5292
02/12/2026,201.14,"6,738,648",197.0,201.88,197.0
02/11/2026,196.51,"6,784,433",195.58,198.83,195.049
02/10/2026,195.19,"5,501,546",195.03,196.41,193.08
02/09/2026,196.19,"4,615,240",198.5,200.0,195.99
02/06/2026,198.66,"4,350,944",196.955,200.85,196.955
02/05/2026,195.97,"5,538,308",196.23,199.68,194.5301
02/04/2026,196.74,"11,411,470",205.5,206.48,194.33
02/03/2026,203.5,"8,457,340",201.785,204.87,200.65
02/02/2026,201.09,"6,239,853",199.99,201.66,197.0
01/30/2026,200.93,"7,228,370",198.37,201.43,197.595
01/29/2026,199.88,"8,870,790",200.93,203.2399,198.01
01/28/2026,199.46,"6,826,457",201.28,205.36,198.55
01/27/2026,201.28,"10,134,480",199.505,202.2,195.44
01/26/2026,194.13,"6,680,635",195.25,195.89,193.5
01/23/2026,195.93,"5,113,118",196.845,197.58,195.0
01/22/2026,196.34,"4,074,956",198.99,198.99,195.81
01/21/2026,197.5,"5,463,376",197.595,198.3,195.58
01/20/2026,196.36,"6,047,954",200.65,203.03,196.1
01/16/2026,201.92,"4,825,922",200.09,202.17,199.58
01/15/2026,199.83,"3,657,419",198.95,200.31,196.66
01/14/2026,198.84,"5,249,688",194.84,198.87,193.375
01/13/2026,194.08,"5,852,305",195.62,197.55,193.0
01/12/2026,193.85,"5,392,041",189.71,194.03,189.41
01/09/2026,188.5,"7,593,612",186.03,189.09,184.37
01/08/2026,187.17,"9,773,441",191.03,196.6999,184.9
01/07/2026,185.73,"7,666,678",191.92,193.79,185.61
01/06/2026,190.4,"3,914,984",188.7,190.71,187.71
01/05/2026,188.26,"6,048,782",187.3,190.5,186.4295
01/02/2026,187.25,"3,326,316",183.5,187.27,182.1738
12/31/2025,183.4,"2,644,838",184.1,184.4,182.64
12/30/2025,184.01,"1,812,363",184.93,185.0,183.7
12/29/2025,184.42,"2,027,614",185.17,185.6,184.1801
12/26/2025,185.17,"1,389,024",186.22,186.28,184.51
12/24/2025,186.38,"1,421,732",185.69,187.1,185.5
12/23/2025,185.76,"3,354,882",185.75,188.0,185.255
12/22/2025,185.68,"3,208,339",182.86,185.87,181.76
12/19/2025,182.01,"11,455,860",178.96,183.24,178.657
12/18/2025,178.29,"4,090,623",178.49,180.5,178.09
12/17/2025,177.2,"6,632,737",178.92,180.33,176.54
12/16/2025,179.93,"4,321,928",180.51,181.88,178.89
12/15/2025,182.11,"3,691,678",179.74,182.28,179.17
12/12/2025,178.66,"6,440,408",179.4,179.45,176.6335
12/11/2025,177.42,"4,865,483",174.7,179.14,174.3
12/10/2025,174.72,"5,611,537",171.17,177.1324,170.345
12/09/2025,171.93,"4,816,623",172.52,175.71,171.24
12/08/2025,171.52,"3,498,470",171.39,171.99,169.5355
12/05/2025,171.1,"3,032,825",172.0,172.0,168.94
12/04/2025,171.31,"7,486,472",168.9,172.09,168.65
12/03/2025,168.45,"5,452,212",169.05,169.19,166.74
12/02/2025,168.8,"4,053,594",169.38,169.38,168.035
12/01/2025,168.02,"4,885,627",173.7,174.0,167.9
11/28/2025,174.91,"1,680,414",173.04,174.935,173.0
11/26/2025,173.19,"3,564,588",172.56,174.03,172.02
11/25/2025,172.15,"5,511,956",172.76,173.63,169.52
11/24/2025,173.21,"8,116,555",169.28,173.65,168.9
11/21/2025,169.68,"6,108,423",172.26,172.3,168.62
11/20/2025,172.73,"4,220,985",176.54,177.55,172.5
11/19/2025,173.77,"3,902,371",173.51,174.77,172.5
11/18/2025,174.72,"3,742,714",176.7,177.93,174.31
11/17/2025,175.63,"3,913,947",176.1,176.3,174.625
11/14/2025,175.57,"3,224,691",173.96,176.16,172.5
11/13/2025,173.96,"3,618,110",178.63,178.792,173.1284
11/12/2025,177.69,"4,470,462",178.6,179.9,177.37
