date,close,volume,open,high,low
05/15/2026,93.97,"1,171,312",94.45,95.62,93.825
05/14/2026,96.38,"967,507",95.7,97.97,94.89
05/13/2026,95.01,"1,136,018",98.97,99.5,94.86
05/12/2026,99.3,"1,328,927",99.37,100.26,97.795
05/11/2026,98.95,"1,600,921",100.79,102.995,98.29
05/08/2026,101.0,"2,441,940",99.13,102.23,94.6
05/07/2026,98.85,"2,004,990",100.08,100.96,97.65
05/06/2026,99.09,"3,014,201",93.5,99.94,92.83
05/05/2026,92.3,"2,076,230",89.16,93.825,87.04
05/04/2026,86.51,"1,573,188",85.94,88.305,85.61
05/01/2026,86.68,"1,396,254",86.85,87.08,85.01
04/30/2026,86.62,"987,611",82.77,87.15,82.77
04/29/2026,82.26,"1,205,687",84.31,85.52,81.22
04/28/2026,85.18,"1,107,615",86.94,87.24,84.69
04/27/2026,86.8,"1,019,677",86.71,88.75,86.32
04/24/2026,86.77,"1,248,087",87.27,88.12,85.58
04/23/2026,87.15,"2,689,401",91.25,91.25,82.7913
04/22/2026,94.28,"1,097,568",95.11,95.54,93.05
04/21/2026,94.27,"1,090,164",93.59,97.07,93.26
04/20/2026,93.03,"984,070",92.8,93.9715,92.44
04/17/2026,93.96,"1,050,571",90.99,94.33,90.645
04/16/2026,89.53,"1,192,218",92.96,92.96,88.82
04/15/2026,92.9,"550,691",94.03,94.96,92.66
04/14/2026,93.51,"600,617",92.5,94.71,92.5
04/13/2026,92.64,"502,912",89.27,92.66,89.145
04/10/2026,89.79,"658,379",90.67,91.2,89.56
04/09/2026,90.46,"1,095,804",89.58,90.91,87.235
04/08/2026,90.4,"1,188,204",91.44,92.99,89.65
04/07/2026,87.79,"735,452",87.71,88.16,86.235
04/06/2026,88.32,"624,434",88.83,89.025,86.9775
04/02/2026,88.94,"949,752",86.28,90.63,85.8
04/01/2026,87.92,"693,506",88.21,89.86,87.14
03/31/2026,87.61,"1,255,991",86.2,88.93,85.455
03/30/2026,84.78,"1,012,092",84.96,85.85,83.65
03/27/2026,83.9,"835,251",86.69,87.86,83.8
03/26/2026,87.12,"576,699",87.14,89.33,86.93
03/25/2026,87.84,"1,003,364",88.66,89.74,86.275
03/24/2026,87.46,"621,829",85.76,88.485,84.91
03/23/2026,87.16,"936,056",88.3,88.78,86.64
03/20/2026,85.94,"1,429,805",85.19,86.69,85.0
03/19/2026,85.76,"1,215,671",83.75,86.86,83.675
03/18/2026,84.93,"1,157,837",86.15,86.855,84.36
03/17/2026,87.37,"929,048",87.62,89.75,87.36
03/16/2026,86.48,"1,459,788",86.67,87.9,85.4
03/13/2026,85.57,"1,408,005",85.69,86.4,83.48
03/12/2026,84.76,"1,291,663",88.31,89.21,84.53
03/11/2026,89.63,"843,162",90.13,90.47,88.96
03/10/2026,90.3,"990,125",91.95,92.62,88.59
03/09/2026,92.11,"1,215,295",90.0,92.845,88.34
03/06/2026,91.34,"1,393,468",94.29,95.24,90.81
03/05/2026,96.57,"1,603,705",96.79,99.175,95.65
03/04/2026,98.49,"1,179,210",96.59,98.57,95.82
03/03/2026,95.95,"1,108,176",92.6,96.17,91.13
03/02/2026,95.59,"1,061,145",96.12,96.395,94.06
02/27/2026,98.31,"1,100,574",97.42,98.44,95.95
02/26/2026,99.01,"1,094,556",97.56,99.205,95.24
02/25/2026,97.57,"973,317",98.41,98.5,95.68
02/24/2026,97.62,"705,521",97.13,99.48,97.13
02/23/2026,97.12,"1,242,951",99.16,100.775,96.66
02/20/2026,100.33,"1,392,661",98.97,101.3665,98.5026
02/19/2026,99.91,"1,171,234",96.85,100.04,95.77
02/18/2026,97.74,"856,474",95.11,98.1,95.11
02/17/2026,95.05,"1,616,916",95.2,96.61,93.94
02/13/2026,96.03,"1,471,151",96.33,97.98,95.39
