date,close,volume,open,high,low
05/15/2026,137.23,"5,463,745",133.94,139.0,132.5
05/14/2026,135.11,"4,798,548",133.675,139.54,132.6
05/13/2026,133.23,"8,129,102",132.27,137.47,129.63
05/12/2026,129.38,"5,989,027",127.0,129.6,122.55
05/11/2026,129.14,"4,684,380",127.88,132.1,126.0601
05/08/2026,127.15,"3,052,428",123.75,127.255,122.63
05/07/2026,122.62,"3,522,271",127.02,127.02,121.6
05/06/2026,125.75,"5,979,171",118.73,126.78,117.47
05/05/2026,117.34,"3,819,127",120.65,120.98,116.54
05/04/2026,120.34,"3,011,183",122.58,122.9,119.1701
05/01/2026,123.18,"2,393,484",123.32,124.34,121.5601
04/30/2026,123.14,"2,837,782",120.66,124.96,120.5
04/29/2026,119.78,"9,060,898",123.34,124.0,119.49
04/28/2026,123.7,"3,313,145",120.46,124.44,119.2
04/27/2026,121.63,"5,174,152",118.0,122.03,116.72
04/24/2026,117.5,"7,029,259",122.08,122.08,116.32
04/23/2026,121.52,"3,414,457",121.57,123.35,119.79
04/22/2026,122.36,"8,327,414",126.765,127.3808,119.68
04/21/2026,123.86,"7,630,609",137.09,137.39,122.79
04/20/2026,135.11,"3,709,213",134.29,137.44,133.02
04/17/2026,133.21,"5,818,052",135.27,135.68,132.09
04/16/2026,132.5,"3,133,502",131.37,133.21,129.5001
04/15/2026,131.39,"5,661,673",132.13,135.88,130.31
04/14/2026,130.47,"4,818,342",127.91,131.73,126.135
04/13/2026,125.55,"2,872,869",128.5,129.2525,125.0
04/10/2026,128.59,"9,102,727",120.09,132.43,117.76
04/09/2026,120.09,"5,166,325",122.71,124.83,117.5
04/08/2026,122.82,"6,221,420",129.13,129.515,121.37
04/07/2026,124.77,"3,837,528",125.22,126.4722,122.14
04/06/2026,126.95,"4,859,228",129.17,129.5,125.6779
04/02/2026,128.68,"10,713,740",118.096,130.0,118.04
04/01/2026,120.6,"7,062,471",118.49,124.0,117.71
03/31/2026,117.07,"14,711,230",115.09,120.76,113.515
03/30/2026,112.23,"4,796,271",116.1,118.31,110.03
03/27/2026,115.21,"5,713,276",111.54,116.6,111.01
03/26/2026,111.4,"9,235,585",117.28,117.81,109.6953
03/25/2026,119.07,"13,331,070",116.82,124.61,116.14
03/24/2026,110.84,"4,624,916",109.58,114.2099,108.97
03/23/2026,109.49,"6,798,407",111.0,112.885,105.35
03/20/2026,109.84,"49,306,790",109.93,111.4999,104.13
03/19/2026,109.11,"5,148,244",106.99,109.97,106.0
03/18/2026,107.75,"4,119,126",111.59,113.03,107.49
03/17/2026,112.27,"3,633,079",114.095,116.4418,112.11
03/16/2026,114.33,"4,890,199",110.18,114.81,110.0
03/13/2026,108.34,"3,149,990",108.825,109.5,105.57
03/12/2026,107.71,"6,223,282",110.41,111.18,107.43
03/11/2026,112.18,"5,587,563",107.58,114.0,107.4
03/10/2026,108.5,"5,992,222",110.62,112.4,106.75
03/09/2026,109.92,"6,330,890",108.18,110.64,104.9
03/06/2026,106.24,"4,137,757",107.3,111.15,105.28
03/05/2026,110.85,"4,090,427",114.07,116.83,109.65
03/04/2026,114.03,"4,023,033",118.36,118.5,110.5001
03/03/2026,116.9,"4,015,520",115.24,119.48,113.52
03/02/2026,118.68,"6,957,418",117.16,121.64,114.15
02/27/2026,115.53,"7,897,687",107.21,119.5,105.315
02/26/2026,108.37,"3,121,422",107.38,108.94,105.785
02/25/2026,107.01,"3,635,409",108.61,109.18,104.63
02/24/2026,106.78,"3,214,253",107.05,107.62,104.77
02/23/2026,107.42,"2,336,812",109.0,110.23,107.05
02/20/2026,110.36,"2,367,773",114.51,114.84,109.79
02/19/2026,114.84,"2,179,305",113.14,117.2299,112.67
02/18/2026,114.46,"2,727,202",112.73,116.48,112.51
02/17/2026,113.0,"1,851,262",112.0,115.025,110.25
02/13/2026,113.15,"4,233,537",109.87,116.61,108.11
02/12/2026,110.51,"3,707,681",110.22,111.56,107.25
02/11/2026,110.06,"5,507,917",116.2,116.32,108.11
02/10/2026,115.67,"4,105,181",114.765,117.86,114.0
02/09/2026,115.19,"3,301,827",113.5,115.52,111.02
02/06/2026,111.61,"3,802,758",110.23,112.31,108.71
02/05/2026,107.02,"4,175,578",109.11,112.42,106.6
02/04/2026,110.69,"6,444,077",114.61,114.77,107.12
02/03/2026,114.82,"5,763,891",119.98,122.99,112.9
02/02/2026,116.55,"7,143,589",111.06,121.305,111.06
01/30/2026,113.22,"7,361,511",116.08,116.9967,109.57
01/29/2026,113.46,"11,606,910",128.01,129.8,112.66
01/28/2026,128.57,"5,624,282",129.59,131.939,128.01
01/27/2026,125.81,"8,342,711",120.785,126.27,119.5
01/26/2026,119.72,"9,165,407",126.0,128.29,118.5
01/23/2026,126.5,"3,796,978",127.68,128.76,125.65
01/22/2026,127.965,"7,731,900",124.34,128.759,122.14
01/21/2026,122.5,"4,187,604",122.715,123.69,119.79
01/20/2026,122.0,"6,357,431",122.23,128.09,121.0
01/16/2026,123.27,"4,774,069",125.62,126.63,122.05
01/15/2026,123.55,"8,183,917",129.74,132.25,122.0
01/14/2026,131.09,"13,015,770",125.0,132.17,122.665
01/13/2026,123.74,"7,381,947",126.0,126.828,121.29
01/12/2026,126.07,"9,731,680",122.45,128.31,121.52
01/09/2026,120.0,"7,161,364",117.69,120.53,117.51
01/08/2026,116.95,"9,071,536",115.59,119.8,114.1201
01/07/2026,112.16,"4,282,095",116.13,116.9999,110.92
01/06/2026,116.06,"8,133,989",110.3,117.15,107.59
01/05/2026,110.67,"3,593,926",113.02,113.47,109.61
01/02/2026,112.18,"3,856,093",108.68,112.69,108.68
12/31/2025,108.7,"2,324,799",109.31,110.39,108.6
12/30/2025,109.2,"2,392,607",108.55,110.87,107.99
12/29/2025,108.55,"2,516,307",103.535,109.23,103.0803
12/26/2025,105.6,"1,857,622",107.43,109.259,105.139
12/24/2025,106.95,"1,022,137",106.58,107.54,106.3112
12/23/2025,106.76,"2,539,938",107.99,108.29,105.12
12/22/2025,108.88,"4,767,484",105.855,109.4099,104.6
12/19/2025,103.91,"8,383,222",107.98,111.39,103.38
12/18/2025,102.59,"4,023,670",103.59,105.86,101.585
12/17/2025,100.89,"3,757,010",103.81,104.36,99.9
12/16/2025,103.64,"3,014,023",104.0,106.62,103.1
12/15/2025,103.93,"4,950,941",109.635,111.0,103.32
12/12/2025,107.37,"7,757,853",105.84,107.69,102.9
12/11/2025,104.39,"8,968,833",106.1,109.53,103.28
12/10/2025,103.98,"14,254,640",97.57,105.31,96.13
12/09/2025,93.54,"10,056,920",87.98,98.9,86.03
12/08/2025,88.26,"10,586,940",86.05,90.3964,85.53
12/05/2025,82.0,"28,602,480",74.83,88.0,74.395
