date,close,volume,open,high,low
05/15/2026,199.62,"1,063,617",200.7,203.03,196.78
05/14/2026,201.21,"1,021,981",208.99,209.41,200.51
05/13/2026,207.66,"1,417,311",212.805,213.35,199.905
05/12/2026,213.61,"1,132,259",218.62,219.59,212.75
05/11/2026,217.26,"457,783",218.0,220.38,216.04
05/08/2026,218.17,"459,781",217.26,218.705,216.63
05/07/2026,218.62,"553,583",218.29,219.85,216.34
05/06/2026,218.44,"847,301",218.86,221.5375,217.76
05/05/2026,217.38,"787,882",218.46,219.3493,215.77
05/04/2026,217.91,"618,747",217.53,220.93,217.02
05/01/2026,218.58,"613,162",222.0,222.38,218.09
04/30/2026,221.2,"1,554,056",215.0,222.58,213.505
04/29/2026,215.97,"1,109,313",217.59,219.5,215.01
04/28/2026,217.59,"1,167,467",217.66,217.885,213.225
04/27/2026,215.0,"1,040,874",219.07,219.605,214.2725
04/24/2026,219.47,"720,422",218.41,219.99,216.8225
04/23/2026,219.6,"1,034,449",214.04,220.04,213.96
04/22/2026,211.86,"1,157,186",217.01,218.72,210.53
04/21/2026,213.1,"1,195,145",220.72,221.05,213.09
04/20/2026,220.41,"661,585",218.68,224.46,218.68
04/17/2026,223.14,"944,692",221.66,224.27,220.24
04/16/2026,221.76,"1,055,395",215.0,222.16,214.41
04/15/2026,214.2,"1,758,196",218.51,218.51,212.72
04/14/2026,218.08,"1,200,803",219.86,220.16,215.2
04/13/2026,220.24,"1,315,537",222.52,223.025,217.14
04/10/2026,223.75,"1,556,371",218.16,224.2,217.1451
04/09/2026,218.46,"1,714,671",218.6,220.28,215.785
04/08/2026,218.71,"3,486,738",204.77,223.86,204.2
04/07/2026,205.86,"2,121,312",211.15,211.15,202.56
04/06/2026,212.42,"3,397,580",204.445,213.87,203.5
04/02/2026,204.04,"6,566,541",171.44,204.8,170.42
04/01/2026,171.56,"976,964",170.63,173.815,170.3354
03/31/2026,172.11,"1,248,978",169.83,172.93,169.0
03/30/2026,169.83,"811,065",168.47,172.14,167.77
03/27/2026,167.06,"836,767",165.62,168.61,165.01
03/26/2026,166.17,"662,948",164.57,166.91,163.05
03/25/2026,165.15,"1,231,298",168.18,168.315,162.41
03/24/2026,166.76,"1,052,171",170.97,173.93,166.58
03/23/2026,171.98,"996,255",174.59,175.48,170.78
03/20/2026,174.15,"1,510,381",181.81,183.51,173.77
