date,close,volume,open,high,low
05/15/2026,90.88,"14,261,990",90.48,92.87,89.76
05/14/2026,89.44,"14,178,790",91.65,92.1703,89.13
05/13/2026,91.17,"9,299,812",89.45,91.78,89.26
05/12/2026,90.18,"9,490,161",88.02,90.39,87.64
05/11/2026,87.83,"9,542,668",88.62,88.865,87.61
05/08/2026,88.61,"9,953,964",89.29,89.7,88.31
05/07/2026,89.5,"14,791,980",91.81,92.43,88.6601
05/06/2026,92.15,"6,883,560",92.36,92.75,91.585
05/05/2026,92.4,"5,784,332",91.76,92.89,91.5
05/04/2026,91.48,"7,005,948",91.37,92.72,90.95
05/01/2026,91.54,"8,532,643",92.03,92.8586,91.265
04/30/2026,91.64,"12,560,280",90.35,92.53,89.875
04/29/2026,91.16,"8,328,332",90.33,91.49,89.4425
04/28/2026,90.83,"9,259,149",91.3,91.9,90.175
04/27/2026,90.76,"8,399,216",88.26,91.12,88.15
04/24/2026,88.5,"11,670,550",88.92,89.86,88.29
04/23/2026,88.92,"17,899,610",91.14,91.6,87.84
04/22/2026,91.71,"10,798,330",92.19,93.0,91.15
04/21/2026,91.97,"12,842,760",93.26,94.155,91.83
04/20/2026,93.15,"11,271,630",91.98,93.59,91.65
04/17/2026,92.28,"20,191,290",93.35,93.93,90.565
04/16/2026,92.62,"27,859,520",95.76,98.75,91.92
04/15/2026,100.27,"10,983,430",99.4,100.759,99.09
04/14/2026,98.38,"12,167,570",97.28,99.06,96.89
04/13/2026,96.79,"7,449,681",94.72,96.85,94.2
04/10/2026,94.8,"9,347,157",97.185,97.245,94.15
04/09/2026,97.27,"5,794,463",96.28,97.975,95.83
04/08/2026,96.7,"10,783,080",94.89,96.78,94.5
04/07/2026,93.34,"11,971,820",92.21,93.73,91.3
04/06/2026,92.99,"10,968,050",93.9,94.75,92.04
04/02/2026,93.77,"7,970,545",91.1,94.02,90.89
04/01/2026,92.36,"15,988,660",95.01,95.435,90.0
03/31/2026,93.98,"9,731,183",94.0,94.13,92.17
03/30/2026,93.06,"6,406,649",92.99,93.73,92.37
03/27/2026,92.36,"7,252,391",93.87,93.96,91.97
03/26/2026,94.47,"6,984,154",94.68,95.16,93.84
03/25/2026,94.99,"6,454,692",95.95,96.65,94.39
03/24/2026,95.68,"6,456,172",95.58,96.74,95.2
03/23/2026,95.3,"8,933,360",95.59,96.4496,93.99
03/20/2026,94.66,"13,145,380",94.11,94.87,93.5
03/19/2026,93.99,"8,001,366",93.37,94.15,92.79
