date,close,volume,open,high,low
05/15/2026,300.1,"3,849,783",308.25,308.25,300.05
05/14/2026,309.18,"2,588,482",309.34,310.965,306.9301
05/13/2026,306.34,"3,838,049",309.87,310.574,302.87
05/12/2026,311.58,"1,721,678",312.52,313.56,309.705
05/11/2026,312.7,"1,786,994",317.02,317.65,311.72
05/08/2026,316.82,"1,249,732",323.19,323.98,315.83
05/07/2026,320.21,"1,828,288",326.76,328.993,318.27
05/06/2026,323.63,"2,628,512",323.0,327.055,321.05
05/05/2026,312.46,"1,480,750",312.3,313.325,307.05
05/04/2026,310.49,"1,942,495",315.05,318.92,310.27
05/01/2026,318.0,"1,378,345",323.18,324.91,317.405
04/30/2026,321.61,"2,165,731",320.68,323.73,319.215
04/29/2026,317.85,"2,095,379",320.0,321.445,313.4
04/28/2026,324.27,"2,439,828",342.03,344.05,321.08
04/27/2026,336.1,"1,836,900",340.71,343.43,335.65
04/24/2026,337.7,"1,692,941",336.74,338.58,333.78
04/23/2026,337.66,"1,190,233",336.02,338.05,331.505
04/22/2026,335.15,"1,309,493",339.66,342.48,333.29
04/21/2026,334.61,"1,490,052",343.94,345.405,332.11
04/20/2026,343.93,"1,314,373",343.76,344.98,340.06
04/17/2026,345.55,"2,683,322",338.64,350.59,337.07
04/16/2026,333.34,"1,396,331",334.61,338.9,331.1
04/15/2026,328.84,"1,648,983",333.8,334.55,326.255
04/14/2026,333.6,"1,176,600",334.98,336.28,333.28
04/13/2026,334.38,"1,499,256",334.18,336.49,327.11
04/10/2026,336.11,"1,426,981",335.72,337.25,331.8
04/09/2026,335.73,"1,506,752",332.05,339.32,330.0
04/08/2026,335.67,"1,949,844",331.79,338.12,329.51
04/07/2026,313.96,"1,329,551",315.19,315.999,310.61
04/06/2026,316.39,"1,155,246",316.53,318.14,313.72
04/02/2026,318.0,"1,768,170",319.01,324.16,312.46
04/01/2026,325.7,"1,835,943",323.43,331.1,322.955
03/31/2026,320.55,"1,769,317",319.69,323.285,313.68
03/30/2026,315.9,"1,942,827",318.5,322.16,315.0
03/27/2026,315.37,"1,291,789",318.42,320.95,314.84
03/26/2026,319.55,"2,058,007",317.52,326.62,317.32
03/25/2026,321.95,"1,860,260",318.13,322.07,313.33
03/24/2026,313.7,"1,914,011",311.09,316.71,308.94
03/23/2026,313.95,"1,962,903",306.49,318.54,306.265
03/20/2026,303.53,"2,708,641",308.79,312.04,301.58
03/19/2026,310.38,"2,391,566",306.97,310.47,303.42
03/18/2026,312.12,"2,092,397",316.35,318.32,310.26
03/17/2026,320.7,"1,497,944",325.0,325.0,320.14
03/16/2026,322.71,"1,192,738",324.7,327.5322,321.545
03/13/2026,319.78,"1,451,226",321.5,329.37,318.92
03/12/2026,317.7,"1,549,559",321.86,324.89,317.44
03/11/2026,322.74,"1,531,118",329.3,330.16,321.74
03/10/2026,330.33,"1,418,917",332.45,337.23,329.26
03/09/2026,333.4,"2,189,580",324.52,333.48,321.365
03/06/2026,329.88,"1,827,097",330.87,331.68,325.09
03/05/2026,335.45,"1,803,237",342.8,343.425,332.66
03/04/2026,347.67,"1,277,657",349.2,349.245,343.89
03/03/2026,348.83,"1,711,118",343.96,350.8855,337.89
03/02/2026,356.1,"1,690,864",355.51,357.47,345.66
02/27/2026,362.59,"1,936,007",356.5,363.06,353.55
02/26/2026,360.5,"1,222,796",359.74,361.78,354.59
02/25/2026,357.25,"1,532,306",368.52,368.53,354.44
02/24/2026,364.73,"1,759,891",367.21,368.82,363.22
02/23/2026,364.27,"1,664,471",358.94,365.83,357.73
02/20/2026,360.63,"1,652,893",358.26,364.4404,357.13
02/19/2026,357.61,"1,627,845",363.68,365.58,356.81
02/18/2026,365.76,"1,188,706",368.0,368.9,364.7471
02/17/2026,367.94,"1,335,992",370.2,372.45,364.72
02/13/2026,368.89,"2,162,236",374.45,377.77,367.215
02/12/2026,372.6,"2,305,611",370.0,374.87,367.37
02/11/2026,366.97,"1,451,604",363.9,367.24,362.832
02/10/2026,364.65,"1,655,645",363.61,365.96,359.82
02/09/2026,360.6,"1,761,549",362.22,362.74,357.67
02/06/2026,361.98,"2,355,484",363.23,367.46,361.1
02/05/2026,361.04,"2,086,918",369.21,369.22,360.29
02/04/2026,368.91,"2,460,793",365.01,370.0,362.14
02/03/2026,359.64,"2,555,140",355.15,369.44,354.675
02/02/2026,356.36,"1,909,794",358.39,362.42,356.04
01/30/2026,354.64,"2,222,221",352.06,358.0,351.05
01/29/2026,354.58,"2,645,691",349.5,355.67,342.0
01/28/2026,349.6,"2,525,550",346.19,350.57,345.43
01/27/2026,346.08,"1,456,529",347.98,348.95,345.33
01/26/2026,348.33,"1,475,587",348.63,349.58,345.99
01/23/2026,348.52,"2,142,087",346.74,348.57,343.59
01/22/2026,350.63,"1,772,558",358.42,362.32,350.14
01/21/2026,356.31,"1,879,398",350.68,357.7151,348.135
01/20/2026,346.96,"2,072,211",353.33,355.963,346.86
01/16/2026,357.83,"1,355,472",355.9,358.1,354.01
01/15/2026,356.13,"1,711,054",355.78,358.41,353.9
01/14/2026,354.35,"1,921,679",356.03,358.82,352.94
01/13/2026,355.99,"1,862,839",357.0,359.0,353.71
01/12/2026,357.63,"1,728,365",352.59,358.505,349.24
01/09/2026,353.28,"2,432,816",343.5,354.0,342.735
01/08/2026,341.03,"1,930,798",327.75,342.68,325.475
01/07/2026,331.41,"1,506,198",342.005,343.9,331.33
01/06/2026,340.09,"1,778,834",331.29,341.74,329.0
01/05/2026,332.2,"1,661,798",326.08,333.19,322.88
01/02/2026,327.84,"1,642,728",323.25,329.9699,322.62
12/31/2025,324.03,"830,248",326.27,326.97,323.93
12/30/2025,326.16,"912,998",323.23,327.07,321.02
12/29/2025,325.23,"1,217,351",325.31,326.8,323.91
12/26/2025,325.44,"884,870",325.38,326.42,323.27
12/24/2025,325.35,"708,628",322.5,325.5,322.457
12/23/2025,324.05,"1,454,392",325.0,325.0,321.27
12/22/2025,323.84,"1,301,624",321.43,326.13,320.685
12/19/2025,320.86,"4,367,631",325.14,327.45,319.49
12/18/2025,325.36,"2,348,047",331.51,335.3,325.18
12/17/2025,327.95,"1,569,108",325.32,329.48,323.88
12/16/2025,327.87,"1,485,224",328.0,330.4,325.11
12/15/2025,328.45,"1,623,747",331.22,331.34,326.78
12/12/2025,328.69,"1,632,972",330.05,331.42,326.83
12/11/2025,329.3,"1,899,722",328.66,332.28,326.96
12/10/2025,326.27,"2,160,537",322.19,327.06,320.11
12/09/2025,321.14,"1,685,040",326.53,327.545,320.95
12/08/2025,327.13,"1,376,394",331.47,333.09,326.64
12/05/2025,333.11,"2,011,891",335.37,336.01,332.44
12/04/2025,335.37,"1,368,445",339.25,340.66,334.84
12/03/2025,339.24,"1,282,015",339.06,342.08,337.31
12/02/2025,337.49,"1,389,369",343.31,343.31,335.85
12/01/2025,341.49,"1,662,733",339.88,344.8,339.11
11/28/2025,343.69,"566,814",342.45,344.69,342.25
11/26/2025,343.39,"1,174,263",341.26,344.84,339.97
11/25/2025,342.65,"1,452,450",338.81,344.14,337.125
11/24/2025,338.0,"2,306,526",337.47,338.9,333.59
11/21/2025,337.06,"2,392,491",329.49,342.59,329.455
11/20/2025,328.01,"2,882,249",331.04,334.44,327.47
11/19/2025,329.78,"2,050,526",328.02,330.16,324.62
11/18/2025,323.83,"2,255,311",322.92,327.05,318.22
11/17/2025,326.81,"1,991,675",331.4,333.21,326.72
11/14/2025,332.18,"2,317,492",337.17,337.92,331.53
11/13/2025,338.84,"2,322,921",342.02,345.95,338.51
11/12/2025,344.72,"1,516,342",345.58,348.3809,344.29
11/11/2025,345.08,"2,216,660",343.48,346.53,341.76
11/10/2025,342.55,"1,617,113",338.86,343.5,335.99
11/07/2025,340.16,"1,631,948",334.23,341.34,332.5001
11/06/2025,333.66,"1,989,983",335.4,336.98,332.83
11/05/2025,335.77,"2,543,796",342.2,344.1,334.25
11/04/2025,342.98,"2,221,123",342.09,346.5,336.79
11/03/2025,345.64,"2,386,640",340.97,346.11,339.191
10/31/2025,344.94,"1,558,224",345.18,347.2,343.4301
10/30/2025,347.9,"1,609,866",347.09,353.92,345.11
10/29/2025,345.73,"2,037,281",351.89,353.45,344.99
10/28/2025,354.45,"5,420,913",356.425,368.615,345.97
10/27/2025,336.08,"3,088,748",335.7,337.33,333.17
10/24/2025,334.0,"2,375,277",334.5,337.68,332.3
10/23/2025,331.75,"2,346,555",333.7,335.32,329.95
10/22/2025,333.81,"1,797,715",337.78,339.059,333.14
10/21/2025,338.44,"2,268,485",331.24,340.91,330.62
10/20/2025,331.24,"3,061,363",332.18,333.75,328.98
10/17/2025,330.74,"2,203,437",332.26,333.34,328.27
10/16/2025,331.46,"1,913,946",334.5,334.5,329.59
10/15/2025,332.73,"2,245,888",334.98,336.89,331.71
10/14/2025,335.27,"3,393,520",329.78,337.04,329.25
10/13/2025,332.16,"1,697,766",331.86,333.98,329.45
10/10/2025,332.81,"2,419,298",335.99,337.86,331.72
10/09/2025,333.22,"2,228,618",337.5,337.5,330.7905
10/08/2025,337.57,"1,548,963",337.05,338.98,335.52
10/07/2025,337.0,"1,499,853",336.84,337.455,334.73
10/06/2025,336.91,"2,032,073",346.235,346.235,336.79
10/03/2025,346.6,"1,188,204",343.8,349.68,342.6259
10/02/2025,343.9,"1,564,091",340.03,344.705,339.17
10/01/2025,341.22,"1,414,056",344.66,346.05,340.32
09/30/2025,346.26,"1,332,909",342.77,346.7716,341.55
09/29/2025,342.92,"1,642,141",342.54,343.41,340.59
09/26/2025,341.91,"1,039,363",341.31,343.22,340.0
09/25/2025,340.1,"1,582,435",341.12,343.01,338.9922
09/24/2025,342.96,"1,128,156",342.8,346.81,342.45
09/23/2025,344.45,"1,350,593",345.59,348.9,344.03
09/22/2025,346.41,"1,224,182",345.61,348.78,343.95
09/19/2025,346.8,"2,559,029",350.64,350.64,345.99
09/18/2025,349.56,"1,607,995",350.1,353.06,347.98
09/17/2025,350.21,"2,165,937",354.4,359.205,348.5
09/16/2025,353.2,"2,266,115",356.55,357.4,352.38
09/15/2025,357.08,"2,016,418",360.06,360.1,354.51
09/12/2025,360.1,"1,848,812",365.84,367.48,359.99
09/11/2025,368.68,"2,078,963",358.69,369.52,357.74
09/10/2025,357.45,"1,777,820",358.94,362.24,354.59
09/09/2025,361.38,"2,210,187",370.98,372.0,358.56
09/08/2025,375.23,"1,545,017",372.38,375.59,370.62
09/05/2025,372.43,"3,066,961",368.85,376.58,366.5
09/04/2025,365.78,"1,922,919",365.5,366.96,361.75
09/03/2025,363.03,"2,528,637",360.3,364.17,359.66
09/02/2025,360.92,"1,472,540",361.47,363.16,359.24
08/29/2025,365.83,"1,328,498",365.8,367.43,364.615
08/28/2025,366.18,"1,137,046",368.15,368.33,364.08
08/27/2025,367.4,"812,385",367.05,368.35,365.5825
08/26/2025,366.46,"1,828,383",367.4,367.975,364.97
08/25/2025,367.0,"1,411,034",370.23,371.87,365.07
08/22/2025,372.93,"2,298,590",365.93,379.65,363.3352
08/21/2025,363.86,"1,450,130",364.14,366.31,360.88
08/20/2025,367.13,"1,798,278",367.44,369.9999,365.16
08/19/2025,367.93,"2,089,422",358.43,368.895,358.43
08/18/2025,358.85,"2,097,300",364.11,364.725,358.26
08/15/2025,364.4,"1,785,136",365.86,367.6223,362.35
08/14/2025,365.57,"2,615,146",368.055,371.76,363.78
08/13/2025,368.83,"2,880,924",360.06,370.06,359.765
08/12/2025,358.09,"2,567,548",355.53,361.18,354.05
08/11/2025,354.58,"2,626,035",353.16,356.98,350.5
08/08/2025,352.16,"1,628,321",349.94,352.84,348.83
08/07/2025,349.93,"1,410,294",354.97,354.97,347.93
08/06/2025,350.73,"2,134,153",351.96,353.14,347.47
08/05/2025,352.09,"1,565,444",348.45,352.12,347.6
08/04/2025,347.85,"2,145,735",343.48,348.04,342.56
08/01/2025,343.41,"4,073,921",329.77,345.0,327.54
07/31/2025,330.88,"1,752,558",329.48,334.04,329.48
07/30/2025,331.98,"1,539,721",335.19,336.97,330.825
07/29/2025,336.97,"1,518,204",336.32,337.75,333.72
07/28/2025,336.16,"1,919,641",338.03,340.6,334.32
07/25/2025,340.1,"1,868,405",341.88,341.88,338.17
07/24/2025,340.21,"2,132,383",340.075,347.1,338.795
07/23/2025,342.94,"2,234,121",343.53,345.57,341.12
07/22/2025,340.07,"3,896,953",331.43,341.18,328.1
07/21/2025,341.3,"2,350,922",343.43,346.1382,340.1
07/18/2025,340.07,"2,202,483",339.89,340.345,335.965
07/17/2025,339.9,"1,331,617",339.6,341.255,337.48
07/16/2025,339.86,"1,273,419",338.9,340.82,335.34
07/15/2025,339.05,"1,322,189",346.0,346.76,338.81
07/14/2025,344.5,"999,820",344.28,346.74,343.21
07/11/2025,345.93,"1,038,540",347.2,348.235,344.63
07/10/2025,351.83,"1,216,370",351.0,356.27,350.97
07/09/2025,351.54,"2,120,078",347.42,352.7,345.6835
07/08/2025,346.0,"1,319,796",345.84,348.13,344.1
07/07/2025,346.29,"2,209,222",352.96,352.96,343.98
07/03/2025,354.0,"1,088,732",353.62,355.75,351.785
07/02/2025,352.51,"1,340,775",354.58,356.3,351.415
