date,close,volume,open,high,low
05/15/2026,100.54,"1,904,850",100.09,100.855,98.92
05/14/2026,100.2,"2,410,043",101.38,101.99,99.25
05/13/2026,100.87,"2,876,023",100.32,101.26,99.49
05/12/2026,100.33,"2,759,532",100.26,100.77,99.27
05/11/2026,99.22,"2,310,343",99.49,99.865,98.24
05/08/2026,99.25,"1,703,758",99.87,100.0,97.97
05/07/2026,99.44,"2,422,464",96.18,100.35,95.71
05/06/2026,96.83,"1,493,005",97.13,97.44,96.15
05/05/2026,96.69,"1,133,472",96.73,97.1,95.04
05/04/2026,96.91,"1,334,881",96.35,97.21,95.77
05/01/2026,96.97,"1,087,336",98.43,98.64,96.37
04/30/2026,98.03,"1,642,227",96.64,98.25,96.63
04/29/2026,96.8,"1,830,860",97.99,98.96,95.925
04/28/2026,98.05,"3,771,885",96.59,98.5,94.78
04/27/2026,95.33,"1,670,800",95.84,97.25,95.32
04/24/2026,96.07,"1,283,339",96.27,97.08,95.175
04/23/2026,96.19,"1,702,369",94.7,96.33,94.6
04/22/2026,94.99,"1,393,050",96.1,96.9,94.4
04/21/2026,95.74,"1,326,708",95.49,96.02,94.39
04/20/2026,96.14,"1,596,813",95.15,96.21,94.2747
04/17/2026,95.5,"2,780,545",93.5,96.39,93.5
04/16/2026,93.94,"1,998,419",93.48,94.5,93.32
04/15/2026,93.49,"1,774,637",92.29,93.92,91.28
04/14/2026,92.21,"2,392,580",89.53,92.75,89.305
04/13/2026,89.53,"2,516,884",91.0,91.25,88.25
04/10/2026,90.91,"2,092,536",92.36,92.8099,90.42
04/09/2026,92.47,"1,618,647",93.32,93.77,91.63
04/08/2026,93.79,"2,447,129",94.5,95.63,93.425
04/07/2026,94.15,"1,375,834",95.22,96.16,94.14
04/06/2026,95.22,"1,339,870",94.99,95.71,94.7
04/02/2026,95.47,"1,766,684",95.66,95.865,93.6
04/01/2026,95.49,"1,845,338",95.38,96.28,94.68
03/31/2026,96.44,"1,713,378",95.72,96.82,94.275
03/30/2026,95.17,"1,497,676",94.97,95.89,93.86
03/27/2026,95.24,"1,959,359",95.2,96.96,94.72
03/26/2026,95.11,"1,827,254",95.11,96.41,94.6
03/25/2026,95.39,"1,861,308",96.63,97.27,94.0
03/24/2026,96.86,"1,747,184",98.02,99.79,96.5
03/23/2026,98.38,"1,543,037",100.57,100.57,97.751
03/20/2026,99.37,"2,968,641",100.86,100.89,98.8
03/19/2026,100.41,"2,012,390",100.39,101.63,99.48
03/18/2026,101.4,"2,961,437",101.02,102.165,99.89
03/17/2026,102.64,"1,954,601",105.85,106.09,102.52
03/16/2026,104.99,"2,150,004",106.81,107.31,104.49
03/13/2026,106.08,"2,343,505",106.77,107.795,105.68
03/12/2026,106.0,"1,731,755",106.35,108.44,105.97
03/11/2026,107.62,"1,568,207",110.1,110.355,107.38
03/10/2026,108.47,"1,627,814",108.64,110.0099,107.62
03/09/2026,108.96,"1,576,572",112.51,112.51,108.22
03/06/2026,111.21,"1,784,015",110.77,111.315,108.75
03/05/2026,111.34,"2,218,013",113.86,113.86,110.9
03/04/2026,114.73,"2,896,715",113.31,114.84,111.71
03/03/2026,112.35,"1,912,655",114.1,114.54,111.37
03/02/2026,114.68,"2,713,212",115.92,116.32,112.74
02/27/2026,115.95,"12,228,500",117.0,117.0,114.07
02/26/2026,116.0,"6,466,629",117.69,119.39,112.67
02/25/2026,106.6,"3,060,450",108.79,109.52,105.49
02/24/2026,109.35,"2,324,057",111.61,112.07,108.48
02/23/2026,111.0,"2,279,619",112.0,112.0,109.54
02/20/2026,110.38,"1,625,781",110.0,111.08,109.0033
02/19/2026,109.57,"1,247,359",108.35,109.61,108.12
02/18/2026,107.69,"2,631,207",106.05,107.84,104.27
02/17/2026,106.22,"2,274,791",110.45,111.075,105.37
02/13/2026,110.53,"2,109,938",109.98,110.64,108.23
02/12/2026,111.01,"1,473,955",110.7,112.8999,109.235
02/11/2026,111.06,"1,849,265",108.59,111.13,107.08
02/10/2026,109.38,"2,298,022",107.53,110.51,107.49
02/09/2026,107.46,"1,627,153",109.28,109.62,106.04
02/06/2026,109.51,"1,272,171",108.38,110.36,108.32
02/05/2026,109.28,"1,646,538",109.54,110.1,106.92
02/04/2026,108.53,"1,445,407",106.68,109.465,106.445
02/03/2026,105.86,"1,558,297",104.15,106.83,104.07
02/02/2026,104.79,"1,704,803",104.96,105.75,103.515
01/30/2026,104.86,"2,467,438",102.57,105.4,102.57
01/29/2026,103.48,"1,155,497",103.86,104.82,103.01
01/28/2026,103.36,"1,076,293",104.78,105.65,102.41
01/27/2026,105.25,"1,469,874",103.71,105.545,103.58
01/26/2026,103.7,"1,211,890",102.8,104.13,102.52
01/23/2026,102.53,"1,053,476",102.28,102.69,101.42
01/22/2026,102.08,"1,146,414",101.45,102.79,100.67
