date,close,volume,open,high,low
05/15/2026,31.04,"27,358,950",31.6,31.96,30.64
05/14/2026,33.03,"32,397,640",32.02,33.81,31.52
05/13/2026,32.0,"25,441,550",32.9,33.01,31.775
05/12/2026,32.79,"35,190,080",33.04,33.48,31.24
05/11/2026,33.52,"39,601,090",35.07,36.37,33.44
05/08/2026,35.37,"50,774,250",33.33,35.64,32.3
05/07/2026,33.62,"61,495,300",34.005,35.58,32.92
05/06/2026,34.66,"127,295,700",31.44,34.71,31.12
05/05/2026,27.83,"55,291,270",28.25,28.29,27.42
05/04/2026,27.92,"29,340,520",27.49,28.5,27.34
05/01/2026,27.09,"25,043,920",27.64,28.3,26.875
04/30/2026,27.4,"21,028,130",26.91,27.515,26.35
04/29/2026,26.32,"26,097,140",27.028,27.09,25.46
04/28/2026,27.25,"23,282,200",27.0,27.64,26.51
04/27/2026,27.85,"28,746,050",28.825,29.49,27.46
04/24/2026,29.08,"38,559,400",27.53,29.485,27.28
04/23/2026,26.75,"46,874,200",26.5,27.6,26.0607
04/22/2026,29.18,"24,811,770",28.88,29.44,28.78
04/21/2026,28.43,"29,805,190",29.085,29.9359,28.35
04/20/2026,28.81,"22,593,910",28.07,28.88,27.71
04/17/2026,28.56,"21,872,280",29.06,29.13,28.18
04/16/2026,28.4,"28,966,110",27.58,28.72,26.67
04/15/2026,27.29,"27,816,850",27.73,27.93,26.95
04/14/2026,27.2,"40,885,370",27.0,27.795,26.5
04/13/2026,25.97,"30,023,560",25.06,25.99,24.45
04/10/2026,25.26,"43,565,770",23.64,25.545,23.64
04/09/2026,23.22,"28,653,970",23.39,23.95,23.09
04/08/2026,23.37,"31,894,250",23.99,24.18,22.86
04/07/2026,22.67,"25,328,300",22.0,22.69,21.79
04/06/2026,22.05,"23,564,770",23.07,23.46,22.03
04/02/2026,23.22,"30,446,150",21.98,23.335,21.87
04/01/2026,22.51,"33,420,870",22.87,23.365,22.35
03/31/2026,22.77,"37,631,150",21.39,22.8,21.34
03/30/2026,21.06,"34,074,920",22.18,22.25,20.71
03/27/2026,21.97,"33,020,430",22.21,22.36,21.38
03/26/2026,22.21,"53,777,300",23.32,23.74,21.86
03/25/2026,24.05,"67,917,070",22.63,24.19,22.57
03/24/2026,22.23,"69,821,360",21.3,22.56,20.99
03/23/2026,21.58,"114,269,700",20.31,22.14,19.48
03/20/2026,20.53,"242,958,500",22.52,23.095,20.35
03/19/2026,30.79,"25,754,930",30.0,31.52,29.79
03/18/2026,30.35,"24,360,500",31.32,31.675,30.325
03/17/2026,31.51,"20,833,630",31.955,32.811,31.48
03/16/2026,31.86,"28,823,950",31.5,32.43,30.92
03/13/2026,30.75,"18,279,110",31.04,31.225,30.22
03/12/2026,30.9,"16,569,360",31.66,31.81,30.8
03/11/2026,31.79,"22,009,240",32.51,33.07,31.55
03/10/2026,31.79,"19,233,130",31.85,32.38,31.555
03/09/2026,31.98,"27,705,330",30.7,32.16,29.85
03/06/2026,31.31,"21,134,590",31.44,32.41,31.115
03/05/2026,32.24,"26,932,480",32.315,33.51,31.47
03/04/2026,32.65,"31,472,440",30.96,32.96,30.85
03/03/2026,30.68,"26,566,020",30.89,31.33,29.6803
03/02/2026,31.83,"28,730,020",30.9,31.975,30.55
02/27/2026,32.39,"27,204,820",31.86,33.04,31.38
02/26/2026,32.28,"28,496,120",33.22,33.45,31.16
02/25/2026,33.6,"32,402,870",31.47,33.855,31.46
02/24/2026,31.13,"17,982,580",31.05,31.37,30.29
02/23/2026,30.71,"21,437,210",31.76,32.09,30.565
02/20/2026,32.42,"26,058,940",31.415,32.91,31.415
02/19/2026,32.16,"42,320,070",31.25,32.2,30.99
02/18/2026,29.71,"16,814,720",30.2,30.415,29.35
02/17/2026,30.11,"20,377,350",30.305,30.75,29.58
02/13/2026,30.54,"21,660,680",30.64,31.22,30.26
02/12/2026,30.43,"25,527,940",32.185,32.32,30.42
02/11/2026,32.04,"24,547,160",33.89,33.91,31.635
02/10/2026,33.33,"24,777,530",33.85,34.39,33.01
02/09/2026,33.53,"32,251,890",33.21,33.905,32.65
02/06/2026,34.38,"49,279,810",31.835,34.7,31.22
02/05/2026,30.85,"60,313,980",33.015,33.49,29.37
02/04/2026,33.76,"115,558,200",32.95,34.94,31.7
02/03/2026,29.67,"42,513,870",30.0,30.17,28.64
02/02/2026,29.71,"26,817,000",29.03,30.96,28.8
01/30/2026,29.11,"24,089,620",30.19,30.37,28.8998
01/29/2026,30.12,"28,135,470",30.72,30.76,29.14
01/28/2026,31.21,"24,239,910",31.59,32.33,30.97
01/27/2026,31.2,"20,774,560",30.83,31.29,29.9
01/26/2026,30.8,"19,400,440",31.48,31.55,30.66
01/23/2026,31.7,"34,482,350",33.55,33.635,31.325
01/22/2026,32.45,"29,917,820",33.0,33.485,32.37
01/21/2026,32.24,"37,885,070",31.655,32.68,30.96
01/20/2026,31.41,"39,742,100",31.21,31.725,30.22
01/16/2026,32.64,"79,038,200",29.72,32.98,29.6
01/15/2026,29.42,"33,266,310",28.71,29.855,28.57
01/14/2026,28.27,"25,019,240",28.26,28.755,27.75
01/13/2026,28.6,"52,519,660",29.89,29.89,27.8
01/12/2026,30.12,"24,840,610",29.93,30.535,29.765
01/09/2026,30.16,"27,159,840",30.03,31.025,29.55
01/08/2026,29.9,"21,598,190",30.04,30.06,29.21
01/07/2026,30.01,"22,808,170",30.625,30.6299,29.78
01/06/2026,30.54,"29,127,520",30.645,30.66,29.43
01/05/2026,30.07,"38,591,800",31.68,32.04,29.98
01/02/2026,30.96,"30,675,090",29.96,31.4,29.93
12/31/2025,29.27,"24,844,990",29.71,29.87,29.02
12/30/2025,29.65,"21,568,250",30.36,30.36,29.64
12/29/2025,30.08,"19,595,370",30.07,31.14,29.94
12/26/2025,30.64,"14,262,720",30.64,30.845,30.14
12/24/2025,30.55,"6,805,570",30.65,30.8,30.34
12/23/2025,30.76,"18,146,690",30.94,31.11,30.265
12/22/2025,31.07,"21,470,420",31.17,31.69,30.87
12/19/2025,31.11,"39,854,150",29.59,31.24,29.59
12/18/2025,29.37,"25,658,730",30.705,30.91,29.095
12/17/2025,29.84,"24,797,180",31.49,31.91,29.835
12/16/2025,31.66,"20,835,780",31.3,31.91,30.95
12/15/2025,31.37,"18,470,600",32.8,32.86,31.24
12/12/2025,32.33,"22,435,070",33.745,34.6,32.23
12/11/2025,34.02,"23,178,870",34.15,34.16,32.905
12/10/2025,34.9,"17,615,750",34.97,35.1299,34.18
12/09/2025,35.02,"17,512,950",35.47,35.5,34.58
12/08/2025,35.37,"21,290,280",35.15,35.88,34.7201
12/05/2025,34.69,"19,415,330",33.845,34.79,33.45
12/04/2025,34.23,"17,205,730",33.5,34.41,33.08
12/03/2025,33.68,"16,253,150",33.0,33.705,32.6698
12/02/2025,32.92,"19,434,000",33.59,34.33,32.89
12/01/2025,33.41,"20,952,350",33.37,33.95,32.57
11/28/2025,33.85,"10,755,850",33.33,33.86,32.88
11/26/2025,32.83,"21,642,420",33.19,33.42,32.45
11/25/2025,32.48,"22,199,790",32.16,32.63,31.17
11/24/2025,33.32,"27,885,140",32.39,33.54,31.98
11/21/2025,32.19,"28,321,160",32.14,32.57,31.03
11/20/2025,31.56,"37,801,480",35.53,35.54,31.445
11/19/2025,33.73,"28,892,790",34.55,34.9661,33.2
11/18/2025,34.9,"28,024,910",34.31,35.78,33.55
11/17/2025,34.1,"32,689,530",35.58,35.82,33.635
11/14/2025,36.42,"37,325,150",34.235,37.35,33.69
11/13/2025,35.09,"37,471,530",37.76,37.8,34.78
11/12/2025,37.91,"24,749,670",39.19,39.45,37.5725
11/11/2025,38.82,"21,707,770",39.99,39.99,38.58
11/10/2025,40.19,"26,396,730",41.455,41.63,39.9
11/07/2025,39.76,"32,960,240",39.845,40.09,38.135
11/06/2025,40.335,"32,092,130",42.5,42.8201,40.3
11/05/2025,42.03,"61,413,580",44.975,46.34,42.02
11/04/2025,47.4,"37,973,480",48.625,49.43,46.86
11/03/2025,50.75,"23,811,290",52.87,53.01,50.55
10/31/2025,51.96,"19,822,790",51.39,52.99,50.8
10/30/2025,50.37,"17,736,570",51.9,52.32,50.3348
10/29/2025,52.69,"25,028,520",53.8,54.08,51.56
10/28/2025,52.36,"28,064,410",51.665,54.03,51.37
10/27/2025,51.57,"27,434,470",49.72,51.625,49.72
10/24/2025,48.29,"25,206,610",48.875,49.64,48.21
10/23/2025,47.92,"57,175,670",51.73,51.84,47.38
10/22/2025,52.5,"34,326,250",54.49,54.53,50.03
10/21/2025,54.82,"29,016,460",55.16,55.3499,53.91
10/20/2025,55.04,"45,553,310",55.04,56.6,54.6
10/17/2025,52.18,"20,681,850",53.065,53.63,51.62
