date,close,volume,open,high,low
05/15/2026,359.65,"464,433",362.55,365.43,358.69
05/14/2026,366.37,"227,105",369.65,370.7299,365.66
05/13/2026,366.6,"264,483",369.35,370.425,364.4615
05/12/2026,369.23,"273,001",370.7,374.01,365.57
05/11/2026,370.46,"331,551",374.89,374.89,368.865
05/08/2026,374.0,"329,388",372.87,374.935,370.67
05/07/2026,370.67,"668,753",387.4,388.55,364.9
05/06/2026,386.32,"295,735",382.96,388.7999,382.96
05/05/2026,378.8,"267,776",374.23,379.6,370.98
05/04/2026,372.12,"309,642",378.06,380.57,372.03
05/01/2026,380.39,"306,911",387.84,388.0102,380.33
04/30/2026,383.4,"293,757",379.77,384.57,379.32
04/29/2026,378.46,"383,156",378.37,381.285,375.03
04/28/2026,377.53,"437,396",385.27,385.99,375.15
04/27/2026,384.47,"675,611",378.93,387.03,375.18
04/24/2026,378.42,"590,953",391.8,392.801,376.15
04/23/2026,390.75,"756,642",400.88,400.88,375.89
04/22/2026,382.38,"598,876",382.89,386.85,380.41
04/21/2026,383.58,"455,814",386.38,389.895,383.46
04/20/2026,386.86,"517,641",380.16,387.81,378.8
04/17/2026,380.27,"408,386",368.74,382.58,368.74
04/16/2026,366.86,"345,550",367.95,371.2,364.26
04/15/2026,368.01,"384,295",375.25,375.985,364.52
04/14/2026,377.87,"316,556",381.4,382.285,377.04
04/13/2026,381.71,"380,058",379.72,381.71,375.01
04/10/2026,379.72,"398,616",385.0,386.88,379.53
04/09/2026,383.78,"262,604",379.39,385.0,364.6824
04/08/2026,380.62,"315,322",375.57,381.13,375.57
04/07/2026,366.7,"265,431",365.49,369.02,362.68
04/06/2026,366.27,"205,493",363.43,366.32,362.42
04/02/2026,365.58,"306,371",361.89,370.52,359.3101
04/01/2026,367.02,"304,849",364.63,368.2599,363.0
03/31/2026,363.22,"363,987",360.78,365.62,356.36
03/30/2026,356.6,"294,917",362.07,363.4,355.38
03/27/2026,359.04,"434,001",362.16,363.2,356.45
03/26/2026,362.0,"393,030",365.01,368.45,361.16
03/25/2026,367.62,"349,689",366.47,368.49,362.87
03/24/2026,363.08,"427,234",359.11,365.88,359.11
03/23/2026,362.55,"407,322",364.71,370.13,358.665
03/20/2026,356.9,"1,629,850",359.9,361.69,354.97
03/19/2026,360.77,"347,957",357.53,363.36,355.6678
03/18/2026,362.0,"351,920",366.12,368.15,361.22
03/17/2026,367.4,"292,856",371.86,372.43,361.94
03/16/2026,369.59,"343,121",369.76,371.48,367.245
03/13/2026,367.51,"377,846",367.23,368.715,362.13
03/12/2026,364.21,"351,604",367.95,370.14,363.915
03/11/2026,369.77,"565,840",369.3,374.66,363.34
03/10/2026,370.0,"379,125",373.01,376.63,369.97
03/09/2026,373.57,"358,123",365.64,374.72,361.63
03/06/2026,372.14,"358,319",376.35,376.52,370.71
03/05/2026,382.27,"456,308",382.0,382.565,377.325
03/04/2026,383.5,"315,982",385.57,387.48,381.62
03/03/2026,383.84,"301,186",381.7,384.6,374.71
03/02/2026,389.59,"301,914",383.01,389.84,380.3
02/27/2026,385.22,"358,329",384.63,385.92,379.48
02/26/2026,386.67,"460,510",387.91,390.05,381.78
02/25/2026,386.46,"327,112",387.3,388.73,381.85
02/24/2026,387.04,"254,740",383.98,387.51,383.41
02/23/2026,385.37,"391,074",386.09,389.91,380.8
02/20/2026,385.88,"295,091",383.58,387.08,381.56
02/19/2026,383.87,"238,023",382.87,385.27,380.76
02/18/2026,384.36,"359,199",382.16,386.46,381.39
02/17/2026,381.69,"365,060",381.83,383.305,378.385
02/13/2026,384.61,"288,757",381.0,386.8,377.69
02/12/2026,378.55,"516,017",384.11,390.13,378.32
02/11/2026,382.68,"602,101",378.65,387.33,375.48
02/10/2026,377.41,"477,904",368.55,379.68,368.55
02/09/2026,368.12,"448,317",369.34,371.46,364.78
02/06/2026,369.34,"463,808",366.55,371.7,360.085
02/05/2026,370.8,"602,148",388.96,388.96,364.01
02/04/2026,382.91,"596,779",381.03,387.25,381.03
02/03/2026,378.4,"596,685",372.11,380.2,368.655
02/02/2026,371.52,"369,147",365.43,371.79,364.91
01/30/2026,366.11,"257,186",363.63,366.39,360.8
01/29/2026,366.63,"514,521",372.62,375.275,365.04
01/28/2026,370.07,"383,826",367.04,374.26,366.27
01/27/2026,367.82,"166,816",369.69,371.99,366.561
01/26/2026,370.13,"313,024",370.48,372.1874,367.53
01/23/2026,369.1,"178,052",372.85,372.85,367.49
01/22/2026,372.27,"277,350",373.24,375.17,370.94
01/21/2026,371.64,"316,729",367.95,372.63,366.99
01/20/2026,364.58,"390,883",356.34,365.95,354.8
01/16/2026,361.36,"393,405",362.66,364.46,360.7788
01/15/2026,363.45,"231,458",365.25,365.65,361.9384
01/14/2026,362.42,"307,300",361.38,364.46,360.06
01/13/2026,360.55,"188,566",359.04,362.535,357.4601
01/12/2026,358.14,"234,842",361.8,365.29,357.5
01/09/2026,362.17,"247,377",363.24,366.17,361.29
01/08/2026,361.31,"299,340",351.12,363.39,350.36
01/07/2026,352.58,"249,564",357.77,359.99,350.57
01/06/2026,357.73,"254,362",351.81,359.41,351.64
01/05/2026,354.2,"212,904",349.45,356.17,349.45
01/02/2026,350.95,"219,840",344.55,351.11,342.34
12/31/2025,344.6,"198,262",349.27,351.02,344.04
12/30/2025,349.67,"267,835",350.01,350.8899,347.77
12/29/2025,351.0,"285,251",353.03,355.99,350.69
12/26/2025,354.0,"129,269",353.57,354.35,352.71
12/24/2025,353.11,"101,657",351.88,353.85,350.725
12/23/2025,352.01,"259,459",350.32,352.705,349.42
12/22/2025,350.03,"250,692",346.18,352.34,345.1
12/19/2025,346.31,"815,791",343.63,348.235,343.63
12/18/2025,345.94,"308,029",347.86,350.4,344.865
12/17/2025,346.05,"225,453",348.43,351.11,344.92
