date,close,volume,open,high,low
05/15/2026,502.42,"1,488,942",502.24,509.0,491.05
05/14/2026,510.02,"1,150,047",508.59,513.65,504.64
05/13/2026,509.28,"1,335,472",514.59,514.74,502.27
05/12/2026,513.21,"1,217,697",511.3,517.17,508.16
05/11/2026,516.19,"1,310,223",513.89,519.71,512.0
05/08/2026,516.48,"1,733,379",504.37,519.11,500.589
05/07/2026,505.19,"1,597,072",506.3,517.0,503.49
05/06/2026,504.42,"1,867,180",504.6,507.335,497.51
05/05/2026,502.51,"1,883,311",501.71,512.54,500.01
05/04/2026,497.5,"1,642,496",493.84,500.25,488.3436
05/01/2026,489.02,"846,275",491.16,497.94,485.44
04/30/2026,482.6,"1,341,719",481.0,483.68,471.62
04/29/2026,481.22,"1,159,517",480.0,481.62,471.7025
04/28/2026,483.89,"1,548,616",497.0,498.0,479.0
04/27/2026,498.54,"2,227,542",496.935,500.99,488.001
04/24/2026,500.82,"2,891,335",469.38,502.28,469.19
04/23/2026,456.85,"1,864,070",466.11,467.31,450.13
04/22/2026,477.26,"1,460,651",470.9,478.72,470.9
04/21/2026,467.58,"1,833,026",464.27,480.248,462.0
04/20/2026,460.95,"2,122,548",448.08,463.16,447.4304
04/17/2026,449.58,"1,718,569",452.55,459.015,447.18
04/16/2026,441.15,"1,382,004",446.37,449.62,436.48
04/15/2026,438.45,"2,038,079",424.26,439.88,421.4196
04/14/2026,418.8,"1,255,669",424.83,430.1419,418.2
04/13/2026,417.77,"2,525,897",392.5,418.42,388.07
04/10/2026,392.24,"1,602,340",401.61,403.92,389.15
04/09/2026,404.92,"1,728,990",409.94,411.0,394.25
04/08/2026,410.16,"1,617,576",411.75,415.1554,405.5
04/07/2026,397.9,"920,610",393.69,398.1206,388.88
04/06/2026,397.07,"1,142,399",396.04,398.61,390.1201
04/02/2026,395.95,"1,077,412",389.65,401.065,386.59
04/01/2026,396.74,"1,163,606",403.3,403.4725,394.5
03/31/2026,396.48,"1,683,953",390.2,397.47,387.2
03/30/2026,383.14,"2,007,143",382.875,390.78,379.95
03/27/2026,380.47,"2,400,898",400.0,401.535,379.5
03/26/2026,401.95,"1,380,106",405.28,413.5304,400.37
03/25/2026,410.13,"2,702,267",422.5,425.93,403.33
03/24/2026,415.62,"1,932,162",426.67,429.26,409.83
03/23/2026,432.48,"2,511,910",430.21,441.76,429.65
03/20/2026,420.32,"4,136,961",425.9,429.91,419.0
