date,close,volume,open,high,low
05/15/2026,200.02,"2,152,157",202.28,202.28,199.5
05/14/2026,202.8,"1,430,602",200.56,203.26,199.0
05/13/2026,200.56,"1,310,162",205.29,205.29,200.22
05/12/2026,205.66,"2,019,743",205.22,206.46,202.7406
05/11/2026,201.0,"1,895,654",202.75,203.39,200.0
05/08/2026,202.12,"1,081,635",202.23,203.74,201.67
05/07/2026,201.4,"1,409,520",205.24,206.0199,200.8
05/06/2026,205.51,"1,129,991",203.73,206.24,203.16
05/05/2026,202.31,"967,637",202.19,203.4499,201.79
05/04/2026,201.51,"850,617",201.41,202.74,200.415
05/01/2026,202.44,"1,014,407",203.82,203.82,201.39
04/30/2026,203.71,"1,394,426",200.36,203.95,199.925
04/29/2026,200.09,"1,049,786",202.0,203.18,198.41
04/28/2026,202.75,"1,410,169",203.26,204.0,200.63
04/27/2026,201.29,"1,399,054",200.56,202.045,198.9
04/24/2026,201.16,"1,045,926",203.15,203.68,200.645
04/23/2026,203.66,"806,791",202.71,204.58,201.76
04/22/2026,201.68,"1,186,119",205.4,205.66,201.39
04/21/2026,204.76,"1,365,577",207.07,208.28,204.65
04/20/2026,207.56,"992,984",205.33,208.2,205.085
04/17/2026,206.23,"1,345,879",202.1,206.7299,201.37
04/16/2026,201.35,"1,436,055",201.27,203.29,200.9
04/15/2026,201.61,"1,267,229",202.45,202.52,199.14
04/14/2026,202.96,"2,264,036",200.48,203.05,199.94
04/13/2026,200.71,"1,372,165",200.6,200.76,197.375
04/10/2026,200.57,"1,107,587",199.39,200.63,198.331
04/09/2026,198.97,"1,226,724",193.74,199.63,193.5
04/08/2026,194.04,"1,547,896",192.62,195.22,192.51
04/07/2026,190.57,"883,743",190.09,191.08,188.75
04/06/2026,190.23,"1,031,341",188.47,190.62,187.225
04/02/2026,188.67,"1,300,038",187.5,189.25,186.07
04/01/2026,188.09,"1,988,739",186.66,188.8,186.02
03/31/2026,186.53,"2,296,093",184.76,187.52,183.3001
03/30/2026,182.35,"1,822,859",182.16,184.25,181.755
03/27/2026,180.19,"1,991,369",180.9,182.14,179.14
03/26/2026,181.8,"1,478,726",181.16,182.83,181.03
03/25/2026,181.57,"1,749,986",179.21,183.305,179.0479
03/24/2026,178.27,"3,100,020",180.29,182.0599,177.88
03/23/2026,181.49,"2,550,587",185.95,186.66,181.36
03/20/2026,184.52,"3,861,093",191.71,191.94,183.21
03/19/2026,191.31,"1,257,528",189.5,192.22,189.5
03/18/2026,189.9,"1,732,571",190.97,192.21,189.7668
03/17/2026,190.53,"1,380,639",191.47,191.91,190.08
03/16/2026,189.33,"1,327,748",189.7,190.79,188.22
03/13/2026,186.82,"1,404,098",189.42,190.0,186.37
03/12/2026,187.57,"2,192,007",188.22,188.39,185.77
03/11/2026,189.56,"1,605,812",189.59,191.04,188.35
03/10/2026,192.07,"1,597,006",190.11,194.67,189.515
03/09/2026,192.83,"2,370,884",192.0,193.2348,187.11
03/06/2026,194.83,"1,766,468",199.06,200.0,193.45
03/05/2026,201.03,"1,505,516",201.5,202.45,199.7
03/04/2026,203.1,"1,121,746",201.61,203.9,201.61
03/03/2026,201.95,"1,507,787",200.06,203.27,197.315
03/02/2026,203.16,"1,547,614",202.48,204.49,200.4
02/27/2026,203.85,"2,113,474",203.23,205.115,202.4501
02/26/2026,202.6,"1,103,181",201.86,204.05,201.525
02/25/2026,200.99,"1,144,850",199.89,201.475,198.51
02/24/2026,199.38,"1,137,916",200.21,201.41,198.27
02/23/2026,200.07,"1,356,666",202.08,203.6,199.785
02/20/2026,201.7,"1,420,273",200.08,202.8,199.0
02/19/2026,199.72,"1,203,143",199.21,201.24,198.83
02/18/2026,199.63,"1,687,975",201.71,203.0,198.75
02/17/2026,202.01,"1,761,349",197.1,202.09,196.81
02/13/2026,196.83,"1,873,469",194.0,198.09,191.1901
02/12/2026,191.43,"2,334,534",194.39,197.3377,191.4
02/11/2026,194.77,"1,354,450",195.99,196.84,193.88
02/10/2026,196.3,"1,693,357",197.19,198.615,195.17
02/09/2026,196.57,"1,384,755",199.63,200.0,196.51
02/06/2026,199.6,"2,322,316",199.99,201.4,197.83
02/05/2026,197.26,"1,877,610",196.56,197.93,194.39
02/04/2026,195.59,"1,989,151",190.38,196.59,190.22
02/03/2026,189.42,"2,276,878",190.54,191.535,186.2
