date,close,volume,open,high,low
05/15/2026,403.15,"1,600,738",406.0,411.57,401.475
05/14/2026,403.92,"2,238,489",409.03,413.57,402.46
05/13/2026,406.55,"2,603,757",419.44,420.0729,401.0
05/12/2026,424.17,"2,212,209",422.56,430.13,421.16
05/11/2026,421.0,"2,201,913",417.95,422.7,416.89
05/08/2026,420.12,"1,975,083",425.49,427.46,416.26
05/07/2026,428.68,"1,840,977",422.51,433.08,421.1401
05/06/2026,423.57,"1,978,785",422.21,426.94,418.4
05/05/2026,423.87,"2,255,220",425.24,430.395,416.2
05/04/2026,424.75,"1,507,082",424.26,431.33,423.3
05/01/2026,426.06,"1,058,187",435.46,438.88,425.6
04/30/2026,431.23,"1,675,144",431.0,434.07,426.66
04/29/2026,433.19,"1,844,954",430.89,435.02,424.14
04/28/2026,433.47,"2,492,622",442.15,453.95,433.09
04/27/2026,437.22,"2,235,585",436.75,439.82,433.65
04/24/2026,436.79,"1,782,035",440.0,441.645,434.17
04/23/2026,439.03,"1,291,609",444.99,447.28,433.0
04/22/2026,449.06,"1,287,654",450.2,456.7,446.545
04/21/2026,444.67,"1,535,697",444.03,453.605,443.13
04/20/2026,442.74,"1,479,452",442.4,443.68,439.01
04/17/2026,442.57,"1,679,766",442.88,445.25,437.495
04/16/2026,436.79,"1,542,338",437.48,440.45,435.31
04/15/2026,430.58,"2,380,935",427.0,435.0,427.0
04/14/2026,425.24,"2,455,566",431.09,435.29,424.44
04/13/2026,430.08,"1,777,979",416.8,430.2,416.01
04/10/2026,415.42,"2,015,930",421.93,423.97,408.74
04/09/2026,424.32,"2,094,671",433.16,435.29,416.43
04/08/2026,436.96,"1,260,484",437.61,442.0,435.6
04/07/2026,430.06,"1,543,111",433.0,436.97,427.36
04/06/2026,434.11,"993,622",429.68,435.68,429.19
04/02/2026,431.16,"1,405,523",421.51,433.53,420.1
04/01/2026,425.17,"1,877,551",425.62,427.66,416.03
03/31/2026,425.34,"2,012,991",422.71,426.91,417.01
03/30/2026,417.59,"1,665,027",410.9,418.9,408.955
03/27/2026,406.24,"1,638,483",407.99,410.25,403.37
03/26/2026,412.45,"2,363,092",406.78,415.35,406.2
03/25/2026,408.48,"3,002,589",417.73,419.36,405.0
03/24/2026,411.2,"2,627,982",424.98,426.01,411.1
03/23/2026,428.87,"1,954,462",429.51,433.6,425.11
03/20/2026,424.43,"3,444,730",426.36,428.2699,421.34
03/19/2026,426.14,"1,953,991",422.09,427.98,419.0
03/18/2026,426.64,"1,909,962",428.68,430.85,426.0
03/17/2026,432.94,"1,492,737",431.17,435.97,429.08
03/16/2026,426.59,"1,853,132",424.7,428.78,424.7
03/13/2026,422.49,"1,790,625",423.89,427.55,419.11
03/12/2026,419.7,"2,326,074",428.5,428.75,418.33
03/11/2026,428.96,"2,118,816",435.5,439.31,415.92
03/10/2026,435.44,"1,839,410",444.29,445.02,432.0
03/09/2026,445.28,"2,154,876",448.59,449.585,431.42
03/06/2026,452.36,"1,869,258",447.41,452.69,443.725
03/05/2026,451.11,"2,611,416",443.23,451.66,442.81
03/04/2026,445.5,"2,054,802",443.76,450.21,441.31
03/03/2026,443.99,"3,264,291",437.0,447.62,435.75
03/02/2026,443.08,"2,837,197",433.01,444.5,433.01
