date,close,volume,open,high,low
05/15/2026,152.85,"1,553,922",152.24,154.175,151.15
05/14/2026,153.76,"1,634,947",153.0,154.33,151.62
05/13/2026,151.58,"2,257,581",150.48,152.36,149.44
05/12/2026,150.45,"1,704,429",149.51,150.97,147.83
05/11/2026,150.17,"1,825,349",150.01,151.135,149.055
05/08/2026,149.49,"1,248,201",149.6,150.275,148.72
05/07/2026,148.78,"2,166,531",151.21,152.15,148.275
05/06/2026,151.24,"2,357,775",150.55,152.35,150.06
05/05/2026,148.68,"1,635,468",148.78,150.4,148.08
05/04/2026,148.08,"1,818,020",151.21,151.825,147.4
05/01/2026,152.0,"1,728,170",153.26,154.28,151.69
04/30/2026,152.84,"3,035,844",150.62,153.24,149.1
04/29/2026,150.7,"2,148,685",152.6,153.1,149.56
04/28/2026,152.48,"1,689,607",154.69,155.46,151.92
04/27/2026,154.02,"1,696,478",150.63,154.24,150.61
04/24/2026,150.74,"1,440,486",151.69,151.69,150.31
04/23/2026,151.25,"2,492,272",152.68,153.985,149.47
04/22/2026,152.4,"2,340,967",154.38,154.63,151.97
04/21/2026,153.57,"3,703,713",150.47,156.18,150.47
04/20/2026,150.18,"3,088,641",146.57,150.275,145.965
04/17/2026,145.43,"3,179,487",144.78,148.99,143.79
04/16/2026,141.9,"2,959,342",142.5,144.48,141.53
04/15/2026,142.74,"2,079,472",142.33,143.59,140.955
04/14/2026,141.78,"2,327,331",142.0,142.76,140.35
04/13/2026,141.62,"2,516,972",138.02,141.725,137.84
04/10/2026,139.42,"2,351,624",138.45,139.9,137.91
04/09/2026,138.49,"1,865,723",135.94,138.61,135.51
04/08/2026,136.13,"1,784,345",134.4,136.355,134.13
04/07/2026,131.21,"2,034,216",129.37,131.89,127.5336
04/06/2026,130.2,"1,001,315",130.73,130.89,129.16
04/02/2026,128.8,"1,576,134",125.8,129.62,125.64
04/01/2026,128.25,"1,798,928",127.21,129.34,126.78
03/31/2026,126.56,"2,270,554",125.53,127.15,123.875
03/30/2026,123.42,"1,151,053",124.36,124.71,122.7
03/27/2026,122.52,"2,366,350",124.75,125.09,121.88
03/26/2026,125.66,"1,654,206",125.8,127.02,124.88
03/25/2026,126.92,"1,381,765",127.59,128.52,125.73
03/24/2026,126.28,"2,351,326",122.71,127.7299,121.965
03/23/2026,123.23,"1,808,327",124.96,125.45,122.5
03/20/2026,121.97,"3,640,488",120.78,122.0513,120.16
03/19/2026,120.95,"2,198,069",119.67,122.35,119.11
03/18/2026,121.09,"2,104,263",120.73,123.08,120.66
03/17/2026,121.56,"2,366,651",122.0,123.41,121.13
03/16/2026,120.22,"2,084,591",122.71,123.65,120.07
03/13/2026,121.34,"1,660,055",124.04,125.0,121.17
03/12/2026,123.21,"2,570,019",123.33,123.875,121.21
03/11/2026,126.0,"3,382,465",122.18,126.2,121.55
03/10/2026,122.55,"2,322,004",122.74,124.955,121.345
03/09/2026,121.93,"2,393,677",118.66,122.26,116.15
03/06/2026,121.04,"2,862,059",122.45,122.545,119.06
03/05/2026,125.14,"2,546,578",125.0,126.31,123.93
03/04/2026,126.54,"1,593,473",127.16,127.78,125.14
03/03/2026,125.91,"1,757,907",125.77,127.75,123.37
03/02/2026,129.46,"2,135,761",125.7,130.13,125.22
02/27/2026,128.62,"3,839,427",130.16,131.225,126.25
02/26/2026,132.27,"1,918,797",132.1,134.0,131.77
02/25/2026,131.62,"2,029,221",128.25,131.69,127.64
02/24/2026,127.23,"1,567,869",124.47,128.0,123.41
02/23/2026,125.13,"1,560,574",127.1,128.385,123.3
02/20/2026,127.94,"1,173,369",127.4,128.75,125.61
02/19/2026,127.87,"1,440,753",128.15,129.25,126.2051
02/18/2026,129.68,"1,712,428",128.65,131.46,128.345
02/17/2026,128.0,"1,558,500",128.0,130.46,127.3415
02/13/2026,127.97,"1,666,445",125.3,128.68,123.63
02/12/2026,126.31,"2,764,170",132.9,133.24,122.87
02/11/2026,131.61,"2,201,515",132.65,133.88,129.48
02/10/2026,132.23,"1,973,556",133.72,135.36,129.13
02/09/2026,134.28,"1,711,801",132.0,134.98,131.81
02/06/2026,132.35,"1,488,106",131.0,133.105,130.41
02/05/2026,128.71,"1,988,313",131.13,131.89,127.705
02/04/2026,132.03,"1,882,409",130.07,132.66,130.015
02/03/2026,130.09,"2,152,994",132.81,134.2,128.82
02/02/2026,132.58,"2,137,591",130.42,133.04,129.9
