date,close,volume,open,high,low
05/15/2026,142.35,"1,993,484",141.64,143.14,139.63
05/14/2026,140.61,"1,648,072",141.19,141.74,139.8
05/13/2026,140.52,"2,227,950",141.8,143.73,139.1
05/12/2026,142.53,"1,747,050",142.72,144.21,141.33
05/11/2026,142.41,"2,439,440",147.34,147.4,141.32
05/08/2026,148.21,"1,505,020",150.75,151.58,146.8
05/07/2026,150.25,"1,662,304",150.6,152.4499,149.13
05/06/2026,152.29,"1,482,759",151.31,153.14,150.02
05/05/2026,149.8,"1,416,940",150.05,151.57,147.43
05/04/2026,148.14,"2,076,074",151.37,152.69,147.14
05/01/2026,152.82,"1,503,772",157.33,157.73,152.54
04/30/2026,156.58,"1,726,103",151.56,157.63,151.2501
04/29/2026,150.4,"1,984,325",153.5,154.42,150.22
04/28/2026,155.39,"1,523,607",156.41,157.61,154.02
04/27/2026,155.08,"2,104,929",156.2,157.19,153.42
04/24/2026,156.0,"1,409,150",159.67,160.25,154.575
04/23/2026,159.31,"1,556,617",157.74,160.4599,157.42
04/22/2026,156.88,"1,281,734",157.39,158.4,156.3
04/21/2026,156.95,"1,367,800",159.75,159.88,156.27
04/20/2026,159.82,"1,804,071",162.12,163.82,159.44
04/17/2026,162.28,"2,317,161",162.3,165.59,161.86
04/16/2026,164.25,"1,719,552",163.39,165.0,161.94
04/15/2026,163.95,"2,003,491",164.75,165.49,162.49
04/14/2026,164.5,"1,800,803",163.75,167.0,162.9
04/13/2026,164.6,"2,444,044",168.5,168.6,162.87
04/10/2026,166.15,"3,769,092",162.82,168.48,162.0
04/09/2026,163.07,"4,696,268",150.99,163.23,150.25
04/08/2026,150.26,"3,991,533",155.14,155.49,149.65
04/07/2026,153.83,"2,045,949",155.58,155.58,152.81
04/06/2026,155.25,"2,034,717",150.67,155.3,149.25
04/02/2026,151.2,"2,226,319",151.57,152.55,149.67
04/01/2026,151.09,"2,472,868",152.25,152.63,148.3
03/31/2026,150.0,"2,178,599",151.66,151.66,148.5
03/30/2026,151.0,"1,931,160",151.5,152.29,149.9
03/27/2026,151.4,"2,094,648",150.3,153.09,149.3504
03/26/2026,150.41,"1,353,924",151.91,154.48,150.16
03/25/2026,151.56,"1,431,528",152.75,153.74,150.175
03/24/2026,152.68,"1,563,920",152.78,155.76,151.1
03/23/2026,152.46,"1,892,428",150.92,154.01,150.385
03/20/2026,149.62,"2,912,705",151.82,152.49,149.18
03/19/2026,151.91,"2,439,920",152.59,153.16,150.42
03/18/2026,152.09,"2,651,820",153.0,154.01,150.345
03/17/2026,151.66,"915,479",152.48,153.22,151.3
03/16/2026,151.02,"1,961,313",151.6,154.81,150.76
