date,close,volume,open,high,low
05/15/2026,71.38,"3,360,130",71.2,71.99,70.41
05/14/2026,71.26,"3,408,645",70.35,71.51,70.35
05/13/2026,69.81,"3,288,266",70.48,70.71,69.35
05/12/2026,70.84,"5,917,683",70.19,71.38,69.1
05/11/2026,70.28,"4,483,156",73.0,73.19,70.205
05/08/2026,73.14,"4,069,859",74.43,74.43,72.825
05/07/2026,74.0,"2,951,779",75.39,75.67,73.82
05/06/2026,75.15,"3,788,406",74.6,75.555,74.59
05/05/2026,73.78,"3,729,393",73.9,74.365,73.65
05/04/2026,74.24,"3,168,070",75.49,75.85,74.17
05/01/2026,75.76,"3,003,772",76.55,76.72,75.67
04/30/2026,76.2,"3,903,886",74.88,76.51,74.58
04/29/2026,75.12,"3,152,828",76.16,76.73,74.825
04/28/2026,76.25,"4,277,217",76.76,77.5,75.93
04/27/2026,76.75,"4,475,052",76.14,77.17,76.14
04/24/2026,76.3,"4,249,283",76.36,77.11,75.65
04/23/2026,76.62,"4,873,768",78.33,78.88,75.65
04/22/2026,78.69,"5,167,312",78.25,79.24,77.715
04/21/2026,77.63,"6,611,557",77.39,80.22,76.25
04/20/2026,78.58,"3,992,268",77.83,79.33,77.52
04/17/2026,78.34,"5,257,291",76.38,78.71,76.17
04/16/2026,75.17,"3,470,463",76.05,76.51,74.95
04/15/2026,75.99,"2,372,849",76.0,76.81,75.365
04/14/2026,75.55,"3,273,440",74.09,75.89,73.915
04/13/2026,73.79,"2,051,259",71.69,73.91,71.43
04/10/2026,72.41,"2,547,187",72.41,72.635,71.872
04/09/2026,72.49,"3,082,415",71.47,72.6,71.37
04/08/2026,71.97,"3,934,204",72.18,72.805,71.35
04/07/2026,68.85,"4,440,019",68.88,69.53,68.5001
04/06/2026,69.26,"2,332,427",68.17,69.445,68.16
04/02/2026,68.42,"2,747,689",66.87,68.87,66.0
04/01/2026,68.32,"2,826,672",68.88,69.32,67.845
03/31/2026,68.02,"3,846,723",67.34,68.37,66.195
03/30/2026,66.01,"2,769,023",65.62,66.45,65.52
03/27/2026,65.36,"2,843,470",66.24,66.42,64.95
03/26/2026,66.8,"2,329,837",67.18,68.15,66.57
