date,close,volume,open,high,low
05/15/2026,72.57,"5,035,013",73.06,73.22,72.44
05/14/2026,73.05,"2,418,877",73.62,73.82,72.99
05/13/2026,73.19,"3,219,539",72.67,73.6609,72.6
05/12/2026,72.98,"2,863,697",72.67,73.4199,71.94
05/11/2026,72.57,"3,191,248",72.36,72.93,72.0212
05/08/2026,72.44,"3,654,838",73.27,73.7,72.42
05/07/2026,72.88,"5,008,794",72.99,73.0707,71.575
05/06/2026,73.33,"4,327,795",73.66,74.06,73.03
05/05/2026,72.84,"2,624,503",72.55,73.31,72.26
05/04/2026,72.49,"3,692,026",73.5,74.295,72.18
05/01/2026,74.05,"3,489,371",75.05,75.475,73.89
04/30/2026,74.71,"4,713,795",74.04,75.1199,74.04
04/29/2026,73.97,"5,738,488",72.5,74.16,72.5
04/28/2026,73.37,"8,000,362",74.0,74.41,71.56
04/27/2026,75.36,"5,394,818",76.35,76.73,74.92
04/24/2026,76.56,"4,798,699",75.52,76.83,75.08
04/23/2026,75.81,"4,341,013",75.75,76.34,75.305
04/22/2026,75.53,"3,874,128",75.15,75.72,74.67
04/21/2026,74.79,"3,493,392",76.79,76.9,74.75
04/20/2026,76.26,"3,169,795",76.44,77.03,75.92
04/17/2026,76.27,"5,748,081",74.14,76.63,74.12
04/16/2026,74.05,"5,914,465",74.2,74.598,73.05
04/15/2026,74.09,"8,038,951",74.0,74.98,73.66
04/14/2026,74.04,"6,018,641",73.54,74.37,73.48
04/13/2026,73.36,"6,922,724",73.02,73.73,72.63
04/10/2026,72.82,"9,906,539",75.0,75.35,71.62
04/09/2026,74.99,"3,875,577",74.7,75.195,73.89
04/08/2026,75.15,"5,962,335",73.82,75.33,73.82
04/07/2026,73.24,"4,914,798",72.57,73.88,72.02
04/06/2026,73.24,"6,396,041",70.7,73.28,70.62
04/02/2026,71.16,"6,761,296",71.09,72.2499,70.42
04/01/2026,72.17,"9,668,245",71.68,72.55,71.065
03/31/2026,71.33,"15,501,470",69.35,71.43,68.19
03/30/2026,69.3,"24,642,430",74.84,75.26,68.21
03/27/2026,81.8,"2,616,017",82.62,82.72,81.64
03/26/2026,82.64,"2,023,690",82.16,83.69,82.06
03/25/2026,82.8,"3,005,765",82.8,83.24,81.41
03/24/2026,82.34,"3,246,041",81.16,82.85,80.8475
03/23/2026,81.6,"3,115,639",82.5,82.93,81.52
03/20/2026,81.33,"4,954,592",82.04,82.71,81.02
03/19/2026,81.67,"2,658,893",82.46,82.8,80.9864
03/18/2026,82.51,"2,573,876",83.82,84.14,82.48
03/17/2026,84.29,"2,275,017",84.93,85.3,84.15
03/16/2026,84.52,"2,343,863",85.63,85.74,84.4601
03/13/2026,85.49,"2,585,272",85.55,85.92,84.85
03/12/2026,84.91,"2,959,542",83.72,85.875,83.52
03/11/2026,84.56,"2,946,710",83.92,84.64,83.48
03/10/2026,84.29,"2,643,681",84.45,85.45,83.81
03/09/2026,84.7,"3,190,797",84.55,84.86,82.76
03/06/2026,85.23,"4,052,679",84.95,85.76,84.0
03/05/2026,85.78,"4,767,481",86.02,87.2,85.59
03/04/2026,87.63,"4,058,378",88.44,88.44,86.42
03/03/2026,88.01,"4,025,505",89.37,89.98,87.6701
03/02/2026,90.48,"2,466,546",90.87,91.46,89.88
02/27/2026,91.16,"3,742,576",89.14,91.19,89.01
02/26/2026,89.12,"3,032,053",89.6,90.33,88.8501
02/25/2026,89.13,"2,257,222",89.54,89.69,88.0
02/24/2026,89.87,"2,442,785",89.5,90.17,88.92
02/23/2026,89.43,"3,754,490",89.92,90.815,88.87
02/20/2026,90.13,"2,645,464",90.01,90.29,89.365
02/19/2026,89.67,"2,586,732",89.37,90.06,88.97
02/18/2026,89.28,"3,430,014",89.47,90.36,88.995
02/17/2026,89.7,"4,259,538",91.43,91.845,88.91
02/13/2026,90.56,"4,028,108",89.76,91.37,89.01
02/12/2026,89.91,"8,640,556",88.27,91.4,88.27
02/11/2026,88.04,"5,503,935",87.0,88.66,86.85
02/10/2026,87.62,"3,747,993",86.47,88.37,86.175
02/09/2026,86.47,"3,888,774",86.545,87.35,86.08
02/06/2026,86.53,"3,286,539",84.78,86.72,84.57
02/05/2026,84.62,"3,740,133",84.74,85.9,84.39
02/04/2026,84.65,"4,249,802",85.0,85.58,83.86
02/03/2026,84.62,"4,444,112",82.61,84.92,82.02
02/02/2026,82.86,"5,313,390",84.12,84.38,82.63
01/30/2026,83.85,"5,243,189",84.03,84.33,83.08
01/29/2026,84.11,"4,081,914",83.77,84.17,83.0
01/28/2026,83.51,"5,695,963",84.0,85.33,82.91
01/27/2026,83.92,"11,004,310",78.92,83.96,77.31
01/26/2026,75.63,"4,302,374",77.03,77.125,75.605
01/23/2026,76.21,"3,359,927",76.64,77.0,75.825
01/22/2026,76.84,"2,935,995",76.91,77.33,76.43
01/21/2026,76.93,"2,773,703",76.78,77.35,76.515
01/20/2026,76.52,"5,418,227",78.45,78.55,76.34
01/16/2026,78.8,"3,608,514",78.67,78.975,77.69
01/15/2026,79.18,"5,675,981",77.15,79.245,76.86
01/14/2026,77.11,"4,909,405",76.22,77.705,76.22
01/13/2026,76.06,"5,125,496",74.4,76.265,74.4
01/12/2026,74.33,"4,053,312",74.68,75.09,73.99
01/09/2026,74.28,"2,378,992",74.24,74.53,73.52
01/08/2026,74.27,"3,206,868",72.05,74.77,71.85
01/07/2026,72.12,"4,176,978",73.26,73.74,72.09
01/06/2026,73.02,"3,042,845",72.56,73.155,72.32
01/05/2026,72.79,"4,067,685",71.97,73.15,71.2301
01/02/2026,72.62,"3,105,328",72.93,73.09,71.85
12/31/2025,73.69,"1,480,822",74.11,74.25,73.67
12/30/2025,74.2,"1,334,031",74.19,74.52,74.09
12/29/2025,74.46,"1,952,635",74.41,74.52,74.09
12/26/2025,74.23,"1,156,029",74.17,74.455,73.98
12/24/2025,74.25,"956,082",74.14,74.43,73.895
12/23/2025,73.99,"2,111,247",74.48,74.65,73.73
12/22/2025,74.58,"2,010,075",74.17,74.805,73.99
12/19/2025,74.49,"5,962,522",75.14,75.25,74.49
12/18/2025,75.07,"3,753,698",75.72,76.01,74.88
12/17/2025,75.75,"2,271,093",75.21,75.94,75.05
12/16/2025,75.12,"2,931,255",75.87,76.09,74.87
12/15/2025,75.43,"3,268,392",74.61,76.63,74.34
12/12/2025,74.34,"2,195,442",74.24,74.55,73.83
12/11/2025,74.23,"3,015,404",73.88,74.54,73.52
12/10/2025,73.57,"3,390,869",72.7,73.6192,72.42
12/09/2025,72.59,"3,585,171",72.65,73.43,72.55
12/08/2025,72.71,"2,661,201",73.13,73.35,72.26
12/05/2025,73.1,"3,181,453",73.25,73.94,73.065
12/04/2025,73.44,"3,072,266",73.82,74.1,73.0
12/03/2025,73.36,"3,753,872",74.64,75.2567,73.305
12/02/2025,74.44,"4,761,363",75.61,75.66,73.87
12/01/2025,75.91,"3,748,684",75.92,76.31,75.31
11/28/2025,76.2,"1,825,173",75.73,76.8,75.48
11/26/2025,75.9,"3,219,568",75.85,76.48,75.695
11/25/2025,75.91,"3,981,014",75.03,76.29,75.03
11/24/2025,74.7,"4,249,293",76.2,76.53,74.2
11/21/2025,76.63,"3,415,971",75.98,77.46,75.71
11/20/2025,75.48,"2,824,490",75.88,76.26,75.13
11/19/2025,75.73,"2,362,761",75.94,76.089,75.14
11/18/2025,75.9,"2,619,464",75.6,76.12,75.2
11/17/2025,75.13,"3,167,483",75.36,75.71,74.76
11/14/2025,74.71,"2,542,903",75.3,75.75,74.26
11/13/2025,75.07,"2,743,123",75.37,75.87,74.985
11/12/2025,75.42,"3,005,481",75.69,76.16,75.37
11/11/2025,75.49,"3,251,024",74.35,75.62,74.04
11/10/2025,74.58,"2,748,842",75.17,75.265,74.14
11/07/2025,75.18,"3,697,021",73.49,75.26,73.0
11/06/2025,72.91,"2,894,827",73.18,73.69,72.865
11/05/2025,73.18,"3,480,257",73.29,73.4,72.58
11/04/2025,73.1,"2,845,913",72.8,73.6117,72.76
11/03/2025,72.9,"3,679,531",73.9,73.95,72.62
10/31/2025,74.28,"3,396,500",74.19,74.78,73.82
10/30/2025,74.7,"5,229,498",74.38,75.2,74.05
10/29/2025,74.29,"4,057,424",75.32,75.68,74.11
10/28/2025,75.89,"5,540,268",77.0,77.7,75.0
10/27/2025,78.0,"4,052,507",77.01,78.04,76.81
10/24/2025,77.35,"2,228,220",78.41,78.6061,77.15
10/23/2025,78.21,"3,856,381",78.43,78.659,77.68
10/22/2025,78.6,"2,716,305",78.97,79.8,78.535
10/21/2025,79.16,"2,680,956",80.12,80.39,79.08
10/20/2025,79.9,"1,921,449",79.9,80.23,79.67
10/17/2025,79.91,"2,504,099",79.31,79.97,78.61
10/16/2025,78.83,"2,954,664",80.02,80.282,78.51
10/15/2025,80.09,"3,474,899",80.14,81.79,79.88
10/14/2025,80.14,"2,025,550",78.41,80.185,78.1653
10/13/2025,78.27,"1,788,389",77.96,78.62,77.47
10/10/2025,78.45,"2,020,854",78.3,79.025,78.03
10/09/2025,78.04,"2,433,509",79.01,79.23,77.98
10/08/2025,78.76,"3,169,429",79.94,79.967,77.87
