date,close,volume,open,high,low
05/15/2026,1148.97,"298,384",1174.71,1178.07,1143.4
05/14/2026,1178.82,"333,591",1204.65,1210.0,1170.61
05/13/2026,1201.4,"333,242",1182.58,1204.44,1167.83
05/12/2026,1191.19,"486,134",1197.2,1205.7711,1179.19
05/11/2026,1198.67,"405,054",1218.74,1226.5492,1191.89
05/08/2026,1215.08,"284,261",1242.75,1250.31,1209.06
05/07/2026,1241.98,"357,425",1239.79,1262.26,1235.74
05/06/2026,1233.37,"472,763",1231.53,1255.43,1221.86
05/05/2026,1191.33,"677,479",1220.0,1234.0,1173.22
05/04/2026,1149.72,"421,314",1156.83,1172.23,1149.22
05/01/2026,1154.45,"310,994",1171.58,1171.67,1145.92
04/30/2026,1159.98,"343,500",1143.46,1164.37,1141.95
04/29/2026,1142.74,"331,498",1154.21,1155.0,1128.21
04/28/2026,1154.06,"291,262",1167.54,1173.0,1136.36
04/27/2026,1158.36,"321,179",1146.4,1165.9,1146.4
04/24/2026,1148.18,"633,829",1156.87,1161.11,1136.26
04/23/2026,1165.76,"647,013",1188.32,1197.9,1155.03
04/22/2026,1187.75,"425,197",1207.96,1214.49,1180.23
04/21/2026,1205.67,"626,035",1267.28,1274.5,1193.73
04/20/2026,1274.62,"246,034",1265.27,1274.76,1260.0
04/17/2026,1265.88,"384,888",1239.0,1290.11,1235.0
04/16/2026,1228.23,"386,363",1275.68,1278.5,1218.3
04/15/2026,1274.69,"324,105",1297.08,1301.38,1273.76
04/14/2026,1296.58,"471,304",1279.24,1303.06,1268.87
04/13/2026,1233.11,"328,866",1207.2,1235.5,1201.03
04/10/2026,1207.18,"205,659",1221.0,1221.0,1199.39
04/09/2026,1225.52,"198,229",1211.87,1234.13,1207.26
04/08/2026,1219.88,"305,426",1191.2,1225.26,1191.2
04/07/2026,1169.57,"302,203",1182.9,1182.9,1165.08
04/06/2026,1189.64,"216,203",1168.0,1190.03,1158.5
04/02/2026,1167.0,"319,784",1165.95,1175.34,1145.0201
04/01/2026,1173.27,"472,230",1159.6,1183.96,1123.61
03/31/2026,1158.96,"660,971",1139.99,1168.31,1126.695
03/30/2026,1132.88,"667,860",1148.09,1154.36,1127.56
03/27/2026,1140.03,"402,047",1147.15,1153.45,1138.84
03/26/2026,1151.94,"261,818",1143.92,1161.33,1140.98
03/25/2026,1156.49,"341,788",1174.16,1181.8,1148.98
03/24/2026,1162.78,"487,863",1146.08,1162.8,1137.06
03/23/2026,1152.97,"476,237",1192.07,1211.74,1151.96
03/20/2026,1177.39,"731,906",1192.445,1203.74,1169.36
03/19/2026,1191.94,"546,080",1196.87,1201.0,1177.02
03/18/2026,1199.94,"335,683",1229.59,1234.355,1198.24
03/17/2026,1232.51,"297,170",1254.31,1264.39,1224.0
03/16/2026,1247.82,"506,228",1222.77,1251.325,1222.77
03/13/2026,1214.66,"463,859",1234.61,1251.56,1208.49
03/12/2026,1225.95,"603,698",1246.26,1264.07,1222.63
03/11/2026,1258.34,"239,279",1263.0,1267.5,1246.78
03/10/2026,1268.31,"214,197",1271.11,1274.85,1252.55
03/09/2026,1277.93,"401,237",1287.81,1287.81,1251.415
03/06/2026,1294.53,"294,884",1287.63,1318.7999,1282.0001
03/05/2026,1294.96,"214,154",1307.68,1310.43,1279.67
03/04/2026,1315.12,"211,845",1327.0,1330.65,1303.94
03/03/2026,1326.34,"338,150",1305.97,1334.225,1285.0
03/02/2026,1316.26,"365,421",1310.28,1327.08,1300.019
02/27/2026,1302.79,"545,807",1304.91,1312.155,1290.46
02/26/2026,1314.26,"372,864",1299.9,1314.48,1286.72
02/25/2026,1295.12,"321,991",1299.78,1302.485,1263.23
02/24/2026,1293.87,"254,136",1291.44,1301.765,1275.0
02/23/2026,1296.15,"313,691",1331.33,1334.7,1293.54
02/20/2026,1338.98,"218,523",1329.22,1350.03,1323.37
02/19/2026,1330.13,"235,382",1312.62,1340.0,1307.96
02/18/2026,1315.33,"347,833",1313.32,1324.99,1297.68
02/17/2026,1302.11,"376,798",1298.83,1306.34,1278.81
02/13/2026,1286.67,"311,383",1303.54,1318.66,1280.77
02/12/2026,1295.97,"457,457",1333.78,1339.83,1290.5075
02/11/2026,1326.19,"283,923",1314.51,1330.785,1306.73
02/10/2026,1311.95,"435,274",1320.17,1332.41,1300.835
02/09/2026,1300.1,"433,203",1279.37,1305.8509,1276.11
02/06/2026,1285.53,"391,058",1272.99,1300.62,1270.27
02/05/2026,1263.26,"541,554",1257.2,1269.49,1245.8
02/04/2026,1264.79,"668,532",1282.24,1291.115,1248.4201
