date,close,volume,open,high,low
05/15/2026,616.58,"222,848",631.62,631.82,616.4
05/14/2026,638.56,"205,376",640.48,640.48,627.345
05/13/2026,635.96,"259,871",635.36,640.455,623.5
05/12/2026,632.17,"267,812",631.15,634.56,620.0
05/11/2026,632.58,"238,417",621.9,633.45,618.8486
05/08/2026,621.38,"198,958",634.81,635.98,620.32
05/07/2026,630.78,"312,356",644.36,646.94,626.765
05/06/2026,644.13,"281,748",635.26,647.46,633.38
05/05/2026,631.87,"229,522",640.08,644.0,627.93
05/04/2026,637.58,"201,116",642.28,644.125,635.11
05/01/2026,640.33,"226,371",648.15,648.15,634.2
04/30/2026,645.85,"411,410",641.25,654.045,632.65
04/29/2026,630.56,"327,218",641.43,645.87,622.91
04/28/2026,641.89,"365,063",652.94,659.49,641.71
04/27/2026,655.49,"290,684",648.16,657.49,639.027
04/24/2026,648.68,"442,702",651.27,661.065,636.51
04/23/2026,651.75,"599,420",659.46,663.91,650.19
04/22/2026,656.69,"631,381",665.01,687.0,650.0
04/21/2026,642.79,"448,022",644.47,646.6,632.6891
04/20/2026,645.73,"400,609",635.26,646.36,635.0
04/17/2026,635.83,"439,024",635.76,645.33,631.05
04/16/2026,635.76,"377,916",636.04,636.59,623.96
04/15/2026,634.77,"420,350",644.7,646.18,626.95
04/14/2026,647.59,"288,967",657.31,658.69,646.68
04/13/2026,655.99,"274,037",643.88,657.555,643.3001
04/10/2026,645.74,"295,162",654.57,654.57,640.68
04/09/2026,654.98,"266,897",657.73,663.9453,651.34
04/08/2026,660.31,"262,621",653.55,660.98,650.43
04/07/2026,635.07,"258,289",627.26,636.585,625.9411
04/06/2026,632.01,"269,723",624.0,633.61,621.35
04/02/2026,623.13,"273,181",606.81,629.74,605.54
04/01/2026,617.97,"362,390",608.92,622.63,605.074
03/31/2026,605.01,"304,834",591.99,610.0,586.37
03/30/2026,584.07,"403,118",603.04,603.04,579.04
03/27/2026,593.31,"299,266",605.0,611.32,592.445
03/26/2026,611.08,"298,715",619.67,626.32,609.5
03/25/2026,625.37,"233,989",633.96,636.0,622.96
03/24/2026,626.06,"242,869",622.71,632.01,617.74
03/23/2026,623.8,"243,386",629.09,636.87,623.28
03/20/2026,616.18,"647,033",633.38,636.96,611.76
03/19/2026,635.11,"316,659",629.55,637.5928,621.59
03/18/2026,633.87,"276,095",642.89,646.29,633.44
03/17/2026,643.06,"309,789",648.05,649.9,630.4201
03/16/2026,645.66,"218,214",646.06,647.73,638.09
03/13/2026,638.91,"284,507",651.65,654.7475,635.42
03/12/2026,646.57,"456,459",665.5,668.34,645.57
03/11/2026,655.37,"323,963",650.19,659.32,643.22
03/10/2026,655.29,"270,146",654.04,665.4,650.65
03/09/2026,654.06,"208,128",640.78,654.74,631.47
03/06/2026,647.64,"282,545",644.54,655.64,640.655
03/05/2026,654.86,"333,390",675.13,679.11,652.05
03/04/2026,682.77,"253,873",686.73,693.38,676.88
03/03/2026,686.25,"249,082",677.47,687.695,668.25
03/02/2026,688.59,"274,854",680.22,692.88,676.75
02/27/2026,681.1,"426,046",673.69,682.95,671.0
02/26/2026,678.82,"175,976",679.71,683.335,667.44
02/25/2026,677.38,"330,133",686.34,691.87,668.01
02/24/2026,683.22,"326,246",672.55,685.17,672.35
02/23/2026,672.42,"263,109",666.31,675.17,661.445
02/20/2026,668.72,"380,927",664.02,675.19,663.135
02/19/2026,666.35,"224,357",660.65,668.69,655.32
02/18/2026,662.66,"233,188",651.87,664.58,645.3
02/17/2026,649.35,"344,738",656.22,663.68,646.06
02/13/2026,660.29,"286,513",647.03,661.15,643.1
02/12/2026,646.3,"459,302",669.38,674.63,645.78
02/11/2026,661.43,"424,157",661.0,668.365,652.75
02/10/2026,659.92,"391,167",656.63,664.66,651.85
02/09/2026,656.38,"366,721",645.68,658.175,643.1028
02/06/2026,647.56,"284,739",636.66,648.28,617.64
02/05/2026,628.47,"342,251",624.22,630.595,621.6125
02/04/2026,629.73,"567,269",645.79,646.64,625.32
02/03/2026,640.42,"535,211",618.24,641.81,613.58
02/02/2026,613.23,"472,984",618.87,619.995,606.06
01/30/2026,620.3,"510,963",621.5,627.4,615.66
01/29/2026,625.32,"478,426",621.0,627.32,617.0
01/28/2026,620.31,"513,752",615.87,621.0,610.57
01/27/2026,616.02,"350,156",607.74,616.81,598.72
01/26/2026,607.53,"304,162",613.06,614.99,606.53
01/23/2026,610.66,"459,705",625.0,626.2282,604.05
01/22/2026,621.62,"602,491",628.87,630.755,618.565
01/21/2026,621.79,"1,003,656",607.41,627.5999,592.12
01/20/2026,566.23,"759,010",570.68,580.15,564.05
01/16/2026,581.72,"602,652",570.5,582.69,570.31
01/15/2026,569.72,"318,812",568.44,570.94,563.24
01/14/2026,562.54,"356,042",555.01,562.71,552.0
01/13/2026,555.01,"323,904",552.5,560.29,550.36
01/12/2026,549.63,"378,916",545.74,554.36,543.9249
01/09/2026,549.02,"422,573",548.91,557.78,544.31
01/08/2026,548.91,"503,106",535.26,552.835,533.05
01/07/2026,531.48,"260,671",533.42,536.43,530.11
01/06/2026,532.73,"274,575",522.98,534.385,522.12
01/05/2026,524.09,"403,842",518.77,538.94,515.16
01/02/2026,518.77,"184,420",513.0,519.42,510.73
12/31/2025,510.73,"229,400",519.05,519.05,510.7
12/30/2025,518.0,"217,525",515.71,519.5299,511.56
