date,close,volume,open,high,low
05/14/2026,80.86,"4,546,415",80.33,82.5,78.2
05/13/2026,80.62,"6,261,521",84.44,84.89,80.2
05/12/2026,85.0,"5,970,245",87.31,88.2,83.38
05/11/2026,87.31,"7,931,115",90.24,92.43,84.9
05/08/2026,91.6,"12,639,850",88.64,92.13,84.42
05/07/2026,92.37,"12,651,810",91.61,95.0,90.42
05/06/2026,88.8,"10,297,610",91.48,91.48,84.485
05/05/2026,92.35,"7,608,537",92.49,93.9,88.93
05/04/2026,93.16,"15,945,780",88.17,96.3179,87.46
05/01/2026,88.88,"27,384,490",82.92,90.23,82.05
04/30/2026,68.59,"8,764,406",69.585,69.585,66.55
04/29/2026,70.49,"3,863,676",69.6,70.7,68.48
04/28/2026,69.71,"4,815,706",69.87,72.8,69.375
04/27/2026,69.22,"5,727,399",69.42,71.97,68.86
04/24/2026,71.55,"5,275,777",68.63,71.96,68.32
04/23/2026,67.62,"7,796,945",67.2,68.05,65.2
04/22/2026,74.01,"7,533,873",71.28,74.585,70.35
04/21/2026,71.22,"6,094,411",72.08,75.95,70.6093
04/20/2026,71.48,"8,296,019",67.0,71.589,66.32
04/17/2026,66.94,"23,913,010",70.115,70.5,65.91
04/16/2026,68.73,"9,575,682",69.78,71.0699,66.85
04/15/2026,66.0,"10,878,120",61.38,66.105,60.25
04/14/2026,59.71,"6,930,603",62.2,63.45,59.36
04/13/2026,61.3,"10,182,620",57.5,61.4,56.72
04/10/2026,57.15,"7,527,993",59.17,59.26,56.0101
04/09/2026,58.96,"11,045,910",62.07,63.234,57.3
04/08/2026,63.62,"7,500,034",67.67,68.57,63.2
04/07/2026,64.83,"5,371,971",67.61,68.25,64.32
04/06/2026,68.09,"3,589,120",68.3,69.5,66.96
04/02/2026,68.29,"3,953,173",69.61,69.96,66.905
04/01/2026,69.37,"5,538,737",68.32,70.43,65.12
03/31/2026,68.25,"4,134,008",67.0,69.56,66.65
03/30/2026,66.88,"5,005,857",65.525,68.68,65.24
03/27/2026,65.12,"5,724,221",67.01,67.06,64.3
03/26/2026,68.13,"4,760,801",66.09,69.37,65.82
03/25/2026,66.46,"5,764,090",70.0,71.296,66.1
03/24/2026,68.17,"7,891,608",72.8,72.82,67.33
03/23/2026,74.41,"4,236,594",73.23,75.45,72.0
03/20/2026,73.73,"6,517,945",72.91,75.16,70.54
03/19/2026,74.6,"4,749,052",74.37,76.72,72.9301
03/18/2026,73.47,"4,741,773",74.37,74.47,71.91
03/17/2026,74.91,"5,655,619",75.69,78.8,74.0825
03/16/2026,76.17,"5,215,369",76.7,77.44,74.89
03/13/2026,75.21,"5,790,984",73.07,76.09,72.64
03/12/2026,73.34,"7,607,371",75.77,80.42,73.32
03/11/2026,75.45,"6,176,854",78.13,79.1,74.2001
03/10/2026,78.01,"6,561,695",81.1,82.0,76.86
03/09/2026,82.04,"5,374,026",82.68,83.91,80.04
03/06/2026,83.62,"7,532,173",81.8,84.95,79.43
03/05/2026,82.51,"12,190,090",77.76,84.26,77.7
03/04/2026,76.81,"6,379,882",77.5,78.2999,74.35
03/03/2026,78.38,"5,951,499",72.11,78.7499,71.0
03/02/2026,73.8,"5,432,935",72.91,75.65,72.34
02/27/2026,75.13,"7,419,952",75.43,76.77,73.56
02/26/2026,79.43,"10,623,890",75.0,81.67,75.0
02/25/2026,73.19,"6,396,622",70.89,73.55,67.87
02/24/2026,71.18,"10,131,830",68.81,73.2,67.85
02/23/2026,68.81,"10,326,650",73.5,73.75,68.27
02/20/2026,75.98,"9,565,018",79.565,81.19,75.01
02/19/2026,80.26,"6,662,217",83.71,84.35,80.21
02/18/2026,83.61,"4,623,708",82.04,84.48,80.4
02/17/2026,82.15,"8,777,063",85.44,87.2,80.4
02/13/2026,84.38,"6,198,006",86.38,88.25,84.0
02/12/2026,86.48,"11,092,390",87.14,88.5,83.17
02/11/2026,86.97,"8,582,986",91.75,93.0,85.04
02/10/2026,92.92,"6,759,798",91.29,97.0,90.5
02/09/2026,91.23,"8,779,270",93.455,94.0,88.51
02/06/2026,94.72,"14,005,000",100.14,102.99,92.32
02/05/2026,98.41,"8,239,639",104.49,106.96,97.93
02/04/2026,105.04,"7,445,077",103.94,110.23,98.705
02/03/2026,105.0,"7,658,011",110.01,110.24,100.92
