date,close,volume,open,high,low
05/15/2026,43.3,"5,229,694",44.84,45.59,43.195
05/14/2026,44.74,"3,425,809",45.35,46.04,44.4
05/13/2026,44.89,"3,904,911",47.07,47.13,44.12
05/12/2026,47.42,"1,767,193",47.91,48.34,46.52
05/11/2026,47.42,"2,706,682",49.39,49.52,47.31
05/08/2026,48.36,"3,850,168",50.02,50.5,47.85
05/07/2026,50.91,"5,147,270",47.195,51.0,46.415
05/06/2026,47.405,"11,948,710",56.68,56.68,45.115
05/05/2026,56.68,"2,989,126",56.35,57.005,54.51
05/04/2026,54.74,"1,773,286",54.49,55.22,54.065
05/01/2026,55.02,"1,954,357",55.08,55.64,53.58
04/30/2026,55.32,"3,522,922",52.42,55.93,51.895
04/29/2026,51.95,"1,376,341",53.04,53.735,51.03
04/28/2026,53.51,"1,618,787",55.0,55.285,52.99
04/27/2026,55.11,"1,454,313",54.29,55.5,53.77
04/24/2026,54.185,"1,983,863",52.53,54.74,52.05
04/23/2026,52.2,"3,266,798",57.52,57.565,51.13
04/22/2026,58.58,"1,132,730",60.38,60.59,57.94
04/21/2026,59.67,"1,992,463",60.72,62.47,59.582
04/20/2026,60.58,"2,012,457",59.1,60.89,58.61
04/17/2026,59.23,"1,925,348",58.49,59.95,58.25
04/16/2026,57.36,"2,034,916",58.11,58.465,56.795
04/15/2026,58.49,"1,500,662",59.16,59.78,58.09
04/14/2026,58.66,"2,543,741",58.03,60.44,57.64
04/13/2026,57.53,"1,847,287",55.42,57.68,55.27
04/10/2026,55.54,"1,197,380",55.82,56.13,55.06
04/09/2026,55.57,"2,239,634",54.88,56.17,53.44
04/08/2026,55.21,"2,011,249",55.82,56.9,53.87
04/07/2026,53.83,"2,494,362",52.9,54.25,52.605
04/06/2026,53.8,"1,746,124",53.13,53.9,51.95
04/02/2026,53.13,"1,802,225",52.01,54.79,51.24
04/01/2026,53.48,"2,458,717",52.29,54.1,52.29
03/31/2026,52.26,"2,576,375",52.76,53.22,51.155
03/30/2026,52.04,"1,757,754",51.51,52.315,51.14
03/27/2026,50.95,"1,787,780",52.615,53.6,50.56
03/26/2026,52.7,"1,493,012",52.61,53.63,52.195
03/25/2026,52.69,"1,598,226",52.69,53.23,52.02
03/24/2026,52.43,"1,839,268",51.41,52.95,50.702
03/23/2026,52.0,"1,628,639",52.73,53.53,51.63
03/20/2026,51.48,"3,098,548",51.61,52.18,50.6781
03/19/2026,51.59,"2,381,907",50.015,52.37,50.015
03/18/2026,50.81,"2,176,271",50.3,51.3,49.525
03/17/2026,51.06,"2,447,714",49.62,51.24,49.5
03/16/2026,48.81,"3,002,868",51.5,52.25,48.25
03/13/2026,50.85,"2,439,366",52.27,52.58,50.62
03/12/2026,51.47,"3,710,348",52.82,54.03,49.86
03/11/2026,53.62,"1,982,474",52.57,53.79,51.87
03/10/2026,52.82,"2,778,515",54.66,54.87,52.77
03/09/2026,54.87,"2,677,755",52.81,55.135,52.38
03/06/2026,53.89,"3,064,246",54.79,55.21,53.63
03/05/2026,55.89,"2,483,666",56.89,58.65,55.345
03/04/2026,57.85,"2,194,462",57.8,58.07,56.92
03/03/2026,56.99,"2,099,637",56.12,57.635,54.59
03/02/2026,57.82,"1,828,206",57.975,58.425,56.39
02/27/2026,59.0,"1,820,821",57.2,59.06,56.185
02/26/2026,57.92,"2,177,474",57.58,58.15,55.9
02/25/2026,57.87,"2,207,255",58.19,58.24,56.875
02/24/2026,57.6,"3,063,061",54.68,57.67,54.215
02/23/2026,54.76,"3,196,168",57.43,57.485,54.2
02/20/2026,57.52,"2,643,878",57.695,58.4,56.61
02/19/2026,58.25,"2,187,872",58.78,59.39,57.37
02/18/2026,59.33,"1,836,390",58.55,59.68,57.92
02/17/2026,58.5,"2,559,378",59.82,60.11,58.35
02/13/2026,59.93,"3,679,636",59.61,61.14,59.07
02/12/2026,59.54,"2,889,780",62.82,63.455,58.04
02/11/2026,63.45,"2,468,312",64.33,64.78,62.79
02/10/2026,64.8,"1,708,346",65.48,65.94,64.42
02/09/2026,65.48,"1,702,688",66.07,66.51,64.52
02/06/2026,66.78,"1,547,126",66.76,67.6,65.845
02/05/2026,65.86,"2,691,387",68.04,68.57,65.62
02/04/2026,68.67,"5,537,950",66.69,69.92,61.695
02/03/2026,64.63,"3,592,256",65.3,66.48,62.86
02/02/2026,65.25,"3,249,822",63.61,65.29,62.93
01/30/2026,64.09,"2,485,745",63.26,64.35,62.805
01/29/2026,63.98,"2,457,084",64.96,65.0,63.05
01/28/2026,65.56,"1,814,007",67.98,67.98,65.16
01/27/2026,68.23,"2,518,812",67.53,68.54,67.02
01/26/2026,67.63,"1,730,492",67.69,68.175,66.94
01/23/2026,68.16,"1,900,426",69.21,69.24,67.35
01/22/2026,69.65,"2,453,635",71.8,72.16,69.3
01/21/2026,71.375,"2,698,929",70.0,71.63,69.18
01/20/2026,69.565,"2,278,328",67.52,69.74,66.345
01/16/2026,68.67,"3,533,956",69.84,70.299,68.21
01/15/2026,69.96,"3,437,536",68.47,70.66,67.98
01/14/2026,68.4,"2,736,505",66.79,68.5,65.81
01/13/2026,66.36,"3,109,362",67.13,69.0,63.91
01/12/2026,66.56,"1,509,016",66.23,67.38,65.52
01/09/2026,65.7,"2,466,613",65.35,66.95,64.945
01/08/2026,64.58,"1,955,169",64.35,65.105,63.39
01/07/2026,65.05,"1,311,325",65.155,65.53,64.48
01/06/2026,65.28,"2,086,274",63.61,66.48,62.63
01/05/2026,63.03,"2,560,204",59.05,63.14,59.05
01/02/2026,59.65,"1,941,700",58.81,60.53,58.4
12/31/2025,58.81,"852,341",59.04,59.31,58.67
