date,close,volume,open,high,low
05/15/2026,205.11,"2,991,210",202.79,205.88,200.41
05/14/2026,206.69,"2,376,731",208.07,208.85,204.705
05/13/2026,207.66,"4,597,232",216.94,217.49,207.51
05/12/2026,213.73,"3,869,118",206.0,213.96,203.435
05/11/2026,206.12,"4,732,032",206.61,207.175,202.42
05/08/2026,206.2,"2,865,223",212.4,213.74,205.7
05/07/2026,210.06,"2,406,179",216.11,217.06,207.48
05/06/2026,216.17,"3,040,795",208.0,217.26,207.9515
05/05/2026,206.94,"1,552,714",208.1,209.58,205.53
05/04/2026,205.28,"2,413,813",208.11,209.8,204.28
05/01/2026,207.43,"2,728,093",211.33,211.33,205.03
04/30/2026,211.66,"3,054,871",207.84,212.2,204.45
04/29/2026,205.25,"2,365,723",205.23,206.19,201.89
04/28/2026,204.3,"2,401,812",206.05,209.05,202.87
04/27/2026,209.52,"3,118,628",214.67,215.89,208.46
04/24/2026,214.67,"3,335,534",219.99,223.0,212.04
04/23/2026,217.73,"4,769,655",217.76,222.245,214.72
04/22/2026,221.04,"8,064,689",216.78,223.485,210.78
04/21/2026,243.18,"4,028,091",248.12,252.56,242.65
04/20/2026,247.66,"2,295,250",248.03,249.0,246.54
04/17/2026,246.14,"2,718,734",239.63,246.5025,238.71
04/16/2026,236.48,"2,056,080",232.96,237.46,232.22
04/15/2026,234.15,"1,540,408",235.57,236.88,231.1806
04/14/2026,236.88,"1,716,687",236.72,238.31,232.84
04/13/2026,234.33,"1,397,111",227.51,234.34,224.29
04/10/2026,229.78,"1,196,069",229.99,232.9899,228.59
04/09/2026,228.63,"1,924,018",224.23,229.36,222.65
04/08/2026,223.03,"1,922,010",220.735,225.18,220.735
04/07/2026,210.98,"1,027,452",207.76,211.31,207.045
04/06/2026,209.73,"825,319",209.51,210.89,207.69
04/02/2026,209.07,"1,242,443",205.98,214.77,205.03
04/01/2026,211.67,"1,642,277",207.9,213.83,207.9
03/31/2026,209.02,"2,583,169",202.18,209.19,200.27
03/30/2026,198.64,"3,357,265",204.87,206.43,197.59
03/27/2026,202.14,"1,711,716",201.46,204.52,199.81
03/26/2026,203.2,"1,951,267",205.64,209.145,202.98
03/25/2026,210.02,"2,369,771",208.6,210.57,206.28
03/24/2026,206.37,"2,236,999",198.22,207.32,198.22
03/23/2026,200.79,"2,046,115",201.18,203.75,197.165
