date,close,volume,open,high,low
05/15/2026,46.96,"6,502,646",47.07,47.14,46.24
05/14/2026,47.13,"9,802,557",46.99,47.43,46.885
05/13/2026,46.54,"12,525,710",47.69,47.72,46.35
05/12/2026,47.79,"8,684,814",48.0,48.075,47.06
05/11/2026,47.97,"6,549,289",49.24,49.375,47.845
05/08/2026,49.11,"4,301,470",49.51,49.605,49.01
05/07/2026,49.74,"5,339,077",50.76,50.97,49.66
05/06/2026,50.8,"4,995,934",50.5,51.01,50.49
05/05/2026,49.95,"6,055,830",49.69,50.18,49.49
05/04/2026,49.48,"6,511,830",50.65,50.65,49.365
05/01/2026,50.93,"4,847,260",51.17,51.375,50.745
04/30/2026,51.5,"7,608,444",50.36,51.575,50.13
04/29/2026,50.65,"6,869,544",51.08,51.46,50.395
04/28/2026,51.15,"7,452,932",51.82,52.11,50.945
04/27/2026,51.23,"7,201,671",50.86,51.72,50.815
04/24/2026,50.73,"7,321,117",51.43,51.55,50.48
04/23/2026,51.4,"8,070,663",51.05,51.61,50.68
04/22/2026,50.95,"6,804,020",51.36,51.62,50.78
04/21/2026,51.07,"8,665,188",50.92,51.75,50.845
04/20/2026,50.84,"7,352,439",50.23,51.16,50.23
04/17/2026,50.57,"13,512,710",48.74,51.335,48.56
04/16/2026,49.43,"10,206,910",49.32,49.69,49.115
04/15/2026,49.59,"7,225,521",49.59,49.975,49.22
04/14/2026,49.53,"6,856,736",49.76,49.835,49.17
04/13/2026,50.01,"5,233,133",49.12,50.035,48.95
04/10/2026,49.6,"9,238,641",50.37,50.58,49.57
04/09/2026,50.48,"11,399,180",48.98,50.68,48.87
04/08/2026,49.29,"13,813,060",49.07,49.87,48.98
04/07/2026,47.83,"13,743,690",47.41,48.185,47.3
04/06/2026,47.64,"8,677,464",47.26,47.715,47.14
04/02/2026,47.16,"9,200,963",45.87,47.21,45.83
04/01/2026,46.71,"10,065,360",46.39,47.145,46.36
03/31/2026,45.97,"10,011,130",45.36,46.01,44.9
03/30/2026,44.64,"8,738,395",44.94,44.98,44.27
03/27/2026,44.53,"13,424,760",44.81,45.23,44.13
03/26/2026,44.97,"8,772,439",44.67,45.275,44.52
03/25/2026,45.39,"7,008,466",45.79,46.1,44.9
03/24/2026,45.32,"8,304,649",44.4,45.69,44.35
03/23/2026,44.86,"10,209,660",45.35,45.41,44.6
03/20/2026,44.16,"18,050,230",43.91,44.17,43.6
03/19/2026,43.88,"11,009,680",43.61,44.19,43.125
03/18/2026,43.85,"11,048,560",44.14,44.55,43.83
03/17/2026,44.59,"9,344,865",45.15,45.21,44.46
03/16/2026,44.52,"11,570,020",44.56,44.935,44.275
03/13/2026,43.83,"8,962,462",44.8,44.96,43.765
03/12/2026,44.37,"14,445,680",44.64,45.43,44.1308
03/11/2026,45.65,"11,811,280",46.42,46.575,45.265
03/10/2026,46.65,"6,508,101",46.79,47.56,46.09
03/09/2026,46.75,"9,819,146",46.06,46.99,44.91
03/06/2026,46.49,"20,735,350",47.18,47.61,45.875
03/05/2026,48.48,"7,143,348",48.57,49.02,47.9247
03/04/2026,49.11,"5,166,834",49.59,49.65,48.98
03/03/2026,49.3,"5,377,800",48.44,49.78,48.12
03/02/2026,49.55,"6,514,159",48.4,50.105,48.2288
02/27/2026,49.31,"11,533,800",50.69,51.0,48.87
02/26/2026,51.5,"6,013,618",50.84,51.9051,50.75
02/25/2026,50.57,"5,635,439",49.89,50.645,49.89
02/24/2026,49.66,"6,753,073",49.93,50.38,49.185
02/23/2026,50.09,"9,735,239",52.19,52.61,49.605
02/20/2026,52.32,"9,437,132",51.75,52.41,51.25
02/19/2026,51.78,"9,333,719",52.23,52.5,51.34
02/18/2026,52.69,"6,804,439",52.24,53.01,52.155
02/17/2026,52.2,"7,508,749",52.995,53.2145,52.03
02/13/2026,51.9,"7,003,032",51.28,52.105,50.95
02/12/2026,52.07,"11,461,810",54.41,54.695,51.63
02/11/2026,54.04,"9,983,211",55.27,55.75,53.93
02/10/2026,55.1,"8,195,911",54.55,55.325,54.285
02/09/2026,54.78,"11,304,970",55.54,55.75,54.74
02/06/2026,55.81,"7,399,807",55.68,56.195,55.55
02/05/2026,55.14,"9,738,105",54.75,55.25,54.35
02/04/2026,55.11,"12,554,520",54.51,55.745,54.5
02/03/2026,54.03,"15,914,060",52.82,54.235,52.765
02/02/2026,52.66,"12,477,410",51.51,52.715,51.39
01/30/2026,51.42,"12,027,680",51.08,51.67,50.78
01/29/2026,51.32,"12,269,610",50.72,51.4,50.445
01/28/2026,50.31,"11,102,690",50.84,51.08,49.79
01/27/2026,50.89,"10,000,650",50.33,50.935,50.29
