date,close,volume,open,high,low
05/15/2026,121.54,"3,661,369",123.44,123.48,120.5
05/14/2026,123.08,"4,160,293",121.61,123.7399,121.29
05/13/2026,121.48,"3,964,805",120.73,121.61,119.12
05/12/2026,121.8,"5,623,788",121.0,122.75,120.06
05/11/2026,118.44,"7,589,692",125.55,125.69,117.67
05/08/2026,125.25,"3,883,687",127.86,127.87,123.82
05/07/2026,125.88,"7,538,992",129.24,129.8,123.63
05/06/2026,130.19,"4,423,144",129.49,131.98,129.12
05/05/2026,128.82,"4,206,831",128.21,129.75,127.405
05/04/2026,127.76,"3,118,157",128.44,131.2,127.27
05/01/2026,128.89,"3,728,959",129.81,131.31,128.8
04/30/2026,129.75,"5,436,552",128.49,129.79,127.7001
04/29/2026,127.87,"3,760,123",126.59,128.04,125.33
04/28/2026,127.14,"3,728,469",130.52,130.9999,126.9701
04/27/2026,129.72,"5,824,301",129.505,130.76,127.471
04/24/2026,129.26,"3,129,314",130.015,130.015,128.1
04/23/2026,130.17,"3,595,155",130.54,131.5,129.44
04/22/2026,130.6,"5,141,424",132.515,132.515,130.02
04/21/2026,132.1,"5,745,933",130.35,133.1,129.7
04/20/2026,130.18,"5,819,101",127.85,130.19,126.87
04/17/2026,127.84,"5,844,767",124.1,128.05,123.275
04/16/2026,123.91,"4,292,989",123.44,124.07,121.61
04/15/2026,122.87,"5,232,382",119.73,123.295,118.79
04/14/2026,119.53,"5,189,054",117.8,119.62,116.83
04/13/2026,117.88,"5,800,570",120.43,121.09,117.36
04/10/2026,121.89,"3,699,828",124.34,124.46,121.3101
04/09/2026,124.03,"4,093,506",122.26,124.22,121.5
04/08/2026,123.12,"3,634,086",120.57,123.33,120.0
04/07/2026,119.52,"3,799,465",122.3,122.91,118.61
04/06/2026,122.21,"4,059,499",120.5,122.45,120.43
04/02/2026,120.45,"5,348,064",120.3,121.51,119.15
04/01/2026,120.45,"4,250,948",121.15,122.145,120.41
03/31/2026,121.2,"4,662,081",119.9,121.34,118.78
03/30/2026,118.78,"4,425,179",120.12,121.5,117.94
03/27/2026,119.84,"8,112,912",117.1,121.46,116.5
03/26/2026,117.0,"3,403,145",115.88,118.35,115.685
03/25/2026,116.37,"4,407,977",117.5,117.65,114.685
03/24/2026,115.92,"4,991,742",113.82,116.05,113.01
03/23/2026,114.93,"6,381,919",114.63,116.49,114.01
03/20/2026,113.26,"19,717,450",114.0,115.27,112.69
03/19/2026,114.47,"6,549,613",114.66,116.09,113.42
03/18/2026,115.05,"5,267,451",116.52,117.365,114.79
03/17/2026,116.76,"4,347,536",117.505,118.4599,116.16
03/16/2026,117.05,"4,858,546",118.0,118.45,116.0
03/13/2026,117.34,"5,282,631",116.4,117.89,115.56
03/12/2026,115.75,"6,215,334",117.43,117.905,115.19
03/11/2026,118.78,"4,422,332",120.33,121.26,118.5
03/10/2026,120.74,"4,400,011",119.49,122.47,118.57
03/09/2026,120.14,"6,005,492",118.66,120.155,115.75
03/06/2026,120.79,"5,979,671",119.17,120.79,117.0
03/05/2026,120.36,"7,130,940",119.77,120.88,118.09
03/04/2026,120.08,"9,496,020",123.96,126.0,119.885
03/03/2026,120.8,"15,692,200",116.01,122.43,115.0
03/02/2026,113.17,"6,301,850",111.84,114.38,111.25
02/27/2026,113.79,"6,417,010",113.0,113.88,111.11
02/26/2026,114.79,"5,930,323",117.48,118.7,113.96
02/25/2026,116.44,"4,522,055",115.75,116.48,114.61
02/24/2026,115.52,"4,977,552",113.4,115.58,113.4
02/23/2026,113.34,"7,924,830",116.08,116.715,112.805
02/20/2026,116.69,"6,285,894",115.27,118.98,114.45
02/19/2026,115.66,"3,631,511",115.2,116.26,114.62
02/18/2026,115.66,"5,608,103",115.75,116.83,114.75
02/17/2026,116.54,"6,258,939",116.9,118.38,114.19
02/13/2026,115.76,"6,597,145",113.41,116.15,112.62
02/12/2026,112.69,"5,588,428",114.98,116.37,111.86
02/11/2026,114.61,"6,611,961",112.94,114.78,112.31
02/10/2026,113.23,"4,955,185",115.5,117.17,113.15
02/09/2026,115.52,"4,507,549",115.27,116.2,113.73
02/06/2026,115.55,"7,804,406",111.57,115.82,111.57
02/05/2026,110.85,"6,081,531",114.13,114.77,110.335
02/04/2026,114.13,"9,816,196",112.55,114.88,112.27
02/03/2026,111.3,"8,373,411",109.89,112.96,109.59
02/02/2026,109.53,"10,561,550",104.93,109.91,103.68
01/30/2026,105.47,"6,181,799",102.84,105.51,102.3601
01/29/2026,102.84,"6,015,154",102.41,103.27,101.315
01/28/2026,101.74,"4,644,360",104.0,104.18,100.88
01/27/2026,104.1,"4,578,858",104.35,104.82,103.19
01/26/2026,103.96,"6,709,801",108.03,108.49,103.61
01/23/2026,108.1,"4,594,123",106.36,108.33,106.1
01/22/2026,106.5,"4,904,276",106.58,106.81,104.8
01/21/2026,106.04,"6,547,286",108.61,110.25,104.89
01/20/2026,109.34,"9,556,628",110.02,110.66,107.43
01/16/2026,111.28,"5,253,188",110.84,111.75,110.18
01/15/2026,111.13,"5,827,160",110.065,111.86,108.4
01/14/2026,109.82,"5,886,151",108.57,110.64,108.18
01/13/2026,108.63,"7,742,258",108.5,109.95,107.955
01/12/2026,106.14,"5,893,399",105.58,106.85,103.16
01/09/2026,105.52,"6,490,433",105.625,107.3,104.14
01/08/2026,106.33,"8,568,630",103.13,108.64,102.68
01/07/2026,103.67,"4,686,178",104.3,104.66,102.485
01/06/2026,104.3,"7,699,831",102.1,104.85,101.5938
01/05/2026,102.1,"7,421,165",100.4,103.26,99.9
01/02/2026,100.51,"7,064,444",97.91,101.0,97.07
12/31/2025,97.75,"4,290,055",97.41,98.44,97.2
12/30/2025,97.43,"3,686,881",97.875,97.99,97.06
12/29/2025,98.1,"8,836,957",99.46,100.2424,97.71
12/26/2025,99.55,"10,644,130",96.58,103.03,96.54
12/24/2025,96.53,"3,299,500",94.61,96.6,94.18
12/23/2025,94.3,"7,975,887",95.25,95.3765,93.77
12/22/2025,95.2,"11,985,240",97.95,98.34,94.7782
12/19/2025,98.01,"12,620,410",98.9,99.45,96.545
12/18/2025,99.05,"9,594,235",98.6,101.99,98.56
12/17/2025,98.6,"6,830,421",97.0,98.615,95.145
12/16/2025,97.67,"5,142,540",97.89,98.52,97.05
12/15/2025,97.56,"5,730,084",97.56,97.93,96.31
12/12/2025,97.09,"5,260,239",97.25,98.2,96.25
12/11/2025,96.97,"6,812,931",94.78,97.18,94.78
