date,close,volume,open,high,low
05/15/2026,147.43,"8,988,078",147.82,148.37,147.1
05/14/2026,147.35,"7,764,806",146.76,148.12,146.4
05/13/2026,147.03,"6,416,530",149.18,149.8,146.14
05/12/2026,150.26,"5,318,170",149.0,151.05,147.11
05/11/2026,148.91,"5,770,538",152.84,153.88,147.27
05/08/2026,153.36,"4,908,387",155.02,155.3,152.52
05/07/2026,154.48,"4,674,186",156.04,157.43,153.42
05/06/2026,155.45,"7,664,972",155.85,156.15,153.22
05/05/2026,154.96,"6,109,088",155.01,157.125,154.7
05/04/2026,154.64,"4,047,320",155.885,156.81,153.5
05/01/2026,156.83,"4,125,937",157.11,158.28,156.0
04/30/2026,156.75,"4,613,243",156.1,157.58,155.43
04/29/2026,156.07,"3,545,822",156.01,156.64,155.15
04/28/2026,157.2,"2,840,960",158.46,158.75,155.85
04/27/2026,157.48,"3,799,883",156.47,158.77,156.47
04/24/2026,157.03,"3,981,438",157.69,158.56,155.72
04/23/2026,158.35,"3,179,496",158.735,160.525,157.5
04/22/2026,158.47,"2,582,138",159.4,160.23,158.2
04/21/2026,159.25,"3,236,810",160.07,160.69,158.48
04/20/2026,159.69,"4,062,245",161.03,161.495,159.37
04/17/2026,160.68,"5,190,396",158.58,161.4,158.505
04/16/2026,157.48,"3,956,539",160.4,161.16,156.42
04/15/2026,160.23,"3,366,720",159.7,161.27,158.95
04/14/2026,160.28,"4,537,985",158.49,160.37,157.9
04/13/2026,159.33,"5,208,351",160.97,161.25,157.33
04/10/2026,161.6,"3,559,814",164.43,164.95,160.42
04/09/2026,165.0,"5,593,411",160.83,165.82,160.54
04/08/2026,161.64,"4,938,036",158.43,161.89,158.05
04/07/2026,157.58,"4,308,616",161.28,161.46,157.43
04/06/2026,161.82,"3,698,265",160.82,162.15,159.9
04/02/2026,161.29,"3,856,703",161.5,162.335,160.16
04/01/2026,162.03,"4,004,122",160.46,162.37,160.0
03/31/2026,159.7,"4,199,539",157.34,160.33,156.82
03/30/2026,155.79,"3,868,277",157.07,157.66,155.25
03/27/2026,155.12,"4,319,108",157.31,158.0,154.46
03/26/2026,157.57,"4,156,796",159.58,159.93,157.025
03/25/2026,159.74,"3,606,823",157.55,159.91,156.77
03/24/2026,158.38,"4,380,270",156.73,159.455,155.47
03/23/2026,156.5,"4,577,134",157.3,157.815,155.6
03/20/2026,154.98,"7,321,785",154.27,156.68,154.27
03/19/2026,154.68,"3,889,260",152.94,155.59,152.18
03/18/2026,152.87,"3,103,525",154.72,155.75,152.75
03/17/2026,155.38,"3,861,650",156.6,156.769,154.39
03/16/2026,156.02,"4,384,767",156.58,157.78,155.325
03/13/2026,155.43,"3,123,589",156.46,157.8699,155.03
03/12/2026,155.79,"3,664,601",157.25,158.18,155.69
03/11/2026,157.88,"3,977,997",158.61,158.995,157.15
03/10/2026,159.53,"5,804,666",157.27,162.59,156.38
03/09/2026,158.14,"4,620,642",158.48,158.925,155.11
03/06/2026,159.33,"5,923,379",159.68,160.11,157.62
03/05/2026,160.93,"6,536,315",160.27,161.2,158.965
03/04/2026,161.73,"4,741,352",160.01,161.9,158.2
03/03/2026,159.71,"5,060,111",158.66,159.72,155.75
03/02/2026,159.94,"4,924,721",160.22,161.5,158.75
02/27/2026,161.66,"7,099,912",158.43,161.66,158.395
02/26/2026,158.69,"5,987,731",157.82,159.33,156.415
02/25/2026,155.82,"8,041,999",157.55,162.6799,154.8
02/24/2026,157.66,"5,280,865",158.07,158.95,157.02
02/23/2026,157.69,"5,709,973",159.0,160.46,155.75
02/20/2026,158.23,"5,643,404",156.06,158.5,155.66
02/19/2026,156.51,"3,933,255",156.97,157.32,155.27
02/18/2026,157.23,"2,944,263",156.34,157.32,155.96
