date,close,volume,open,high,low
05/15/2026,385.17,"436,560",384.97,391.02,383.0001
05/14/2026,388.5,"347,942",385.0,395.4151,378.3
05/13/2026,386.51,"441,327",396.59,396.59,375.315
05/12/2026,401.39,"374,143",405.18,409.99,389.385
05/11/2026,402.63,"345,861",396.5,408.7699,393.39
05/08/2026,394.2,"395,478",395.58,405.79,390.22
05/07/2026,399.08,"648,898",425.02,454.84,396.1
05/06/2026,419.75,"476,866",417.4,426.95,414.88
05/05/2026,430.44,"348,230",431.89,437.09,423.44
05/04/2026,432.83,"286,731",433.6,442.29,432.13
05/01/2026,433.62,"373,883",442.34,443.0,429.32
04/30/2026,443.67,"423,322",432.15,443.95,425.93
04/29/2026,439.03,"319,208",436.07,440.89,426.13
04/28/2026,430.9,"353,724",443.44,445.01,427.77
04/27/2026,436.9,"342,931",442.16,449.52,429.81
04/24/2026,438.91,"266,490",437.6,439.455,427.385
04/23/2026,439.15,"288,115",440.82,445.4451,432.36
04/22/2026,439.5,"303,006",446.01,449.0,432.7386
04/21/2026,437.72,"300,816",437.78,444.75,436.5
04/20/2026,434.82,"317,070",425.0,436.01,420.785
04/17/2026,422.58,"469,048",419.61,427.26,404.715
04/16/2026,426.27,"311,048",418.47,429.9999,417.65
04/15/2026,417.3,"351,567",413.63,423.98,406.1938
04/14/2026,412.2,"499,357",412.79,420.8,408.52
04/13/2026,416.77,"523,782",410.0,422.19,405.61
04/10/2026,409.97,"1,261,112",387.26,417.95,386.8901
04/09/2026,377.97,"1,633,573",446.99,446.99,370.41
04/08/2026,448.28,"504,950",436.35,458.365,432.071
04/07/2026,449.79,"326,259",445.88,454.36,442.3
04/06/2026,448.86,"278,776",442.02,449.0,436.58
04/02/2026,444.24,"390,316",449.12,456.49,433.935
04/01/2026,439.2,"606,729",465.0,474.839,438.78
03/31/2026,474.56,"495,622",468.77,480.0,465.81
03/30/2026,467.37,"609,301",519.07,520.0,465.59
03/27/2026,511.75,"410,772",523.06,526.4282,509.33
03/26/2026,522.28,"335,852",531.37,538.3,521.06
03/25/2026,530.36,"336,634",535.26,541.88,530.0
03/24/2026,535.26,"394,566",529.06,545.0,527.05
03/23/2026,527.87,"415,577",514.28,533.84,508.4
03/20/2026,519.41,"1,470,275",533.46,543.03,519.2
03/19/2026,532.52,"426,829",528.84,539.69,520.41
03/18/2026,530.08,"397,244",531.08,539.1,526.585
03/17/2026,529.18,"429,285",532.38,534.0,518.11
03/16/2026,526.89,"398,563",531.0,531.88,517.2001
03/13/2026,531.13,"392,083",525.0,542.62,521.21
03/12/2026,528.97,"453,788",524.37,540.04,522.665
03/11/2026,524.83,"431,537",518.0,526.99,510.0
03/10/2026,520.76,"530,415",532.3,537.0,508.4
03/09/2026,539.79,"560,470",528.06,544.9999,520.0
03/06/2026,525.03,"378,423",524.58,535.1,517.18
03/05/2026,523.31,"445,890",532.75,543.99,511.7701
03/04/2026,536.11,"492,653",520.2,541.01,515.365
03/03/2026,523.64,"569,606",530.4,530.4,511.16
03/02/2026,531.09,"749,953",538.0,540.0,513.19
02/27/2026,524.29,"794,921",515.94,528.15,510.99
02/26/2026,512.54,"684,819",505.0,512.54,491.0
02/25/2026,510.3,"931,332",534.77,539.0,498.86
02/24/2026,531.95,"877,330",503.7,533.84,494.52
02/23/2026,502.85,"1,206,059",513.99,547.2,502.18
02/20/2026,499.88,"1,021,071",488.0,518.79,480.0
02/19/2026,486.56,"820,075",430.0,491.4,430.0
02/18/2026,440.71,"935,883",430.0,445.61,425.05
02/17/2026,426.42,"839,241",433.08,438.05,415.9
