date,close,volume,open,high,low
05/15/2026,129.32,"2,897,240",128.86,130.64,128.48
05/14/2026,130.24,"2,366,623",133.12,134.98,130.0
05/13/2026,132.7,"4,197,180",132.07,134.29,130.38
05/12/2026,131.73,"2,943,522",132.0,132.5025,128.34
05/11/2026,133.34,"3,184,992",135.04,137.165,132.02
05/08/2026,133.48,"4,316,208",134.96,139.48,132.15
05/07/2026,130.52,"6,457,815",135.36,140.0,128.76
05/06/2026,148.83,"3,397,806",145.64,149.31,145.535
05/05/2026,141.39,"2,134,387",140.92,142.86,139.16
05/04/2026,139.74,"1,445,146",142.08,142.68,139.27
05/01/2026,142.74,"1,440,603",145.25,145.28,142.5
04/30/2026,145.04,"1,451,501",143.01,145.55,142.64
04/29/2026,141.6,"1,679,811",142.33,143.66,141.495
04/28/2026,143.84,"1,700,105",146.02,147.74,143.445
04/27/2026,146.47,"1,524,419",145.52,147.575,144.415
04/24/2026,145.89,"1,186,968",147.68,148.695,145.68
04/23/2026,146.45,"1,358,491",148.59,149.965,144.7084
04/22/2026,146.17,"2,054,797",151.54,152.67,145.525
04/21/2026,150.5,"2,547,323",152.91,154.34,148.16
04/20/2026,153.61,"1,663,705",155.18,156.395,152.69
04/17/2026,155.85,"2,368,125",155.06,158.56,153.285
04/16/2026,150.69,"1,438,036",151.45,152.045,149.12
04/15/2026,151.37,"1,336,278",149.78,152.42,149.73
04/14/2026,150.87,"1,451,388",150.77,153.26,150.47
04/13/2026,149.97,"1,490,750",148.94,150.58,147.7
04/10/2026,150.3,"1,338,556",152.73,153.415,147.98
04/09/2026,152.62,"1,372,718",150.1,154.48,149.27
04/08/2026,150.57,"1,945,191",147.08,152.12,147.08
04/07/2026,140.2,"1,708,587",141.7,142.55,138.2
04/06/2026,143.7,"1,568,362",140.09,143.81,140.05
04/02/2026,141.2,"1,183,909",139.75,145.195,139.13
04/01/2026,144.35,"1,696,552",142.72,146.02,141.39
03/31/2026,141.11,"1,782,912",139.69,143.06,138.23
03/30/2026,136.92,"1,572,165",140.96,141.58,136.44
03/27/2026,138.84,"1,601,999",140.0,142.04,137.33
03/26/2026,141.41,"1,866,896",145.16,147.46,141.335
03/25/2026,146.18,"1,469,139",146.18,149.53,145.22
03/24/2026,144.02,"1,669,952",142.92,144.18,139.92
03/23/2026,144.42,"1,844,704",144.31,148.35,143.26
03/20/2026,140.88,"4,943,638",142.2,143.16,138.37
03/19/2026,142.8,"1,697,419",138.86,143.26,137.27
03/18/2026,140.29,"1,562,135",142.51,143.77,140.03
03/17/2026,143.16,"1,162,667",143.13,144.41,142.715
03/16/2026,141.78,"1,527,727",144.06,146.94,141.48
03/13/2026,142.1,"1,505,050",143.535,145.45,141.98
03/12/2026,142.67,"2,096,727",143.36,145.275,141.5801
03/11/2026,145.42,"2,586,964",147.52,149.43,145.23
03/10/2026,148.27,"2,276,158",145.66,151.87,144.8
03/09/2026,145.5,"2,253,535",140.55,145.7,137.85
03/06/2026,144.15,"1,772,065",146.33,147.65,143.42
03/05/2026,149.6,"2,720,697",153.82,154.585,147.19
03/04/2026,156.91,"1,981,182",155.65,157.8,154.615
03/03/2026,154.42,"2,023,479",151.9,156.25,150.15
03/02/2026,156.42,"2,258,784",151.86,157.24,150.65
02/27/2026,155.47,"3,056,676",157.79,158.2,154.25
02/26/2026,160.49,"3,027,281",159.52,161.97,159.095
02/25/2026,156.92,"2,294,954",154.86,157.0,153.66
02/24/2026,154.51,"1,669,098",152.6,155.79,151.95
02/23/2026,152.97,"2,423,016",154.1,155.3,149.64
02/20/2026,157.09,"2,291,048",151.82,157.91,151.01
02/19/2026,152.3,"1,327,471",153.87,154.57,151.695
02/18/2026,155.0,"1,610,756",152.49,156.04,151.6
02/17/2026,153.85,"2,065,784",154.0,156.8,151.89
02/13/2026,153.8,"2,937,920",154.49,155.51,150.0
02/12/2026,152.66,"2,400,774",155.75,158.28,151.75
02/11/2026,154.67,"3,341,014",156.54,158.2,153.17
02/10/2026,153.18,"2,978,609",155.62,156.9999,151.79
02/09/2026,154.65,"2,904,317",151.49,155.23,149.44
02/06/2026,152.1,"3,250,375",145.43,153.13,144.375
02/05/2026,143.19,"6,513,788",137.83,145.42,134.11
02/04/2026,129.92,"4,477,615",127.93,130.69,124.31
02/03/2026,127.03,"1,925,488",130.54,131.0,126.06
02/02/2026,129.67,"2,784,464",127.41,129.7,125.39
01/30/2026,126.91,"1,911,561",125.92,128.61,125.92
01/29/2026,127.33,"1,634,209",126.25,128.45,125.51
01/28/2026,126.0,"1,881,797",128.93,128.99,124.75
01/27/2026,127.54,"1,939,677",127.41,128.705,125.585
01/26/2026,126.18,"2,207,363",129.32,130.4,126.0
01/23/2026,130.04,"2,033,629",129.16,130.57,128.2101
01/22/2026,129.52,"2,786,885",132.64,133.3,128.69
01/21/2026,132.24,"1,974,373",131.09,133.005,130.01
01/20/2026,129.16,"2,810,144",129.14,133.72,128.16
01/16/2026,130.69,"2,214,713",132.52,133.585,130.66
01/15/2026,133.06,"1,757,216",133.54,135.97,132.455
01/14/2026,133.17,"1,791,796",133.4,134.37,132.18
01/13/2026,134.38,"2,556,292",133.29,135.65,132.66
01/12/2026,133.7,"1,556,270",133.3,135.06,131.46
01/09/2026,134.35,"1,669,342",134.04,136.04,133.1101
01/08/2026,133.52,"2,098,153",130.88,134.22,129.81
01/07/2026,130.97,"2,105,541",132.55,133.46,129.86
01/06/2026,133.18,"3,282,405",128.23,133.985,128.06
01/05/2026,128.53,"2,907,516",129.65,130.695,128.07
