date,close,volume,open,high,low
05/15/2026,271.99,"1,838,030",267.16,273.105,267.16
05/14/2026,267.48,"1,069,504",263.94,268.02,261.925
05/13/2026,263.29,"1,531,667",256.5,263.38,252.18
05/12/2026,255.16,"1,036,941",255.16,257.36,252.11
05/11/2026,253.18,"1,062,902",249.63,255.94,248.29
05/08/2026,248.12,"1,438,574",252.16,253.63,247.42
05/07/2026,252.44,"1,636,937",244.55,254.875,241.86
05/06/2026,249.5,"1,481,846",253.31,253.81,246.99
05/05/2026,259.72,"941,351",256.68,261.95,255.11
05/04/2026,258.98,"978,142",254.08,259.025,252.28
05/01/2026,254.28,"1,027,547",258.09,259.76,251.965
04/30/2026,260.08,"1,409,582",247.52,260.49,247.43
04/29/2026,250.14,"1,426,479",250.0,250.935,248.06
04/28/2026,248.37,"1,065,132",245.09,248.91,244.265
04/27/2026,241.29,"1,351,747",241.35,243.01,239.99
04/24/2026,240.69,"565,654",238.94,240.81,236.89
04/23/2026,239.91,"864,525",238.52,241.4,235.88
04/22/2026,236.73,"1,060,543",235.0,236.8,234.145
04/21/2026,232.65,"1,460,827",233.66,234.55,230.38
04/20/2026,231.51,"1,412,174",233.85,235.72,230.39
04/17/2026,235.5,"2,106,802",235.92,236.59,231.0001
04/16/2026,239.81,"858,285",237.88,242.0075,236.77
04/15/2026,238.75,"895,705",237.19,240.61,236.47
04/14/2026,239.28,"1,014,051",238.72,240.51,233.6
04/13/2026,240.51,"1,178,339",244.79,245.72,238.21
04/10/2026,243.09,"1,215,690",242.78,244.565,238.39
04/09/2026,244.75,"1,303,868",244.73,250.72,243.0119
04/08/2026,244.0,"1,850,295",237.35,244.56,234.22
04/07/2026,250.98,"1,069,956",247.06,253.87,245.87
04/06/2026,245.65,"927,926",242.71,246.75,242.61
04/02/2026,244.39,"1,223,464",248.74,250.31,243.24
04/01/2026,244.79,"1,975,909",245.76,249.305,241.82
03/31/2026,250.73,"2,502,527",250.16,252.69,245.68
03/30/2026,248.09,"1,601,957",251.35,252.32,246.38
03/27/2026,250.23,"1,195,031",247.65,253.4,247.65
