date,close,volume,open,high,low
05/15/2026,55.13,"2,356,659",55.83,56.18,54.84
05/14/2026,55.76,"3,291,830",55.46,56.305,54.99
05/13/2026,54.9,"2,374,880",56.34,56.8627,54.5975
05/12/2026,56.51,"2,573,387",58.13,58.265,56.355
05/11/2026,58.04,"2,618,676",60.4,60.68,57.28
05/08/2026,60.8,"3,066,495",61.63,61.96,59.845
05/07/2026,61.85,"3,707,238",64.7,64.915,61.6
05/06/2026,63.42,"4,417,127",69.79,69.79,63.23
05/05/2026,68.37,"1,659,318",68.58,69.13,67.69
05/04/2026,68.52,"1,743,731",68.18,69.06,67.885
05/01/2026,68.42,"2,028,238",68.57,68.9,66.76
04/30/2026,67.32,"1,698,560",66.18,67.39,65.64
04/29/2026,66.28,"1,267,173",66.2,66.54,65.825
04/28/2026,66.64,"1,691,616",67.3,67.98,66.475
04/27/2026,67.17,"1,627,735",67.23,67.9,66.49
04/24/2026,67.35,"1,292,330",67.29,67.57,66.5759
04/23/2026,67.04,"1,484,066",68.02,68.29,65.84
04/22/2026,69.09,"1,121,593",69.38,70.04,68.63
04/21/2026,68.97,"1,481,894",69.56,70.8,68.9
04/20/2026,69.5,"1,105,609",68.74,69.82,68.46
04/17/2026,69.29,"1,520,032",69.55,70.14,68.91
04/16/2026,67.67,"1,576,858",67.01,67.79,66.7201
04/15/2026,66.79,"1,463,751",66.51,67.49,66.145
04/14/2026,66.51,"1,563,240",66.94,67.915,65.71
04/13/2026,66.89,"1,940,556",64.58,67.0,64.37
04/10/2026,64.77,"1,640,022",65.42,65.53,63.77
04/09/2026,65.42,"1,565,717",66.095,66.13,64.25
04/08/2026,66.74,"1,589,506",67.0,67.73,66.68
04/07/2026,64.21,"2,029,888",64.58,65.03,63.46
04/06/2026,65.07,"1,261,039",65.07,65.47,64.64
04/02/2026,65.12,"1,268,441",64.01,66.31,63.74
04/01/2026,65.08,"1,870,615",65.62,65.91,63.97
03/31/2026,65.23,"1,807,803",63.005,65.435,62.74
03/30/2026,62.54,"2,366,080",63.71,64.1365,62.01
03/27/2026,62.97,"1,671,395",64.59,65.38,62.695
03/26/2026,65.45,"1,420,446",65.4,66.65,65.14
03/25/2026,65.87,"1,417,274",66.21,66.75,64.5
03/24/2026,65.38,"2,191,484",65.99,65.99,64.5901
03/23/2026,66.83,"2,078,092",67.28,67.99,66.79
03/20/2026,65.71,"3,673,763",66.51,66.51,65.07
03/19/2026,66.68,"2,178,938",64.94,67.215,64.74
03/18/2026,65.53,"2,391,442",66.43,66.98,65.24
03/17/2026,67.09,"1,130,094",67.06,68.42,66.425
03/16/2026,66.6,"1,377,358",67.32,67.9899,66.4
03/13/2026,66.465,"1,412,342",66.51,67.165,65.57
03/12/2026,66.16,"2,170,105",66.73,67.797,65.74
03/11/2026,67.6,"1,540,549",68.92,69.665,67.135
03/10/2026,68.99,"1,431,566",70.45,70.73,67.921
03/09/2026,70.45,"1,800,688",69.23,70.76,67.9342
03/06/2026,70.08,"2,014,849",68.97,70.33,68.78
03/05/2026,70.46,"1,946,324",69.22,70.82,69.07
03/04/2026,69.92,"1,579,340",69.41,70.07,69.07
03/03/2026,69.16,"2,370,039",66.86,69.335,66.44
03/02/2026,68.41,"2,354,310",65.54,68.54,65.54
02/27/2026,66.87,"2,277,977",67.02,67.27,65.1501
02/26/2026,68.23,"1,657,620",67.63,68.27,66.86
02/25/2026,67.14,"1,276,833",67.11,67.77,66.215
02/24/2026,66.74,"1,469,476",65.48,67.385,65.29
02/23/2026,65.42,"1,830,641",67.01,67.19,64.85
02/20/2026,67.62,"1,472,702",67.04,69.05,66.95
02/19/2026,67.39,"1,498,924",66.36,67.44,65.98
02/18/2026,66.91,"1,766,598",65.64,67.39,65.62
02/17/2026,65.63,"2,879,681",65.56,66.42,64.5
02/13/2026,66.4,"2,889,738",66.25,67.47,65.875
02/12/2026,66.01,"3,542,339",65.74,67.86,65.13
02/11/2026,65.13,"3,532,338",68.85,69.23,64.81
02/10/2026,68.88,"4,569,547",65.41,69.04,64.75
02/09/2026,66.93,"2,177,916",65.78,67.503,65.37
02/06/2026,66.15,"1,991,100",65.11,66.33,64.575
02/05/2026,63.98,"2,034,141",64.64,65.31,63.52
02/04/2026,65.04,"4,084,279",63.9,65.67,63.655
02/03/2026,64.62,"2,614,768",67.88,68.075,64.045
02/02/2026,67.88,"2,325,727",68.1,68.795,67.535
01/30/2026,67.6,"2,490,702",67.9,68.26,67.03
01/29/2026,68.37,"3,846,949",69.84,70.5,67.26
01/28/2026,70.07,"2,122,956",70.21,70.635,69.81
01/27/2026,70.01,"1,805,197",71.55,71.77,69.97
01/26/2026,71.38,"1,719,240",71.32,71.92,71.0
01/23/2026,71.19,"1,847,832",71.15,71.62,70.67
01/22/2026,71.48,"2,271,485",70.7,71.71,70.51
01/21/2026,70.24,"2,969,986",70.22,71.2,69.26
01/20/2026,69.59,"3,594,910",72.4,72.9682,69.51
01/16/2026,73.89,"3,318,574",78.46,78.83,73.52
01/15/2026,78.57,"1,724,551",80.17,80.425,78.47
01/14/2026,79.76,"1,210,841",80.11,80.45,78.8881
01/13/2026,80.24,"1,277,154",80.88,81.61,79.695
01/12/2026,80.8,"880,992",80.07,81.22,79.68
01/09/2026,80.61,"1,163,548",79.56,80.82,79.56
01/08/2026,79.51,"1,490,231",79.72,80.15,79.1
01/07/2026,80.18,"1,157,957",81.55,81.95,79.62
01/06/2026,81.55,"1,288,670",79.0,81.58,78.62
01/05/2026,79.27,"1,715,204",78.34,80.26,78.34
01/02/2026,78.33,"2,549,678",78.86,78.95,76.715
12/31/2025,78.35,"1,064,602",79.45,79.69,78.34
12/30/2025,79.56,"804,992",79.74,79.96,79.47
12/29/2025,79.99,"872,289",79.96,80.4799,79.59
12/26/2025,80.2,"603,047",79.9,80.44,79.68
12/24/2025,80.01,"513,218",80.66,80.71,79.92
12/23/2025,80.5,"1,598,809",81.75,82.17,80.47
12/22/2025,81.95,"924,965",81.09,82.29,80.965
12/19/2025,80.88,"3,079,769",79.68,81.38,79.68
12/18/2025,79.91,"1,611,771",79.83,80.685,79.38
12/17/2025,78.89,"1,568,768",80.45,80.88,78.375
12/16/2025,80.5,"1,175,659",80.45,81.34,79.84
12/15/2025,80.17,"1,243,087",80.73,81.31,80.01
12/12/2025,80.26,"1,268,073",83.49,83.65,80.04
12/11/2025,83.34,"961,615",81.94,83.37,81.41
12/10/2025,82.46,"1,029,804",81.05,82.93,80.9925
12/09/2025,81.44,"1,033,290",81.39,82.4,81.31
12/08/2025,81.77,"1,388,958",83.42,83.91,81.34
12/05/2025,83.52,"1,204,224",83.82,84.42,82.88
12/04/2025,82.3,"1,410,967",82.19,83.31,82.03
12/03/2025,82.335,"1,305,255",82.28,82.945,81.425
12/02/2025,82.23,"1,105,525",81.97,82.72,81.27
12/01/2025,81.67,"1,150,147",80.52,82.2799,79.97
11/28/2025,81.42,"445,973",81.8,81.99,81.17
11/26/2025,81.27,"1,024,147",80.87,82.07,80.62
11/25/2025,80.85,"1,168,086",79.5,81.66,79.39
11/24/2025,79.055,"2,446,148",77.19,79.435,77.12
11/21/2025,77.03,"1,255,079",74.94,77.3799,74.5
11/20/2025,74.82,"993,955",77.63,78.0,74.66
11/19/2025,75.76,"898,683",75.35,76.52,75.255
11/18/2025,75.42,"1,232,248",75.23,76.075,74.77
11/17/2025,75.55,"1,263,528",76.83,77.37,75.28
11/14/2025,77.56,"1,189,970",76.55,78.085,75.58
11/13/2025,77.02,"1,488,079",81.5,82.55,76.83
11/12/2025,82.19,"1,717,027",79.98,82.6,79.74
11/11/2025,79.58,"840,027",79.5,80.19,79.17
11/10/2025,79.7,"1,302,791",79.54,80.33,79.09
11/07/2025,78.9,"1,096,692",78.57,79.39,77.83
11/06/2025,78.82,"1,573,017",81.0,81.21,78.1053
11/05/2025,80.57,"2,161,753",76.33,81.53,75.0001
11/04/2025,78.6,"1,831,031",78.88,79.27,77.9
11/03/2025,79.57,"1,547,160",79.8,79.94,78.62
10/31/2025,79.75,"1,375,996",78.91,80.51,78.82
10/30/2025,78.87,"1,180,168",79.29,80.445,78.64
10/29/2025,79.39,"1,523,342",80.25,80.94,78.82
10/28/2025,80.5,"1,496,039",81.12,81.62,80.345
10/27/2025,81.12,"1,087,257",82.22,82.465,80.5
10/24/2025,81.42,"1,003,271",81.98,82.19,81.11
10/23/2025,80.7,"1,717,350",79.22,81.15,78.5
10/22/2025,79.1,"1,614,230",79.44,80.315,78.585
10/21/2025,79.65,"811,032",78.58,80.01,78.28
10/20/2025,78.58,"1,398,725",78.14,79.03,77.55
10/17/2025,77.4,"818,039",77.9,78.25,76.8
10/16/2025,77.87,"978,378",78.96,79.105,77.425
10/15/2025,78.72,"875,988",79.24,79.66,77.64
10/14/2025,78.04,"1,073,764",75.65,78.645,75.4
10/13/2025,77.06,"759,285",76.65,77.4,76.28
10/10/2025,75.63,"955,948",79.37,79.54,75.47
10/09/2025,79.19,"931,656",80.4,80.55,78.67
10/08/2025,80.47,"1,003,144",79.73,81.05,79.425
10/07/2025,79.3,"1,126,668",81.38,81.38,79.045
10/06/2025,80.81,"890,739",80.99,81.54,80.33
10/03/2025,80.72,"1,158,780",80.65,81.3299,80.325
10/02/2025,80.21,"1,488,143",79.64,80.36,79.27
10/01/2025,79.41,"2,293,822",81.06,81.09,78.81
09/30/2025,81.65,"1,224,902",81.8,82.28,80.72
09/29/2025,81.95,"2,092,999",82.0,82.48,81.55
09/26/2025,81.24,"1,043,864",80.3,81.34,79.81
09/25/2025,79.98,"1,287,557",79.07,80.09,78.28
09/24/2025,79.88,"1,462,778",82.08,82.08,79.71
09/23/2025,82.04,"1,187,549",82.28,82.7202,81.21
09/22/2025,82.15,"1,167,924",82.61,82.615,80.78
09/19/2025,82.78,"2,726,713",82.47,83.18,81.51
09/18/2025,81.66,"1,363,549",80.11,81.8444,80.03
09/17/2025,79.64,"1,146,085",80.99,81.29,78.7716
09/16/2025,80.89,"1,191,067",80.9,81.2576,80.46
09/15/2025,81.01,"981,541",80.88,82.035,80.56
09/12/2025,80.88,"1,027,635",82.69,82.69,80.46
09/11/2025,82.85,"1,773,942",80.76,83.68,80.44
09/10/2025,80.16,"1,428,086",80.06,81.14,79.7
09/09/2025,80.06,"1,086,686",81.31,81.49,79.78
09/08/2025,81.29,"1,131,689",81.05,81.36,80.3
09/05/2025,80.74,"1,332,332",80.02,80.96,79.51
09/04/2025,79.71,"1,217,064",78.95,79.735,78.37
09/03/2025,78.6,"1,513,869",78.18,78.64,77.88
09/02/2025,78.57,"1,938,160",79.64,80.25,78.22
08/29/2025,80.82,"1,210,115",82.16,82.19,80.63
08/28/2025,82.21,"957,261",82.41,82.81,82.16
08/27/2025,82.18,"1,245,055",81.55,82.31,81.45
08/26/2025,81.44,"3,727,628",81.38,81.63,80.57
08/25/2025,81.43,"949,087",82.44,82.94,81.38
08/22/2025,82.58,"880,384",80.91,83.03,80.55
08/21/2025,80.27,"1,032,895",79.84,80.48,79.455
08/20/2025,80.2,"1,449,333",81.12,81.12,78.785
08/19/2025,81.12,"2,139,508",82.88,83.66,80.92
08/18/2025,82.8,"1,445,201",81.71,82.85,81.221
08/15/2025,82.24,"2,024,644",83.74,83.74,81.89
08/14/2025,83.67,"1,283,877",84.12,84.12,83.235
08/13/2025,84.47,"1,569,705",83.87,84.545,83.44
08/12/2025,83.61,"1,554,669",82.93,83.65,82.06
08/11/2025,82.59,"1,728,570",83.77,84.64,82.37
08/08/2025,83.77,"2,390,756",83.19,84.6508,82.29
08/07/2025,82.52,"2,236,698",85.04,85.42,81.845
08/06/2025,84.13,"3,352,384",86.165,87.5,81.42
08/05/2025,82.7,"2,127,689",84.25,84.29,82.11
08/04/2025,84.25,"1,876,391",83.26,84.37,82.485
08/01/2025,82.64,"2,156,382",82.49,82.74,80.23
07/31/2025,83.89,"2,034,532",85.08,85.99,83.63
07/30/2025,85.19,"2,541,594",84.84,85.84,84.37
07/29/2025,84.69,"1,905,643",85.22,85.86,83.75
07/28/2025,85.07,"2,783,891",85.31,86.42,84.65
07/25/2025,85.24,"1,873,939",84.54,85.3,84.07
07/24/2025,84.19,"1,585,753",83.22,84.31,82.57
07/23/2025,83.62,"2,837,154",82.34,83.81,82.3
07/22/2025,82.52,"1,775,714",80.56,82.655,80.27
07/21/2025,81.43,"2,088,661",82.04,82.25,81.21
07/18/2025,82.04,"1,597,191",82.44,82.44,81.69
07/17/2025,82.02,"1,517,884",80.47,82.135,80.03
07/16/2025,80.67,"1,376,773",79.93,80.78,79.14
07/15/2025,79.47,"1,623,831",80.61,80.63,79.42
07/14/2025,80.2,"944,243",79.91,80.3168,79.44
07/11/2025,79.99,"1,207,091",80.19,80.38,79.68
07/10/2025,80.83,"1,546,866",79.88,81.66,79.41
07/09/2025,79.62,"1,319,487",79.8,79.8,78.22
07/08/2025,79.32,"2,027,972",78.86,79.58,78.8307
07/07/2025,78.63,"1,269,841",78.2,79.3159,78.05
07/03/2025,78.875,"805,580",78.05,78.99,77.89
07/02/2025,77.86,"1,004,436",76.49,77.885,76.26
07/01/2025,76.46,"3,098,804",75.49,77.06,75.31
06/30/2025,75.98,"1,543,136",75.71,76.35,75.125
06/27/2025,75.65,"2,107,888",75.12,75.8334,74.8
06/26/2025,75.03,"988,444",74.5,75.28,74.03
06/25/2025,74.12,"1,156,689",73.88,74.33,73.38
06/24/2025,73.71,"1,006,016",73.211,73.82,72.84
06/23/2025,72.71,"898,044",71.62,72.74,71.18
06/20/2025,71.81,"3,786,593",72.05,72.21,71.11
06/18/2025,71.7,"1,129,237",71.83,72.48,71.58
06/17/2025,71.76,"916,473",72.18,72.82,71.5
06/16/2025,72.88,"1,479,256",71.68,73.1558,71.55
06/13/2025,71.08,"753,244",71.1,72.12,70.01
06/12/2025,72.36,"645,822",72.37,72.83,71.94
06/11/2025,72.54,"1,241,222",73.16,73.5,72.37
06/10/2025,72.8,"943,638",72.47,72.99,72.22
06/09/2025,72.36,"894,426",72.57,72.7,72.12
06/06/2025,72.22,"914,300",72.0,72.36,70.57
06/05/2025,71.16,"1,243,950",71.82,71.93,70.75
06/04/2025,71.67,"1,289,659",72.25,72.25,71.14
06/03/2025,71.72,"1,511,251",70.87,72.2,70.65
06/02/2025,70.84,"1,518,998",70.94,71.27,69.79
05/30/2025,71.27,"2,798,392",71.3,71.54,70.47
05/29/2025,71.66,"991,512",71.53,71.78,71.04
05/28/2025,71.51,"984,630",72.0,72.225,71.41
05/27/2025,71.92,"1,588,530",71.53,72.2,70.8947
05/23/2025,70.55,"929,222",69.52,70.79,69.33
05/22/2025,70.79,"864,662",70.54,71.24,70.15
05/21/2025,70.76,"868,433",71.69,72.3,70.563
05/20/2025,72.31,"1,566,578",71.54,72.39,71.5
05/19/2025,71.69,"985,125",70.73,71.87,70.73
05/16/2025,71.89,"1,025,547",71.24,72.04,70.825
05/15/2025,71.24,"791,707",71.16,71.66,70.7382
05/14/2025,71.27,"1,324,870",71.53,72.24,70.9559
05/13/2025,71.25,"1,278,603",70.6,71.84,70.6
05/12/2025,70.54,"1,876,840",71.65,71.97,70.4
05/09/2025,68.12,"1,729,320",67.93,68.305,67.395
05/08/2025,67.38,"2,481,045",67.03,68.01,66.205
05/07/2025,66.3,"3,181,471",63.45,66.835,62.0
05/06/2025,63.32,"1,216,281",63.33,64.02,62.93
05/05/2025,64.09,"1,027,970",63.79,64.7,63.79
05/02/2025,64.59,"1,160,221",63.76,64.7,63.4
05/01/2025,62.54,"1,131,249",62.68,63.445,62.09
04/30/2025,62.14,"1,702,111",60.61,62.3,60.18
04/29/2025,61.95,"1,146,375",61.17,62.26,60.89
04/28/2025,61.45,"1,438,381",61.81,62.49,60.775
04/25/2025,61.71,"844,042",61.18,62.02,61.09
04/24/2025,61.65,"1,251,005",59.6,61.73,59.6
04/23/2025,59.51,"1,228,037",60.16,61.75,59.295
04/22/2025,58.01,"1,291,239",56.99,58.2385,56.3301
04/21/2025,56.22,"820,438",57.53,57.71,55.55
04/17/2025,58.23,"1,252,181",58.96,58.96,57.99
04/16/2025,58.28,"1,163,886",58.55,59.015,57.43
04/15/2025,59.59,"994,919",59.52,60.26,59.2381
04/14/2025,59.49,"1,204,524",59.51,60.13,58.5735
04/11/2025,58.22,"1,759,059",57.45,58.54,56.19
04/10/2025,58.04,"1,791,563",58.66,59.395,56.2
04/09/2025,61.49,"2,375,293",54.3,62.0,53.63
04/08/2025,55.12,"1,697,714",58.19,58.7263,54.16
04/07/2025,56.02,"4,607,741",54.97,58.32,52.91
04/04/2025,56.51,"1,922,292",58.01,58.5,55.45
04/03/2025,60.28,"1,812,174",63.58,63.58,59.44
04/02/2025,66.51,"1,289,872",64.47,66.82,64.47
04/01/2025,65.38,"1,955,847",65.08,65.75,64.18
03/31/2025,65.65,"1,704,769",64.69,65.94,63.76
03/28/2025,65.52,"1,409,575",67.88,67.945,65.34
