date,close,volume,open,high,low
05/15/2026,299.76,"1,568,739",298.465,302.1098,297.22
05/14/2026,298.29,"1,990,799",296.91,299.76,296.54
05/13/2026,295.02,"1,363,810",296.68,299.58,291.83
05/12/2026,298.26,"1,178,996",298.16,301.17,296.56
05/11/2026,297.13,"1,174,889",299.38,300.54,295.27
05/08/2026,298.04,"900,778",299.91,300.415,296.595
05/07/2026,298.94,"1,205,929",300.29,304.6578,297.8543
05/06/2026,301.59,"1,120,398",302.46,305.47,300.78
05/05/2026,301.35,"935,985",301.3,303.72,300.51
05/04/2026,301.53,"1,071,391",303.5,307.37,301.21
05/01/2026,304.72,"1,093,685",307.05,310.41,304.71
04/30/2026,305.14,"1,560,243",300.77,305.9575,300.54
04/29/2026,302.25,"1,826,608",309.38,310.0,301.11
04/28/2026,310.02,"1,200,309",307.87,311.58,305.855
04/27/2026,303.74,"1,421,969",301.23,307.45,301.0
04/24/2026,302.73,"1,694,386",306.62,307.33,302.105
04/23/2026,307.33,"1,188,191",303.43,308.0999,303.12
04/22/2026,301.68,"1,573,752",300.1,302.04,298.57
04/21/2026,301.42,"2,234,071",301.46,302.76,298.58
04/20/2026,300.78,"1,833,508",301.0,306.195,300.32
04/17/2026,300.81,"2,374,800",298.39,305.09,298.2
04/16/2026,298.84,"1,555,862",296.14,299.31,292.4
04/15/2026,299.33,"1,538,356",299.34,302.45,298.475
04/14/2026,299.59,"1,185,886",299.48,301.6299,298.27
04/13/2026,301.31,"913,042",296.45,301.9,296.04
04/10/2026,297.26,"1,408,458",302.04,302.26,295.62
04/09/2026,303.23,"1,302,248",299.47,306.26,298.05
04/08/2026,301.59,"1,232,298",298.37,301.65,292.48
04/07/2026,295.05,"923,159",295.03,297.445,292.68
04/06/2026,295.55,"896,550",292.93,295.65,290.83
04/02/2026,293.99,"924,117",291.08,294.75,290.08
04/01/2026,290.53,"1,463,948",290.96,292.81,288.52
03/31/2026,291.68,"1,282,065",294.69,295.53,287.69
03/30/2026,291.82,"1,390,416",287.68,293.13,286.1501
03/27/2026,285.27,"807,918",291.44,292.05,284.66
03/26/2026,291.13,"1,158,355",290.16,293.01,289.16
03/25/2026,290.59,"1,412,413",294.61,296.0,289.58
03/24/2026,293.01,"1,250,146",295.37,297.34,292.11
03/23/2026,295.52,"1,361,065",300.92,301.775,294.5
03/20/2026,296.6,"4,429,902",296.49,299.77,295.03
03/19/2026,296.84,"1,414,730",299.82,300.88,294.63
03/18/2026,299.25,"1,269,318",305.19,306.0,299.03
03/17/2026,306.33,"1,271,262",308.27,308.98,305.93
