date,close,volume,open,high,low
05/15/2026,466.6,"1,060,412",473.96,473.96,464.8739
05/14/2026,481.67,"746,638",473.3,481.98,470.85
05/13/2026,471.02,"1,481,270",469.95,475.1499,466.0
05/12/2026,467.66,"1,427,582",473.77,473.83,464.045
05/11/2026,476.5,"1,525,449",467.75,478.82,466.116
05/08/2026,466.17,"1,177,816",472.5,474.295,465.71
05/07/2026,469.81,"1,568,178",488.8,491.61,468.32
05/06/2026,488.18,"1,828,776",483.51,490.37,478.2
05/05/2026,477.45,"1,576,455",490.55,492.215,472.35
05/04/2026,486.5,"1,287,783",484.49,486.78,480.13
05/01/2026,486.48,"1,082,105",494.95,501.19,485.16
04/30/2026,492.54,"2,213,629",491.38,503.47,479.88
04/29/2026,479.37,"1,595,701",483.13,489.07,478.56
04/28/2026,480.75,"1,373,944",481.71,484.76,475.82
04/27/2026,485.9,"1,401,857",490.12,493.69,483.58
04/24/2026,486.42,"938,565",485.53,489.0,482.955
04/23/2026,485.53,"1,256,951",481.32,490.15,477.01
04/22/2026,477.19,"1,201,603",479.43,487.075,474.755
04/21/2026,479.12,"1,033,673",480.0,484.9,476.29
04/20/2026,477.24,"745,216",475.31,479.145,472.97
04/17/2026,476.11,"1,416,142",463.61,480.51,461.57
04/16/2026,460.27,"1,302,994",463.82,465.45,457.12
04/15/2026,462.56,"1,510,267",466.87,468.355,452.25
04/14/2026,470.57,"1,342,910",475.08,475.25,466.4
04/13/2026,472.94,"1,168,030",466.0,473.09,463.39
04/10/2026,465.71,"1,258,703",463.72,469.88,459.884
04/09/2026,460.11,"1,160,793",448.84,461.28,448.42
04/08/2026,449.47,"1,087,479",448.91,454.885,446.87
04/07/2026,431.85,"1,085,332",428.5,432.6599,426.57
04/06/2026,430.89,"909,595",426.88,431.28,425.42
04/02/2026,427.07,"1,141,882",418.25,436.0,417.6956
04/01/2026,428.14,"1,454,115",422.97,431.235,420.72
03/31/2026,416.74,"1,436,992",405.11,419.82,405.11
03/30/2026,403.93,"1,716,659",414.34,415.1361,403.14
03/27/2026,410.23,"1,292,472",406.09,414.62,405.02
03/26/2026,407.13,"1,867,221",430.0,432.96,406.89
03/25/2026,434.0,"857,868",436.66,436.995,428.855
03/24/2026,430.08,"1,364,094",420.4,434.21,419.07
03/23/2026,424.94,"1,090,165",418.49,431.57,417.97
03/20/2026,410.36,"2,335,182",421.98,424.04,406.79
03/19/2026,423.03,"1,275,948",421.07,426.48,418.9217
03/18/2026,426.7,"991,711",426.47,432.39,425.01
03/17/2026,425.36,"1,432,619",423.98,427.12,418.14
03/16/2026,421.5,"1,540,994",427.24,428.44,418.125
03/13/2026,422.4,"1,262,142",427.95,430.46,416.95
03/12/2026,421.82,"1,181,238",427.28,429.1,420.76
03/11/2026,432.42,"667,712",431.74,433.38,427.03
03/10/2026,433.67,"1,727,771",428.08,437.52,425.97
03/09/2026,427.52,"1,639,069",417.345,428.18,413.93
03/06/2026,423.13,"1,400,065",426.37,426.37,419.9959
03/05/2026,436.36,"1,434,560",440.16,441.82,428.83
03/04/2026,445.05,"846,179",449.11,449.945,442.0
03/03/2026,445.83,"1,339,301",454.265,457.365,443.0
03/02/2026,466.17,"969,064",458.28,467.98,455.775
02/27/2026,462.32,"1,995,724",453.73,462.4,450.0
02/26/2026,457.14,"1,430,864",460.41,462.0,448.41
02/25/2026,460.02,"1,178,436",464.6,464.6,452.0101
02/24/2026,463.73,"1,551,683",460.5,464.79,457.0502
