date,close,volume,open,high,low
05/15/2026,242.44,"1,959,509",243.77,246.2399,240.29
05/14/2026,242.41,"3,667,000",239.5,246.2499,236.5001
05/13/2026,226.99,"1,660,548",224.93,228.95,221.73
05/12/2026,225.99,"1,785,621",224.36,228.79,221.7
05/11/2026,221.47,"2,060,955",221.41,224.9273,219.04
05/08/2026,220.45,"1,756,059",222.64,222.98,219.71
05/07/2026,223.5,"1,901,154",225.06,227.02,222.16
05/06/2026,222.0,"1,850,692",221.0,225.14,218.7008
05/05/2026,223.11,"1,310,291",226.0,226.4427,221.94
05/04/2026,225.18,"2,046,323",219.35,227.02,218.21
05/01/2026,216.03,"1,042,443",215.46,217.36,211.5845
04/30/2026,213.76,"1,430,807",213.48,215.5,211.33
04/29/2026,215.34,"1,028,008",212.59,215.92,209.51
04/28/2026,213.01,"929,308",213.05,215.79,211.26
04/27/2026,213.77,"1,533,257",209.23,216.35,208.75
04/24/2026,210.75,"1,101,844",210.99,211.0,207.8
04/23/2026,209.9,"1,587,851",215.01,215.01,206.45
04/22/2026,218.19,"1,246,534",219.09,221.22,216.68
04/21/2026,217.65,"1,166,004",218.0,219.865,215.73
04/20/2026,216.85,"1,384,276",212.14,216.95,210.78
04/17/2026,212.04,"1,792,384",217.92,218.7,211.72
04/16/2026,213.93,"1,383,970",216.73,217.05,212.745
04/15/2026,214.15,"1,952,039",207.66,215.37,206.58
04/14/2026,205.1,"1,730,988",202.52,207.84,202.26
04/13/2026,201.36,"2,078,839",197.48,202.19,196.01
04/10/2026,197.07,"1,533,057",197.4,199.21,194.51
04/09/2026,198.05,"1,494,150",201.01,201.21,197.59
04/08/2026,202.13,"1,646,865",202.82,205.11,201.13
04/07/2026,198.33,"1,247,536",195.84,198.63,193.94
04/06/2026,196.69,"1,406,014",199.8,199.9157,193.79
04/02/2026,199.87,"1,473,754",195.11,202.13,193.902
04/01/2026,198.2,"1,349,038",198.0,199.48,196.545
03/31/2026,197.5,"2,085,095",194.24,198.51,193.38
03/30/2026,193.08,"2,086,697",192.79,195.62,191.23
03/27/2026,189.69,"1,867,354",193.0,194.0,187.63
03/26/2026,194.72,"1,677,431",190.5,197.17,190.35
03/25/2026,193.05,"1,931,517",194.06,195.89,188.2275
03/24/2026,191.37,"2,465,176",199.57,199.92,191.0
03/23/2026,200.84,"1,875,860",201.34,203.44,199.19
03/20/2026,200.63,"3,698,629",200.71,202.39,198.02
03/19/2026,201.75,"1,626,306",203.4,206.38,199.55
03/18/2026,204.22,"1,497,487",204.8,208.9,203.62
03/17/2026,206.72,"1,587,559",209.06,213.0,206.44
03/16/2026,207.69,"2,130,108",209.46,212.02,207.45
03/13/2026,208.58,"1,633,770",209.33,210.35,203.9
03/12/2026,209.2,"1,351,925",210.68,212.81,208.17
03/11/2026,211.09,"1,869,308",209.13,211.64,207.5
03/10/2026,209.08,"1,877,769",214.77,216.0,207.8
03/09/2026,214.63,"1,876,667",208.69,214.84,208.009
03/06/2026,211.5,"1,587,398",210.815,212.46,208.69
03/05/2026,212.53,"2,112,584",213.09,216.17,210.815
03/04/2026,215.77,"2,471,005",217.92,219.45,211.32
03/03/2026,217.05,"2,367,209",209.78,221.08,208.51
03/02/2026,213.88,"1,966,833",209.002,215.96,208.78
02/27/2026,211.48,"2,234,881",210.305,213.68,209.37
02/26/2026,213.29,"2,231,344",207.76,214.15,207.75
02/25/2026,207.31,"2,416,646",204.85,207.98,202.84
02/24/2026,204.19,"1,982,500",194.77,204.51,192.6253
02/23/2026,195.59,"1,963,129",199.17,199.325,194.14
02/20/2026,199.72,"1,872,609",199.12,202.94,197.2
02/19/2026,201.37,"2,139,915",199.03,204.5975,198.75
02/18/2026,199.13,"1,931,048",194.73,200.09,193.89
02/17/2026,193.87,"2,161,142",193.65,196.83,191.88
02/13/2026,193.67,"2,575,441",191.9,194.6762,188.65
02/12/2026,190.36,"5,020,814",203.4,204.2,189.29
02/11/2026,203.89,"4,207,338",208.0,210.24,199.355
02/10/2026,210.71,"4,145,203",212.49,213.53,208.73
02/09/2026,205.03,"4,129,007",197.5,205.655,196.33
