date,close,volume,open,high,low
05/14/2026,308.17,"5,767,807",306.665,310.29,303.5
05/13/2026,306.34,"7,546,495",302.74,309.32,301.92
05/12/2026,295.17,"6,430,959",296.24,296.3,287.63
05/11/2026,297.76,"9,347,276",291.285,298.18,289.0
05/08/2026,287.8,"8,881,504",292.49,292.5,286.375
05/07/2026,285.24,"7,017,919",286.285,287.658,281.0
05/06/2026,289.44,"10,183,230",279.05,292.64,279.05
05/05/2026,281.0,"7,295,169",280.5,282.495,275.58
05/04/2026,280.89,"5,525,748",283.69,283.79,276.64
05/01/2026,281.02,"4,494,294",280.1,281.87,276.54
04/30/2026,281.08,"11,066,700",270.23,281.92,266.3379
04/29/2026,269.22,"7,821,433",269.625,272.44,267.56
04/28/2026,265.0,"8,369,429",267.49,270.69,264.235
04/27/2026,269.5,"9,962,692",276.17,277.02,267.63
04/24/2026,277.14,"13,943,550",287.83,287.83,272.01
04/23/2026,282.23,"25,659,070",260.31,284.12,259.31
04/22/2026,236.31,"11,463,140",236.405,238.8,234.49
04/21/2026,233.15,"6,833,327",234.5,236.0,230.64
04/20/2026,233.7,"6,123,287",232.57,233.97,230.02
04/17/2026,229.82,"7,091,684",228.26,230.53,224.67
04/16/2026,223.1,"6,709,030",216.72,224.02,216.72
04/15/2026,216.29,"4,459,624",217.56,218.305,211.7
04/14/2026,218.87,"5,495,242",217.19,219.49,214.35
04/13/2026,216.71,"4,630,516",213.945,217.2,212.11
04/10/2026,214.73,"4,267,957",216.38,217.315,213.92
04/09/2026,214.98,"5,499,062",212.565,215.93,210.88
04/08/2026,208.9,"7,454,593",206.645,209.86,206.16
04/07/2026,199.735,"4,658,952",198.51,200.38,195.463
04/06/2026,199.42,"4,235,605",196.99,199.56,195.9001
04/02/2026,194.87,"3,408,114",192.38,196.065,191.0
04/01/2026,196.3,"5,432,039",194.28,197.26,194.28
03/31/2026,194.14,"7,278,167",190.28,194.555,188.47
03/30/2026,186.42,"6,024,676",191.61,192.71,184.945
03/27/2026,190.33,"5,792,752",191.71,192.965,189.33
03/26/2026,193.41,"6,314,550",196.1,197.07,192.88
03/25/2026,196.77,"4,506,210",197.52,198.97,195.52
03/24/2026,194.63,"7,015,230",186.95,196.4,186.95
03/23/2026,188.63,"7,453,155",194.6,194.97,188.43
03/20/2026,187.19,"15,025,200",188.52,190.33,185.84
03/19/2026,188.29,"5,868,135",187.765,190.0,184.9
03/18/2026,190.78,"5,069,242",194.44,195.54,189.99
03/17/2026,194.45,"3,385,327",195.865,196.43,193.77
03/16/2026,194.13,"4,754,851",194.32,196.26,192.43
03/13/2026,190.78,"3,688,423",191.47,193.75,190.14
03/12/2026,190.05,"8,156,760",193.65,194.76,189.75
03/11/2026,198.67,"4,996,834",198.58,201.43,197.49
03/10/2026,197.46,"5,929,153",195.64,200.18,195.45
03/09/2026,196.2,"7,597,885",192.75,197.16,189.68
03/06/2026,193.23,"7,220,588",192.5,195.05,191.1501
03/05/2026,197.98,"8,053,739",200.91,201.94,194.765
03/04/2026,202.39,"5,451,504",204.36,205.31,201.5
03/03/2026,202.67,"7,496,468",205.89,206.5699,201.755
03/02/2026,209.82,"6,811,320",211.04,211.47,207.31
02/27/2026,212.11,"8,275,221",211.23,212.63,208.25
02/26/2026,212.63,"6,041,537",214.45,216.09,210.15
02/25/2026,213.9,"6,997,258",214.4,215.9,210.23
02/24/2026,213.35,"9,494,346",220.72,224.17,209.59
02/23/2026,219.86,"7,877,434",218.9,222.79,218.9
02/20/2026,219.73,"5,457,860",216.74,220.2,216.53
02/19/2026,218.05,"5,002,233",221.15,222.04,217.42
02/18/2026,223.32,"6,668,107",229.88,230.0,221.36
02/17/2026,225.69,"5,454,801",226.53,228.4513,222.81
02/13/2026,226.16,"5,011,904",221.665,226.885,221.54
02/12/2026,223.0,"8,474,705",226.68,229.5,221.87
02/11/2026,226.56,"9,132,636",223.125,231.32,223.125
02/10/2026,220.92,"5,100,983",216.83,222.08,216.13
02/09/2026,218.77,"9,246,720",221.26,222.155,218.24
02/06/2026,221.44,"9,397,495",225.63,226.76,218.585
02/05/2026,223.98,"11,044,160",221.65,225.82,218.895
02/04/2026,222.92,"14,542,520",222.125,228.29,218.66
02/03/2026,225.21,"15,207,640",224.24,228.83,222.7
02/02/2026,225.01,"11,194,870",215.435,225.26,214.84
01/30/2026,215.55,"9,086,826",216.06,216.46,213.055
01/29/2026,218.97,"14,120,030",216.4,222.0,214.82
01/28/2026,216.17,"19,603,430",203.86,216.585,203.72
01/27/2026,196.63,"10,748,760",194.69,198.41,194.34
01/26/2026,196.59,"9,169,319",193.31,196.84,192.44
01/23/2026,193.31,"6,691,594",195.76,196.41,191.13
01/22/2026,194.99,"7,264,015",197.3,199.43,193.68
01/21/2026,194.41,"7,272,013",191.45,196.13,191.255
01/20/2026,189.59,"9,516,622",190.235,192.43,187.95
01/16/2026,191.58,"6,944,802",190.23,192.47,190.07
01/15/2026,189.12,"6,942,637",194.93,196.64,188.77
01/14/2026,193.45,"7,988,801",187.5,193.61,187.44
01/13/2026,188.53,"4,134,955",189.28,189.75,187.65
01/12/2026,189.07,"6,502,635",188.845,190.82,188.0
01/09/2026,190.31,"6,018,399",188.8,191.4,187.51
01/08/2026,188.45,"6,857,271",182.83,189.075,182.55
01/07/2026,185.71,"8,341,310",188.47,190.72,184.49
01/06/2026,192.1,"13,219,420",180.09,192.92,180.09
01/05/2026,177.17,"6,754,967",178.02,182.89,176.89
01/02/2026,177.52,"6,133,904",174.965,178.89,174.91
12/31/2025,173.49,"3,426,949",175.8,176.1835,173.44
12/30/2025,175.42,"3,904,625",175.95,176.473,175.25
12/29/2025,175.69,"4,163,229",176.51,177.65,175.1
12/26/2025,176.88,"3,191,074",177.72,178.52,176.43
12/24/2025,177.13,"1,266,543",177.34,178.02,176.795
12/23/2025,177.08,"3,500,282",178.27,178.6075,176.68
12/22/2025,178.82,"5,373,131",179.49,179.9,177.97
12/19/2025,176.29,"19,091,990",175.72,178.24,175.59
12/18/2025,176.19,"8,546,191",176.8,178.9,175.9
12/17/2025,174.49,"8,865,582",177.87,179.64,173.69
12/16/2025,177.56,"5,747,229",178.34,179.03,176.0
12/15/2025,177.97,"9,037,502",175.35,179.36,174.0
12/12/2025,179.42,"5,980,928",181.79,183.2299,178.65
12/11/2025,181.67,"4,838,019",180.28,182.02,179.18
12/10/2025,181.67,"5,268,874",177.83,182.72,177.5
12/09/2025,179.52,"3,760,433",179.91,181.8832,179.4
12/08/2025,180.94,"6,427,635",183.51,183.7,179.53
12/05/2025,182.54,"6,584,808",180.87,184.76,180.625
12/04/2025,180.12,"6,724,123",183.24,183.91,178.94
12/03/2025,182.6,"9,259,328",176.82,183.0,175.58
12/02/2025,175.26,"9,438,916",168.705,177.88,168.01
12/01/2025,168.16,"6,170,793",166.84,169.665,166.5301
11/28/2025,168.27,"4,018,060",166.04,169.25,165.42
11/26/2025,165.35,"7,346,304",162.32,167.04,162.05
11/25/2025,161.77,"7,406,909",159.72,161.95,158.69
11/24/2025,161.26,"9,466,495",159.715,162.7,158.97
11/21/2025,159.4,"11,711,260",153.42,161.16,153.41
11/20/2025,153.33,"7,890,920",158.16,159.25,152.73
11/19/2025,157.09,"5,568,523",156.57,159.1715,155.13
11/18/2025,157.32,"8,164,674",154.55,158.09,153.54
11/17/2025,154.99,"7,343,417",158.63,159.75,153.54
11/14/2025,159.33,"6,041,453",160.5,160.88,158.3
11/13/2025,162.23,"7,719,642",162.53,165.435,161.48
11/12/2025,163.09,"6,241,204",160.85,164.53,160.4
11/11/2025,159.73,"7,274,154",160.42,162.1715,159.2427
11/10/2025,160.58,"7,677,870",162.0,163.37,158.49
11/07/2025,160.55,"8,837,679",160.38,160.6,156.89
11/06/2025,161.38,"5,859,460",162.75,163.81,161.09
11/05/2025,163.57,"9,770,183",159.39,165.62,159.39
11/04/2025,159.36,"11,462,300",161.18,162.305,158.13
11/03/2025,161.46,"5,208,327",162.34,163.45,160.07
10/31/2025,161.46,"8,707,865",158.36,162.0,157.8009
10/30/2025,160.51,"9,477,611",160.15,162.64,159.97
10/29/2025,160.26,"11,961,930",166.72,166.72,159.83
10/28/2025,166.91,"9,646,626",169.14,169.51,166.49
10/27/2025,169.41,"8,606,261",169.82,170.3675,168.68
10/24/2025,169.13,"7,691,766",174.01,174.148,168.785
10/23/2025,172.19,"8,412,529",170.0,173.76,169.75
10/22/2025,170.71,"25,834,510",163.96,173.08,163.04
10/21/2025,180.84,"10,301,500",179.47,181.84,178.84
10/20/2025,179.585,"6,620,176",172.51,181.11,172.51
10/17/2025,176.58,"5,082,644",175.05,177.625,174.5654
10/16/2025,175.48,"7,188,169",175.39,177.5,174.0633
10/15/2025,175.27,"9,416,750",174.02,176.16,171.13
10/14/2025,173.94,"9,919,396",171.97,176.2725,171.45
10/13/2025,175.11,"8,610,309",172.83,176.1,172.4001
10/10/2025,171.7,"9,630,248",179.62,181.57,171.5
10/09/2025,178.96,"5,006,072",180.49,180.7,177.62
10/08/2025,181.6,"6,377,727",176.83,181.93,176.83
10/07/2025,177.05,"5,396,125",181.76,182.015,176.96
10/06/2025,181.81,"6,019,837",181.0,183.23,179.3025
10/03/2025,180.32,"5,167,557",182.78,185.46,180.155
10/02/2025,182.32,"6,798,032",180.77,184.615,179.84
10/01/2025,180.39,"7,704,998",181.97,184.5099,178.33
09/30/2025,183.73,"3,873,093",182.745,183.97,181.31
09/29/2025,183.23,"5,090,681",185.47,186.1,183.0
09/26/2025,184.55,"6,206,264",185.96,187.29,183.07
09/25/2025,182.04,"4,042,321",183.65,183.66,180.11
09/24/2025,184.435,"5,905,143",181.715,185.16,181.1
09/23/2025,182.04,"5,900,813",179.87,182.665,179.68
09/22/2025,179.62,"7,030,256",179.4,181.405,179.305
09/19/2025,179.37,"16,206,660",182.59,183.25,178.165
09/18/2025,181.62,"7,937,103",183.24,183.72,180.31
09/17/2025,180.3,"7,209,723",177.84,182.565,177.61
09/16/2025,177.63,"7,920,275",178.74,181.14,177.28
09/15/2025,178.2,"11,658,400",175.88,179.22,174.01
09/12/2025,182.6,"6,284,172",184.105,184.34,182.34
09/11/2025,184.35,"6,595,967",184.51,184.8122,182.26
09/10/2025,184.01,"5,957,489",185.04,185.49,182.94
09/09/2025,185.03,"6,135,044",184.4,185.66,183.66
09/08/2025,185.82,"9,701,153",188.15,188.3699,183.07
09/05/2025,187.93,"9,491,194",187.08,189.28,185.29
09/04/2025,187.29,"11,335,930",183.76,188.68,181.69
09/03/2025,195.74,"7,039,564",199.215,200.075,191.3778
09/02/2025,199.81,"6,238,366",199.38,200.17,196.76
08/29/2025,202.48,"5,372,775",203.51,204.0499,201.56
08/28/2025,204.09,"6,166,399",205.83,207.134,203.61
08/27/2025,205.47,"4,189,669",204.955,205.7,203.2529
08/26/2025,205.98,"4,549,694",205.78,207.41,205.2379
08/25/2025,205.97,"3,442,785",206.0,207.0,204.54
08/22/2025,206.06,"6,177,726",202.08,209.09,201.89
08/21/2025,200.71,"5,291,120",199.58,202.18,199.45
08/20/2025,200.77,"8,107,257",197.5,201.23,193.45
08/19/2025,195.94,"5,491,119",194.67,197.65,193.79
08/18/2025,194.33,"2,763,911",194.57,195.52,193.5
08/15/2025,194.57,"5,872,932",193.6,195.37,192.4914
08/14/2025,193.71,"3,917,264",191.18,194.24,190.03
08/13/2025,193.29,"4,966,336",193.58,194.12,190.955
08/12/2025,192.97,"9,964,856",185.28,193.835,185.22
08/11/2025,183.71,"6,457,764",187.44,188.87,183.4
08/08/2025,187.22,"5,946,168",185.69,187.64,184.66
08/07/2025,185.91,"6,563,938",190.76,191.49,184.7301
08/06/2025,185.91,"7,088,963",184.69,186.9,184.0
